date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,386,"4,278",11.25,11.25,11.0,11.15,-0.1,107
107/07/03,353,"3,877",11.15,11.15,10.9,11.1,-0.05,97
107/07/04,196,"2,155",11.05,11.05,10.9,11.05,-0.05,59
107/07/05,261,"2,858",10.95,11.1,10.9,11.05,0.0,78
107/07/06,361,"3,961",11.05,11.1,10.85,11.05,0.0,93
107/07/09,152,"1,669",11.05,11.05,10.95,11.0,-0.05,40
107/07/10,132,"1,448",10.95,11.0,10.9,11.0,0.0,33
107/07/11,89,976,11.0,11.0,10.9,11.0,0.0,22
107/07/12,255,"2,771",10.9,10.95,10.85,10.85,-0.15,62
107/07/13,159,"1,728",10.85,11.0,10.85,10.9,0.05,42
107/07/16,197,"2,150",10.8,11.0,10.8,10.9,0.0,45
107/07/17,128,"1,389",10.8,10.9,10.8,10.9,0.0,45
107/07/18,173,"1,876",10.9,10.95,10.75,10.9,0.0,62
107/07/19,138,"1,501",10.85,10.9,10.8,10.9,0.0,40
107/07/20,137,"1,477",10.85,10.85,10.8,10.85,-0.05,41
107/07/23,186,"2,006",10.8,10.8,10.75,10.8,-0.05,43
107/07/24,125,"1,344",10.85,10.85,10.75,10.85,0.05,38
107/07/25,278,"2,996",10.8,10.85,10.7,10.85,0.0,70
107/07/26,"1,505","16,793",10.85,11.3,10.85,11.1,0.25,563
107/07/27,294,"3,237",10.95,11.1,10.9,11.1,0.0,112
107/07/30,467,"5,107",11.0,11.0,10.85,11.0,-0.1,122
107/07/31,363,"3,956",11.0,11.0,10.85,10.9,-0.1,81
107/08/01,645,"6,977",10.95,10.95,10.75,10.85,-0.05,138
107/08/02,404,"4,359",10.8,10.9,10.75,10.85,0.0,87
107/08/03,255,"2,774",10.85,10.95,10.8,10.9,0.05,73
107/08/06,316,"3,430",10.85,10.95,10.8,10.9,0.0,69
107/08/07,179,"1,949",10.9,10.9,10.85,10.9,0.0,42
107/08/08,460,"5,093",11.0,11.2,10.85,11.2,0.3,119
107/08/09,468,"5,238",11.3,11.3,11.1,11.2,0.0,129
107/08/10,350,"3,902",11.1,11.2,11.05,11.2,0.0,90
107/08/13,479,"5,264",11.1,11.15,10.9,11.0,-0.2,109
107/08/14,203,"2,237",11.0,11.05,11.0,11.0,0.0,82
107/08/15,461,"5,014",10.95,11.0,10.75,11.0,0.0,117
107/08/16,342,"3,700",10.9,10.95,10.8,10.8,-0.2,81
107/08/17,722,"7,988",10.95,11.15,10.8,11.05,0.25,280
107/08/20,511,"5,620",11.1,11.1,10.85,11.05,0.0,131
107/08/21,272,"2,977",10.9,11.0,10.9,11.0,-0.05,79
107/08/22,525,"5,715",10.9,10.95,10.8,10.95,-0.05,113
107/08/23,356,"3,876",10.85,10.95,10.8,10.95,0.0,84
107/08/24,118,"1,291",11.0,11.0,10.9,10.95,0.0,29
107/08/27,320,"3,490",10.9,10.95,10.85,10.85,-0.1,81
107/08/28,242,"2,615",10.8,10.9,10.7,10.9,0.25,77
107/08/29,101,"1,104",10.85,10.9,10.8,10.9,0.0,34
107/08/30,85,924,10.85,10.9,10.8,10.9,0.0,24
107/08/31,162,"1,758",10.9,10.9,10.8,10.8,-0.1,58
107/09/03,607,"6,507",10.8,10.8,10.65,10.75,-0.05,114
107/09/04,713,"7,579",10.65,10.7,10.55,10.7,-0.05,174
107/09/05,741,"7,757",10.65,10.7,10.25,10.25,-0.45,153
107/09/06,664,"6,709",10.25,10.25,10.0,10.0,-0.25,186
107/09/07,598,"5,867",9.9,9.91,9.63,9.87,-0.13,212
107/09/10,410,"3,964",9.86,9.86,9.45,9.8,-0.07,117
107/09/11,346,"3,345",9.68,9.9,9.5,9.8,0.0,152
107/09/12,84,821,9.8,9.84,9.66,9.84,0.04,58
107/09/13,105,"1,021",9.8,9.84,9.7,9.77,-0.07,39
107/09/14,135,"1,344",9.77,10.0,9.74,10.0,0.23,65
107/09/17,48,476,9.91,9.93,9.9,9.91,-0.09,19
107/09/18,72,713,9.96,9.96,9.89,9.91,0.0,23
107/09/19,140,"1,387",9.91,9.97,9.86,9.94,0.03,48
107/09/20,148,"1,478",9.96,10.0,9.94,9.94,0.0,57
107/09/21,392,"3,881",9.94,9.95,9.85,9.95,0.01,80
107/09/25,381,"3,755",9.95,9.95,9.84,9.84,-0.11,66
107/09/26,115,"1,133",9.84,9.89,9.83,9.89,0.05,29
107/09/27,516,"5,074",9.89,9.92,9.8,9.8,-0.09,91
107/09/28,351,"3,458",9.88,9.9,9.78,9.9,0.1,158
107/10/01,536,"5,388",9.97,10.5,9.88,10.2,0.3,232
107/10/02,168,"1,684",10.25,10.25,9.98,10.05,-0.15,52
107/10/03,201,"2,017",10.0,10.15,9.98,10.05,0.0,83
107/10/04,155,"1,551",10.05,10.05,9.98,10.05,0.0,46
107/10/05,219,"2,165",9.92,9.94,9.8,9.9,-0.15,85
107/10/08,119,"1,167",9.72,9.94,9.72,9.87,-0.03,54
107/10/09,110,"1,085",9.87,9.87,9.77,9.86,-0.01,42
107/10/11,298,"2,687",9.5,9.5,8.88,8.88,-0.98,101
107/10/12,893,"7,616",8.86,8.88,8.23,8.78,-0.1,499
107/10/15,138,"1,190",8.58,8.72,8.58,8.58,-0.2,87
107/10/16,204,"1,761",8.63,8.71,8.44,8.6,0.02,103
107/10/17,103,884,8.69,8.7,8.6,8.6,0.0,41
107/10/18,49,419,8.67,8.67,8.6,8.63,0.03,23
107/10/19,237,"2,023",8.55,8.6,8.46,8.59,-0.04,58
107/10/22,83,712,8.51,8.59,8.51,8.58,-0.01,27
107/10/23,135,"1,148",8.55,8.6,8.43,8.5,-0.08,54
107/10/24,143,"1,215",8.55,8.55,8.46,8.5,0.0,53
107/10/25,366,"3,105",8.42,8.69,8.18,8.65,0.15,135
107/10/26,220,"1,855",8.45,8.5,8.29,8.49,-0.16,62
107/10/29,312,"2,586",8.36,8.38,8.15,8.37,-0.12,138
107/10/30,47,396,8.36,8.52,8.36,8.48,0.11,28
107/10/31,158,"1,340",8.5,8.54,8.42,8.47,-0.01,36
107/11/01,115,972,8.47,8.49,8.41,8.46,-0.01,52
107/11/02,315,"2,655",8.46,8.54,8.4,8.47,0.01,106
107/11/05,209,"1,791",8.42,8.73,8.3,8.73,0.26,57
107/11/06,132,"1,119",8.51,8.55,8.43,8.52,-0.21,79
107/11/07,108,918,8.52,8.58,8.5,8.58,0.06,33
107/11/08,81,697,8.6,8.69,8.57,8.57,-0.01,41
107/11/09,105,894,8.65,8.65,8.45,8.49,-0.08,43
107/11/12,182,"1,519",8.36,8.45,8.32,8.37,-0.12,59
107/11/13,184,"1,516",8.3,8.31,8.2,8.31,-0.06,63
107/11/14,82,691,8.35,8.43,8.31,8.43,0.12,46
107/11/15,89,759,8.4,8.55,8.4,8.52,0.09,55
107/11/16,247,"2,117",8.52,8.64,8.52,8.52,0.0,84
107/11/19,33,278,8.6,8.6,8.48,8.54,0.02,22
107/11/20,51,435,8.56,8.56,8.5,8.5,-0.04,37
107/11/21,97,825,8.5,8.52,8.45,8.52,0.02,35
107/11/22,238,"2,009",8.58,8.58,8.36,8.36,-0.16,98
107/11/23,120,"1,007",8.45,8.48,8.31,8.33,-0.03,77
107/11/26,116,972,8.45,8.47,8.33,8.34,0.01,68
107/11/27,126,"1,057",8.35,8.46,8.34,8.46,0.12,51
107/11/28,76,644,8.46,8.53,8.46,8.53,0.07,42
107/11/29,357,"3,045",8.53,8.6,8.44,8.59,0.06,155
107/11/30,246,"2,103",8.58,8.61,8.5,8.61,0.02,77
107/12/03,437,"3,865",8.68,9.17,8.6,9.11,0.5,183
107/12/04,367,"3,327",9.02,9.2,8.97,9.18,0.07,154
107/12/05,223,"2,037",9.18,9.18,9.0,9.16,-0.02,81
107/12/06,359,"3,240",9.1,9.1,8.92,9.05,-0.11,93
107/12/07,109,994,9.05,9.18,9.0,9.15,0.1,52
107/12/10,108,982,9.17,9.17,9.0,9.15,0.0,41
107/12/11,181,"1,645",9.15,9.16,9.01,9.15,0.0,77
107/12/12,362,"3,346",9.18,9.44,9.15,9.39,0.24,175
107/12/13,232,"2,169",9.29,9.49,9.26,9.38,-0.01,108
107/12/14,97,908,9.32,9.39,9.28,9.36,-0.02,35
107/12/17,366,"3,401",9.29,9.43,9.21,9.38,0.02,116
107/12/18,48,447,9.31,9.36,9.28,9.34,-0.04,20
107/12/19,291,"2,703",9.26,9.38,9.24,9.33,-0.01,104
107/12/20,184,"1,706",9.26,9.34,9.24,9.28,-0.05,64
107/12/21,102,943,9.32,9.32,9.23,9.23,-0.05,39
107/12/22,38,350,9.2,9.28,9.19,9.24,0.01,21
107/12/24,145,"1,331",9.28,9.28,9.12,9.23,-0.01,58
107/12/25,105,962,9.2,9.24,9.07,9.17,-0.06,49
107/12/26,151,"1,375",9.11,9.2,9.07,9.14,-0.03,68
107/12/27,132,"1,212",9.2,9.25,9.13,9.19,0.05,58
107/12/28,35,322,9.12,9.2,9.12,9.18,-0.01,9
108/01/02,72,660,9.14,9.21,9.13,9.18,0.0,30
108/01/03,174,"1,586",9.07,9.18,9.02,9.18,0.0,71
108/01/04,249,"2,262",9.06,9.15,9.03,9.13,-0.05,70
108/01/07,40,367,9.11,9.17,9.11,9.17,0.04,18
108/01/08,122,"1,118",9.11,9.25,9.11,9.17,0.0,53
108/01/09,96,890,9.2,9.3,9.15,9.25,0.08,55
108/01/10,82,750,9.15,9.3,9.12,9.26,0.01,38
108/01/11,302,"2,770",9.17,9.25,9.1,9.24,-0.02,96
108/01/14,117,"1,076",9.16,9.25,9.15,9.21,-0.03,43
108/01/15,101,932,9.24,9.27,9.16,9.25,0.04,50
108/01/16,38,351,9.26,9.27,9.21,9.27,0.02,13
108/01/17,110,"1,015",9.26,9.29,9.2,9.29,0.02,48
108/01/18,259,"2,509",9.23,9.93,9.23,9.93,0.64,103
108/01/21,734,"7,452",9.87,10.35,9.87,10.25,0.32,308
108/01/22,437,"4,418",10.3,10.3,9.95,10.2,-0.05,183
108/01/23,105,"1,072",10.1,10.3,10.0,10.3,0.1,44
108/01/24,208,"2,142",10.25,10.35,10.2,10.35,0.05,98
108/01/25,419,"4,334",10.25,10.8,10.2,10.25,-0.1,189
108/01/28,447,"4,546",10.15,10.3,10.05,10.3,0.05,156
108/01/29,322,"3,324",10.3,10.4,10.15,10.4,0.1,95
108/01/30,635,"6,560",10.4,10.45,10.2,10.35,-0.05,159
108/02/11,131,"1,366",10.4,10.5,10.25,10.5,0.15,51
108/02/12,241,"2,589",10.45,10.85,10.45,10.85,0.35,105
108/02/13,494,"5,370",10.8,11.05,10.7,10.95,0.1,218
108/02/14,507,"5,476",10.95,11.0,10.7,10.85,-0.1,232
108/02/15,333,"3,575",10.7,10.8,10.6,10.8,-0.05,132
108/02/18,244,"2,625",10.85,10.9,10.7,10.85,0.05,83
108/02/19,302,"3,247",10.75,10.9,10.7,10.75,-0.1,84
108/02/20,272,"2,908",10.7,10.75,10.6,10.75,0.0,77
108/02/21,329,"3,502",10.75,10.75,10.55,10.7,-0.05,94
108/02/22,314,"3,323",10.7,10.7,10.5,10.65,-0.05,93
108/02/25,202,"2,160",10.65,10.8,10.55,10.8,0.15,69
108/02/26,598,"6,358",10.8,10.8,10.5,10.7,-0.1,181
108/02/27,765,"7,909",10.7,10.7,10.0,10.0,-0.7,253
108/03/04,360,"3,613",10.0,10.2,9.98,10.05,0.05,147
108/03/05,485,"4,858",10.0,10.1,9.93,10.1,0.05,109
108/03/06,274,"2,750",10.0,10.1,9.99,10.1,0.0,70
108/03/07,210,"2,103",10.0,10.05,9.96,10.05,-0.05,74
108/03/08,188,"1,874",9.98,9.99,9.94,9.95,-0.1,68
108/03/11,128,"1,271",9.91,9.98,9.86,9.92,-0.03,59
108/03/12,273,"2,711",9.9,9.99,9.87,9.99,0.07,75
108/03/13,121,"1,207",9.91,9.99,9.89,9.99,0.0,41
108/03/14,161,"1,603",10.0,10.0,9.93,9.93,-0.06,46
108/03/15,"1,055","10,210",9.94,9.98,9.4,9.52,-0.41,438
108/03/18,295,"2,797",9.52,9.59,9.4,9.5,-0.02,131
108/03/19,329,"3,093",9.46,9.49,9.3,9.49,-0.01,115
108/03/20,516,"4,833",9.38,9.46,9.28,9.46,-0.03,167
108/03/21,228,"2,157",9.43,9.65,9.4,9.49,0.03,108
108/03/22,188,"1,790",9.49,9.57,9.48,9.57,0.08,62
108/03/25,158,"1,496",9.45,9.54,9.42,9.49,-0.08,51
108/03/26,119,"1,127",9.49,9.51,9.42,9.48,-0.01,45
108/03/27,189,"1,796",9.5,9.51,9.45,9.48,0.0,61
108/03/28,143,"1,358",9.52,9.52,9.44,9.47,-0.01,55
108/03/29,145,"1,375",9.47,9.49,9.43,9.49,0.02,63
108/04/01,144,"1,363",9.56,9.56,9.46,9.49,0.0,44
108/04/02,368,"3,495",9.43,9.58,9.38,9.58,0.09,100
108/04/03,223,"2,113",9.49,9.53,9.43,9.5,-0.08,81
108/04/08,224,"2,112",9.5,9.51,9.43,9.43,-0.07,92
108/04/09,188,"1,770",9.36,9.47,9.36,9.45,0.02,67
108/04/10,175,"1,652",9.41,9.44,9.37,9.44,-0.01,63
108/04/11,461,"4,307",9.44,9.45,9.25,9.37,-0.07,167
108/04/12,700,"6,694",9.3,10.3,8.98,10.3,0.93,255
108/04/15,365,"3,567",9.7,9.85,9.54,9.85,-0.45,151
108/04/16,244,"2,358",9.67,9.78,9.52,9.7,-0.15,104
108/04/17,302,"2,923",9.6,9.75,9.58,9.75,0.05,110
108/04/18,398,"3,845",9.61,9.74,9.52,9.74,-0.01,133
108/04/19,266,"2,569",9.64,9.73,9.59,9.67,-0.07,100
108/04/22,126,"1,208",9.66,9.67,9.57,9.61,-0.06,42
108/04/23,223,"2,127",9.58,9.64,9.45,9.55,-0.06,79
108/04/24,274,"2,600",9.46,9.62,9.4,9.58,0.03,107
108/04/25,260,"2,469",9.5,9.55,9.42,9.55,-0.03,87
108/04/26,497,"4,676",9.47,9.52,9.31,9.44,-0.11,170
108/04/29,350,"3,361",9.36,9.76,9.3,9.76,0.32,98
108/04/30,180,"1,724",9.61,9.61,9.5,9.59,-0.17,68
108/05/02,271,"2,558",9.49,9.54,9.41,9.46,-0.13,99
108/05/03,594,"5,570",9.45,9.46,9.29,9.46,0.0,205
108/05/06,424,"3,943",9.33,9.42,9.23,9.32,-0.14,139
108/05/07,388,"3,594",9.24,9.34,9.15,9.34,0.02,141
108/05/08,463,"4,274",9.2,9.3,9.14,9.3,-0.04,161
108/05/09,600,"5,452",9.19,9.19,8.96,9.12,-0.18,209
108/05/10,572,"5,176",9.09,9.15,8.9,9.09,-0.03,228
108/05/13,180,"1,625",9.09,9.1,8.98,9.04,-0.05,66
108/05/14,248,"2,221",8.95,9.04,8.78,9.04,0.0,105
108/05/15,601,"5,349",9.08,9.08,8.77,8.99,-0.05,184
108/05/16,614,"5,407",8.91,8.97,8.7,8.86,-0.13,197
108/05/17,458,"4,035",8.82,8.9,8.7,8.9,0.04,153
108/05/20,572,"5,027",8.78,8.88,8.7,8.88,-0.02,150
108/05/21,650,"5,767",8.77,9.08,8.69,9.08,0.2,226
108/05/22,246,"2,208",8.9,9.04,8.9,9.0,-0.08,79
108/05/23,700,"6,132",8.87,8.91,8.68,8.8,-0.2,268
108/05/24,504,"4,393",8.72,8.79,8.68,8.75,-0.05,164
108/05/27,137,"1,197",8.7,8.76,8.7,8.75,0.0,50
108/05/28,172,"1,502",8.75,8.78,8.72,8.78,0.03,54
108/05/29,214,"1,879",8.72,8.82,8.7,8.81,0.03,83
108/05/30,121,"1,062",8.75,8.81,8.74,8.8,-0.01,61
108/05/31,299,"2,621",8.75,8.83,8.74,8.74,-0.06,134
108/06/03,57,493,8.7,8.77,8.68,8.77,0.03,26
108/06/04,88,769,8.7,8.79,8.7,8.77,0.0,38
108/06/05,340,"2,963",8.72,8.78,8.65,8.73,-0.04,105
108/06/06,90,787,8.7,8.75,8.69,8.75,0.02,22
108/06/10,56,490,8.7,8.77,8.7,8.76,0.01,20
108/06/11,275,"2,388",8.71,8.75,8.65,8.7,-0.06,114
108/06/12,208,"1,813",8.65,8.78,8.6,8.78,0.08,96
108/06/13,84,734,8.68,8.79,8.67,8.77,-0.01,37
108/06/14,281,"2,439",8.77,8.77,8.62,8.71,-0.06,96
108/06/17,382,"3,277",8.66,8.74,8.48,8.48,-0.23,177
108/06/18,226,"1,912",8.55,8.55,8.4,8.49,0.01,81
108/06/19,105,892,8.48,8.54,8.43,8.49,0.0,50
108/06/20,283,"2,388",8.5,8.5,8.38,8.49,0.0,105
108/06/21,263,"2,217",8.5,8.53,8.38,8.43,-0.06,101
108/06/24,278,"2,313",8.4,8.4,8.27,8.32,-0.11,103
108/06/25,97,802,8.27,8.35,8.25,8.28,-0.04,41
108/06/26,274,"2,251",8.28,8.28,8.17,8.25,-0.03,113
108/06/27,232,"1,902",8.24,8.24,8.16,8.2,-0.05,114
108/06/28,208,"1,702",8.16,8.23,8.15,8.21,0.01,74
108/07/01,322,"2,681",8.22,8.50,8.16,8.42,0.21,168
108/07/02,401,"3,325",8.30,8.36,8.25,8.31,-0.11,164
108/07/03,243,"2,015",8.28,8.35,8.20,8.35,0.04,92
108/07/04,214,"1,777",8.33,8.35,8.27,8.32,-0.03,97
108/07/05,318,"2,617",8.26,8.30,8.20,8.23,-0.09,144
108/07/08,224,"1,837",8.23,8.25,8.17,8.21,-0.02,104
108/07/09,203,"1,663",8.16,8.24,8.15,8.24,0.03,70
108/07/10,406,"3,421",8.18,8.55,8.15,8.55,0.31,126
108/07/11,656,"5,420",8.36,8.37,8.19,8.19,-0.36,317
108/07/12,313,"2,562",8.19,8.23,8.14,8.22,0.03,125
108/07/15,310,"2,538",8.18,8.22,8.15,8.21,-0.01,118
108/07/16,249,"2,036",8.18,8.22,8.15,8.20,-0.01,99
108/07/17,203,"1,655",8.17,8.20,8.14,8.15,-0.05,75
108/07/18,209,"1,705",8.11,8.19,8.11,8.19,0.04,93
108/07/19,133,"1,087",8.26,8.26,8.15,8.22,0.03,52
108/07/22,159,"1,303",8.16,8.26,8.15,8.22,0.00,69
108/07/23,184,"1,508",8.19,8.22,8.15,8.22,0.00,60
108/07/24,341,"2,788",8.17,8.22,8.15,8.20,-0.02,116
108/07/25,324,"2,651",8.22,8.22,8.15,8.19,-0.01,125
