date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"905,322","9,197,051",10.3,10.35,10.1,10.2,-0.15,235
107/07/03,"2,475,450","24,587,523",10.15,10.15,9.82,9.95,-0.25,681
107/07/04,"4,586,263","43,156,807",9.93,9.93,9.2,9.21,-0.74,"1,123"
107/07/05,"5,999,368","52,871,474",9.15,9.16,8.57,8.91,-0.30,"1,441"
107/07/06,"1,991,017","17,734,003",8.95,9.15,8.71,9.05,+0.14,630
107/07/09,"980,404","8,825,349",9.02,9.05,8.91,9.0,-0.05,332
107/07/10,"1,307,003","12,010,837",9.0,9.3,9.0,9.17,+0.17,343
107/07/11,"545,729","5,035,049",9.17,9.29,9.15,9.21,+0.04,211
107/07/12,"583,002","5,360,968",9.21,9.23,9.1,9.22,+0.01,162
107/07/13,"1,480,128","13,737,872",9.12,9.37,9.12,9.32,+0.10,329
107/07/16,"1,063,002","9,848,548",9.34,9.35,9.2,9.24,-0.08,237
107/07/17,"1,267,351","11,591,616",9.23,9.23,9.1,9.13,-0.11,274
107/07/18,"906,416","8,199,055",9.13,9.17,8.95,8.96,-0.17,279
107/07/19,"419,072","3,785,519",8.97,9.09,8.96,9.06,+0.10,141
107/07/20,"502,564","4,534,667",9.1,9.13,8.95,8.98,-0.08,165
107/07/23,"781,402","6,974,493",8.99,8.99,8.85,8.85,-0.13,247
107/07/24,"972,275","8,651,544",8.9,8.95,8.85,8.91,+0.06,279
107/07/25,"1,402,723","12,472,806",8.9,8.92,8.85,8.9,-0.01,297
107/07/26,"1,671,708","14,882,121",8.91,8.92,8.88,8.92,+0.02,386
107/07/27,"1,966,007","17,509,010",8.92,8.93,8.89,8.91,-0.01,396
107/07/30,"2,406,385","21,555,231",8.9,9.09,8.9,9.02,+0.11,411
107/07/31,"2,265,229","20,653,311",9.02,9.17,9.01,9.11,+0.09,450
107/08/01,"1,565,901","14,129,879",9.11,9.11,8.91,9.01,-0.10,371
107/08/02,"1,963,860","17,631,648",9.01,9.01,8.94,8.98,-0.03,395
107/08/03,"1,376,264","12,418,508",8.99,9.09,8.96,9.05,+0.07,262
107/08/06,"6,014,294","57,038,235",9.1,9.8,9.08,9.79,+0.74,"1,627"
107/08/07,"16,331,647","169,662,119",10.0,10.75,9.95,10.6,+0.81,"3,220"
107/08/08,"21,864,385","240,477,984",10.3,11.4,10.3,11.4,+0.80,"4,386"
107/08/09,"7,247,177","80,258,947",11.3,11.45,10.8,11.05,-0.35,"2,065"
107/08/10,"7,434,106","83,940,319",11.0,11.55,10.85,11.05, 0.00,"2,036"
107/08/13,"4,218,060","44,720,461",10.95,11.0,10.0,10.4,-0.65,"1,270"
107/08/14,"3,145,014","32,637,990",10.4,10.55,10.3,10.3,-0.10,717
