date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,53,409,7.90,7.90,7.66,7.66,-0.09,18
107/07/03,18,137,7.65,7.65,7.59,7.59,-0.07,23
107/07/04,20,152,7.55,7.55,7.50,7.50,-0.09,10
107/07/05,130,940,7.18,7.49,7.18,7.19,-0.31,55
107/07/06,91,682,7.17,7.90,7.17,7.40,0.21,41
107/07/09,19,140,7.39,7.39,7.16,7.18,-0.22,18
107/07/10,18,130,7.28,7.28,7.20,7.20,0.02,17
107/07/11,10,73,7.38,7.38,7.28,7.30,0.1,17
107/07/12,27,200,7.50,7.50,7.30,7.30,0.0,21
107/07/13,10,73,7.31,7.39,7.30,7.30,0.0,6
107/07/16,9,64,7.48,7.50,7.45,7.47,0.17,28
107/07/17,75,548,7.33,7.33,7.26,7.30,-0.17,19
107/07/18,55,401,7.25,7.31,7.25,7.29,-0.01,21
107/07/19,1,8,7.47,7.47,7.47,7.47,0.18,9
107/07/20,12,87,7.21,7.45,7.21,7.29,-0.18,9
107/07/23,13,95,7.20,7.29,7.19,7.29,0.0,13
107/07/24,35,258,7.68,7.68,7.21,7.30,0.01,27
107/07/25,11,82,7.46,7.46,7.34,7.34,0.04,7
107/07/26,10,74,7.34,7.38,7.13,7.32,-0.02,7
107/07/27,11,76,7.11,7.30,7.11,7.30,-0.02,11
107/07/30,18,133,7.30,7.37,7.16,7.37,0.07,18
107/07/31,39,285,7.37,7.37,7.30,7.30,-0.07,14
107/08/01,8,60,7.32,7.57,7.22,7.22,-0.08,13
107/08/02,37,260,7.14,7.14,7.01,7.13,-0.09,20
107/08/03,40,285,7.07,7.18,7.04,7.13,0.0,24
107/08/06,15,108,7.10,7.13,7.01,7.01,-0.12,18
107/08/07,129,891,7.00,7.10,6.73,6.99,-0.02,68
107/08/08,73,504,6.99,7.06,6.86,6.86,-0.13,36
107/08/09,73,534,7.54,7.54,7.05,7.10,0.24,33
107/08/10,98,707,7.00,7.48,7.00,7.30,0.2,50
107/08/13,110,775,7.08,7.23,6.83,7.10,-0.2,49
107/08/14,90,615,6.82,6.82,6.80,6.81,-0.29,44
107/08/15,86,586,6.81,6.99,6.60,6.84,0.03,201
107/08/16,75,511,6.80,6.84,6.70,6.84,0.0,31
107/08/17,220,"1,450",6.84,6.84,6.40,6.60,-0.24,73
107/08/20,18,117,6.40,6.58,6.40,6.55,-0.05,18
107/08/21,135,859,6.59,6.59,6.20,6.43,-0.12,39
107/08/22,292,"1,838",6.39,6.46,6.17,6.25,-0.18,89
107/08/23,105,659,6.20,6.36,6.20,6.20,-0.05,28
107/08/24,107,668,6.30,6.30,6.10,6.24,0.04,30
107/08/27,87,543,6.19,6.34,6.10,6.26,0.02,26
107/08/28,148,926,6.26,6.37,6.18,6.20,-0.06,46
107/08/29,191,"1,174",6.20,6.20,6.11,6.15,-0.05,50
107/08/30,89,543,6.24,6.24,6.03,6.15,0.0,36
107/08/31,405,"2,494",6.17,6.30,6.10,6.17,0.02,53
107/09/03,188,"1,159",6.28,6.29,6.10,6.10,-0.07,25
