date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"85,001","1,423,466",16.8,16.85,16.65,16.75,-0.05,50
107/07/03,"91,499","1,521,783",16.75,16.75,16.55,16.65,-0.10,50
107/07/04,"49,026","813,581",16.65,16.65,16.55,16.55,-0.10,35
107/07/05,"112,000","1,847,850",16.6,16.6,16.4,16.55, 0.00,42
107/07/06,"286,100","4,704,470",16.5,16.55,16.35,16.55, 0.00,58
107/07/09,"170,444","2,838,270",16.55,16.8,16.5,16.75,+0.20,61
107/07/10,"139,000","2,308,650",16.7,16.75,16.5,16.65,-0.10,40
107/07/11,"391,097","6,519,309",16.55,16.85,16.55,16.7,+0.05,91
107/07/12,"186,576","3,155,854",16.75,17.05,16.75,16.95,+0.25,67
107/07/13,"55,740","945,256",17.0,17.0,16.9,17.0,+0.05,25
107/07/16,"107,550","1,826,189",17.0,17.25,16.85,16.9,-0.10,40
107/07/17,"62,000","1,038,350",16.75,16.8,16.7,16.75,-0.15,46
107/07/18,"91,110","1,523,126",16.95,16.95,16.65,16.7,-0.05,45
107/07/19,"124,000","2,073,600",17.15,17.15,16.65,16.8,+0.10,37
107/07/20,"78,500","1,312,099",17.0,17.0,16.6,16.65,-0.15,38
107/07/23,"114,000","1,910,950",16.65,16.85,16.65,16.7,+0.05,40
107/07/24,"38,000","635,000",16.7,16.85,16.65,16.8,+0.10,24
107/07/25,"72,000","1,215,650",16.9,17.0,16.8,16.95,+0.15,34
107/07/26,"90,000","1,529,800",17.0,17.05,16.95,17.0,+0.05,27
107/07/27,"57,000","971,350",17.0,17.1,16.95,17.1,+0.10,21
107/07/30,"37,000","628,750",17.0,17.1,16.9,17.0,-0.10,22
107/07/31,"96,000","1,638,300",17.1,17.1,17.0,17.0, 0.00,42
107/08/01,"96,020","1,641,643",17.15,17.3,17.05,17.1,+0.10,37
107/08/02,"73,000","1,235,550",17.0,17.0,16.9,16.9,-0.20,32
107/08/03,"105,070","1,784,233",16.9,17.1,16.9,17.0,+0.10,52
107/08/06,"235,096","3,987,627",17.1,17.1,16.9,16.9,-0.10,80
107/08/07,"73,000","1,228,600",16.8,16.9,16.8,16.85,X0.00,34
107/08/08,"124,000","2,107,600",16.9,17.05,16.9,17.05,+0.20,59
107/08/09,"139,000","2,373,250",17.05,17.1,17.0,17.1,+0.05,43
107/08/10,"83,000","1,422,950",17.1,17.2,17.1,17.15,+0.05,36
107/08/13,"391,000","6,499,200",17.1,17.1,16.4,16.55,-0.60,178
107/08/14,"131,000","2,162,850",16.45,16.6,16.45,16.6,+0.05,45
107/08/15,"399,000","6,506,100",16.55,16.55,16.2,16.25,-0.35,138
107/08/16,"309,000","5,018,700",16.25,16.3,16.1,16.3,+0.05,45
107/08/17,"47,000","765,100",16.3,16.3,16.2,16.3, 0.00,18
107/08/20,"134,000","2,174,950",16.3,16.35,16.15,16.3, 0.00,45
107/08/21,"131,000","2,134,150",16.25,16.35,16.25,16.3, 0.00,40
107/08/22,"67,000","1,093,100",16.3,16.4,16.25,16.4,+0.10,18
107/08/23,"22,100","361,630",16.4,16.4,16.3,16.35,-0.05,19
107/08/24,"40,000","650,850",16.25,16.4,16.2,16.4,+0.05,21
107/08/27,"130,930","2,139,259",16.4,16.4,16.25,16.35,-0.05,72
107/08/28,"260,142","4,248,934",16.35,16.45,16.25,16.45,+0.10,71
107/08/29,"116,844","1,908,933",16.35,16.4,16.3,16.3,-0.15,37
107/08/30,"85,583","1,396,902",16.3,16.35,16.25,16.3, 0.00,27
107/08/31,"50,000","816,850",16.4,16.4,16.3,16.35,+0.05,28
107/09/03,"142,000","2,353,600",16.45,16.65,16.45,16.6,+0.25,64
107/09/04,"106,000","1,757,150",16.5,16.65,16.5,16.55,-0.05,51
107/09/05,"56,000","921,550",16.5,16.6,16.4,16.6,+0.05,28
107/09/06,"38,000","628,050",16.5,16.6,16.45,16.55,-0.05,22
107/09/07,"236,000","3,931,550",16.7,16.8,16.6,16.6,+0.05,117
107/09/10,"163,000","2,672,200",16.45,16.6,16.3,16.3,-0.30,74
107/09/11,"140,000","2,290,200",16.3,16.4,16.3,16.35,+0.05,55
107/09/12,"141,000","2,304,950",16.35,16.4,16.3,16.35, 0.00,41
107/09/13,"65,000","1,063,500",16.35,16.4,16.3,16.4,+0.05,32
107/09/14,"63,002","1,032,182",16.4,16.4,16.35,16.35,-0.05,30
107/09/17,"60,217","986,086",16.35,16.4,16.3,16.4,+0.05,31
107/09/18,"98,000","1,600,200",16.3,16.4,16.3,16.35,-0.05,31
107/09/19,"117,000","1,910,400",16.35,16.4,16.3,16.4,+0.05,48
107/09/20,"80,100","1,311,130",16.35,16.4,16.35,16.4, 0.00,41
107/09/21,"76,000","1,249,250",16.4,16.5,16.4,16.5,+0.10,55
107/09/25,"112,000","1,855,350",16.4,16.65,16.4,16.6,+0.10,54
107/09/26,"41,000","678,100",16.6,16.6,16.5,16.6, 0.00,19
107/09/27,"605,009","10,455,006",16.7,17.6,16.65,17.5,+0.90,272
107/09/28,"420,929","7,311,110",17.5,17.55,17.2,17.25,-0.25,199
107/10/01,"914,810","16,367,310",17.4,18.2,17.4,18.1,+0.85,360
107/10/02,"516,000","9,288,900",18.1,18.2,17.8,18.0,-0.10,206
107/10/03,"414,801","7,361,877",18.1,18.2,17.35,17.8,-0.20,151
107/10/04,"178,436","3,157,323",17.85,17.85,17.55,17.7,-0.10,75
107/10/05,"683,052","12,310,880",17.95,18.65,17.65,18.05,+0.35,286
107/10/08,"234,000","4,203,150",18.15,18.2,17.8,17.9,-0.15,113
107/10/09,"1,413,050","26,272,192",17.9,18.9,17.9,18.7,+0.80,691
107/10/11,"1,384,087","23,717,183",17.85,17.85,16.85,16.9,-1.80,555
107/10/12,"344,000","5,890,200",17.1,17.3,16.8,17.2,+0.30,154
107/10/15,"1,422,506","25,938,061",17.3,18.9,17.2,18.9,+1.70,483
107/10/16,"1,776,100","33,953,365",19.3,19.75,18.5,18.6,-0.30,971
107/10/17,"1,066,000","20,175,850",18.6,19.55,18.3,18.75,+0.15,573
107/10/18,"1,995,353","38,733,331",18.75,19.75,18.75,19.6,+0.85,947
107/10/19,"2,210,052","43,503,099",19.3,20.3,18.95,19.2,-0.40,"1,134"
107/10/22,"2,699,350","53,963,520",19.4,20.35,19.4,20.3,+1.10,"1,016"
107/10/23,"1,487,126","29,384,157",20.2,20.2,19.35,19.35,-0.95,651
107/10/24,"837,100","16,250,195",19.5,19.7,19.0,19.55,+0.20,382
107/10/25,"895,100","16,979,500",19.0,19.2,18.6,19.1,-0.45,385
107/10/26,"526,545","9,962,459",19.1,19.55,18.6,18.8,-0.30,261
107/10/29,"518,300","9,600,255",18.9,19.1,18.25,18.25,-0.55,259
107/10/30,"202,100","3,688,029",18.25,18.4,18.1,18.4,+0.15,131
107/10/31,"260,255","4,826,417",18.6,18.9,18.35,18.6,+0.20,166
107/11/01,"286,000","5,357,700",18.7,18.95,18.5,18.7,+0.10,148
107/11/02,"763,075","14,641,716",19.2,19.5,19.0,19.0,+0.30,428
107/11/05,"360,000","6,812,100",18.7,19.1,18.7,18.9,-0.10,139
107/11/06,"458,171","8,718,341",19.05,19.15,18.9,19.1,+0.20,162
107/11/07,"718,130","14,048,385",19.5,19.85,19.3,19.35,+0.25,365
107/11/08,"239,000","4,613,150",19.5,19.5,19.15,19.2,-0.15,118
107/11/09,"354,000","6,825,250",19.35,19.5,19.1,19.45,+0.25,158
107/11/12,"527,001","10,116,369",19.25,19.3,19.0,19.3,-0.15,175
107/11/13,"152,291","2,911,200",19.0,19.35,19.0,19.15,-0.15,95
107/11/14,"224,026","4,316,047",19.2,19.4,19.15,19.25,+0.10,103
107/11/15,"183,001","3,512,569",19.2,19.25,19.15,19.15,-0.10,84
107/11/16,"700,004","13,135,483",19.15,19.15,18.6,18.6,-0.55,276
107/11/19,"167,000","3,139,800",18.6,18.95,18.6,18.95,+0.35,74
107/11/20,"123,010","2,322,107",18.9,19.05,18.8,18.8,-0.15,66
107/11/21,"139,167","2,608,514",18.8,18.8,18.65,18.65,-0.15,63
107/11/22,"223,000","4,229,300",18.65,19.2,18.65,19.0,+0.35,113
107/11/23,"89,000","1,683,700",18.95,18.95,18.9,18.9,-0.10,50
107/11/26,"390,010","7,543,707",18.95,19.6,18.9,19.4,+0.50,210
107/11/27,"361,000","7,070,850",19.75,19.8,19.3,19.6,+0.20,158
107/11/28,"277,001","5,420,921",19.65,19.7,19.4,19.55,-0.05,151
107/11/29,"244,000","4,755,150",19.7,19.7,19.4,19.45,-0.10,124
107/11/30,"285,500","5,618,750",19.6,19.8,19.5,19.6,+0.15,142
107/12/03,"742,097","14,313,067",19.4,19.85,19.0,19.25,-0.35,284
107/12/04,"405,000","7,710,100",19.25,19.35,18.95,19.0,-0.25,166
107/12/05,"197,000","3,726,250",18.7,19.05,18.7,18.9,-0.10,77
107/12/06,"229,001","4,286,868",18.85,18.85,18.6,18.8,-0.10,112
107/12/07,"85,000","1,600,750",18.75,18.95,18.75,18.95,+0.15,41
107/12/10,"164,000","3,060,650",18.65,18.8,18.6,18.65,-0.30,74
107/12/11,"293,130","5,433,018",18.75,18.75,18.25,18.7,+0.05,113
107/12/12,"111,061","2,086,696",18.7,18.95,18.65,18.95,+0.25,51
107/12/13,"123,000","2,306,650",18.8,18.95,18.7,18.75,-0.20,49
107/12/14,"121,000","2,248,450",18.7,18.75,18.5,18.6,-0.15,40
107/12/17,"73,000","1,372,050",18.5,19.0,18.5,18.85,+0.25,40
107/12/18,"185,005","3,419,043",18.85,18.85,18.35,18.45,-0.40,112
107/12/19,"31,000","571,400",18.5,18.5,18.4,18.4,-0.05,23
107/12/20,"176,840","3,230,203",18.4,18.55,18.15,18.2,-0.20,86
107/12/21,"35,000","637,550",18.2,18.3,18.15,18.2, 0.00,19
107/12/22,"69,000","1,252,000",18.2,18.3,18.0,18.3,+0.10,31
107/12/24,"81,000","1,478,500",18.3,18.4,18.2,18.2,-0.10,37
107/12/25,"88,000","1,590,250",18.1,18.25,17.9,18.15,-0.05,44
107/12/26,"22,000","397,650",18.05,18.2,18.05,18.05,-0.10,17
107/12/27,"35,000","635,800",18.35,18.35,18.1,18.15,+0.10,18
107/12/28,"35,436","641,748",18.2,18.2,18.05,18.1,-0.05,19
108/01/02,"65,000","1,172,400",18.2,18.2,17.95,17.95,-0.15,32
108/01/03,"75,000","1,347,100",17.95,18.0,17.85,17.9,-0.05,36
108/01/04,"79,000","1,417,350",17.85,18.2,17.75,17.95,+0.05,30
108/01/07,"44,001","801,618",18.15,18.25,18.15,18.25,+0.30,38
108/01/08,"47,000","857,650",18.3,18.3,18.1,18.2,-0.05,37
108/01/09,"87,000","1,585,750",18.15,18.35,18.15,18.2, 0.00,33
108/01/10,"115,000","2,093,400",18.2,18.3,18.1,18.2, 0.00,39
108/01/11,"95,002","1,726,686",18.25,18.25,18.1,18.2, 0.00,44
108/01/14,"120,000","2,161,850",18.35,18.35,17.9,18.0,-0.20,58
108/01/15,"142,000","2,551,750",18.0,18.0,17.9,18.0, 0.00,47
108/01/16,"70,001","1,259,117",18.0,18.0,17.95,18.0, 0.00,32
108/01/17,"22,000","396,900",18.0,18.15,18.0,18.15,+0.15,17
108/01/18,"56,000","1,017,400",18.1,18.25,18.1,18.25,+0.10,30
108/01/21,"20,000","364,900",18.25,18.25,18.2,18.2,-0.05,17
108/01/22,"32,000","581,200",18.0,18.25,18.0,18.2, 0.00,22
108/01/23,"99,066","1,783,144",18.05,18.05,17.95,17.95,-0.25,37
108/01/24,"64,030","1,154,044",18.1,18.1,17.95,18.0,+0.05,45
108/01/25,"136,000","2,441,700",18.0,18.1,17.85,18.0, 0.00,67
108/01/28,"124,000","2,235,550",18.05,18.2,17.9,17.9,-0.10,52
108/01/29,"24,000","430,500",17.9,18.0,17.9,17.95,+0.05,17
108/01/30,"325,000","5,966,250",18.0,18.5,18.0,18.45,+0.50,122
108/02/11,"136,000","2,510,050",18.5,18.55,18.35,18.35,-0.10,62
108/02/12,"52,000","962,600",18.4,18.6,18.4,18.55,+0.20,35
108/02/13,"87,083","1,620,705",18.6,18.7,18.5,18.6,+0.05,47
108/02/14,"52,000","968,050",18.65,18.7,18.55,18.65,+0.05,30
108/02/15,"94,199","1,756,801",18.65,18.75,18.6,18.7,+0.05,46
108/02/18,"99,000","1,843,250",18.7,18.7,18.55,18.7, 0.00,56
108/02/19,"155,000","2,879,300",18.65,18.65,18.55,18.55,-0.15,53
108/02/20,"102,000","1,894,100",18.6,18.75,18.45,18.75,+0.20,59
108/02/21,"109,000","2,039,800",18.7,18.75,18.6,18.7,-0.05,50
108/02/22,"161,000","2,980,150",18.6,18.6,18.4,18.5,-0.20,55
108/02/25,"106,000","1,969,750",18.55,18.65,18.5,18.55,+0.05,51
108/02/26,"118,000","2,188,700",18.55,18.6,18.45,18.6,+0.05,40
108/02/27,"97,000","1,798,300",18.55,18.6,18.5,18.6, 0.00,34
108/03/04,"214,000","3,957,600",18.55,18.6,18.4,18.6, 0.00,97
108/03/05,"146,000","2,689,250",18.5,18.55,18.35,18.4,-0.20,63
108/03/06,"63,001","1,159,768",18.5,18.5,18.35,18.45,+0.05,34
108/03/07,"64,002","1,176,336",18.4,18.5,18.3,18.35,-0.10,35
108/03/08,"134,030","2,466,896",18.4,18.5,18.3,18.35, 0.00,43
108/03/11,"33,003","606,604",18.35,18.5,18.35,18.5,+0.15,21
108/03/12,"192,001","3,572,868",18.5,18.7,18.5,18.65,+0.15,74
108/03/13,"126,007","2,348,893",18.6,18.7,18.6,18.6,-0.05,65
108/03/14,"162,704","3,049,593",18.65,18.8,18.65,18.75,+0.15,68
108/03/15,"150,001","2,811,168",18.8,18.85,18.7,18.75, 0.00,56
108/03/18,"294,000","5,550,650",18.75,19.05,18.75,18.85,+0.10,108
108/03/19,"112,000","2,112,650",18.85,18.95,18.8,18.85, 0.00,71
108/03/20,"82,000","1,548,300",18.85,18.95,18.8,18.9,+0.05,44
108/03/21,"84,000","1,586,450",18.85,18.95,18.85,18.85,-0.05,41
108/03/22,"73,000","1,377,800",18.9,18.95,18.85,18.85, 0.00,34
108/03/25,"165,028","3,087,520",18.8,18.85,18.6,18.7,-0.15,67
108/03/26,"54,000","1,009,300",18.7,18.75,18.65,18.65,-0.05,26
108/03/27,"359,300","6,696,160",18.8,18.85,18.55,18.55,-0.10,106
108/03/28,"546,001","9,854,667",18.4,18.4,17.85,17.85,-0.70,207
108/03/29,"366,001","6,543,467",17.95,18.05,17.75,17.8,-0.05,106
108/04/01,"317,000","5,638,800",17.75,17.9,17.75,17.9,+0.10,65
108/04/02,"307,000","5,434,700",17.9,17.9,17.6,17.75,-0.15,91
108/04/03,"58,000","1,026,550",17.7,17.75,17.65,17.7,-0.05,28
108/04/08,"119,000","2,118,400",17.85,17.85,17.75,17.8,+0.10,52
108/04/09,"323,000","5,753,500",17.85,17.95,17.7,17.85,+0.05,112
108/04/10,"49,000","874,350",17.85,17.85,17.8,17.85, 0.00,32
108/04/11,"232,001","4,104,167",17.85,17.85,17.6,17.75,-0.10,71
108/04/12,"157,000","2,766,600",17.65,17.75,17.6,17.6,-0.15,41
108/04/15,"174,000","3,051,950",17.6,17.65,17.5,17.5,-0.10,60
108/04/16,"35,000","613,700",17.6,17.6,17.5,17.55,+0.05,25
108/04/17,"735,000","12,951,350",17.55,17.95,17.45,17.9,+0.35,141
108/04/18,"169,000","3,009,550",17.9,17.95,17.65,17.7,-0.20,85
108/04/19,"28,000","495,050",17.75,17.85,17.65,17.7, 0.00,16
108/04/22,"33,000","584,250",17.65,17.75,17.65,17.75,+0.05,15
108/04/23,"124,000","2,183,850",17.8,17.8,17.55,17.7,-0.05,27
108/04/24,"26,000","459,450",17.7,17.7,17.65,17.65,-0.05,13
108/04/25,"31,000","546,800",17.65,17.65,17.6,17.65, 0.00,23
108/04/26,"44,000","774,450",17.65,17.65,17.55,17.65, 0.00,22
108/04/29,"61,000","1,075,350",17.65,17.7,17.6,17.65, 0.00,33
108/04/30,"28,000","495,600",17.65,17.75,17.65,17.7,+0.05,20
108/05/02,"22,000","389,200",17.55,17.7,17.55,17.7, 0.00,15
108/05/03,"170,000","3,015,500",17.75,17.9,17.7,17.7, 0.00,78
108/05/06,"279,000","4,965,500",17.8,18.05,17.6,17.75,+0.05,92
108/05/07,"219,000","3,936,600",17.75,18.1,17.75,17.9,+0.15,81
108/05/08,"121,281","2,176,900",17.9,18.0,17.9,17.95,+0.05,82
108/05/09,"434,000","7,857,950",18.05,18.25,17.95,18.05,+0.10,182
108/05/10,"299,000","5,478,400",18.05,18.55,18.05,18.25,+0.20,186
