date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,193","10,894",9.14,9.14,9.13,9.13,0.01,249
107/07/03,"1,391","12,654",9.14,9.15,9.07,9.07,-0.06,450
107/07/04,"1,389","12,547",9.06,9.07,9.02,9.03,-0.04,413
107/07/05,"1,327","11,940",9.0,9.02,8.98,8.98,-0.05,472
107/07/06,"1,907","17,048",9.0,9.0,8.88,8.95,-0.03,699
107/07/09,864,"7,764",8.99,9.01,8.95,8.99,0.04,329
107/07/10,851,"7,734",9.05,9.1,9.05,9.09,0.1,272
107/07/11,688,"6,234",9.08,9.09,9.04,9.06,-0.03,266
107/07/12,970,"8,803",9.05,9.09,9.04,9.08,0.02,461
107/07/13,800,"7,287",9.08,9.12,9.08,9.11,0.03,419
107/07/16,823,"7,503",9.13,9.14,9.09,9.12,0.01,398
107/07/17,"1,234","11,274",9.14,9.16,9.11,9.12,0.0,383
107/07/18,"1,164","10,619",9.15,9.16,9.11,9.12,0.0,356
107/07/19,733,"6,699",9.12,9.15,9.12,9.12,0.0,365
107/07/20,985,"8,988",9.13,9.15,9.11,9.13,0.01,368
107/07/23,976,"8,906",9.13,9.14,9.11,9.12,-0.01,436
107/07/24,"1,157","10,583",9.12,9.18,9.12,9.16,0.04,474
107/07/25,"1,926","17,803",9.17,9.28,9.17,9.25,0.09,644
107/07/26,"5,911","55,624",9.3,9.47,9.3,9.45,0.2,"1,239"
107/07/27,"6,121","58,537",9.48,9.6,9.46,9.58,0.13,"1,338"
107/07/30,"5,461","52,823",9.6,9.73,9.6,9.7,0.12,"1,191"
107/07/31,"3,492","33,843",9.7,9.74,9.65,9.68,-0.02,825
107/08/01,"3,030","29,341",9.71,9.73,9.66,9.7,0.02,"1,120"
107/08/02,"3,999","38,747",9.71,9.73,9.65,9.67,-0.03,"1,161"
107/08/03,"9,306","92,360",9.7,10.1,9.68,9.97,0.3,"2,272"
107/08/06,"5,592","56,410",10.0,10.2,9.99,10.05,0.08,"1,322"
107/08/07,"6,970","70,760",10.05,10.25,10.05,10.2,0.15,"1,108"
107/08/08,"5,333","54,175",10.2,10.25,10.1,10.15,-0.05,854
107/08/09,"5,015","50,667",10.2,10.2,10.0,10.1,-0.05,993
107/08/10,"14,602","148,374",10.1,10.25,10.05,10.2,0.1,"2,396"
107/08/13,"14,083","133,823",9.49,9.54,9.45,9.48,0.0,"2,676"
107/08/14,"3,040","28,681",9.46,9.46,9.41,9.45,-0.03,856
107/08/15,"4,022","37,543",9.45,9.45,9.3,9.3,-0.15,"1,063"
107/08/16,"2,270","20,760",9.24,9.24,9.08,9.17,-0.13,810
107/08/17,"1,725","16,010",9.18,9.35,9.18,9.3,0.13,635
107/08/20,"1,363","12,659",9.31,9.35,9.24,9.33,0.03,544
107/08/21,"1,350","12,710",9.35,9.44,9.35,9.44,0.11,641
107/08/22,"2,028","19,213",9.44,9.54,9.44,9.45,0.01,634
107/08/23,"1,532","14,495",9.45,9.53,9.43,9.44,-0.01,560
107/08/24,"1,103","10,321",9.44,9.44,9.34,9.35,-0.09,503
107/08/27,676,"6,334",9.36,9.4,9.35,9.39,0.04,359
107/08/28,817,"7,668",9.4,9.4,9.37,9.4,0.01,383
107/08/29,"1,157","10,881",9.4,9.44,9.37,9.41,0.01,504
107/08/30,692,"6,510",9.42,9.43,9.39,9.42,0.01,351
107/08/31,766,"7,207",9.42,9.42,9.4,9.42,0.0,284
107/09/03,"2,209","20,836",9.42,9.5,9.38,9.44,0.02,597
107/09/04,745,"7,038",9.42,9.46,9.42,9.43,-0.01,437
107/09/05,987,"9,283",9.43,9.44,9.36,9.39,-0.04,478
107/09/06,"1,974","18,388",9.39,9.39,9.27,9.33,-0.06,684
107/09/07,"1,538","14,256",9.32,9.33,9.22,9.29,-0.04,632
107/09/10,"1,556","14,373",9.29,9.32,9.17,9.18,-0.11,576
107/09/11,770,"7,073",9.17,9.23,9.16,9.23,0.05,361
107/09/12,972,"8,992",9.23,9.28,9.21,9.23,0.0,564
107/09/13,"1,807","16,946",9.22,9.42,9.21,9.42,0.19,"1,018"
107/09/14,965,"9,124",9.43,9.51,9.43,9.44,0.02,680
107/09/17,"1,185","11,173",9.41,9.45,9.4,9.41,-0.03,915
107/09/18,"1,277","12,015",9.4,9.44,9.38,9.42,0.01,"1,090"
107/09/19,"3,147","30,036",9.5,9.62,9.46,9.55,0.13,"1,609"
107/09/20,"1,957","18,763",9.59,9.6,9.57,9.59,0.04,"1,113"
107/09/21,"6,592","65,175",9.64,9.99,9.61,9.96,0.37,"2,183"
107/09/25,"2,508","25,036",9.96,10.05,9.93,9.96,0.0,"1,060"
107/09/26,"2,317","23,176",9.97,10.05,9.97,10.0,0.04,"1,027"
107/09/27,"1,363","13,618",10.0,10.05,9.95,9.99,-0.01,509
107/09/28,"2,410","23,805",10.0,10.0,9.8,9.81,-0.18,902
107/10/01,"1,368","13,350",9.82,9.89,9.72,9.75,-0.06,530
107/10/02,"1,312","12,703",9.75,9.75,9.65,9.68,-0.07,497
107/10/03,865,"8,377",9.68,9.77,9.65,9.68,0.0,333
107/10/04,783,"7,543",9.69,9.69,9.61,9.64,-0.04,303
107/10/05,"2,184","20,771",9.61,9.62,9.44,9.47,-0.17,738
107/10/08,"1,011","9,580",9.47,9.53,9.43,9.47,0.0,392
107/10/09,720,"6,811",9.48,9.49,9.43,9.47,0.0,320
107/10/11,"4,440","40,837",9.3,9.3,9.06,9.16,-0.31,"1,345"
