date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,264,"3,307",12.55,12.90,12.40,12.40,-0.2,99
107/07/03,351,"4,293",12.40,12.45,12.00,12.05,-0.35,113
107/07/04,223,"2,720",12.15,12.35,12.05,12.30,0.25,72
107/07/05,397,"4,833",12.35,12.35,12.05,12.05,-0.25,91
107/07/06,191,"2,328",12.30,12.35,12.05,12.15,0.1,76
107/07/09,701,"7,967",11.70,11.70,11.25,11.30,-0.85,218
107/07/10,201,"2,272",11.50,11.50,11.25,11.25,-0.05,68
107/07/11,225,"2,495",11.20,11.30,11.00,11.00,-0.25,74
107/07/12,405,"4,432",11.00,11.10,10.80,10.85,-0.15,130
107/07/13,174,"1,902",10.90,11.10,10.85,10.85,0.0,59
107/07/16,106,"1,163",10.85,11.00,10.85,10.95,0.1,45
107/07/17,124,"1,353",11.00,11.00,10.90,10.90,-0.05,50
107/07/18,79,860,10.85,10.95,10.85,10.90,0.0,37
107/07/19,55,601,11.00,11.00,10.85,10.85,-0.05,32
107/07/20,212,"2,303",10.85,10.95,10.80,10.85,0.0,63
107/07/23,129,"1,394",10.80,10.90,10.70,10.75,-0.1,49
107/07/24,228,"2,435",10.75,10.75,10.60,10.65,-0.1,68
107/07/25,193,"2,073",10.65,10.80,10.65,10.70,0.05,48
107/07/26,201,"2,222",10.90,11.20,10.85,11.20,0.5,64
107/07/27,77,858,11.20,11.30,11.10,11.20,0.0,34
107/07/30,161,"1,774",11.20,11.20,10.90,11.00,-0.2,65
107/07/31,115,"1,252",10.90,10.95,10.80,10.90,-0.1,39
107/08/01,110,"1,200",10.90,11.00,10.85,11.00,0.1,49
107/08/02,36,392,10.95,10.95,10.90,10.90,-0.1,27
107/08/03,33,363,10.90,11.00,10.90,11.00,0.1,16
107/08/06,137,"1,508",11.00,11.10,11.00,11.05,0.05,46
107/08/07,107,"1,184",11.05,11.10,10.95,10.95,-0.1,38
107/08/08,71,786,11.05,11.05,10.95,10.95,0.0,29
107/08/09,182,"1,995",11.00,11.05,10.90,10.90,-0.05,49
107/08/10,61,668,10.90,11.00,10.90,10.95,0.05,22
107/08/13,99,"1,068",10.90,10.90,10.70,10.80,-0.15,32
107/08/14,33,363,10.90,11.15,10.90,11.00,0.2,15
107/08/15,44,479,11.00,11.00,10.85,10.95,-0.05,15
107/08/16,169,"1,818",10.70,11.00,10.70,10.90,-0.05,109
107/08/17,39,424,10.95,11.00,10.75,10.75,-0.15,33
107/08/20,89,957,10.80,10.80,10.70,10.70,-0.05,22
107/08/21,69,735,10.70,10.80,10.70,10.70,0.0,20
107/08/22,62,672,10.80,10.95,10.80,10.95,0.25,26
107/08/23,31,336,10.85,10.90,10.80,10.80,-0.15,16
107/08/24,38,410,10.80,10.90,10.75,10.90,0.1,8
107/08/27,36,393,10.90,11.00,10.90,11.00,0.1,16
107/08/28,121,"1,338",11.20,11.20,10.95,10.95,-0.05,34
107/08/29,190,"2,088",11.00,11.05,10.95,11.05,0.1,26
107/08/30,212,"2,355",11.25,11.25,11.05,11.15,0.1,65
107/08/31,146,"1,621",11.15,11.15,11.05,11.15,0.0,42
107/09/03,86,954,11.20,11.20,11.00,11.00,-0.15,39
107/09/04,233,"2,592",11.05,11.25,10.95,11.10,0.1,65
107/09/05,36,398,11.10,11.10,11.00,11.00,-0.1,13
107/09/06,17,187,11.00,11.00,10.90,10.90,-0.1,9
107/09/07,209,"2,269",10.90,10.90,10.75,10.85,-0.05,46
107/09/10,51,547,10.85,10.85,10.65,10.75,-0.1,35
107/09/11,30,323,10.70,10.85,10.70,10.85,0.1,17
107/09/12,41,446,10.90,11.00,10.75,10.90,0.05,17
107/09/13,10,109,10.95,10.95,10.85,10.90,0.0,9
107/09/14,79,850,10.90,10.90,10.70,10.85,-0.05,44
