date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,28,"5,250",185.0,185.0,184.0,185.0,0.0,36
107/07/03,55,"10,240",185.0,185.0,184.5,184.5,-0.5,62
107/07/04,251,"46,521",185.0,185.5,184.5,185.0,0.5,178
107/07/05,87,"16,059",185.0,185.0,184.5,184.5,-0.5,78
107/07/06,134,"24,867",184.5,185.5,184.5,185.0,0.5,119
107/07/09,109,"20,188",184.0,185.0,183.5,184.5,-0.5,115
107/07/10,127,"23,541",184.5,185.5,184.5,185.0,0.5,101
107/07/11,109,"20,246",185.0,185.5,184.5,185.5,0.5,109
107/07/12,149,"27,743",185.5,187.5,185.0,186.0,0.5,114
107/07/13,220,"41,133",185.5,187.5,185.5,187.0,1.0,165
107/07/16,150,"28,203",187.0,189.0,186.5,188.0,1.0,127
107/07/17,57,"10,738",189.5,189.5,186.0,186.0,-2.0,59
107/07/18,67,"12,602",186.0,189.0,186.0,189.0,3.0,77
107/07/19,71,"13,419",190.0,190.0,189.0,190.0,1.0,78
107/07/20,136,"26,095",190.0,192.0,190.0,191.5,1.5,125
107/07/23,100,"19,212",192.0,192.0,190.0,191.5,0.0,101
107/07/24,176,"34,110",191.5,196.0,191.0,195.0,3.5,173
107/07/25,272,"54,030",196.0,200.0,196.0,198.0,3.0,266
107/07/26,152,"29,861",198.0,199.0,195.0,197.0,-1.0,143
107/07/27,165,"32,050",196.0,196.5,193.0,193.5,-3.5,157
107/07/30,145,"28,025",193.5,194.0,190.0,193.0,-0.5,112
107/07/31,138,"27,132",193.0,197.5,193.0,197.0,4.0,127
107/08/01,46,"9,119",199.0,199.0,195.0,195.0,-2.0,51
107/08/02,74,"14,469",195.0,197.0,195.0,196.0,1.0,71
107/08/03,84,"16,530",199.0,199.0,196.5,198.0,2.0,82
107/08/06,59,"11,650",198.0,198.5,197.5,198.0,0.0,70
107/08/07,179,"35,441",198.5,198.5,197.0,198.5,0.5,160
107/08/08,142,"27,964",196.5,198.0,194.0,197.5,4.5,135
107/08/09,58,"11,422",198.0,198.0,196.0,197.0,-0.5,70
107/08/10,68,"13,529",197.0,198.5,196.5,198.5,1.5,77
107/08/13,56,"10,927",197.5,197.5,193.0,194.5,-4.0,80
107/08/14,45,"8,896",194.5,197.0,194.5,196.0,1.5,55
107/08/15,21,"4,212",196.0,197.0,196.0,196.5,0.5,35
107/08/16,53,"10,262",197.0,197.0,194.0,194.5,-2.0,57
107/08/17,103,"19,976",192.5,197.0,191.0,196.5,2.0,95
107/08/20,68,"13,327",196.5,197.0,193.5,194.0,-2.5,65
107/08/21,84,"16,395",195.5,195.5,193.5,194.5,0.5,82
107/08/22,80,"15,672",192.5,196.0,192.5,196.0,1.5,79
107/08/23,56,"10,918",196.0,197.5,195.0,196.5,0.5,69
107/08/24,48,"9,473",197.5,197.5,195.0,197.0,0.5,43
107/08/27,131,"25,814",197.0,198.0,196.0,198.0,1.0,128
107/08/28,77,"15,219",198.0,199.0,196.0,199.0,1.0,81
107/08/29,81,"16,051",197.0,199.5,197.0,199.5,0.5,86
107/08/30,104,"20,878",199.5,200.5,198.5,200.0,0.5,92
107/08/31,51,"10,113",200.0,200.0,199.0,199.5,-0.5,46
107/09/03,37,"7,316",199.0,200.0,199.0,200.0,0.5,52
107/09/04,43,"8,436",200.0,200.0,198.0,198.0,-2.0,53
107/09/05,30,"6,017",197.5,199.0,197.5,199.0,1.0,44
107/09/06,77,"15,309",198.0,200.0,198.0,200.0,1.0,87
107/09/07,82,"16,288",199.5,201.5,198.0,199.0,-1.0,85
107/09/10,106,"20,967",199.0,200.0,198.0,200.0,1.0,142
107/09/11,65,"12,961",199.5,199.5,197.5,199.0,-1.0,91
107/09/12,184,"36,791",199.5,201.0,198.0,201.0,2.0,202
107/09/13,421,"87,047",199.5,212.5,199.5,211.5,10.5,373
107/09/14,298,"64,572",216.0,219.5,211.5,214.0,2.5,307
107/09/17,136,"29,586",215.0,219.5,215.0,216.5,2.5,176
107/09/18,63,"13,526",216.5,216.5,213.0,213.0,-3.5,87
107/09/19,40,"8,594",211.0,215.5,211.0,214.0,1.0,67
107/09/20,108,"23,055",215.5,216.0,212.0,213.5,-0.5,112
107/09/21,113,"24,091",214.5,214.5,213.0,213.0,-0.5,115
107/09/25,101,"21,331",213.0,213.0,210.0,212.0,-1.0,122
107/09/26,110,"23,178",212.0,212.5,208.5,208.5,-3.5,138
107/09/27,159,"33,699",210.0,215.5,209.0,213.5,5.0,173
107/09/28,128,"27,437",215.0,215.0,213.0,214.0,0.5,121
107/10/01,104,"22,523",217.0,217.0,214.5,215.5,1.5,109
107/10/02,46,"9,973",215.5,216.0,215.0,215.5,0.0,52
107/10/03,47,"10,071",215.5,217.0,215.0,216.0,0.5,58
107/10/04,69,"14,836",216.0,216.0,213.0,215.0,-1.0,72
107/10/05,87,"18,670",214.0,216.0,210.0,215.0,0.0,95
107/10/08,79,"16,896",212.0,218.0,212.0,217.0,2.0,89
107/10/09,147,"32,311",217.0,220.5,217.0,219.5,2.5,143
107/10/11,156,"32,698",214.5,214.5,207.0,210.0,-9.5,185
107/10/12,116,"24,543",210.0,214.0,210.0,212.0,2.0,128
107/10/15,121,"25,811",212.5,214.0,211.0,212.0,0.0,129
107/10/16,78,"16,370",212.0,213.0,208.0,210.0,-2.0,82
107/10/17,78,"16,435",210.0,210.5,208.0,210.0,0.0,103
107/10/18,84,"17,685",210.0,211.5,208.5,211.0,1.0,88
107/10/19,80,"16,680",208.5,211.0,207.0,210.0,-1.0,69
107/10/22,15,"3,225",211.0,211.0,208.5,208.5,-1.5,25
107/10/23,96,"19,843",208.5,208.5,203.0,207.0,-1.5,99
107/10/24,49,"10,292",207.0,211.0,206.0,210.0,3.0,49
107/10/25,94,"19,566",209.0,209.0,204.0,208.0,-2.0,80
107/10/26,61,"12,871",209.0,210.5,209.0,209.0,1.0,69
