date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,293,"2,251",7.73,7.73,7.66,7.67,-0.06,76
107/07/03,207,"1,585",7.68,7.72,7.62,7.7,0.03,97
107/07/04,156,"1,196",7.7,7.7,7.65,7.68,-0.02,75
107/07/05,169,"1,295",7.68,7.68,7.62,7.66,-0.02,38
107/07/06,630,"4,776",7.66,7.66,7.54,7.55,-0.11,170
107/07/09,212,"1,606",7.55,7.62,7.55,7.59,0.04,62
107/07/10,64,489,7.65,7.65,7.62,7.62,0.03,23
107/07/11,113,859,7.68,7.68,7.61,7.66,0.04,50
107/07/12,147,"1,126",7.66,7.72,7.66,7.69,0.03,38
107/07/13,400,"3,082",7.74,7.74,7.69,7.72,0.03,76
107/07/16,127,978,7.72,7.74,7.69,7.7,-0.02,41
107/07/17,111,854,7.7,7.72,7.69,7.72,0.02,37
107/07/18,135,"1,039",7.67,7.71,7.65,7.7,-0.02,60
107/07/19,46,354,7.68,7.7,7.66,7.67,-0.03,27
107/07/20,62,476,7.68,7.68,7.67,7.68,0.01,30
107/07/23,183,"1,400",7.69,7.69,7.64,7.67,-0.01,82
107/07/24,109,832,7.67,7.68,7.64,7.65,-0.02,50
107/07/25,88,673,7.65,7.67,7.63,7.65,0.0,161
107/07/26,99,762,7.71,7.71,7.67,7.69,0.04,75
107/07/27,138,"1,068",7.65,7.77,7.65,7.77,0.08,241
107/07/30,980,"7,623",7.77,7.82,7.74,7.79,0.02,286
107/07/31,211,"1,640",7.8,7.81,7.76,7.8,0.01,141
107/08/01,106,821,7.78,7.8,7.75,7.76,-0.04,63
107/08/02,205,"1,580",7.7,7.74,7.69,7.71,-0.05,61
107/08/03,150,"1,161",7.71,7.77,7.7,7.7,-0.01,63
107/08/06,143,"1,104",7.7,7.76,7.7,7.73,0.03,261
107/08/07,145,"1,124",7.73,7.76,7.72,7.75,0.02,183
107/08/08,221,"1,718",7.75,7.79,7.75,7.76,0.01,163
107/08/09,104,809,7.75,7.78,7.73,7.75,-0.01,452
107/08/10,143,"1,108",7.74,7.76,7.73,7.74,-0.01,201
107/08/13,233,"1,791",7.75,7.75,7.62,7.65,-0.09,"1,079"
107/08/14,98,755,7.65,7.71,7.65,7.7,0.05,222
107/08/15,95,732,7.7,7.72,7.68,7.68,-0.02,135
107/08/16,146,"1,124",7.68,7.7,7.67,7.67,-0.01,49
107/08/17,52,400,7.7,7.7,7.68,7.68,0.01,23
107/08/20,217,"1,664",7.73,7.73,7.65,7.65,-0.03,76
107/08/21,238,"1,820",7.66,7.69,7.62,7.64,-0.01,72
107/08/22,119,914,7.7,7.71,7.64,7.68,0.04,58
107/08/23,196,"1,508",7.7,7.73,7.66,7.7,0.02,86
107/08/24,352,"2,712",7.7,7.72,7.68,7.69,-0.01,124
107/08/27,290,"2,142",7.4,7.42,7.35,7.38,0.04,125
107/08/28,187,"1,382",7.38,7.39,7.38,7.38,0.0,60
107/08/29,187,"1,379",7.38,7.38,7.35,7.37,-0.01,62
107/08/30,135,989,7.37,7.37,7.34,7.34,-0.03,65
107/08/31,67,493,7.34,7.38,7.34,7.38,0.04,32
107/09/03,75,555,7.38,7.41,7.33,7.33,-0.05,57
107/09/04,143,"1,049",7.33,7.39,7.32,7.34,0.01,45
107/09/05,79,581,7.35,7.38,7.32,7.35,0.01,39
107/09/06,134,980,7.32,7.32,7.29,7.29,-0.06,67
107/09/07,173,"1,255",7.28,7.29,7.21,7.23,-0.06,71
107/09/10,184,"1,322",7.25,7.25,7.15,7.15,-0.08,78
107/09/11,182,"1,304",7.16,7.2,7.12,7.16,0.01,69
107/09/12,139,993,7.18,7.2,7.11,7.15,-0.01,61
107/09/13,66,473,7.1,7.19,7.1,7.15,0.0,37
107/09/14,147,"1,051",7.15,7.18,7.13,7.16,0.01,70
107/09/17,35,250,7.16,7.16,7.14,7.15,-0.01,19
107/09/18,129,922,7.15,7.19,7.12,7.12,-0.03,65
107/09/19,73,523,7.12,7.2,7.12,7.19,0.07,41
107/09/20,148,"1,056",7.2,7.2,7.12,7.14,-0.05,79
107/09/21,209,"1,500",7.15,7.24,7.13,7.18,0.04,104
107/09/25,77,550,7.14,7.15,7.13,7.14,-0.04,39
107/09/26,153,"1,094",7.15,7.2,7.14,7.16,0.02,54
107/09/27,112,808,7.18,7.2,7.17,7.2,0.04,45
107/09/28,133,959,7.21,7.24,7.2,7.21,0.01,61
107/10/01,70,506,7.2,7.25,7.2,7.21,0.0,33
107/10/02,136,988,7.21,7.32,7.2,7.23,0.02,67
107/10/03,240,"1,737",7.24,7.26,7.2,7.25,0.02,56
107/10/04,358,"2,579",7.25,7.25,7.19,7.19,-0.06,57
107/10/05,390,"2,785",7.17,7.18,7.13,7.13,-0.06,74
107/10/08,519,"3,707",7.13,7.17,7.11,7.12,-0.01,76
107/10/09,253,"1,806",7.13,7.14,7.12,7.13,0.01,76
107/10/11,843,"5,681",7.1,7.1,6.53,6.57,-0.56,256
107/10/12,243,"1,587",6.42,6.61,6.42,6.61,0.04,99
107/10/15,213,"1,411",6.61,6.7,6.6,6.62,0.01,82
107/10/16,268,"1,792",6.6,6.79,6.6,6.73,0.11,66
107/10/17,110,741,6.8,6.8,6.68,6.68,-0.05,57
107/10/18,137,916,6.68,6.7,6.66,6.66,-0.02,36
107/10/19,251,"1,663",6.65,6.66,6.61,6.63,-0.03,63
107/10/22,88,586,6.7,6.7,6.63,6.65,0.02,26
107/10/23,97,644,6.65,6.7,6.61,6.63,-0.02,48
107/10/24,"1,036","6,845",6.63,6.69,6.53,6.56,-0.07,161
107/10/25,339,"2,177",6.4,6.5,6.4,6.45,-0.11,104
107/10/26,301,"1,935",6.59,6.59,6.4,6.42,-0.03,86
107/10/29,258,"1,652",6.42,6.43,6.38,6.39,-0.03,55
107/10/30,186,"1,187",6.34,6.45,6.32,6.36,-0.03,64
107/10/31,90,579,6.5,6.5,6.4,6.41,0.05,23
107/11/01,153,983,6.47,6.47,6.4,6.42,0.01,47
107/11/02,229,"1,474",6.47,6.47,6.42,6.46,0.04,54
