date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"9,048","164,367",18.50,18.50,18.00,18.20, 0.00,12
107/07/03,"51,542","912,456",18.00,18.60,17.30,17.55,-0.65,40
107/07/04,"38,401","664,245",17.35,17.35,17.30,17.30,-0.25,20
107/07/05,"51,778","871,437",17.10,17.10,16.60,16.60,-0.70,28
107/07/06,"15,000","250,298",16.20,17.10,16.20,16.70,+0.10,15
107/07/09,"11,114","185,940",16.75,16.90,16.55,16.75,+0.05,13
107/07/10,"5,500","92,449",16.95,16.95,16.55,16.85,+0.10,7
107/07/11,"11,811","202,680",16.85,17.40,16.85,17.40,+0.55,13
107/07/12,"31,500","543,450",16.80,17.75,16.70,17.75,+0.35,26
107/07/13,"16,777","298,101",17.85,17.85,17.25,17.80,+0.05,10
107/07/16,"3,123","55,951",17.80,18.05,17.80,18.05,+0.25,5
107/07/17,"5,000","88,400",17.50,18.05,17.40,17.95,-0.10,4
107/07/18,"14,001","247,267",17.85,17.95,17.40,17.75,-0.20,12
107/07/19,"5,670","99,090",17.40,17.90,17.40,17.40,-0.35,7
107/07/20,"18,500","334,100",17.40,18.90,17.40,18.20,+0.80,19
107/07/23,"7,500","137,849",18.50,18.50,18.00,18.40,+0.20,9
107/07/24,"7,114","127,319",17.70,18.20,17.65,18.15,-0.25,6
107/07/25,"1,434","25,237",--,--,--,--, 0.00,3
107/07/26,"20,950","365,079",17.80,17.80,17.15,17.45,X0.00,18
107/07/27,"5,500","95,700",17.40,17.45,17.40,17.40,-0.05,5
107/07/30,"6,129","107,732",17.40,17.90,17.40,17.85,+0.45,7
107/07/31,"7,000","121,850",17.25,17.75,17.25,17.65,-0.20,7
107/08/01,"2,190","39,089",17.85,17.85,17.85,17.85,+0.20,6
107/08/02,"8,000","138,450",17.30,17.75,17.15,17.65,-0.20,8
107/08/03,0,0,--,--,--,--, 0.00,0
107/08/06,"4,467","78,565",17.50,17.80,17.50,17.80,X0.00,4
107/08/07,"7,000","122,700",17.50,17.75,17.40,17.60,-0.20,6
107/08/08,"34,400","587,530",17.15,17.40,16.70,16.85,-0.75,24
107/08/09,"21,158","353,854",16.80,17.00,16.55,16.90,+0.05,17
