date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,111,"5,504",50.5,50.5,49.05,49.1,-2.9,83
107/07/03,95,"4,671",49.5,49.95,48.8,48.8,-0.3,85
107/07/04,56,"2,761",49.0,49.5,48.7,49.0,0.2,44
107/07/05,162,"7,722",49.1,49.1,46.8,47.1,-1.9,116
107/07/06,189,"8,642",48.95,48.95,45.0,45.55,-1.55,129
107/07/09,100,"4,676",46.0,48.0,46.0,47.7,2.15,68
107/07/10,44,"2,085",47.05,47.7,47.0,47.0,-0.7,36
107/07/11,45,"2,135",47.0,47.6,46.5,47.0,0.0,34
107/07/12,139,"7,024",48.0,51.7,48.0,51.7,4.7,116
107/07/13,429,"23,600",53.7,56.8,52.5,53.7,2.0,368
107/07/16,153,"8,263",53.9,55.5,52.6,53.5,-0.2,101
107/07/17,88,"4,658",53.5,53.5,52.5,52.6,-0.9,64
107/07/18,132,"6,988",54.0,55.0,51.2,52.1,-0.5,122
107/07/19,81,"4,211",51.4,53.0,51.0,52.5,0.4,64
107/07/20,192,"10,119",52.2,54.9,51.1,52.5,0.0,156
107/07/23,31,"1,592",52.5,52.8,51.6,51.8,-0.7,29
107/07/24,72,"3,676",51.8,51.8,50.6,50.7,-1.1,62
107/07/25,47,"2,367",51.0,51.4,49.9,50.4,-0.3,42
107/07/26,60,"3,025",50.4,50.4,49.7,49.7,-0.7,53
107/07/27,183,"9,696",51.0,54.5,51.0,53.3,3.6,154
107/07/30,218,"11,908",53.3,56.0,52.5,54.5,1.2,181
107/07/31,130,"7,093",54.5,55.5,54.2,54.4,-0.1,98
107/08/01,235,"13,033",54.4,57.3,54.2,56.0,1.6,179
107/08/02,151,"8,304",56.0,56.0,54.7,55.5,-0.5,112
107/08/03,87,"4,912",56.0,57.1,56.0,56.4,0.9,76
107/08/06,8,446,55.3,56.3,55.3,55.6,-0.8,10
107/08/07,54,"2,986",55.1,55.1,54.3,54.9,-0.7,45
107/08/08,32,"1,770",56.1,56.1,54.8,55.1,0.2,30
107/08/09,24,"1,311",55.1,55.1,54.1,54.9,-0.2,25
107/08/10,94,"5,016",54.9,54.9,52.7,52.9,-2.0,74
107/08/13,147,"7,496",52.6,52.6,49.55,50.2,-2.7,104
107/08/14,171,"8,481",50.4,50.7,48.5,50.7,0.5,97
107/08/15,50,"2,482",50.0,50.1,49.25,50.0,-0.7,39
107/08/16,42,"2,112",50.0,52.5,48.45,50.3,0.3,31
107/08/17,50,"2,489",50.3,50.4,49.25,49.9,-0.4,43
107/08/20,144,"7,066",49.5,50.0,48.35,49.25,-0.65,84
107/08/21,34,"1,681",49.7,49.7,48.85,49.6,0.35,23
107/08/22,12,593,48.8,49.6,48.8,49.5,-0.1,11
107/08/23,18,861,49.1,49.4,48.7,49.3,-0.2,19
107/08/24,10,493,49.5,49.5,49.0,49.4,0.1,6
107/08/27,20,"1,002",49.55,49.7,49.15,49.7,0.3,16
107/08/28,18,895,49.5,50.2,49.5,49.9,0.2,18
107/08/29,37,"1,886",51.9,51.9,50.1,50.3,0.4,33
107/08/30,22,"1,112",51.2,51.5,50.0,50.1,-0.2,24
107/08/31,17,855,50.1,50.9,49.9,50.9,0.8,14
107/09/03,44,"2,201",50.1,50.8,49.2,50.0,-0.9,32
107/09/04,23,"1,159",50.3,51.0,50.0,50.7,0.7,17
107/09/05,25,"1,263",50.1,50.7,50.1,50.7,0.0,24
107/09/06,283,"15,217",50.7,55.7,50.3,53.7,3.0,231
107/09/07,112,"6,034",53.7,54.9,52.8,54.0,0.3,85
107/09/10,83,"4,350",54.0,54.2,51.3,53.5,-0.5,55
107/09/11,12,635,53.0,53.0,52.5,53.0,-0.5,12
107/09/12,54,"2,780",53.0,53.0,51.0,52.1,-0.9,28
107/09/13,93,"4,681",50.7,51.0,49.5,50.0,-2.1,61
107/09/14,103,"5,106",50.0,50.2,48.7,49.85,-0.15,76
107/09/17,58,"2,956",49.6,52.5,49.6,52.0,2.15,52
107/09/18,60,"3,123",51.6,53.0,51.6,51.9,-0.1,43
107/09/19,15,788,52.1,53.0,51.6,51.6,-0.3,18
107/09/20,107,"5,398",51.5,52.4,49.75,51.0,-0.6,77
107/09/21,88,"4,429",51.5,52.0,50.0,52.0,1.0,60
107/09/25,175,"9,370",52.5,55.0,52.5,52.5,0.5,147
107/09/26,92,"4,819",53.2,53.2,51.3,52.9,0.4,71
107/09/27,21,"1,116",52.9,53.5,52.7,52.8,-0.1,19
107/09/28,47,"2,464",52.8,53.0,51.8,53.0,0.2,39
107/10/01,50,"2,612",52.1,52.8,51.7,52.7,-0.3,37
107/10/02,39,"2,055",53.4,53.4,51.9,52.9,0.2,33
107/10/03,44,"2,303",53.0,53.4,51.8,51.8,-1.1,32
107/10/04,20,"1,033",51.8,52.4,51.1,51.1,-0.7,20
107/10/05,82,"4,030",50.4,50.5,48.45,49.0,-2.1,55
107/10/08,69,"3,286",48.5,51.8,45.3,45.3,-3.7,63
107/10/09,143,"6,376",46.9,46.9,43.25,45.5,0.2,120
107/10/11,164,"6,734",41.15,41.5,40.95,40.95,-4.55,89
107/10/12,897,"33,160",36.9,37.9,36.9,37.0,-3.95,329
107/10/15,259,"9,747",37.1,39.3,36.75,36.75,-0.25,164
107/10/16,138,"5,089",37.2,37.5,35.95,37.1,0.35,86
107/10/17,37,"1,389",37.4,38.25,37.0,37.15,0.05,29
107/10/18,64,"2,363",37.15,37.25,36.3,36.8,-0.35,43
107/10/19,228,"8,110",36.35,36.35,34.85,34.85,-1.95,72
