date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,140,"4,441",32.3,32.3,31.35,31.6,0.25,92
107/07/03,131,"4,101",31.95,31.95,30.9,31.2,-0.4,101
107/07/04,130,"3,998",30.8,30.95,30.6,30.75,-0.45,78
107/07/05,176,"5,340",30.75,31.0,29.9,30.5,-0.25,116
107/07/06,252,"7,525",30.2,30.25,29.7,29.9,-0.6,180
107/07/09,258,"7,810",30.0,30.5,29.8,30.15,0.25,129
107/07/10,"1,008","32,529",32.4,32.95,31.5,32.25,2.1,637
107/07/11,914,"29,337",31.5,32.8,31.15,31.75,0.8,601
107/07/12,661,"21,545",32.4,33.0,32.0,32.7,0.95,423
107/07/13,"2,298","79,389",33.7,35.3,33.6,34.65,1.95,"1,425"
107/07/16,"3,005","107,958",34.6,36.4,34.6,36.35,1.7,"1,720"
107/07/17,"5,096","188,865",36.8,38.1,35.4,35.8,-0.55,"2,978"
107/07/18,"3,008","110,578",36.15,37.75,35.6,37.5,1.7,"1,677"
107/07/19,"2,920","109,452",37.5,38.35,36.9,37.3,-0.2,"1,468"
107/07/20,"1,415","52,628",37.5,37.9,36.35,37.25,-0.05,840
107/07/23,"3,094","116,497",37.85,38.2,36.7,37.35,0.1,"1,567"
107/07/24,"2,707","103,134",37.75,38.55,37.6,37.9,0.55,"1,492"
107/07/25,"3,976","154,882",38.1,39.65,38.1,38.55,0.65,"2,479"
107/07/26,"1,418","54,276",39.0,39.05,37.9,38.45,-0.1,895
107/07/27,"1,059","40,242",38.0,38.35,37.8,37.85,-0.6,689
107/07/30,"1,591","58,490",37.95,38.0,36.1,36.1,-1.75,994
107/07/31,"2,185","82,573",36.4,38.6,36.4,38.5,2.4,"1,419"
107/08/01,"1,410","54,272",38.8,38.95,38.05,38.55,0.05,810
107/08/02,"1,068","39,961",38.15,38.2,36.9,37.1,-1.45,708
107/08/03,781,"29,485",37.3,38.4,36.95,38.05,0.95,512
107/08/06,632,"23,938",38.5,38.5,37.6,37.9,-0.15,370
107/08/07,752,"27,935",37.55,37.6,36.85,37.1,-0.8,501
107/08/08,"1,895","71,204",37.2,38.1,36.8,36.8,-0.3,"1,003"
107/08/09,"1,122","40,510",36.8,36.85,35.7,36.0,-0.8,719
107/08/10,409,"14,741",36.0,36.3,35.85,35.85,-0.15,261
107/08/13,"1,978","69,234",35.2,36.8,33.5,36.8,0.95,"1,202"
107/08/14,"1,680","62,504",37.55,37.6,36.5,37.35,0.55,998
107/08/15,772,"28,573",37.5,37.5,36.65,36.65,-0.7,432
107/08/16,692,"24,911",36.5,36.55,35.5,35.7,-0.95,454
107/08/17,342,"12,295",36.15,36.45,35.55,35.55,-0.15,223
107/08/20,413,"14,561",36.0,36.0,34.7,35.0,-0.55,269
107/08/21,319,"11,326",35.2,35.8,35.1,35.6,0.6,192
107/08/22,"1,300","47,520",35.6,36.85,35.6,36.5,0.9,773
107/08/23,653,"23,408",36.2,36.8,35.35,36.0,-0.5,394
107/08/24,"1,234","43,554",36.0,36.05,34.85,35.0,-1.0,765
107/08/27,"1,305","44,659",35.0,35.2,33.85,34.25,-0.75,912
107/08/28,"1,000","34,171",34.5,34.7,33.95,34.0,-0.25,682
107/08/29,747,"25,398",34.0,34.3,33.85,34.0,0.0,407
107/08/30,517,"17,538",34.2,34.3,33.7,33.8,-0.2,319
107/08/31,782,"26,737",33.8,34.7,33.8,34.5,0.7,407
107/09/03,854,"28,641",34.45,34.45,33.25,33.3,-1.2,497
107/09/04,294,"9,803",33.3,33.7,32.95,33.35,0.05,206
107/09/05,449,"14,948",33.4,33.5,32.9,33.3,-0.05,239
107/09/06,262,"8,640",33.35,33.35,32.8,32.8,-0.5,186
107/09/07,988,"31,240",32.8,32.85,30.65,31.1,-1.7,603
107/09/10,765,"23,186",31.1,31.1,30.0,30.05,-1.05,415
107/09/11,331,"10,171",31.1,31.2,30.05,30.85,0.8,228
107/09/12,482,"14,933",30.9,31.35,30.55,31.05,0.2,285
107/09/13,293,"9,098",31.0,31.4,30.7,31.05,0.0,175
107/09/14,394,"12,458",31.2,32.0,31.2,31.9,0.85,252
