date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,31,287,9.27,9.28,9.23,9.23,-0.16,11
107/07/03,15,137,9.20,9.28,9.08,9.23,0.0,14
107/07/04,15,137,9.13,9.13,9.09,9.13,-0.1,6
107/07/05,2,19,9.52,9.52,9.23,9.23,0.1,2
107/07/06,18,166,9.22,9.24,9.21,9.21,-0.02,9
107/07/09,21,190,9.06,9.07,9.05,9.05,-0.16,10
107/07/10,33,299,9.05,9.10,9.00,9.00,-0.05,11
107/07/11,46,416,9.00,9.00,8.97,9.00,0.0,25
107/07/12,19,168,9.01,9.05,9.00,9.04,0.04,17
107/07/13,52,468,9.00,9.11,9.00,9.09,0.05,23
107/07/16,106,957,9.03,9.08,9.00,9.02,-0.07,32
107/07/17,65,592,9.05,9.12,9.05,9.12,0.1,24
107/07/18,17,153,9.02,9.12,9.02,9.12,0.0,13
107/07/19,0,0,--,--,--,--,0.0,0
107/07/20,29,262,9.09,9.09,9.00,9.06,-0.03,20
107/07/23,12,108,9.01,9.07,9.00,9.00,-0.06,10
107/07/24,7,59,9.00,9.05,9.00,9.04,0.04,6
107/07/25,19,175,9.01,9.02,9.00,9.02,-0.02,8
107/07/26,60,541,9.05,9.05,8.99,8.99,-0.03,30
107/07/27,28,253,9.03,9.03,8.97,9.00,0.01,17
107/07/30,20,180,9.00,9.00,8.98,8.99,-0.01,11
107/07/31,63,567,9.05,9.06,8.96,9.00,0.01,18
107/08/01,46,414,9.00,9.05,8.96,9.00,0.0,18
107/08/02,44,398,9.09,9.09,8.98,8.98,-0.02,11
107/08/03,107,964,8.98,9.06,8.98,9.02,0.04,37
107/08/06,88,796,9.02,9.07,9.00,9.04,0.02,39
107/08/07,11,100,9.05,9.06,9.00,9.04,0.0,8
107/08/08,170,"1,556",9.06,9.27,9.06,9.10,0.06,72
107/08/09,18,167,9.10,9.11,9.08,9.11,0.01,14
107/08/10,56,507,9.11,9.14,9.06,9.12,0.01,29
107/08/13,81,728,9.05,9.05,8.74,9.01,-0.11,45
107/08/14,107,964,9.01,9.09,9.00,9.01,0.0,19
107/08/15,104,935,8.84,9.09,8.84,9.02,0.01,29
107/08/16,54,487,9.02,9.09,8.92,8.92,-0.1,25
107/08/17,190,"1,696",8.98,9.10,8.84,9.00,0.08,59
107/08/20,95,847,8.93,9.00,8.91,8.97,-0.03,32
107/08/21,35,315,9.00,9.00,8.92,8.93,-0.04,22
107/08/22,29,260,9.01,9.04,8.92,8.98,0.05,15
107/08/23,31,279,9.03,9.03,8.95,8.95,-0.03,16
107/08/24,21,189,9.00,9.01,8.92,8.99,0.04,17
107/08/27,57,514,8.93,9.04,8.93,9.04,0.05,14
107/08/28,149,"1,361",9.20,9.20,9.05,9.05,0.01,70
107/08/29,42,381,9.10,9.17,9.08,9.08,0.03,16
107/08/30,39,357,9.09,9.15,9.09,9.14,0.06,16
107/08/31,41,375,9.17,9.17,9.12,9.17,0.03,11
107/09/03,25,228,9.18,9.18,9.10,9.12,-0.05,13
107/09/04,50,458,9.18,9.18,9.12,9.13,0.01,21
