date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"3,350","33,572",9.95,10.15,9.84,9.9,0.16,849
107/07/03,"1,563","15,383",10.05,10.15,9.5,9.51,-0.39,617
107/07/04,"1,879","17,412",9.53,9.67,9.0,9.1,-0.41,691
107/07/05,"3,321","31,089",9.16,9.6,9.05,9.08,-0.02,"1,081"
107/07/06,"2,037","18,179",9.19,9.19,8.75,8.9,-0.18,690
107/07/09,545,"4,872",9.08,9.08,8.83,8.85,-0.05,223
107/07/10,"1,334","12,049",8.96,9.25,8.82,9.1,0.25,374
107/07/11,"1,115","9,955",9.14,9.14,8.85,8.86,-0.24,397
107/07/12,"10,435","96,641",8.88,9.35,8.88,9.2,0.34,"1,569"
107/07/13,"6,552","63,762",9.2,10.1,9.2,10.05,0.85,"2,263"
107/07/16,"4,099","40,495",10.05,10.1,9.65,9.82,-0.23,"1,476"
107/07/17,"1,234","12,008",9.9,9.9,9.65,9.65,-0.17,484
107/07/18,834,"8,089",9.75,9.85,9.56,9.58,-0.07,397
107/07/19,698,"6,741",9.61,9.8,9.58,9.6,0.02,316
107/07/20,"3,335","32,786",9.72,10.0,9.62,9.65,0.05,"1,299"
107/07/23,"1,027","9,859",9.66,9.75,9.48,9.48,-0.17,381
107/07/24,522,"4,973",9.51,9.59,9.48,9.5,0.02,216
107/07/25,781,"7,446",9.52,9.65,9.45,9.45,-0.05,272
107/07/26,934,"8,937",9.54,9.69,9.46,9.47,0.02,284
107/07/27,"4,340","42,036",9.55,9.75,9.5,9.67,0.2,807
107/07/30,"1,007","9,548",9.68,9.68,9.33,9.33,-0.34,417
107/07/31,534,"5,008",9.4,9.48,9.31,9.33,0.0,248
107/08/01,384,"3,614",9.41,9.45,9.36,9.4,0.07,184
107/08/02,"1,717","15,945",9.43,9.53,9.1,9.35,-0.05,422
107/08/03,350,"3,276",9.38,9.42,9.3,9.35,0.0,172
107/08/06,343,"3,191",9.37,9.39,9.28,9.31,-0.04,148
107/08/07,278,"2,570",9.3,9.33,9.21,9.23,-0.08,125
107/08/08,"2,023","19,360",9.3,9.76,9.3,9.6,0.37,825
107/08/09,"1,135","10,868",9.67,9.67,9.43,9.46,-0.14,404
107/08/10,686,"6,436",9.41,9.54,9.22,9.22,-0.24,285
107/08/13,"1,369","12,176",9.16,9.16,8.74,8.75,-0.47,481
107/08/14,555,"4,819",8.76,8.89,8.52,8.63,-0.12,269
107/08/15,732,"6,291",8.73,8.73,8.5,8.54,-0.09,239
107/08/16,607,"5,176",8.48,8.63,8.42,8.63,0.09,212
107/08/17,480,"4,142",8.64,8.75,8.55,8.55,-0.08,162
107/08/20,681,"5,754",8.52,8.7,8.3,8.33,-0.22,257
