date,volume,amount,open,high,low,close,spread,Quantity
108/03/21,2,24,--,--,--,--, 0.00,2
108/03/22,5,50,--,--,--,--, 0.00,5
108/03/25,4,36,--,--,--,--, 0.00,4
108/03/26,6,48,--,--,--,--, 0.00,6
108/03/27,27,211,--,--,--,--, 0.00,2
108/03/28,17,120,--,--,--,--, 0.00,3
108/03/29,10,62,--,--,--,--, 0.00,2
108/04/01,7,39,--,--,--,--, 0.00,2
108/04/02,10,51,--,--,--,--, 0.00,1
108/04/03,20,93,--,--,--,--, 0.00,1
108/04/08,2,8,--,--,--,--, 0.00,1
108/04/09,10,38,--,--,--,--, 0.00,1
108/04/10,"11,100","37,961",3.42,3.42,3.42,3.42,X0.00,4
108/04/11,"32,011","98,593",3.08,3.08,3.08,3.08,-0.34,7
108/04/12,"40,358","112,191",2.78,2.78,2.78,2.78,-0.30,12
108/04/15,"98,055","246,115",2.51,2.51,2.51,2.51,-0.27,20
108/04/16,"2,645,141","5,978,017",2.26,2.26,2.26,2.26,-0.25,102
108/04/17,"14,794,670","30,665,796",2.04,2.11,2.04,2.04,-0.22,467
108/04/18,"2,751,470","5,359,897",1.84,2.10,1.84,2.10,+0.06,398
108/04/19,"1,271,423","2,678,004",2.12,2.12,2.05,2.12,+0.02,119
108/04/22,"600,125","1,232,888",2.12,2.12,2.03,2.03,-0.09,67
108/04/23,"193,474","390,872",2.03,2.03,2.00,2.01,-0.02,30
108/04/24,"528,415","981,067",2.01,2.01,1.81,1.82,-0.19,54
108/04/25,"302,298","562,605",1.80,1.96,1.80,1.89,+0.07,57
108/04/26,"100,879","191,488",1.90,1.90,1.89,1.89, 0.00,16
108/04/29,"80,300","153,821",1.89,1.95,1.89,1.93,+0.04,22
108/04/30,"182,718","355,681",1.94,1.95,1.92,1.94,+0.01,32
108/05/02,"197,364","378,684",1.94,1.94,1.89,1.89,-0.05,34
108/05/03,"227,923","452,984",1.92,2.02,1.92,1.95,+0.06,46
108/05/06,"188,006","373,660",2.03,2.03,1.97,1.98,+0.03,50
108/05/07,"399,487","820,861",2.10,2.10,2.00,2.06,+0.08,51
108/05/08,"359,008","756,016",2.12,2.12,2.10,2.10,+0.04,59
108/05/09,"510,312","1,106,079",2.14,2.18,2.14,2.14,+0.04,72
108/05/10,"598,002","1,370,394",2.17,2.30,2.17,2.27,+0.13,57
108/05/13,"1,596,004","3,793,519",2.30,2.40,2.30,2.40,+0.13,90
108/05/14,"524,634","1,237,782",2.29,2.47,2.18,2.40, 0.00,63
108/05/15,"227,782","538,603",2.44,2.45,2.33,2.33,-0.07,38
108/05/16,"117,412","276,166",2.35,2.40,2.30,2.40,+0.07,27
108/05/17,"444,121","1,131,736",2.43,2.58,2.43,2.56,+0.16,45
108/05/20,"425,453","1,142,367",2.59,2.71,2.59,2.60,+0.04,53
108/05/21,"130,000","321,490",2.50,2.60,2.36,2.60, 0.00,21
108/05/22,"154,000","389,760",2.60,2.60,2.48,2.60, 0.00,28
108/05/23,"86,331","230,294",2.60,2.77,2.60,2.67,+0.07,23
108/05/24,"81,000","216,240",2.55,2.77,2.55,2.67, 0.00,23
108/05/27,"97,948","251,429",2.70,2.70,2.50,2.50,-0.17,22
