date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,838,629","18,331,437",10.10,10.35,9.39,9.39,-0.54,530
107/07/03,"129,000","1,206,730",9.49,9.49,9.29,9.29,-0.10,53
107/07/04,"45,000","417,240",9.29,9.35,9.25,9.35,+0.06,19
107/07/05,"73,001","678,719",9.31,9.35,9.23,9.30,-0.05,30
107/07/06,"367,293","3,432,634",9.30,9.45,9.25,9.31,+0.01,44
107/07/09,"25,000","232,770",9.24,9.40,9.24,9.30,-0.01,16
107/07/10,"150,000","1,406,480",9.34,9.45,9.23,9.40,+0.10,21
107/07/11,"19,000","177,100",9.32,9.41,9.30,9.30,-0.10,11
107/07/12,"15,208","141,644",9.30,9.41,9.30,9.39,+0.09,9
107/07/13,"241,200","2,291,780",9.40,9.55,9.38,9.38,-0.01,56
107/07/16,"961,310","9,135,833",9.39,9.63,9.28,9.42,+0.04,124
107/07/17,"46,000","435,340",9.50,9.55,9.42,9.43,+0.01,27
107/07/18,"3,867,187","38,167,168",9.47,10.30,9.45,10.00,+0.57,517
107/07/19,"1,599,439","15,862,488",9.90,10.10,9.79,9.89,-0.11,220
107/07/20,"3,246,211","32,492,561",9.82,10.30,9.80,10.00,+0.11,504
107/07/23,"4,149,607","42,347,471",10.20,10.40,10.00,10.40,+0.40,628
107/07/24,"3,201,609","32,345,738",10.30,10.35,9.83,9.99,-0.41,589
107/07/25,"2,161,618","21,465,747",10.15,10.15,9.65,9.65,-0.34,365
107/07/26,"122,010","1,177,466",9.70,9.70,9.62,9.65, 0.00,60
107/07/27,"849,503","8,359,453",9.66,9.91,9.64,9.84,+0.19,154
107/07/30,"866,000","8,444,590",9.91,9.94,9.66,9.72,-0.12,88
107/07/31,"1,179,702","11,674,867",9.72,9.97,9.71,9.77,+0.05,218
107/08/01,"2,273,139","21,683,902",9.88,9.88,9.30,9.30,-0.47,526
107/08/02,"540,040","4,938,330",9.31,9.39,9.00,9.06,-0.24,185
107/08/03,"148,277","1,345,654",9.05,9.17,9.02,9.17,+0.11,112
107/08/06,"62,017","567,916",9.17,9.19,9.10,9.17, 0.00,33
107/08/07,"101,305","923,114",9.17,9.17,9.08,9.12,-0.05,44
107/08/08,"56,109","508,011",9.06,9.10,9.02,9.08,-0.04,128
107/08/09,"24,623","224,508",9.05,9.17,9.05,9.14,+0.06,16
107/08/10,"288,199","2,673,360",9.18,9.34,9.09,9.19,+0.05,178
107/08/13,"179,025","1,602,111",9.17,9.17,8.73,8.77,-0.42,79
107/08/14,"156,033","1,392,587",8.78,9.01,8.78,9.00,+0.23,53
107/08/15,"151,520","1,347,075",9.03,9.10,8.83,8.90,-0.10,52
107/08/16,"127,025","1,145,177",8.87,9.06,8.87,9.01,+0.11,43
107/08/17,"111,001","1,004,388",9.10,9.10,8.99,8.99,-0.02,23
107/08/20,"67,014","602,416",9.09,9.09,8.94,8.95,-0.04,28
107/08/21,"35,015","317,465",9.00,9.12,9.00,9.00,+0.05,20
107/08/22,"51,000","460,470",9.05,9.08,9.00,9.01,+0.01,21
107/08/23,"12,018","108,652",9.01,9.07,9.01,9.07,+0.06,9
107/08/24,"78,000","709,900",9.07,9.12,9.06,9.06,-0.01,23
107/08/27,"34,290","313,520",9.13,9.16,9.10,9.10,+0.04,17
107/08/28,"58,016","536,108",9.11,9.30,9.11,9.20,+0.10,36
107/08/29,"22,218","204,034",9.21,9.21,9.15,9.15,-0.05,19
107/08/30,"15,000","137,940",9.20,9.20,9.17,9.17,+0.02,3
107/08/31,"243,300","2,259,839",9.29,9.35,9.21,9.28,+0.11,68
107/09/03,"152,025","1,405,571",9.18,9.30,9.18,9.20,-0.08,26
107/09/04,"15,100","138,952",9.20,9.24,9.20,9.20, 0.00,9
107/09/05,"36,001","331,899",9.15,9.30,9.15,9.20, 0.00,20
107/09/06,"6,015","55,337",9.20,9.20,9.20,9.20, 0.00,6
107/09/07,"138,097","1,263,342",9.20,9.20,9.10,9.10,-0.10,39
107/09/10,"57,027","514,365",9.00,9.14,9.00,9.01,-0.09,27
107/09/11,"13,001","117,189",9.07,9.07,8.94,9.03,+0.02,13
107/09/12,"63,001","568,589",9.15,9.15,9.00,9.05,+0.02,15
107/09/13,"145,000","1,343,440",9.09,9.29,9.09,9.28,+0.23,53
107/09/14,"222,000","2,051,180",9.28,9.35,9.14,9.19,-0.09,62
107/09/17,"15,002","137,358",9.19,9.19,9.11,9.11,-0.08,14
107/09/18,"187,224","1,747,122",9.12,9.38,9.12,9.36,+0.25,75
107/09/19,"136,074","1,220,725",8.81,9.15,8.81,9.05,X0.00,79
107/09/20,"35,001","317,509",9.00,9.26,9.00,9.13,+0.08,27
107/09/21,"39,469","357,641",9.12,9.12,9.05,9.06,-0.07,23
107/09/25,"8,172","73,782",9.11,9.11,9.00,9.00,-0.06,15
107/09/26,"11,324","102,396",9.00,9.11,9.00,9.03,+0.03,12
107/09/27,"5,001","45,149",9.03,9.03,9.02,9.03, 0.00,5
107/09/28,"38,000","341,310",9.02,9.05,8.91,8.93,-0.10,21
107/10/01,"23,827","212,611",8.96,8.96,8.89,8.89,-0.04,24
107/10/02,"10,000","89,090",8.85,8.96,8.85,8.96,+0.07,8
107/10/03,"34,113","300,516",8.86,8.90,8.76,8.76,-0.20,26
107/10/04,"27,028","236,554",8.80,8.80,8.70,8.70,-0.06,16
107/10/05,"87,032","751,837",8.75,8.75,8.60,8.60,-0.10,20
107/10/08,"6,033","51,804",8.60,8.60,8.56,8.56,-0.04,7
107/10/09,"51,038","433,553",8.46,8.55,8.45,8.45,-0.11,27
107/10/11,"368,176","2,849,793",7.85,8.35,7.61,8.35,-0.10,173
107/10/12,"150,035","1,219,092",8.03,8.32,7.92,8.30,-0.05,86
107/10/15,"85,036","704,651",8.35,8.35,8.13,8.30, 0.00,36
107/10/16,"25,000","207,520",8.27,8.38,8.23,8.33,+0.03,18
107/10/17,"32,301","268,845",8.35,8.35,8.26,8.31,-0.02,10
107/10/18,"86,216","723,916",8.39,8.42,8.32,8.41,+0.10,24
107/10/19,"23,000","191,010",8.17,8.36,8.17,8.36,-0.05,14
107/10/22,"3,000","25,020",8.38,8.38,8.32,8.32,-0.04,2
107/10/23,"132,160","1,094,603",8.30,8.36,8.16,8.30,-0.02,38
107/10/24,"106,000","879,920",8.33,8.34,8.19,8.30, 0.00,23
107/10/25,"122,159","1,010,532",8.00,8.32,8.00,8.32,+0.02,43
107/10/26,"66,022","544,903",8.22,8.32,8.13,8.31,-0.01,26
107/10/29,"15,028","124,874",8.31,8.31,8.30,8.31, 0.00,7
107/10/30,"40,000","329,150",8.23,8.31,8.12,8.31, 0.00,33
107/10/31,"11,000","91,710",8.40,8.40,8.26,8.26,-0.05,7
107/11/01,"39,000","323,340",8.30,8.41,8.16,8.40,+0.14,24
107/11/02,"7,000","58,310",8.40,8.40,8.30,8.30,-0.10,5
107/11/05,"8,000","67,050",8.40,8.40,8.30,8.30, 0.00,7
107/11/06,"27,008","222,994",8.29,8.37,8.13,8.37,+0.07,18
107/11/07,"11,002","91,936",8.32,8.37,8.32,8.37, 0.00,9
107/11/08,"1,005","8,280",8.24,8.24,8.24,8.24,-0.13,6
107/11/09,"23,000","192,280",8.28,8.44,8.28,8.37,+0.13,11
107/11/12,"8,002","66,886",8.35,8.39,8.34,8.39,+0.02,6
