date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,48,323,6.75,6.75,6.65,6.73,-0.01,16
107/07/03,62,422,6.75,6.98,6.75,6.98,0.25,23
107/07/04,35,238,6.99,6.99,6.75,6.80,-0.18,22
107/07/05,8,54,6.68,6.84,6.68,6.84,0.04,6
107/07/06,42,285,6.80,6.80,6.65,6.79,-0.05,19
107/07/09,16,107,6.79,6.79,6.62,6.79,0.0,11
107/07/10,84,555,6.60,6.77,6.58,6.73,-0.06,27
107/07/11,41,264,6.33,6.65,6.32,6.60,-0.13,16
107/07/12,18,119,6.55,6.60,6.55,6.60,0.0,11
107/07/13,72,473,6.61,6.65,6.45,6.58,-0.02,30
107/07/16,18,117,6.37,6.59,6.36,6.59,0.01,12
107/07/17,58,383,6.59,6.62,6.50,6.62,0.03,23
107/07/18,27,179,6.62,6.62,6.59,6.60,-0.02,8
107/07/19,36,235,6.55,6.55,6.43,6.55,-0.05,19
107/07/20,105,678,6.55,6.56,6.38,6.54,-0.01,38
107/07/23,44,283,6.45,6.54,6.37,6.54,0.0,19
107/07/24,38,245,6.38,6.53,6.38,6.53,-0.01,21
107/07/25,12,78,6.50,6.50,6.38,6.38,-0.15,11
107/07/26,13,85,6.48,6.68,6.40,6.58,0.2,14
107/07/27,35,229,6.58,6.58,6.50,6.56,-0.02,17
107/07/30,33,215,6.56,6.56,6.40,6.50,-0.06,20
107/07/31,42,272,6.48,6.52,6.48,6.52,0.02,11
107/08/01,23,149,6.49,6.49,6.49,6.49,-0.03,5
107/08/02,61,387,6.38,6.44,6.25,6.44,-0.05,23
107/08/03,54,347,6.40,6.45,6.35,6.45,0.01,15
107/08/06,28,179,6.40,6.44,6.37,6.44,-0.01,12
107/08/07,2,12,6.47,6.47,6.47,6.47,0.03,5
107/08/08,67,428,6.35,6.58,6.27,6.50,0.03,25
107/08/09,12,79,6.30,6.46,6.30,6.46,-0.04,8
107/08/10,146,919,6.30,6.39,6.25,6.35,-0.11,56
107/08/13,31,200,6.40,6.40,6.27,6.35,0.0,25
107/08/14,73,469,6.45,6.47,6.38,6.45,0.1,34
107/08/15,60,388,6.50,6.60,6.40,6.47,0.02,23
107/08/16,4,28,6.47,6.47,6.47,6.47,0.0,4
107/08/17,30,197,6.52,6.99,6.52,6.58,0.11,15
107/08/20,14,93,6.68,6.68,6.52,6.66,0.08,10
107/08/21,13,82,6.51,6.55,6.47,6.55,-0.11,8
107/08/22,45,298,6.60,6.64,6.45,6.58,0.03,29
107/08/23,44,287,6.60,6.60,6.47,6.56,-0.02,17
107/08/24,11,72,6.48,6.54,6.48,6.54,-0.02,5
107/08/27,23,150,6.50,6.54,6.48,6.54,0.0,11
107/08/28,44,286,6.50,6.55,6.50,6.55,0.01,13
107/08/29,25,167,6.66,6.67,6.64,6.65,0.1,5
