date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,520","175,965",116.5,119.0,113.0,113.0,-1.5,"1,212"
107/07/03,"1,475","167,508",115.0,116.0,111.5,112.0,-1.0,"1,232"
107/07/04,"1,247","151,802",119.0,123.0,118.5,123.0,11.0,737
107/07/05,"12,321","1,598,885",130.0,135.0,123.0,125.0,2.0,"7,888"
107/07/06,"5,083","642,590",128.0,130.0,122.0,128.0,3.0,"3,836"
107/07/09,"2,102","259,514",128.0,128.5,119.5,119.5,-8.5,"1,619"
107/07/10,"2,750","321,144",119.5,121.0,113.5,117.5,-2.0,"2,220"
107/07/11,"2,676","317,591",115.5,122.0,114.0,122.0,4.5,"2,114"
107/07/12,"1,856","223,766",120.5,122.5,118.5,121.0,-1.0,"1,370"
107/07/13,"1,625","198,763",122.0,124.5,120.0,120.0,-1.0,"1,219"
107/07/16,799,"96,343",121.5,122.5,119.0,119.5,-0.5,664
107/07/17,"6,721","871,039",122.0,131.0,122.0,131.0,11.5,"3,906"
107/07/18,"9,906","1,356,413",136.0,143.0,130.5,140.0,9.0,"7,236"
107/07/19,"4,938","689,338",141.0,142.0,137.0,140.0,0.0,"3,668"
107/07/20,"3,620","487,676",140.0,140.0,130.5,130.5,-9.5,"2,767"
107/07/23,"2,513","333,645",129.0,136.5,128.0,132.0,1.5,"1,876"
107/07/24,"4,444","613,668",136.0,140.5,133.5,137.5,5.5,"3,242"
107/07/25,"6,331","944,810",144.5,151.0,144.0,151.0,13.5,"3,948"
107/07/26,"8,565","1,295,863",154.0,156.5,143.0,144.5,-6.5,"6,391"
107/07/27,"5,081","742,290",144.0,149.5,141.0,147.5,3.0,"3,702"
107/07/30,"3,809","559,843",148.5,152.5,142.0,142.5,-5.0,"2,986"
107/07/31,"1,496","215,901",143.0,146.0,142.5,144.0,1.5,"1,194"
107/08/01,"2,302","332,916",142.5,148.0,141.0,146.5,2.5,"1,804"
107/08/02,"3,593","525,035",147.0,151.0,141.5,143.5,-3.0,"2,805"
107/08/03,"1,392","199,373",145.0,146.0,141.5,142.0,-1.5,"1,048"
107/08/06,"2,954","399,625",141.5,142.5,132.0,132.5,-9.5,"2,428"
107/08/07,"2,341","318,609",134.0,140.0,132.0,140.0,7.5,"1,841"
107/08/08,"1,068","147,593",140.0,141.0,135.5,136.0,-4.0,923
107/08/09,"1,281","177,365",137.5,141.0,136.5,137.0,1.0,"1,116"
107/08/10,"1,475","202,072",138.0,139.5,135.0,136.0,-1.0,"1,142"
107/08/13,476,"51,116",107.5,107.5,107.5,107.5,-11.5,431
107/08/14,"2,681","267,288",101.5,102.5,97.8,97.8,-9.7,"2,062"
107/08/15,"3,414","307,602",94.0,94.0,88.1,88.1,-9.7,"2,774"
107/08/16,"3,686","325,822",85.5,91.5,83.0,90.0,1.9,"2,882"
107/08/17,"3,683","317,471",87.0,89.8,82.7,82.8,-7.2,"2,892"
107/08/20,"2,505","209,852",82.6,86.4,81.1,83.1,0.3,"2,128"
107/08/21,"4,254","337,310",80.0,81.8,77.4,81.0,-2.1,"3,239"
107/08/22,"3,239","268,385",82.3,84.6,81.3,81.5,0.5,"2,467"
107/08/23,"1,472","121,452",82.5,83.8,81.3,81.6,0.1,"1,176"
107/08/24,"1,247","99,582",81.0,82.2,78.3,79.6,-2.0,"1,011"
107/08/27,"1,250","101,143",80.5,82.6,79.2,81.8,2.2,991
107/08/28,"1,517","125,573",83.1,83.9,81.8,81.8,0.0,"1,131"
107/08/29,"3,508","308,228",83.3,89.9,83.2,89.9,8.1,"2,443"
107/08/30,"5,990","541,832",92.0,92.1,87.7,87.7,-2.2,"3,920"
107/08/31,"6,145","559,019",88.5,93.0,88.2,88.2,0.5,"4,480"
107/09/03,"3,224","290,430",90.3,92.5,88.2,88.5,0.3,"2,395"
107/09/04,"1,195","106,710",90.0,90.3,88.5,88.5,0.0,937
107/09/05,"2,792","250,571",89.4,91.4,87.6,87.6,-0.9,"2,140"
107/09/06,"3,206","263,599",84.2,85.0,79.8,81.0,-6.6,"2,462"
107/09/07,"2,104","164,113",78.1,79.9,76.1,76.6,-4.4,"1,532"
107/09/10,"1,616","119,368",76.9,77.8,71.1,71.5,-5.1,"1,209"
107/09/11,"1,807","133,568",73.2,76.2,71.5,74.3,2.8,"1,372"
107/09/12,"1,611","118,256",76.2,76.2,70.5,71.6,-2.7,"1,231"
107/09/13,"1,004","72,236",73.5,73.5,70.5,70.5,-1.1,751
107/09/14,"1,337","96,987",72.5,73.9,71.0,73.2,2.7,"1,035"
107/09/17,823,"59,435",73.5,73.7,71.2,72.0,-1.2,611
107/09/18,"2,437","164,117",70.3,70.3,65.2,65.5,-6.5,"1,913"
107/09/19,"1,873","122,489",66.1,67.2,63.0,65.0,-0.5,"1,411"
107/09/20,"1,341","86,012",65.1,66.3,63.0,63.0,-2.0,"1,009"
107/09/21,"4,056","269,856",63.7,69.3,62.0,67.8,4.8,"2,698"
107/09/25,"1,849","121,638",65.8,67.7,64.8,66.7,-1.1,"1,487"
107/09/26,"2,202","151,110",66.0,70.3,66.0,67.5,0.8,"1,788"
107/09/27,"4,087","286,412",67.4,71.7,67.4,70.0,2.5,"3,377"
107/09/28,"3,669","264,508",71.5,74.4,70.1,70.1,0.1,"2,976"
107/10/01,"1,202","83,302",70.1,70.7,68.0,68.0,-2.1,"1,087"
107/10/02,"1,053","71,864",68.2,69.1,67.3,68.5,0.5,948
107/10/03,"1,244","82,715",69.0,69.1,65.1,65.1,-3.4,"1,123"
107/10/04,"1,418","90,534",65.1,65.9,62.1,64.4,-0.7,"1,198"
107/10/05,"1,996","120,146",63.5,64.0,58.2,58.2,-6.2,"1,619"
107/10/08,"1,496","84,517",58.2,58.2,55.2,55.3,-2.9,"1,155"
107/10/09,"1,400","76,501",56.0,56.6,52.6,53.6,-1.7,"1,149"
107/10/11,"1,732","84,582",48.25,51.5,48.25,48.25,-5.35,"1,303"
107/10/12,"1,658","82,509",48.4,51.8,48.2,50.8,2.55,"1,354"
107/10/15,786,"39,637",50.2,51.8,49.3,49.9,-0.9,699
107/10/16,"4,491","239,948",51.5,54.8,51.3,52.0,2.1,"2,674"
107/10/17,"1,703","89,986",53.6,54.0,51.5,52.0,0.0,"1,297"
107/10/18,828,"42,422",52.0,52.9,50.1,50.7,-1.3,690
107/10/19,979,"47,535",49.0,49.6,47.1,49.4,-1.3,791
107/10/22,670,"33,577",48.65,51.2,48.45,50.8,1.4,594
107/10/23,819,"40,121",49.85,50.5,48.15,48.15,-2.65,654
107/10/24,989,"48,237",48.8,49.55,47.6,48.15,0.0,801
107/10/25,"1,091","48,867",45.0,45.9,43.55,44.0,-4.15,850
107/10/26,"1,108","47,939",44.9,45.7,41.0,41.5,-2.5,849
107/10/29,791,"32,854",42.5,42.5,40.2,41.45,-0.05,647
107/10/30,751,"30,741",41.05,41.85,40.2,40.8,-0.65,603
107/10/31,"1,186","50,329",41.5,43.45,41.45,42.5,1.7,971
107/11/01,"1,978","91,471",44.0,46.75,43.8,46.75,4.25,861
107/11/02,"8,753","442,862",51.0,51.4,49.2,51.4,4.65,"4,875"
107/11/05,"2,723","134,972",50.4,51.0,48.4,48.95,-2.45,"1,936"
107/11/06,"2,347","113,765",50.0,50.8,45.55,46.75,-2.2,"1,806"
107/11/07,"1,816","87,131",47.7,49.0,46.05,48.95,2.2,"1,430"
107/11/08,"3,593","184,695",52.2,53.5,49.3,51.0,2.05,"2,622"
107/11/09,"1,806","88,634",50.0,50.4,48.25,48.7,-2.3,"1,458"
107/11/12,828,"39,557",48.7,48.7,46.75,48.4,-0.3,573
107/11/13,"1,044","49,489",46.75,48.4,46.1,48.4,0.0,756
107/11/14,"1,518","74,939",49.05,50.3,48.6,49.1,0.7,"1,068"
107/11/15,950,"45,531",48.1,48.9,47.3,47.8,-1.3,811
107/11/16,"1,868","88,639",48.5,48.5,46.5,47.85,0.05,"1,384"
107/11/19,797,"38,703",48.55,49.0,48.25,48.55,0.7,608
107/11/20,821,"39,330",47.5,48.9,47.15,48.3,-0.25,635
107/11/21,875,"41,773",47.1,48.5,47.0,48.2,-0.1,625
107/11/22,"2,967","148,646",49.0,51.8,48.2,48.2,0.0,"2,313"
107/11/23,993,"47,520",48.5,48.85,47.3,47.85,-0.35,784
107/11/26,765,"36,781",48.8,48.8,47.5,47.85,0.0,618
107/11/27,682,"32,849",48.2,48.6,47.6,48.6,0.75,545
107/11/28,"4,277","218,715",50.0,52.8,49.7,51.2,2.6,"3,014"
107/11/29,"3,416","179,865",52.7,54.8,51.0,51.0,-0.2,"2,311"
107/11/30,"1,192","61,396",51.4,52.2,51.0,51.4,0.4,917
107/12/03,"2,699","144,140",53.6,54.2,52.3,53.0,1.6,"1,764"
107/12/04,"1,427","75,790",54.2,54.2,52.2,52.5,-0.5,"1,007"
107/12/05,"1,057","54,015",51.2,51.9,50.6,51.3,-1.2,764
107/12/06,"1,497","73,791",51.9,51.9,47.75,48.0,-3.3,"1,066"
107/12/07,530,"25,872",49.9,49.9,48.2,48.2,0.2,416
107/12/10,709,"33,281",47.2,47.85,46.5,46.7,-1.5,514
107/12/11,418,"19,769",47.4,47.7,47.0,47.2,0.5,316
107/12/12,587,"28,101",47.9,48.3,47.6,47.8,0.6,420
107/12/13,"1,323","63,470",48.75,49.5,46.5,46.5,-1.3,902
107/12/14,"1,050","47,727",46.5,46.75,44.8,45.35,-1.15,853
107/12/17,464,"20,833",45.3,45.75,44.2,44.7,-0.65,359
107/12/18,"3,693","173,791",45.3,48.45,45.2,47.05,2.35,"2,882"
107/12/19,"1,606","77,289",48.45,49.3,47.05,47.3,0.25,"1,246"
107/12/20,"1,557","74,577",47.1,48.5,47.1,47.8,0.5,"1,234"
107/12/21,"5,063","259,652",50.2,52.5,49.6,52.5,4.7,"3,345"
107/12/22,"9,456","523,693",54.0,57.6,53.5,55.6,3.1,"7,009"
107/12/24,"9,402","557,002",56.0,61.1,56.0,61.1,5.5,"6,697"
107/12/25,"15,414","980,148",62.5,65.9,61.2,62.6,1.5,"10,888"
107/12/26,"8,994","532,373",61.0,61.6,56.4,56.4,-6.2,"6,177"
107/12/27,"6,738","384,766",57.4,59.0,55.1,55.2,-1.2,"4,823"
107/12/28,"4,191","230,039",55.4,56.6,53.7,56.6,1.4,"2,918"
108/01/02,"2,424","135,651",58.0,58.1,54.5,54.5,-2.1,"1,794"
108/01/03,"2,081","113,464",54.5,55.8,53.2,53.2,-1.3,"1,589"
108/01/04,"1,922","97,947",51.8,52.3,50.1,50.8,-2.4,"1,414"
108/01/07,"1,718","90,776",52.9,53.8,52.1,52.9,2.1,"1,243"
108/01/08,"1,063","55,586",52.8,53.0,51.6,52.8,-0.1,802
108/01/09,"3,882","214,472",53.8,56.5,53.7,54.1,1.3,"3,120"
108/01/10,"1,214","65,827",54.3,55.0,53.4,54.4,0.3,923
108/01/11,"2,662","140,049",53.0,53.5,51.5,53.5,-0.9,"1,732"
108/01/14,"1,336","72,506",53.8,55.0,53.1,53.1,-0.4,"1,073"
108/01/15,779,"41,769",54.0,54.2,52.6,54.2,1.1,638
108/01/16,"2,058","114,127",54.8,56.2,54.6,55.0,0.8,"1,543"
108/01/17,"4,459","257,858",55.7,60.0,55.5,57.1,2.1,"3,542"
108/01/18,"6,349","378,071",57.6,60.8,57.6,59.0,1.9,"4,688"
108/01/21,"2,166","126,435",59.8,60.4,57.3,57.4,-1.6,"1,638"
108/01/22,"1,110","63,897",57.1,58.3,56.9,57.1,-0.3,871
108/01/23,790,"45,232",57.1,57.9,56.6,57.2,0.1,603
108/01/24,"3,389","200,785",57.6,60.3,57.6,59.5,2.3,"2,447"
108/01/25,"2,570","153,984",60.2,61.2,58.5,58.5,-1.0,"1,973"
108/01/28,"1,072","62,375",59.0,59.2,57.2,57.6,-0.9,906
108/01/29,928,"53,202",57.0,58.2,56.7,57.0,-0.6,718
108/01/30,741,"42,316",57.0,57.6,56.9,57.0,0.0,536
108/02/11,904,"51,696",57.7,58.3,56.4,56.4,-0.6,695
108/02/12,773,"44,181",56.8,57.6,56.7,57.5,1.1,630
108/02/13,"2,652","163,858",58.7,63.2,58.4,63.2,5.7,"1,721"
108/02/14,"10,158","675,672",66.0,68.3,64.1,64.1,0.9,"6,425"
108/02/15,"1,884","118,044",64.0,64.1,61.5,61.7,-2.4,"1,454"
108/02/18,"5,793","383,578",63.0,67.8,62.6,67.8,6.1,"3,653"
108/02/19,"10,332","724,007",70.0,72.1,68.2,68.4,0.6,"7,297"
108/02/20,"3,630","252,512",69.6,71.0,68.4,68.7,0.3,"2,502"
108/02/21,"3,328","232,730",69.1,71.0,68.7,69.6,0.9,"2,340"
108/02/22,"2,058","140,152",67.6,69.2,67.5,67.9,-1.7,"1,524"
108/02/25,"1,831","126,707",69.9,70.8,68.2,68.8,0.9,"1,381"
108/02/26,"1,611","108,896",68.3,69.1,65.8,65.8,-3.0,"1,150"
108/02/27,"1,366","87,811",65.9,66.3,63.1,64.5,-1.3,"1,068"
108/03/04,"1,094","71,650",64.6,67.2,64.1,66.9,2.4,936
108/03/05,"2,416","163,994",66.6,69.5,66.1,66.1,-0.8,"1,961"
108/03/06,888,"59,012",66.3,67.2,65.6,66.6,0.5,676
108/03/07,"1,124","73,231",66.6,67.3,63.5,63.5,-3.1,906
108/03/08,"1,328","83,870",62.6,65.4,61.6,65.3,1.8,"1,045"
108/03/11,"1,327","87,993",65.3,67.2,64.9,65.9,0.6,"1,085"
108/03/12,811,"53,773",67.0,67.2,65.2,65.2,-0.7,675
108/03/13,723,"47,082",65.2,66.4,64.5,64.6,-0.6,590
108/03/14,765,"49,448",65.4,65.5,64.0,64.1,-0.5,608
108/03/15,653,"41,774",65.0,65.0,63.3,63.4,-0.7,539
108/03/18,657,"41,746",63.4,64.3,63.0,63.5,0.1,585
108/03/19,"3,224","221,055",64.5,69.8,64.5,69.8,6.3,"1,983"
108/03/20,"9,611","679,445",72.1,72.5,68.7,68.7,-1.1,"5,871"
108/03/21,"4,383","308,823",70.1,71.7,69.1,69.4,0.7,"3,035"
