date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,62,"1,430",22.8,23.25,22.8,23.0,0.2,49
107/07/03,40,912,23.0,23.2,22.7,22.8,-0.2,26
107/07/04,308,"6,906",22.7,22.7,22.25,22.65,-0.15,152
107/07/05,58,"1,316",22.9,22.9,22.35,22.55,-0.1,34
107/07/06,62,"1,403",22.5,22.65,22.45,22.6,0.05,34
107/07/09,97,"2,157",22.6,22.6,22.25,22.35,-0.25,62
107/07/10,75,"1,697",22.5,22.8,22.5,22.8,0.45,52
107/07/11,116,"2,640",22.65,22.85,22.65,22.85,0.05,41
107/07/12,68,"1,556",22.85,22.85,22.7,22.7,-0.15,51
107/07/13,81,"1,858",22.85,22.95,22.75,22.95,0.25,44
107/07/16,110,"2,501",22.95,22.95,22.75,22.8,-0.15,41
107/07/17,43,981,22.8,22.9,22.7,22.7,-0.1,32
107/07/18,45,"1,027",22.75,22.9,22.75,22.8,0.1,25
107/07/19,46,"1,048",22.8,23.05,22.8,22.95,0.15,37
107/07/20,139,"3,211",23.0,23.25,22.85,23.2,0.25,77
107/07/23,68,"1,587",23.3,23.35,23.15,23.3,0.1,48
107/07/24,42,973,23.25,23.25,23.1,23.2,-0.1,27
107/07/25,30,698,23.3,23.3,23.05,23.2,0.0,20
107/07/26,59,"1,380",23.2,23.35,23.05,23.3,0.1,37
107/07/27,20,471,23.3,23.3,23.2,23.2,-0.1,16
107/07/30,109,"2,524",23.2,23.3,23.0,23.2,0.0,34
107/07/31,38,878,23.05,23.2,23.05,23.2,0.0,18
107/08/01,64,"1,488",23.15,23.25,23.05,23.2,0.0,30
107/08/02,116,"2,668",23.05,23.05,22.9,22.9,-0.3,58
107/08/03,52,"1,200",22.8,23.0,22.8,23.0,0.1,27
107/08/06,53,"1,204",23.0,23.0,22.8,22.8,-0.2,37
107/08/07,50,"1,146",22.8,22.95,22.8,22.9,0.1,36
107/08/08,37,845,23.0,23.0,22.75,22.95,0.05,27
107/08/09,17,389,22.95,22.95,22.8,22.95,0.0,17
107/08/10,158,"3,596",22.8,22.85,22.6,22.85,-0.1,77
107/08/13,141,"3,174",22.65,22.65,22.4,22.45,-0.4,66
107/08/14,103,"2,309",22.4,22.5,22.35,22.45,0.0,49
107/08/15,211,"4,648",22.45,22.45,21.8,21.95,-0.5,108
107/08/16,321,"6,864",21.8,21.8,21.2,21.35,-0.6,156
107/08/17,176,"3,748",21.35,21.5,21.2,21.35,0.0,86
107/08/20,155,"3,293",21.2,21.35,21.15,21.25,-0.1,93
107/08/21,154,"3,267",21.25,21.4,21.2,21.3,0.05,71
107/08/22,73,"1,570",21.3,21.5,21.3,21.5,0.2,43
107/08/23,53,"1,140",21.5,21.5,21.35,21.35,-0.15,36
107/08/24,61,"1,302",21.35,21.4,21.3,21.4,0.05,30
107/08/27,55,"1,175",21.4,21.4,21.25,21.25,-0.15,37
107/08/28,63,"1,332",21.25,21.35,21.25,21.3,0.05,42
107/08/29,73,"1,557",21.3,21.3,21.2,21.3,0.0,42
107/08/30,95,"2,014",21.25,21.25,21.05,21.1,-0.2,71
107/08/31,169,"3,535",21.0,21.0,20.85,21.0,-0.1,98
107/09/03,98,"2,056",21.05,21.05,20.9,20.9,-0.1,48
107/09/04,68,"1,423",20.9,20.95,20.8,20.85,-0.05,48
107/09/05,109,"2,257",20.85,20.85,20.55,20.55,-0.3,75
107/09/06,51,"1,047",20.55,20.6,20.45,20.6,0.05,33
107/09/07,94,"1,916",20.6,20.6,20.25,20.4,-0.2,57
107/09/10,188,"3,763",20.4,20.4,19.8,19.8,-0.6,115
107/09/11,70,"1,401",19.8,20.05,19.8,19.85,0.05,54
107/09/12,54,"1,071",19.85,20.1,19.85,19.95,0.1,42
107/09/13,38,755,20.0,20.1,19.9,20.1,0.15,37
107/09/14,68,"1,384",20.2,20.45,20.1,20.45,0.35,50
107/09/17,21,430,20.4,20.4,20.15,20.35,-0.1,18
107/09/18,34,690,20.35,20.35,20.2,20.3,-0.05,21
107/09/19,46,937,20.15,20.35,20.15,20.3,0.0,32
107/09/20,32,648,20.3,20.35,20.2,20.35,0.05,20
107/09/21,81,"1,670",20.35,20.8,20.35,20.8,0.45,55
107/09/25,107,"2,207",20.8,21.05,20.25,20.75,-0.05,82
107/09/26,24,486,20.75,20.75,20.6,20.7,-0.05,22
107/09/27,34,705,20.7,20.8,20.65,20.8,0.1,22
107/09/28,48,"1,000",20.8,20.8,20.5,20.7,-0.1,28
107/10/01,52,"1,065",20.7,20.7,20.3,20.4,-0.3,30
107/10/02,57,"1,162",20.5,20.55,20.3,20.3,-0.1,32
107/10/03,40,817,20.3,20.55,20.3,20.4,0.1,29
107/10/04,45,913,20.4,20.4,20.2,20.25,-0.15,29
107/10/05,93,"1,868",20.25,20.45,19.85,20.2,-0.05,63
107/10/08,29,573,20.2,20.2,20.0,20.15,-0.05,27
107/10/09,38,771,20.0,20.35,20.0,20.2,0.05,28
107/10/11,172,"3,289",20.0,20.0,18.95,19.1,-1.1,113
107/10/12,117,"2,256",18.7,19.5,18.6,19.3,0.2,63
107/10/15,41,798,19.45,19.45,19.2,19.35,0.05,28
107/10/16,43,844,19.35,19.6,19.3,19.5,0.15,31
107/10/17,22,443,19.7,19.8,19.55,19.7,0.2,20
107/10/18,18,358,19.75,19.75,19.6,19.7,0.0,13
