date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"423,004","6,488,310",15.7,15.7,15.15,15.55,-0.15,153
107/07/03,"557,000","8,644,300",15.4,15.75,15.2,15.7,0.15,161
107/07/04,"492,000","7,616,900",15.45,15.7,15.1,15.7,0.0,158
107/07/05,"657,001","9,927,964",15.65,15.65,14.7,14.7,-1.0,233
107/07/06,"1,903,627","27,684,929",14.7,14.95,14.0,14.8,0.1,362
107/07/09,"1,378,001","19,407,513",14.8,14.8,13.8,14.15,-0.65,275
107/07/10,"486,146","6,744,344",13.8,14.1,13.75,14.1,-0.05,167
107/07/11,"215,124","3,011,929",14.1,14.2,13.8,13.8,-0.3,103
107/07/12,"350,003","4,914,289",13.85,14.5,13.85,14.0,0.2,153
107/07/13,"415,001","5,833,313",14.3,14.45,13.9,14.0,0.0,133
107/07/16,"334,022","4,565,542",14.2,14.2,13.5,13.5,-0.5,174
107/07/17,"530,289","6,984,851",13.6,13.6,12.7,12.9,-0.6,229
107/07/18,"1,742,001","21,083,711",12.9,12.95,11.65,11.85,-1.05,593
107/07/19,"1,112,000","12,680,550",11.65,11.8,11.05,11.25,-0.6,458
107/07/20,"415,000","4,695,150",11.25,11.45,11.15,11.4,0.15,210
107/07/23,"268,004","3,026,699",11.5,11.65,11.15,11.25,-0.15,126
107/07/24,"363,000","4,053,350",11.25,11.35,10.9,11.25,0.0,135
107/07/25,"752,000","8,766,100",11.25,12.3,11.25,11.7,0.45,310
107/07/26,"399,045","4,647,975",11.65,11.8,11.5,11.7,0.0,155
107/07/27,"815,002","9,785,774",11.7,12.5,11.7,12.45,0.75,282
107/07/30,"438,000","5,384,050",12.5,12.5,12.05,12.05,-0.4,196
107/07/31,"371,000","4,531,300",12.2,12.45,12.05,12.45,0.4,137
107/08/01,"352,843","4,342,075",12.45,12.55,12.15,12.5,0.05,159
107/08/02,"583,155","7,004,378",12.25,12.35,11.8,11.8,-0.7,202
107/08/03,"191,000","2,241,750",11.6,11.95,11.6,11.8,0.0,96
107/08/06,"224,000","2,661,000",11.8,12.3,11.7,12.3,0.5,106
107/08/07,"230,001","2,785,312",12.2,12.35,11.95,12.25,-0.05,93
107/08/08,"242,000","2,932,450",12.25,12.25,11.95,12.25,0.0,102
107/08/09,"361,000","4,375,650",12.25,12.35,11.95,12.3,0.05,105
107/08/10,"174,665","2,099,997",12.3,12.3,11.9,11.9,-0.4,67
107/08/13,"345,113","4,006,909",11.6,11.85,11.4,11.7,-0.2,147
107/08/14,"113,001","1,330,511",11.8,11.95,11.6,11.75,0.05,51
107/08/15,"70,028","815,423",11.6,11.8,11.55,11.75,0.0,49
107/08/16,"237,000","2,734,200",11.65,11.75,11.4,11.75,0.0,151
107/08/17,"72,160","847,528",11.7,11.85,11.6,11.85,0.1,47
107/08/20,"113,000","1,303,200",11.7,11.7,11.4,11.4,-0.45,46
107/08/21,"276,109","3,091,392",11.25,11.45,11.05,11.05,-0.35,107
107/08/22,"62,009","692,948",11.05,11.3,11.05,11.05,0.0,39
107/08/23,"202,000","2,186,850",10.7,11.1,10.7,10.8,-0.25,107
107/08/24,"250,000","2,628,050",10.8,10.8,10.35,10.4,-0.4,112
107/08/27,"512,488","5,217,327",10.4,10.6,9.91,10.55,0.15,236
107/08/28,"103,038","1,074,287",10.55,10.75,10.2,10.3,-0.25,63
107/08/29,"50,000","518,850",10.6,10.6,10.3,10.4,0.1,35
107/08/30,"79,078","816,083",10.4,10.4,10.25,10.4,0.0,53
107/08/31,"147,015","1,503,553",10.4,10.45,10.15,10.35,-0.05,68
107/09/03,"200,022","2,029,271",10.35,10.35,10.05,10.2,-0.15,96
107/09/04,"383,120","3,851,942",10.1,10.3,9.99,10.3,0.1,147
107/09/05,"125,000","1,257,130",10.1,10.2,9.98,10.0,-0.3,64
107/09/06,"354,050","3,475,525",9.9,10.05,9.7,9.74,-0.26,163
107/09/07,"176,008","1,720,048",9.74,9.85,9.7,9.82,0.08,79
107/09/10,"300,006","2,733,284",9.82,9.82,9.0,9.03,-0.79,108
107/09/11,"157,555","1,422,879",9.01,9.2,9.0,9.1,0.07,72
107/09/12,"253,000","2,246,760",9.04,9.09,8.78,9.0,-0.1,86
107/09/13,"107,002","950,398",8.85,9.0,8.84,9.0,0.0,52
107/09/14,"120,000","1,080,730",9.1,9.1,8.95,9.05,0.05,54
107/09/17,"193,000","1,741,330",9.05,9.38,8.96,9.06,0.01,62
107/09/18,"181,024","1,590,566",9.0,9.0,8.7,8.97,-0.09,93
107/09/19,"161,049","1,438,780",8.77,9.15,8.77,9.1,0.13,81
107/09/20,"158,003","1,419,876",9.1,9.2,8.9,8.9,-0.2,65
107/09/21,"166,000","1,485,620",9.06,9.06,8.9,8.92,0.02,64
107/09/25,"241,411","2,245,873",8.99,9.68,8.99,9.5,0.58,143
107/09/26,"273,001","2,600,519",9.49,9.65,9.4,9.6,0.1,104
107/09/27,"229,000","2,177,180",9.61,9.68,9.33,9.6,0.0,95
107/09/28,"73,000","687,230",9.51,9.57,9.27,9.34,-0.26,42
107/10/01,"499,091","4,911,589",9.4,10.2,9.4,9.99,0.65,217
107/10/02,"479,022","4,972,032",10.15,10.6,10.15,10.4,0.41,237
107/10/03,"253,020","2,542,151",10.2,10.25,9.96,9.96,-0.44,135
107/10/04,"174,000","1,716,500",9.97,10.0,9.76,10.0,0.04,94
107/10/05,"144,000","1,381,080",9.88,9.9,9.4,9.4,-0.6,82
107/10/08,"113,000","1,018,080",9.01,9.35,8.91,8.97,-0.43,56
107/10/09,"67,000","607,380",9.15,9.27,8.9,8.94,-0.03,31
