date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,305","27,061",21.00,21.40,20.25,21.40,-0.05,682
107/07/03,938,"20,265",21.65,22.40,20.55,20.75,-0.65,586
107/07/04,389,"7,957",20.40,20.90,20.15,20.25,-0.5,234
107/07/05,416,"8,192",20.30,20.65,18.50,19.15,-1.1,256
107/07/06,566,"10,406",19.50,19.70,17.75,18.65,-0.5,312
107/07/09,230,"4,366",19.20,19.40,18.50,18.75,0.1,154
107/07/10,301,"5,491",19.25,19.25,17.90,18.15,-0.6,183
107/07/11,261,"4,611",17.30,18.00,17.30,17.60,-0.55,148
107/07/12,171,"3,060",17.70,18.20,17.70,18.00,0.4,109
107/07/13,119,"2,164",18.30,18.35,17.90,18.30,0.3,72
107/07/16,200,"3,651",18.40,18.65,18.00,18.10,-0.2,104
107/07/17,238,"4,350",18.10,18.70,17.90,18.10,0.0,117
107/07/18,155,"2,774",18.35,18.35,17.70,17.70,-0.4,108
107/07/19,73,"1,288",17.55,17.75,17.55,17.55,-0.15,48
107/07/20,167,"2,935",17.40,17.85,17.40,17.50,-0.05,79
107/07/23,147,"2,532",17.35,17.60,17.00,17.15,-0.35,90
107/07/24,211,"3,613",17.20,17.35,16.85,17.05,-0.1,138
107/07/25,137,"2,308",17.00,17.00,16.70,16.90,-0.15,89
107/07/26,193,"3,370",17.10,18.05,16.95,17.60,0.7,148
107/07/27,473,"8,712",17.65,19.10,17.65,18.20,0.6,319
107/07/30,280,"5,016",18.55,18.55,17.65,17.70,-0.5,129
107/07/31,67,"1,196",17.65,18.05,17.60,18.05,0.35,50
107/08/01,46,820,17.80,17.85,17.75,17.85,-0.2,26
107/08/02,107,"1,846",17.85,17.85,17.10,17.10,-0.75,59
107/08/03,82,"1,423",17.30,17.50,17.20,17.50,0.4,44
107/08/06,57,"1,004",17.60,17.85,17.30,17.60,0.1,29
107/08/07,62,"1,093",17.60,18.00,17.40,17.70,0.1,35
107/08/08,39,678,17.55,17.55,17.30,17.35,-0.35,18
107/08/09,60,"1,038",17.65,17.65,17.25,17.60,0.25,32
107/08/10,826,"15,796",18.10,19.35,18.10,19.35,1.75,407
107/08/13,"3,454","71,370",19.25,21.25,19.25,21.25,1.9,"1,842"
107/08/14,"2,182","46,165",21.25,21.80,20.80,21.45,0.2,"1,152"
107/08/15,734,"15,166",21.20,21.20,20.30,20.50,-0.95,408
107/08/16,"2,918","63,750",20.85,22.50,20.60,21.80,1.3,"1,724"
107/08/17,"3,454","81,018",21.65,23.95,21.50,23.95,2.15,"1,464"
107/08/20,"5,984","146,734",23.90,25.50,23.75,24.10,0.15,"3,259"
