date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"96,190","3,562,087",37.0,37.3,37.0,37.0,-0.20,32
107/07/03,"73,792","2,737,442",37.0,37.2,37.0,37.05,+0.05,32
107/07/04,"62,800","2,319,350",37.0,37.0,36.85,36.95,-0.10,26
107/07/05,"21,410","790,278",36.8,37.0,36.8,36.9,-0.05,18
107/07/06,"50,752","1,869,474",36.8,37.05,36.8,37.05,+0.15,30
107/07/09,"23,065","853,805",37.05,37.2,36.75,37.2,+0.15,20
107/07/10,"20,190","751,858",37.35,37.4,37.15,37.15,-0.05,15
107/07/11,"2,512,443","93,712,522",37.2,37.3,37.0,37.3,+0.15,12
107/07/12,"37,017","1,379,629",37.1,37.5,37.1,37.3, 0.00,39
107/07/13,"14,962","557,335",37.3,37.3,37.2,37.2,-0.10,18
107/07/16,"48,153","1,795,213",37.3,37.4,37.2,37.4,+0.20,27
107/07/17,"13,288","497,383",37.4,37.5,37.4,37.5,+0.10,15
107/07/18,"73,673","2,764,639",37.55,37.6,37.4,37.6,+0.10,48
107/07/19,"70,365","2,685,870",37.7,38.5,37.7,38.2,+0.60,63
107/07/20,"41,130","1,573,409",38.2,38.3,38.2,38.3,+0.10,33
107/07/23,"73,198","2,815,062",38.3,38.6,38.3,38.45,+0.15,58
107/07/24,"32,429","1,242,179",38.5,38.5,38.15,38.3,-0.15,27
107/07/25,"23,000","878,850",38.2,38.35,38.2,38.3, 0.00,5
107/07/26,"15,130","582,878",38.5,38.55,38.5,38.5,+0.20,17
107/07/27,"82,075","3,197,618",38.6,39.15,38.6,38.95,+0.45,68
107/07/30,"26,406","1,030,223",39.4,39.4,38.7,38.85,-0.10,28
107/07/31,"50,640","1,966,360",38.85,39.0,38.7,38.8,-0.05,37
107/08/01,"67,600","2,623,128",38.9,39.1,38.65,39.0,+0.20,43
107/08/02,"36,500","1,421,000",39.0,39.05,38.85,38.85,-0.15,30
107/08/03,"28,800","1,126,840",39.25,39.25,39.0,39.1,+0.25,21
107/08/06,"29,915","1,170,225",39.2,39.2,39.1,39.15,+0.05,28
107/08/07,"65,430","2,594,684",39.15,39.95,39.15,39.85,+0.70,57
107/08/08,"89,532","3,521,415",39.85,39.85,39.05,39.6,-0.25,55
107/08/09,"81,545","3,203,563",39.6,39.6,39.15,39.25,-0.35,52
107/08/10,"126,942","4,957,301",39.2,39.2,39.0,39.05,-0.20,95
107/08/13,"303,441","11,791,018",39.05,39.05,38.55,39.0,-0.05,172
107/08/14,"141,673","5,188,730",36.55,36.75,36.55,36.6,X0.00,102
107/08/15,"93,500","3,421,296",36.65,36.75,36.4,36.4,-0.20,63
