date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"142,002","4,038,506",28.4,28.55,28.35,28.4, 0.00,66
107/07/03,"174,452","4,963,106",28.4,28.55,28.35,28.35,-0.05,77
107/07/04,"132,003","3,734,734",28.3,28.35,28.25,28.3,-0.05,54
107/07/05,"156,001","4,411,978",28.3,28.35,28.2,28.25,-0.05,79
107/07/06,"201,197","5,675,364",28.3,28.3,28.1,28.2,-0.05,104
107/07/09,"223,926","6,320,503",28.2,28.35,28.15,28.15,-0.05,121
107/07/10,"169,300","4,773,469",28.2,28.25,28.15,28.15, 0.00,88
107/07/11,"65,300","1,841,381",28.15,28.3,28.15,28.2,+0.05,47
107/07/12,"103,102","2,915,666",28.2,28.35,28.2,28.35,+0.15,51
107/07/13,"151,319","4,302,035",28.4,28.45,28.4,28.45,+0.10,81
107/07/16,"270,081","7,700,655",28.5,28.55,28.45,28.55,+0.10,151
107/07/17,"317,817","9,074,417",28.55,28.6,28.5,28.55, 0.00,169
107/07/18,"845,153","24,096,271",28.55,28.55,28.45,28.5,-0.05,379
107/07/19,"628,806","17,063,902",26.85,27.3,26.85,27.2,X0.00,419
107/07/20,"225,441","6,119,889",27.2,27.3,27.05,27.1,-0.10,168
107/07/23,"314,595","8,553,291",27.1,27.3,27.1,27.25,+0.15,166
107/07/24,"328,959","9,025,616",27.3,27.55,27.3,27.55,+0.30,148
107/07/25,"237,008","6,533,268",27.55,27.65,27.5,27.55, 0.00,135
107/07/26,"221,400","6,106,700",27.55,27.6,27.55,27.6,+0.05,103
107/07/27,"209,000","5,837,700",28.3,28.3,27.7,27.85,+0.25,134
107/07/30,"222,535","6,159,895",28.0,28.0,27.55,27.65,-0.20,135
107/07/31,"201,800","5,577,946",27.65,27.7,27.6,27.7,+0.05,105
107/08/01,"409,000","11,299,300",27.7,27.8,27.6,27.6,-0.10,102
107/08/02,"178,335","4,915,792",27.6,27.7,27.45,27.5,-0.10,108
107/08/03,"151,475","4,169,207",27.5,27.55,27.45,27.55,+0.05,75
107/08/06,"237,437","6,541,986",27.6,27.6,27.5,27.5,-0.05,102
107/08/07,"174,000","4,777,300",27.5,27.5,27.4,27.5, 0.00,89
107/08/08,"166,750","4,595,050",27.5,27.6,27.5,27.6,+0.10,86
107/08/09,"296,160","8,206,230",27.65,27.75,27.65,27.75,+0.15,96
107/08/10,"156,151","4,327,487",27.75,27.75,27.65,27.75, 0.00,69
107/08/13,"241,434","6,651,183",27.8,27.8,27.4,27.5,-0.25,136
107/08/14,"226,685","6,255,457",27.5,27.7,27.5,27.7,+0.20,122
107/08/15,"671,148","18,874,064",28.2,28.4,28.0,28.0,+0.30,340
107/08/16,"364,300","10,258,289",28.0,28.3,28.0,28.2,+0.20,221
107/08/17,"245,100","6,928,895",28.25,28.3,28.2,28.25,+0.05,134
107/08/20,"266,501","7,561,952",28.3,28.5,28.3,28.4,+0.15,138
107/08/21,"328,400","9,368,759",28.45,28.6,28.45,28.6,+0.20,184
107/08/22,"271,658","7,782,665",28.6,28.75,28.6,28.6, 0.00,153
107/08/23,"217,868","6,226,703",28.6,28.65,28.5,28.55,-0.05,101
107/08/24,"193,001","5,486,275",28.55,28.55,28.3,28.35,-0.20,115
107/08/27,"219,503","6,237,751",28.35,28.5,28.3,28.5,+0.15,130
107/08/28,"306,937","8,797,329",28.5,28.85,28.45,28.85,+0.35,164
107/08/29,"513,000","14,844,250",28.95,29.05,28.85,28.85, 0.00,233
107/08/30,"648,944","18,868,020",28.85,29.2,28.85,29.05,+0.20,339
107/08/31,"164,198","4,754,611",29.05,29.05,28.85,29.0,-0.05,102
107/09/03,"101,331","2,935,547",29.0,29.0,28.9,28.9,-0.10,62
107/09/04,"123,301","3,565,011",28.95,28.95,28.8,28.9, 0.00,80
107/09/05,"192,783","5,525,681",28.85,28.85,28.6,28.7,-0.20,102
107/09/06,"206,741","5,894,740",28.7,28.7,28.4,28.5,-0.20,130
107/09/07,"302,459","8,562,261",28.5,28.5,28.1,28.1,-0.40,186
107/09/10,"390,704","11,036,585",28.5,28.5,28.0,28.2,+0.10,233
107/09/11,"71,370","2,021,667",28.2,28.45,28.2,28.45,+0.25,54
107/09/12,"172,200","4,898,299",28.5,28.6,28.4,28.5,+0.05,112
107/09/13,"138,486","3,948,397",28.5,28.55,28.45,28.55,+0.05,94
107/09/14,"57,783","1,650,942",28.55,28.6,28.55,28.6,+0.05,53
107/09/17,"283,302","8,163,908",28.8,28.95,28.6,28.7,+0.10,170
107/09/18,"174,097","5,002,413",28.8,28.9,28.6,28.7, 0.00,115
107/09/19,"112,128","3,227,574",28.7,28.85,28.7,28.7, 0.00,84
107/09/20,"149,101","4,273,129",28.7,28.75,28.6,28.6,-0.10,95
107/09/21,"107,234","3,068,974",28.65,28.7,28.5,28.55,-0.05,77
107/09/25,"86,492","2,471,717",28.6,28.6,28.55,28.55, 0.00,60
107/09/26,"138,000","3,933,500",28.55,28.6,28.4,28.45,-0.10,84
107/09/27,"133,000","3,786,550",28.45,28.5,28.4,28.5,+0.05,76
107/09/28,"76,942","2,195,039",28.55,28.55,28.5,28.55,+0.05,60
107/10/01,"153,050","4,371,745",28.55,28.65,28.5,28.6,+0.05,79
107/10/02,"93,000","2,657,000",28.65,28.65,28.55,28.55,-0.05,62
107/10/03,"309,203","8,790,489",28.5,28.55,28.35,28.4,-0.15,148
107/10/04,"137,397","3,901,401",28.4,28.45,28.35,28.35,-0.05,78
107/10/05,"361,003","10,168,040",28.3,28.35,28.0,28.2,-0.15,231
107/10/08,"117,791","3,315,621",28.0,28.2,28.0,28.2, 0.00,66
107/10/09,"151,101","4,255,732",28.1,28.25,28.1,28.25,+0.05,91
107/10/11,"622,808","17,156,088",28.1,28.1,27.3,27.55,-0.70,400
107/10/12,"453,326","12,420,443",27.1,27.95,27.0,27.8,+0.25,251
107/10/15,"213,402","5,877,210",27.5,27.8,27.4,27.5,-0.30,149
107/10/16,"126,206","3,483,493",27.5,27.75,27.4,27.55,+0.05,79
107/10/17,"123,748","3,422,604",27.65,27.8,27.5,27.75,+0.20,113
107/10/18,"99,000","2,734,150",27.75,27.75,27.5,27.65,-0.10,45
107/10/19,"223,395","6,128,376",27.5,27.75,27.2,27.75,+0.10,113
107/10/22,"105,001","2,916,779",27.75,27.85,27.6,27.8,+0.05,57
107/10/23,"53,243","1,476,089",27.8,27.85,27.55,27.7,-0.10,46
107/10/24,"105,290","2,904,045",27.7,27.7,27.4,27.7, 0.00,67
107/10/25,"280,672","7,636,494",27.05,27.3,27.05,27.2,-0.50,178
107/10/26,"149,934","4,075,201",27.2,27.3,27.1,27.2, 0.00,122
107/10/29,"120,030","3,256,474",27.1,27.3,27.05,27.3,+0.10,66
107/10/30,"101,303","2,748,716",27.3,27.3,27.05,27.2,-0.10,79
107/10/31,"199,710","5,459,444",27.25,27.45,27.1,27.45,+0.25,91
107/11/01,"137,403","3,780,501",27.45,27.55,27.45,27.5,+0.05,77
107/11/02,"171,400","4,737,600",27.5,27.75,27.5,27.7,+0.20,93
107/11/05,"106,256","2,936,068",27.7,27.9,27.5,27.9,+0.20,55
107/11/06,"63,100","1,756,850",27.9,27.9,27.8,27.9, 0.00,43
107/11/07,"87,903","2,445,134",27.9,27.9,27.7,27.9, 0.00,55
107/11/08,"131,050","3,661,306",27.9,28.05,27.85,27.95,+0.05,65
107/11/09,"88,000","2,449,250",27.95,28.0,27.75,27.85,-0.10,39
107/11/12,"60,001","1,670,178",27.95,27.95,27.7,27.9,+0.05,44
107/11/13,"90,055","2,502,050",27.7,27.9,27.65,27.9, 0.00,41
107/11/14,"71,180","1,983,648",27.9,27.95,27.7,27.9, 0.00,58
107/11/15,"373,944","10,625,506",28.1,28.65,28.1,28.55,+0.65,268
107/11/16,"157,559","4,509,781",28.6,28.7,28.55,28.6,+0.05,114
107/11/19,"223,300","6,398,540",28.6,28.7,28.6,28.65,+0.05,118
107/11/20,"106,950","3,053,314",28.65,28.65,28.4,28.45,-0.20,66
107/11/21,"112,800","3,201,299",28.2,28.6,28.1,28.55,+0.10,81
107/11/22,"83,515","2,377,378",28.55,28.6,28.3,28.35,-0.20,51
107/11/23,"88,540","2,515,615",28.35,28.5,28.3,28.35, 0.00,63
107/11/26,"92,100","2,617,403",28.5,28.55,28.3,28.35, 0.00,65
107/11/27,"91,568","2,591,650",28.35,28.45,28.25,28.35, 0.00,65
107/11/28,"40,256","1,141,345",28.35,28.4,28.3,28.4,+0.05,32
107/11/29,"89,391","2,545,803",28.45,28.6,28.4,28.4, 0.00,62
107/11/30,"97,104","2,761,982",28.4,28.5,28.35,28.4, 0.00,56
107/12/03,"168,001","4,790,378",28.45,28.6,28.45,28.5,+0.10,99
107/12/04,"147,442","4,208,240",28.5,28.6,28.5,28.55,+0.05,73
107/12/05,"124,210","3,544,708",28.55,28.6,28.5,28.55, 0.00,69
107/12/06,"228,250","6,505,212",28.55,28.55,28.45,28.5,-0.05,119
107/12/07,"128,475","3,665,504",28.4,28.6,28.4,28.6,+0.10,61
107/12/10,"210,300","6,018,228",28.6,28.7,28.55,28.6, 0.00,97
107/12/11,"218,000","6,242,400",28.5,28.7,28.5,28.6, 0.00,102
107/12/12,"203,205","5,816,489",28.6,28.65,28.55,28.65,+0.05,102
107/12/13,"168,216","4,816,009",28.7,28.7,28.6,28.65, 0.00,81
107/12/14,"178,175","5,092,048",28.65,28.65,28.5,28.6,-0.05,96
107/12/17,"63,001","1,799,228",28.6,28.6,28.5,28.6, 0.00,44
107/12/18,"148,176","4,211,262",28.6,28.6,28.25,28.45,-0.15,93
107/12/19,"90,596","2,578,482",28.45,28.5,28.4,28.5,+0.05,59
107/12/20,"86,201","2,448,628",28.5,28.5,28.3,28.5, 0.00,49
107/12/21,"67,300","1,909,905",28.5,28.5,28.3,28.3,-0.20,45
107/12/22,"48,471","1,367,378",28.35,28.35,28.0,28.3, 0.00,39
107/12/24,"66,225","1,868,936",28.3,28.3,28.15,28.3, 0.00,62
107/12/25,"84,001","2,368,229",28.3,28.3,28.15,28.2,-0.10,58
