date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,67,"1,241",18.65,18.65,18.45,18.45,-0.25,32
107/07/03,65,"1,196",18.45,18.55,18.4,18.45,0.0,35
107/07/04,61,"1,134",18.75,18.75,18.45,18.7,0.25,23
107/07/05,24,448,18.6,18.7,18.6,18.6,-0.1,11
107/07/06,97,"1,815",19.0,19.0,18.4,18.65,0.05,59
107/07/09,30,561,18.7,18.7,18.5,18.7,0.05,14
107/07/10,133,"2,460",18.65,18.8,18.4,18.4,-0.3,73
107/07/11,328,"6,017",18.4,18.4,18.3,18.35,-0.05,56
107/07/12,76,"1,350",17.75,17.9,17.7,17.85,0.25,42
107/07/13,29,517,17.85,17.9,17.8,17.85,0.0,17
107/07/16,18,329,17.9,17.95,17.85,17.95,0.1,14
107/07/17,9,166,17.95,17.95,17.8,17.95,0.0,7
107/07/18,71,"1,273",17.85,17.95,17.8,17.85,-0.1,34
107/07/19,25,445,17.9,18.0,17.9,18.0,0.15,19
107/07/20,25,451,18.0,18.05,17.9,18.05,0.05,17
107/07/23,15,269,18.05,18.05,17.85,18.0,-0.05,10
107/07/24,7,126,18.0,18.05,18.0,18.05,0.05,6
107/07/25,17,302,18.0,18.0,17.95,18.0,-0.05,10
107/07/26,57,"1,024",18.0,18.05,17.95,18.0,0.0,32
107/07/27,26,468,18.0,18.05,17.95,18.05,0.05,14
107/07/30,23,418,18.05,18.05,17.95,17.95,-0.1,15
107/07/31,34,610,17.95,18.0,17.9,18.0,0.05,14
107/08/01,101,"1,829",18.1,18.2,18.05,18.15,0.15,45
107/08/02,35,621,17.9,18.1,17.85,17.85,-0.3,28
107/08/03,39,697,17.85,18.0,17.85,18.0,0.15,12
107/08/06,100,"1,798",18.0,18.0,17.85,17.95,-0.05,37
107/08/07,69,"1,255",18.05,18.25,18.05,18.25,0.3,31
107/08/08,68,"1,249",18.25,18.45,18.25,18.3,0.05,46
107/08/09,18,334,18.35,18.35,18.3,18.35,0.05,16
107/08/10,17,303,18.35,18.35,18.2,18.2,-0.15,17
107/08/13,60,"1,076",18.1,18.2,17.7,17.9,-0.3,26
107/08/14,125,"2,214",17.7,18.15,17.6,17.75,-0.15,47
107/08/15,47,824,17.75,17.75,17.55,17.6,-0.15,21
107/08/16,52,907,17.5,17.5,17.4,17.45,-0.15,19
107/08/17,39,681,17.4,17.55,17.4,17.45,0.0,19
107/08/20,8,139,17.4,17.5,17.4,17.4,-0.05,3
