date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,11,259,24.40,24.40,23.25,23.65,-1.25,11
107/07/03,11,240,22.50,22.90,22.35,22.35,-1.3,11
107/07/04,3,68,22.55,22.80,22.55,22.80,0.45,3
107/07/05,3,67,21.85,22.75,21.85,22.75,-0.05,3
107/07/06,5,100,21.25,22.20,21.25,22.20,-0.55,5
107/07/09,4,89,22.20,22.45,21.90,22.45,0.25,4
107/07/10,31,635,21.05,21.05,20.25,20.25,-2.2,26
107/07/11,11,214,19.75,19.80,19.00,19.80,-0.45,11
107/07/12,1,20,19.60,19.60,19.60,19.60,-0.2,1
107/07/13,0,0,--,--,--,--,0.0,0
107/07/16,3,59,19.15,19.95,19.15,19.95,0.35,3
107/07/17,4,79,19.20,19.90,19.20,19.90,-0.05,4
107/07/18,14,288,19.90,21.45,19.80,20.70,0.8,14
107/07/19,7,145,20.50,21.20,20.50,20.95,0.25,7
107/07/20,3,63,20.95,20.95,20.95,20.95,0.0,4
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,4,85,21.25,21.25,21.10,21.25,0.1,4
107/07/25,4,83,20.80,21.15,20.45,21.15,-0.1,4
107/07/26,1,21,21.10,21.10,21.10,21.10,-0.05,1
107/07/27,4,84,21.40,21.40,20.05,21.30,0.2,4
107/07/30,1,21,21.25,21.25,21.25,21.25,-0.05,1
107/07/31,1,21,21.25,21.25,21.25,21.25,0.0,2
107/08/01,3,69,21.90,21.90,20.05,20.95,-0.3,5
107/08/02,4,82,20.85,20.85,20.15,20.55,-0.4,4
107/08/03,1,21,20.55,20.55,20.55,20.55,0.0,1
107/08/06,5,100,19.80,20.30,19.80,20.30,-0.25,5
107/08/07,4,80,19.65,20.75,19.65,20.75,0.45,4
107/08/08,5,102,20.10,21.15,20.10,21.15,0.4,5
107/08/09,3,62,20.00,21.40,20.00,21.40,0.25,3
107/08/10,4,83,20.10,20.85,20.10,20.85,-0.55,4
107/08/13,4,82,21.10,21.10,19.60,21.00,0.15,4
107/08/14,3,61,20.00,20.70,20.00,20.70,-0.3,3
107/08/15,1,29,21.00,21.00,21.00,21.00,0.3,2
107/08/16,10,198,19.60,20.60,19.60,20.60,-0.2,10
107/08/17,1,20,20.05,20.05,20.05,20.05,-0.55,1
107/08/20,6,118,20.20,20.20,19.05,20.00,-0.05,6
107/08/21,1,20,19.90,19.90,19.90,19.90,-0.1,1
107/08/22,1,20,19.60,19.60,19.60,19.60,-0.3,1
107/08/23,1,20,19.85,19.85,19.85,19.85,0.25,1
107/08/24,1,20,19.80,19.80,19.80,19.80,-0.05,1
107/08/27,4,76,18.60,19.70,18.60,19.70,-0.1,4
107/08/28,4,81,19.25,19.65,19.25,19.65,-0.05,4
107/08/29,1,20,19.65,19.65,19.65,19.65,0.0,1
107/08/30,5,97,19.05,19.55,19.00,19.55,-0.1,5
107/08/31,3,59,20.40,20.40,19.05,19.90,0.35,3
107/09/03,16,319,20.60,20.60,19.75,20.40,0.5,8
107/09/04,4,80,20.40,20.40,19.20,20.35,-0.05,4
107/09/05,4,85,20.90,20.90,19.30,20.80,0.45,6
107/09/06,4,81,20.75,20.75,19.45,20.75,-0.05,4
107/09/07,3,61,20.70,20.70,19.70,20.70,-0.05,3
107/09/10,8,155,20.70,20.70,19.00,19.95,-0.75,8
107/09/11,1,20,19.90,19.90,19.90,19.90,-0.05,1
107/09/12,3,51,19.00,20.20,19.00,20.20,0.3,3
107/09/13,2,41,19.05,20.10,19.05,20.10,-0.1,3
107/09/14,4,78,19.70,19.70,19.00,19.60,-0.5,4
107/09/17,1,20,19.55,19.55,19.55,19.55,-0.05,2
107/09/18,1,20,19.50,19.50,19.50,19.50,-0.05,1
107/09/19,5,94,18.20,19.35,18.20,19.35,-0.15,5
107/09/20,1,19,19.30,19.30,19.30,19.30,-0.05,1
107/09/21,1,19,19.15,19.15,19.15,19.15,-0.15,1
107/09/25,1,19,19.15,19.15,19.15,19.15,0.0,1
107/09/26,1,19,18.95,18.95,18.95,18.95,-0.2,1
107/09/27,3,56,18.35,18.90,18.35,18.90,-0.05,3
107/09/28,1,19,18.90,18.90,18.90,18.90,0.0,1
107/10/01,1,19,18.90,18.90,18.90,18.90,0.0,1
107/10/02,2,37,18.45,19.00,18.45,19.00,0.1,2
107/10/03,0,0,--,--,--,--,0.0,0
107/10/04,2,38,18.95,18.95,18.95,18.95,0.0,2
107/10/05,8,146,18.20,18.90,17.95,18.90,-0.05,8
107/10/08,2,37,18.30,19.05,18.30,19.05,0.15,2
107/10/09,2,36,19.05,19.05,19.05,19.05,0.0,2
107/10/11,15,261,17.20,17.85,17.15,17.85,-1.2,16
107/10/12,1,19,17.85,17.85,17.85,17.85,0.0,2
107/10/15,2,35,17.10,17.75,17.10,17.75,-0.1,2
107/10/16,3,54,17.20,18.70,17.20,18.70,0.95,3
107/10/17,2,36,17.50,18.60,17.50,18.60,-0.1,2
107/10/18,7,127,18.65,18.70,17.60,17.60,-1.0,6
107/10/19,1,18,17.75,17.75,17.75,17.75,0.15,1
107/10/22,1,18,17.75,17.75,17.75,17.75,0.0,1
107/10/23,4,68,16.90,17.00,16.90,17.00,-0.75,4
107/10/24,3,48,16.10,16.10,16.10,16.10,-0.9,2
107/10/25,10,156,16.10,16.10,15.30,15.90,-0.2,9
107/10/26,6,89,15.10,15.45,14.50,15.45,-0.45,6
107/10/29,4,61,15.00,15.90,15.00,15.90,0.45,2
107/10/30,2,30,14.90,15.55,14.90,15.55,-0.35,2
107/10/31,2,31,14.75,15.90,14.75,15.90,0.35,2
107/11/01,2,31,14.95,15.85,14.95,15.85,-0.05,2
107/11/02,2,31,14.90,15.80,14.90,15.80,-0.05,2
107/11/05,2,31,15.10,15.60,15.10,15.60,-0.2,2
107/11/06,3,45,14.90,15.50,14.85,14.85,-0.75,3
107/11/07,2,30,14.50,15.45,14.50,15.45,0.6,2
107/11/08,0,0,--,--,--,--,0.0,0
107/11/09,3,45,15.00,15.65,14.65,15.65,0.3,3
107/11/12,0,0,--,--,--,--,0.0,0
107/11/13,5,74,14.60,15.70,14.35,14.35,-1.0,5
107/11/14,2,29,14.20,14.65,14.20,14.65,0.3,2
107/11/15,2,33,14.20,14.95,14.20,14.95,0.3,3
107/11/16,2,29,14.20,15.20,14.20,15.20,0.25,2
107/11/19,3,45,14.60,15.45,14.60,15.35,0.15,3
107/11/20,13,198,15.35,15.45,14.30,14.30,-1.05,5
107/11/21,4,52,14.30,14.30,14.30,14.30,0.0,4
107/11/22,5,76,15.20,15.30,15.20,15.30,1.0,6
107/11/23,0,0,--,--,--,--,0.0,0
107/11/26,2,30,14.80,15.55,14.80,15.55,0.25,2
107/11/27,3,46,15.10,16.20,15.10,15.10,-0.45,4
107/11/28,2,31,15.00,15.80,15.00,15.80,0.7,2
107/11/29,8,123,15.80,16.95,15.30,16.95,1.15,5
107/11/30,6,96,15.85,17.45,15.85,16.90,-0.05,4
107/12/03,3,51,16.65,17.40,16.65,16.90,0.0,5
107/12/04,2,34,16.50,17.80,16.50,17.80,0.9,2
107/12/05,2,35,16.65,18.20,16.65,18.20,0.4,4
107/12/06,3,53,17.00,17.95,17.00,17.95,-0.25,3
107/12/07,3,51,16.55,17.95,16.55,17.95,0.0,3
107/12/10,6,103,16.95,18.30,16.45,18.30,0.35,6
