date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"24,000","665,850",28.0,28.0,27.5,27.7,-0.20,17
107/07/03,"39,251","1,084,002",27.7,27.85,27.4,27.45,-0.25,18
107/07/04,"11,000","301,400",27.4,27.45,27.3,27.45, 0.00,8
107/07/05,"76,000","2,066,450",27.5,27.6,27.05,27.1,-0.35,47
107/07/06,"70,000","1,874,950",27.4,27.4,26.55,26.8,-0.30,37
107/07/09,"24,000","639,000",26.6,26.95,26.6,26.95,+0.15,14
107/07/10,"46,000","1,220,950",26.4,26.9,26.4,26.55,-0.40,35
107/07/11,"11,000","294,450",26.85,26.9,26.6,26.65,+0.10,10
107/07/12,"6,000","160,550",26.65,26.8,26.65,26.8,+0.15,5
107/07/13,"20,157","540,423",26.8,26.9,26.75,26.8, 0.00,13
107/07/16,"21,050","565,635",26.85,26.95,26.85,26.85,+0.05,13
107/07/17,"140,000","3,712,100",26.8,26.8,26.45,26.7,-0.15,58
107/07/18,"77,000","2,054,100",26.7,26.75,26.6,26.75,+0.05,30
107/07/19,"53,168","1,420,286",26.85,26.85,26.65,26.75, 0.00,27
107/07/20,"70,000","1,868,500",26.75,26.75,26.6,26.75, 0.00,30
107/07/23,"112,200","2,995,779",26.75,26.75,26.65,26.65,-0.10,86
107/07/24,"36,051","920,000",25.25,25.65,25.25,25.65,X0.00,31
107/07/25,"63,000","1,638,450",25.7,26.55,25.7,26.0,+0.35,40
107/07/26,"53,000","1,382,650",26.1,26.1,26.0,26.05,+0.05,31
107/07/27,"38,000","990,800",26.1,26.2,26.0,26.1,+0.05,25
107/07/30,"128,100","3,404,444",26.65,26.7,26.35,26.45,+0.35,84
107/07/31,"106,000","2,755,750",26.2,26.2,25.9,25.9,-0.55,61
107/08/01,"38,255","986,317",25.9,25.9,25.7,25.7,-0.20,28
107/08/02,"91,000","2,368,150",25.8,26.25,25.75,25.85,+0.15,55
107/08/03,"30,163","781,855",25.95,26.2,25.8,26.0,+0.15,16
107/08/06,"37,160","964,906",26.4,26.4,25.85,25.95,-0.05,29
107/08/07,"33,795","880,127",26.1,26.1,25.9,26.0,+0.05,19
107/08/08,"99,102","2,559,902",26.0,26.4,25.5,25.7,-0.30,61
107/08/09,"44,000","1,136,450",25.6,26.1,25.6,25.65,-0.05,26
107/08/10,"64,000","1,641,150",25.55,25.75,25.5,25.7,+0.05,34
107/08/13,"85,000","2,159,250",25.8,25.8,25.2,25.3,-0.40,52
107/08/14,"34,513","873,927",25.8,25.8,25.25,25.45,+0.15,27
