date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,6,255,41.35,41.35,41.35,41.35,0.0,7
107/07/03,20,836,41.40,41.40,41.00,41.40,0.05,19
107/07/04,15,628,41.65,41.65,41.10,41.10,-0.3,12
107/07/05,19,780,41.10,41.10,40.95,40.95,-0.15,15
107/07/06,47,"1,943",40.95,41.50,40.95,41.10,0.15,28
107/07/09,6,247,41.10,41.20,41.10,41.10,0.0,5
107/07/10,9,370,41.10,41.10,41.05,41.05,-0.05,8
107/07/11,20,815,40.70,40.80,40.70,40.75,-0.3,19
107/07/12,30,"1,218",40.70,40.75,40.40,40.75,0.0,21
107/07/13,25,"1,030",41.10,41.40,41.10,41.40,0.65,18
107/07/16,22,916,41.40,41.75,41.40,41.60,0.2,16
107/07/17,5,208,41.65,41.80,41.50,41.50,-0.1,5
107/07/18,29,"1,201",41.50,41.55,41.40,41.55,0.05,15
107/07/19,15,623,41.60,41.60,41.55,41.55,0.0,13
107/07/20,8,334,41.55,41.70,41.55,41.60,0.05,9
107/07/23,24,999,41.60,41.70,41.60,41.60,0.0,19
107/07/24,11,460,41.60,41.70,41.60,41.60,0.0,10
107/07/25,20,834,41.70,41.90,41.60,41.70,0.1,14
107/07/26,11,462,41.90,41.95,41.85,41.95,0.25,12
107/07/27,16,673,42.10,42.10,41.90,41.90,-0.05,13
107/07/30,12,504,42.10,42.10,41.95,42.00,0.1,10
107/07/31,24,"1,009",42.20,42.20,42.00,42.00,0.0,21
107/08/01,13,546,42.00,42.00,41.95,42.00,0.0,12
107/08/02,29,"1,208",42.00,42.00,41.00,41.90,-0.1,24
107/08/03,146,"6,122",41.90,42.10,41.90,41.90,0.0,43
107/08/06,61,"2,571",42.05,42.40,42.00,42.05,0.15,39
107/08/07,159,"6,708",42.15,42.35,42.00,42.35,0.3,35
107/08/08,60,"2,558",42.50,42.55,42.40,42.50,0.15,37
107/08/09,47,"2,007",42.55,42.60,42.40,42.55,0.05,33
107/08/10,124,"5,249",42.55,42.60,42.15,42.15,-0.4,51
107/08/13,247,"10,247",42.15,42.15,41.25,41.45,-0.7,70
107/08/14,60,"2,493",41.80,41.85,41.50,41.50,0.05,35
107/08/15,128,"5,305",41.50,41.60,41.35,41.40,-0.1,28
107/08/16,51,"2,118",41.60,41.70,41.50,41.70,0.3,23
107/08/17,30,"1,250",41.55,41.80,41.50,41.70,0.0,23
107/08/20,57,"2,380",41.70,41.90,41.70,41.85,0.15,41
107/08/21,81,"3,375",41.90,42.00,41.85,42.00,0.15,66
107/08/22,250,"10,533",42.00,42.45,41.80,42.40,0.4,162
107/08/23,158,"6,136",38.75,39.00,38.60,39.00,0.1,118
107/08/24,46,"1,792",39.00,39.05,38.70,39.00,0.0,34
107/08/27,16,623,39.00,39.00,38.75,38.80,-0.2,14
107/08/28,57,"2,231",38.60,39.35,38.60,39.20,0.4,41
107/08/29,36,"1,404",39.05,39.05,38.90,38.90,-0.3,16
107/08/30,11,436,39.00,39.10,39.00,39.10,0.2,11
107/08/31,57,"2,233",39.00,39.30,38.80,39.10,0.0,35
107/09/03,61,"2,391",39.30,39.30,38.90,38.90,-0.2,32
107/09/04,22,874,38.80,39.30,38.70,38.80,-0.1,16
107/09/05,34,"1,318",38.90,39.10,38.60,38.70,-0.1,26
107/09/06,8,310,38.70,39.20,38.70,38.75,0.05,7
107/09/07,32,"1,232",38.70,38.70,38.40,38.50,-0.25,20
107/09/10,39,"1,474",38.50,38.50,37.55,38.25,-0.25,29
107/09/11,33,"1,242",37.55,37.80,37.55,37.75,-0.5,27
107/09/12,47,"1,736",37.50,37.50,36.40,37.20,-0.55,42
107/09/13,13,493,37.20,37.20,37.00,37.00,-0.2,13
107/09/14,11,412,37.50,37.50,37.30,37.40,0.4,6
107/09/17,28,"1,046",37.20,37.20,37.00,37.10,-0.3,24
107/09/18,27,999,37.10,37.10,36.95,36.95,-0.15,21
107/09/19,32,"1,194",36.95,37.90,36.95,37.00,0.05,29
107/09/20,36,"1,330",37.00,37.00,36.90,36.90,-0.1,21
107/09/21,58,"2,131",37.05,37.05,36.50,36.50,-0.4,41
