date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,77,808,10.85,10.85,10.1,10.7,-0.1,46
107/07/03,28,296,10.7,10.7,10.45,10.6,-0.1,18
107/07/04,16,174,11.0,11.0,10.5,10.6,0.0,11
107/07/05,48,501,10.8,10.8,10.25,10.45,-0.15,31
107/07/06,71,737,10.6,10.6,10.15,10.55,0.1,34
107/07/09,31,325,10.7,10.7,10.3,10.5,-0.05,26
107/07/10,5,53,10.7,10.7,10.5,10.5,0.0,4
107/07/11,35,368,10.3,10.65,10.3,10.6,0.1,21
107/07/12,113,"1,191",10.7,10.9,10.3,10.45,-0.15,68
107/07/13,77,830,10.55,11.0,10.35,10.85,0.4,61
107/07/16,85,940,11.0,11.45,10.75,11.0,0.15,44
107/07/17,40,447,11.2,11.2,11.0,11.05,0.05,12
107/07/18,85,940,11.1,11.15,10.85,11.1,0.05,21
107/07/19,72,804,11.2,11.25,10.9,11.2,0.1,13
107/07/20,168,"1,866",11.2,11.3,10.75,11.25,0.05,54
107/07/23,79,896,11.35,11.35,11.15,11.3,0.05,15
107/07/24,111,"1,259",11.35,11.4,11.15,11.15,-0.15,17
107/07/25,106,"1,190",11.2,11.3,11.05,11.2,0.05,14
107/07/26,156,"1,744",11.25,11.25,10.9,10.9,-0.3,40
107/07/27,45,492,10.95,10.95,10.75,10.75,-0.15,10
107/07/30,58,624,10.85,10.85,10.6,10.8,0.05,15
107/07/31,75,812,10.85,10.95,10.7,10.8,0.0,25
107/08/01,167,"1,837",10.85,11.3,10.8,11.3,0.5,35
107/08/02,133,"1,497",11.35,11.45,10.95,11.15,-0.15,43
107/08/03,84,943,11.2,11.35,11.1,11.3,0.15,19
107/08/06,109,"1,235",11.3,11.45,11.25,11.35,0.05,20
107/08/07,81,919,11.35,11.4,11.25,11.25,-0.1,11
107/08/08,82,930,11.35,11.35,11.25,11.35,0.1,12
107/08/09,82,933,11.25,11.4,11.25,11.25,-0.1,15
107/08/10,108,"1,214",11.25,11.3,11.1,11.3,0.05,22
107/08/13,73,823,11.3,11.35,11.1,11.15,-0.15,19
107/08/14,79,883,11.25,11.3,11.0,11.0,-0.15,23
107/08/15,37,413,11.1,11.1,10.9,11.0,0.0,8
