date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,5,150,28.30,28.45,28.30,28.45,-0.05,8
107/07/03,23,661,28.50,28.50,28.00,28.40,-0.05,16
107/07/04,24,677,28.15,28.40,28.10,28.40,0.0,16
107/07/05,18,518,28.50,29.10,28.40,28.40,0.0,17
107/07/06,20,552,28.20,28.25,28.10,28.20,-0.2,16
107/07/09,20,577,28.60,30.40,28.50,28.50,0.3,17
107/07/10,71,"2,057",28.70,29.15,28.70,28.75,0.25,52
107/07/11,38,"1,088",28.95,28.95,28.40,28.40,-0.35,19
107/07/12,64,"1,851",28.70,29.10,28.70,29.05,0.65,22
107/07/13,265,"8,044",29.40,31.50,29.40,29.90,0.85,139
107/07/16,62,"1,870",30.40,30.40,29.60,29.95,0.05,53
107/07/17,42,"1,277",30.30,30.50,30.00,30.10,0.15,23
107/07/18,51,"1,523",30.30,30.30,29.55,29.55,-0.55,32
107/07/19,40,"1,191",29.55,29.85,29.50,29.85,0.3,17
107/07/20,7,212,29.95,29.95,29.80,29.80,-0.05,8
107/07/23,3,89,29.70,29.80,29.70,29.80,0.0,4
107/07/24,15,452,31.50,31.50,29.45,29.80,0.0,15
107/07/25,6,178,29.60,29.80,29.55,29.80,0.0,6
107/07/26,15,448,29.80,29.80,29.50,29.80,0.0,15
107/07/27,7,218,29.80,29.90,29.50,29.90,0.1,9
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,13,388,29.50,29.90,29.50,29.90,0.05,8
107/08/01,18,531,29.80,29.80,29.30,29.30,-0.6,14
107/08/02,18,537,29.25,29.70,29.20,29.55,0.25,17
107/08/03,14,413,29.65,29.70,29.40,29.70,0.15,11
107/08/06,27,801,30.45,30.45,29.85,30.15,0.45,23
107/08/07,19,577,30.15,30.25,29.90,30.25,0.1,16
107/08/08,26,788,30.25,30.25,29.85,30.00,-0.25,22
107/08/09,17,496,29.65,30.15,29.65,29.85,-0.15,17
107/08/10,298,"9,264",30.40,31.40,30.40,31.30,1.45,193
107/08/13,172,"5,382",31.30,31.80,30.50,30.75,-0.55,148
107/08/14,81,"2,518",30.75,31.50,30.75,31.20,0.45,67
107/08/15,176,"5,295",31.20,31.20,29.50,30.25,-0.95,90
107/08/16,21,629,29.85,30.20,29.80,30.20,-0.05,20
107/08/17,48,"1,468",30.50,30.80,30.20,30.20,0.0,31
107/08/20,113,"3,465",30.75,30.80,30.40,30.50,0.3,24
107/08/21,53,"1,644",30.70,31.30,30.30,31.30,0.8,39
107/08/22,70,"2,186",31.30,31.60,31.20,31.60,0.3,63
107/08/23,115,"3,697",31.65,33.00,31.60,32.20,0.6,99
107/08/24,69,"2,176",32.20,32.20,31.45,31.45,-0.25,64
107/08/27,42,"1,309",31.95,31.95,31.10,31.10,-0.35,29
107/08/28,21,654,31.65,31.65,31.05,31.10,0.0,15
107/08/29,29,904,31.90,31.90,30.90,31.00,-0.1,22
107/08/30,4,129,30.90,30.90,30.70,30.70,-0.3,5
107/08/31,16,491,30.70,31.00,30.50,30.60,-0.1,13
107/09/03,12,382,30.30,30.70,30.30,30.50,-0.1,13
107/09/04,17,519,30.55,30.70,30.40,30.40,-0.1,15
107/09/05,27,831,30.55,30.80,30.25,30.25,-0.15,26
107/09/06,33,996,30.90,30.90,29.90,30.30,0.05,26
107/09/07,18,538,29.95,30.00,29.70,29.90,-0.4,11
107/09/10,25,731,29.90,29.90,29.30,29.30,-0.6,20
107/09/11,9,266,29.40,29.65,29.35,29.35,0.05,8
107/09/12,8,234,29.35,29.35,29.20,29.20,-0.15,8
107/09/13,2,59,29.65,29.70,29.65,29.70,0.5,2
107/09/14,17,502,29.60,30.00,29.30,29.70,0.0,10
107/09/17,10,295,29.35,29.65,29.35,29.65,-0.05,8
107/09/18,2,63,29.65,29.65,29.65,29.65,0.0,3
107/09/19,1,30,29.65,29.65,29.65,29.65,0.0,1
107/09/20,28,827,29.65,29.65,29.35,29.60,-0.05,19
107/09/21,1,30,29.50,29.50,29.50,29.50,-0.1,1
