date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,0
107/07/03,9,120,13.50,13.50,13.10,13.10,-0.45,5
107/07/04,0,0,--,--,--,--,0.0,0
107/07/05,7,91,13.00,13.00,13.00,13.00,0.0,2
107/07/06,0,0,--,--,--,--,0.0,0
107/07/09,1,13,13.00,13.00,13.00,13.00,0.15,1
107/07/10,14,196,13.90,14.00,13.90,14.00,1.0,5
107/07/11,0,0,--,--,--,--,0.0,0
107/07/12,9,111,13.00,13.80,12.75,12.75,-1.2,5
107/07/13,0,2,--,--,--,--,0.0,1
107/07/16,1,14,13.90,13.90,13.90,13.90,1.15,1
107/07/17,0,0,--,--,--,--,0.0,0
107/07/18,1,13,13.00,13.00,13.00,13.00,-0.55,1
107/07/19,4,52,13.00,13.00,13.00,13.00,0.0,4
107/07/20,9,117,13.00,13.00,13.00,13.00,0.0,3
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,0,0,--,--,--,--,0.0,0
107/07/25,0,0,--,--,--,--,0.0,0
107/07/26,1,13,13.00,13.00,13.00,13.00,0.0,1
107/07/27,0,0,--,--,--,--,0.0,0
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,0,0,--,--,--,--,0.0,0
107/08/02,0,0,--,--,--,--,0.0,0
107/08/03,0,0,--,--,--,--,0.0,0
107/08/06,1,13,13.00,13.00,13.00,13.00,0.0,2
107/08/07,2,26,13.00,13.00,13.00,13.00,0.0,1
107/08/08,0,0,--,--,--,--,0.0,0
107/08/09,0,0,--,--,--,--,0.0,0
107/08/10,0,0,--,--,--,--,0.0,0
107/08/13,0,0,--,--,--,--,0.0,0
107/08/14,44,576,13.00,13.00,13.00,13.00,0.0,13
107/08/15,3,34,14.00,14.00,14.00,14.00,1.0,6
107/08/16,27,369,13.50,13.50,13.50,13.50,-0.5,11
107/08/17,2,27,13.40,13.45,13.40,13.45,-0.05,3
107/08/20,4,54,13.60,13.60,13.60,13.60,0.15,2
107/08/21,0,0,--,--,--,--,0.0,0
107/08/22,0,6,--,--,--,--,0.0,1
107/08/23,4,54,13.50,13.50,13.50,13.50,-0.1,3
107/08/24,41,552,13.55,14.00,13.50,13.50,0.0,11
107/08/27,0,0,--,--,--,--,0.0,1
107/08/28,0,0,--,--,--,--,0.0,0
107/08/29,27,356,13.40,13.40,12.50,12.50,-0.9,7
107/08/30,10,125,12.50,12.50,12.50,12.50,0.0,5
107/08/31,21,236,11.25,11.25,11.25,11.25,-1.25,4
107/09/03,3,34,11.25,11.35,11.25,11.35,0.1,4
107/09/04,4,43,10.60,10.60,10.50,10.50,-0.85,4
107/09/05,2,21,11.20,11.20,11.20,11.20,0.7,6
107/09/06,3,38,10.65,12.30,10.65,12.30,1.1,7
107/09/07,2,26,12.10,12.10,12.10,12.10,-0.2,6
107/09/10,0,2,--,--,--,--,0.0,1
107/09/11,6,70,12.10,12.10,12.10,12.10,0.0,4
107/09/12,0,3,--,--,--,--,0.0,1
107/09/13,1,15,12.50,12.50,12.50,12.50,1.1,2
107/09/14,3,31,12.20,12.20,12.20,12.20,-0.3,4
107/09/17,0,0,--,--,--,--,0.0,1
107/09/18,25,305,12.25,12.35,12.15,12.35,0.1,6
107/09/19,5,61,12.20,12.20,12.20,12.20,-0.15,1
107/09/20,0,0,--,--,--,--,0.0,0
107/09/21,5,60,11.90,11.90,11.90,11.90,-0.35,2
107/09/25,0,5,--,--,--,--,0.0,1
107/09/26,0,3,--,--,--,--,0.0,1
107/09/27,22,276,13.00,13.00,11.90,13.00,1.1,11
107/09/28,1,13,13.00,13.00,13.00,13.00,0.0,1
107/10/01,54,746,13.00,14.30,13.00,14.20,1.2,15
107/10/02,44,620,14.20,14.20,13.30,14.20,0.0,16
107/10/03,3,39,13.05,13.05,13.00,13.00,-1.2,3
107/10/04,2,28,14.00,14.00,14.00,14.00,1.0,4
107/10/05,1,13,13.35,13.35,13.35,13.35,-0.65,1
107/10/08,27,349,13.35,13.35,12.30,12.90,-0.45,12
107/10/09,4,50,12.60,12.60,12.30,12.30,-0.6,2
107/10/11,12,137,11.80,11.80,11.20,11.20,-1.1,4
107/10/12,8,87,10.50,11.50,10.50,11.50,0.3,7
107/10/15,9,110,11.50,11.80,11.50,11.50,0.0,6
107/10/16,249,"2,714",11.00,11.00,10.80,10.90,-0.6,7
107/10/17,14,157,11.00,11.50,10.85,10.85,-0.05,9
107/10/18,0,1,--,--,--,--,0.0,3
107/10/19,0,0,--,--,--,--,0.0,0
107/10/22,1,5,--,--,--,--,0.0,4
107/10/23,155,"1,704",11.00,11.00,10.50,11.00,0.15,6
107/10/24,0,0,--,--,--,--,0.0,0
107/10/25,14,143,9.91,11.35,9.91,11.35,0.35,8
107/10/26,0,0,--,--,--,--,0.0,2
107/10/29,0,0,--,--,--,--,0.0,1
107/10/30,1,11,11.10,11.10,11.10,11.10,0.0,1
107/10/31,2,23,11.60,11.60,11.60,11.60,0.5,1
107/11/01,2,22,10.50,11.55,10.50,11.55,-0.05,2
107/11/02,1,12,12.25,12.25,12.25,12.25,0.7,1
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,0,0,--,--,--,--,0.0,0
107/11/07,0,0,--,--,--,--,0.0,0
107/11/08,1,10,--,--,--,--,0.0,1
107/11/09,1,13,12.65,12.65,12.65,12.65,1.1,3
107/11/12,3,35,11.55,12.00,11.55,12.00,-0.65,4
107/11/13,0,0,--,--,--,--,0.0,0
107/11/14,12,157,13.15,13.15,13.00,13.15,1.15,5
107/11/15,67,871,12.85,13.15,12.80,13.10,-0.05,11
