date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"3,664,255","36,399,427",10.2,10.3,9.72,9.72,-0.38,"1,306"
107/07/03,"4,630,266","45,790,112",9.82,10.1,9.6,9.61,-0.11,"1,531"
107/07/04,"4,330,912","42,322,098",9.65,9.95,9.57,9.86,+0.25,908
107/07/05,"2,104,312","20,399,739",9.95,9.95,9.5,9.5,-0.36,728
107/07/06,"2,299,170","21,261,290",9.62,9.68,9.03,9.2,-0.30,831
107/07/09,"724,247","6,709,916",9.25,9.31,9.21,9.25,+0.05,365
107/07/10,"1,664,679","15,855,598",9.5,9.63,9.42,9.55,+0.30,712
107/07/11,"2,237,150","21,869,325",9.55,9.94,9.5,9.71,+0.16,864
107/07/12,"788,001","7,742,769",9.89,9.92,9.74,9.76,+0.05,355
107/07/13,"1,004,884","9,892,312",9.78,9.93,9.78,9.8,+0.04,374
107/07/16,"731,283","7,191,237",9.85,9.9,9.8,9.8, 0.00,294
107/07/17,"2,051,530","20,420,528",9.84,10.05,9.82,9.82,+0.02,676
107/07/18,"854,328","8,447,972",9.93,9.99,9.8,9.8,-0.02,354
107/07/19,"711,310","6,916,005",9.9,9.9,9.63,9.63,-0.17,297
107/07/20,"945,680","9,037,060",9.68,9.7,9.41,9.43,-0.20,338
107/07/23,"298,345","2,821,119",9.49,9.54,9.41,9.42,-0.01,156
107/07/24,"361,663","3,437,947",9.42,9.62,9.4,9.59,+0.17,182
107/07/25,"338,463","3,257,783",9.65,9.68,9.56,9.64,+0.05,147
107/07/26,"1,197,923","11,707,613",9.65,9.87,9.65,9.75,+0.11,370
107/07/27,"708,488","6,928,031",9.75,9.87,9.73,9.86,X0.00,286
107/07/30,"889,195","8,702,119",9.9,9.95,9.65,9.65,-0.21,352
107/07/31,"2,073,545","20,620,423",9.67,10.1,9.67,10.05,+0.40,749
107/08/01,"1,506,242","15,066,607",10.05,10.1,9.9,9.91,-0.14,497
107/08/02,"1,316,000","13,043,790",9.95,10.05,9.81,9.81,-0.10,510
107/08/03,"549,127","5,388,325",9.94,9.94,9.72,9.75,-0.06,251
107/08/06,"268,154","2,621,448",9.76,9.87,9.75,9.75, 0.00,145
107/08/07,"1,568,030","15,652,618",9.86,10.1,9.77,9.98,+0.23,505
107/08/08,"1,329,009","13,319,799",10.05,10.15,9.9,9.91,-0.07,427
107/08/09,"487,015","4,837,788",9.91,9.99,9.89,9.9,-0.01,198
107/08/10,"441,188","4,389,774",9.92,10.05,9.91,9.92,+0.02,174
107/08/13,"1,995,120","18,379,004",9.86,9.86,8.93,9.1,-0.82,663
107/08/14,"797,038","7,360,125",9.16,9.41,9.1,9.36,+0.26,254
107/08/15,"520,888","4,793,420",9.3,9.39,9.15,9.18,-0.18,218
107/08/16,"698,173","6,484,363",9.2,9.42,9.15,9.27,+0.09,328
107/08/17,"381,671","3,562,509",9.32,9.39,9.26,9.29,+0.02,156
107/08/20,"341,469","3,171,924",9.24,9.31,9.23,9.3,+0.01,126
107/08/21,"183,516","1,702,857",9.31,9.34,9.25,9.28,-0.02,102
107/08/22,"183,060","1,701,554",9.3,9.33,9.27,9.27,-0.01,100
107/08/23,"285,840","2,670,867",9.43,9.43,9.28,9.28,+0.01,110
107/08/24,"176,044","1,634,327",9.28,9.33,9.27,9.28, 0.00,75
107/08/27,"539,001","5,100,249",9.3,9.55,9.3,9.48,+0.20,219
107/08/28,"1,851,112","18,077,335",9.51,9.9,9.5,9.86,+0.38,655
107/08/29,"2,100,290","20,785,712",9.97,10.1,9.65,9.82,-0.04,718
107/08/30,"555,847","5,409,850",9.9,9.91,9.65,9.67,-0.15,254
107/08/31,"490,160","4,754,521",9.68,9.79,9.62,9.67, 0.00,160
107/09/03,"456,142","4,386,312",9.77,9.77,9.51,9.51,-0.16,174
107/09/04,"910,004","8,842,924",9.62,9.85,9.5,9.66,+0.15,388
107/09/05,"299,299","2,869,910",9.7,9.74,9.52,9.58,-0.08,151
107/09/06,"430,166","4,089,693",9.58,9.64,9.41,9.42,-0.16,201
107/09/07,"607,339","5,630,127",9.44,9.48,9.15,9.17,-0.25,241
107/09/10,"1,105,670","9,826,146",9.0,9.13,8.7,8.7,-0.47,439
107/09/11,"292,070","2,590,566",8.81,8.94,8.8,8.94,+0.24,143
107/09/12,"348,419","3,117,841",9.0,9.2,8.82,8.88,-0.06,153
107/09/13,"640,737","5,821,133",8.9,9.28,8.9,9.11,+0.23,257
107/09/14,"415,993","3,838,094",9.12,9.3,9.12,9.25,+0.14,171
107/09/17,"140,181","1,287,229",9.2,9.25,9.15,9.16,-0.09,63
107/09/18,"255,177","2,314,564",9.12,9.12,9.05,9.05,-0.11,104
107/09/19,"547,391","5,038,970",9.13,9.28,9.11,9.24,+0.19,297
107/09/20,"401,391","3,641,869",9.25,9.25,9.0,9.0,-0.24,217
107/09/21,"236,728","2,137,453",9.1,9.13,9.0,9.01,+0.01,120
107/09/25,"452,996","4,036,611",9.01,9.01,8.86,8.89,-0.12,223
107/09/26,"212,302","1,894,838",9.07,9.07,8.89,8.9,+0.01,109
107/09/27,"210,411","1,875,939",8.85,8.99,8.85,8.88,-0.02,80
107/09/28,"250,572","2,231,134",8.88,8.96,8.85,8.94,+0.06,113
107/10/01,"542,110","4,950,044",8.96,9.19,8.95,9.11,+0.17,302
107/10/02,"444,226","4,095,042",9.11,9.28,9.11,9.22,+0.11,200
107/10/03,"391,003","3,616,777",9.22,9.31,9.16,9.2,-0.02,149
107/10/04,"741,020","6,881,266",9.19,9.36,9.11,9.35,+0.15,312
