date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"277,001","24,730,289",87.0,90.5,87.0,89.1,+1.60,223
107/07/03,"177,156","15,627,428",89.0,89.1,87.8,87.8,-1.30,130
107/07/04,"103,003","9,010,364",87.5,88.8,86.7,87.4,-0.40,92
107/07/05,"141,351","12,226,809",87.9,87.9,85.0,85.5,-1.90,117
107/07/06,"180,200","15,198,900",87.0,87.0,83.2,85.5, 0.00,155
107/07/09,"108,161","9,323,146",86.0,87.0,85.5,86.0,+0.50,92
107/07/10,"194,200","16,966,200",86.3,88.5,86.3,88.5,+2.50,139
107/07/11,"104,022","9,069,218",88.5,88.5,86.7,87.5,-1.00,87
107/07/12,"122,101","10,651,898",87.1,87.7,87.0,87.3,-0.20,105
107/07/13,"283,313","24,638,998",87.3,88.0,86.6,86.6,-0.70,210
107/07/16,"185,199","15,630,311",83.8,84.9,83.8,84.6,X0.00,163
107/07/17,"189,116","16,085,204",85.1,85.7,84.6,85.4,+0.80,159
107/07/18,"207,029","17,883,587",85.5,86.9,85.5,85.8,+0.40,172
107/07/19,"1,123,068","101,621,121",87.8,91.5,87.8,90.1,+4.30,920
107/07/20,"4,394,469","425,520,724",90.1,99.0,90.1,97.8,+7.70,"2,969"
107/07/23,"2,481,660","235,110,060",98.0,100.5,90.0,91.0,-6.80,"1,918"
107/07/24,"1,144,985","107,596,752",92.0,96.9,91.5,96.9,+5.90,972
107/07/25,"4,486,108","450,121,646",95.5,103.5,94.7,100.5,+3.60,"3,371"
107/07/26,"2,308,150","236,361,950",101.0,104.0,100.5,103.0,+2.50,"1,787"
107/07/27,"1,320,288","135,976,376",104.0,104.5,101.5,103.0, 0.00,997
107/07/30,"1,107,898","112,030,798",103.5,103.5,98.7,101.0,-2.00,850
107/07/31,"2,255,816","229,241,461",102.0,104.5,98.1,98.6,-2.40,"1,716"
107/08/01,"1,237,400","124,416,698",99.5,102.5,98.5,101.0,+2.40,906
107/08/02,"891,353","88,303,022",101.0,101.5,98.0,99.0,-2.00,617
107/08/03,"1,014,154","102,722,329",100.5,102.5,99.4,102.0,+3.00,768
107/08/06,"655,099","66,557,598",102.5,103.0,100.5,102.0, 0.00,504
107/08/07,"481,200","48,738,000",103.0,103.0,100.0,100.5,-1.50,329
107/08/08,"563,350","56,173,230",101.5,101.5,98.1,99.3,-1.20,398
107/08/09,"295,200","29,203,800",100.5,100.5,98.5,98.8,-0.50,254
107/08/10,"1,059,513","102,271,383",98.0,98.1,94.8,95.1,-3.70,784
107/08/13,"1,208,400","110,773,478",94.0,94.9,89.0,91.0,-4.10,824
107/08/14,"344,379","32,167,116",92.0,95.0,91.6,95.0,+4.00,290
107/08/15,"287,293","26,918,321",95.4,95.4,92.3,93.5,-1.50,240
107/08/16,"542,770","52,025,466",93.5,96.6,92.1,95.2,+1.70,459
107/08/17,"311,523","30,096,998",96.2,98.1,95.5,95.6,+0.40,262
107/08/20,"173,050","16,356,870",95.6,95.6,94.0,94.5,-1.10,138
107/08/21,"168,126","16,126,807",95.0,96.7,95.0,96.6,+2.10,146
107/08/22,"195,260","18,661,730",97.0,97.0,95.2,95.5,-1.10,160
107/08/23,"261,000","24,533,400",95.5,95.5,93.0,94.0,-1.50,191
107/08/24,"70,150","6,576,500",94.6,94.6,93.0,94.0, 0.00,65
