date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"100,198","1,531,489",15.5,15.7,15.05,15.2,-0.3,75
107/07/03,"140,239","2,111,510",15.25,15.3,14.95,14.95,-0.25,76
107/07/04,"163,257","2,405,250",14.9,14.9,14.55,14.7,-0.25,83
107/07/05,"108,634","1,573,851",14.7,14.7,14.25,14.35,-0.35,76
107/07/06,"220,504","3,122,055",14.4,14.65,14.0,14.65,0.3,99
107/07/09,"63,031","907,639",14.65,14.65,14.3,14.3,-0.35,57
107/07/10,"63,289","899,274",14.25,14.3,14.15,14.2,-0.1,48
107/07/11,"198,523","2,785,216",14.1,14.1,13.9,13.9,-0.3,106
107/07/12,"69,245","982,752",13.9,14.4,13.9,14.35,0.45,47
107/07/13,"136,002","1,935,178",14.15,14.45,14.05,14.35,0.0,73
107/07/16,"114,501","1,654,814",14.35,14.5,14.35,14.5,0.15,78
107/07/17,"47,501","683,913",14.5,14.55,14.3,14.55,0.05,42
107/07/18,"83,151","1,188,827",14.4,14.5,14.2,14.2,-0.35,61
107/07/19,"45,450","648,589",14.2,14.4,14.2,14.2,0.0,30
107/07/20,"107,928","1,557,566",14.2,14.65,14.2,14.4,0.2,62
107/07/23,"75,353","1,065,442",14.2,14.2,14.05,14.05,-0.35,53
107/07/24,"105,389","1,485,571",14.05,14.2,14.0,14.2,0.15,55
107/07/25,"62,618","890,825",14.25,14.35,14.15,14.2,0.0,37
107/07/26,"90,403","1,283,881",14.15,14.3,14.15,14.15,-0.05,48
107/07/27,"109,795","1,562,987",14.15,14.4,14.1,14.35,0.2,71
107/07/30,"88,001","1,236,464",14.25,14.3,14.0,14.1,-0.25,58
107/07/31,"58,377","819,378",14.1,14.2,13.95,14.0,-0.1,46
107/08/01,"101,722","1,432,919",14.05,14.15,14.0,14.05,0.05,59
107/08/02,"107,409","1,498,526",14.0,14.05,13.9,13.9,-0.15,59
107/08/03,"75,301","1,056,578",13.9,14.15,13.9,14.1,0.2,43
107/08/06,"48,302","677,846",14.1,14.1,13.95,14.0,-0.1,43
107/08/07,"43,690","612,090",13.9,14.1,13.9,14.05,0.05,33
107/08/08,"61,131","863,384",14.0,14.25,14.0,14.05,0.0,43
107/08/09,"61,444","870,958",14.0,14.25,14.0,14.15,0.1,47
107/08/10,"186,392","2,686,692",14.2,14.6,14.2,14.45,0.3,122
107/08/13,"162,239","2,258,423",14.45,14.45,13.6,13.75,-0.7,120
107/08/14,"149,347","2,062,368",13.75,14.0,13.65,13.8,0.05,88
107/08/15,"122,644","1,688,084",13.85,14.0,13.6,13.85,0.05,60
107/08/16,"63,459","874,111",13.7,13.9,13.7,13.75,-0.1,28
107/08/17,"114,052","1,552,301",13.75,13.8,13.35,13.6,-0.15,65
107/08/20,"81,397","1,106,088",13.5,13.9,13.45,13.45,-0.15,51
107/08/21,"57,446","783,477",13.85,13.85,13.5,13.65,0.2,31
107/08/22,"51,001","689,713",13.55,13.6,13.45,13.5,-0.15,35
107/08/23,"94,087","1,294,609",13.5,13.9,13.5,13.9,0.4,71
107/08/24,"28,000","384,350",13.9,13.9,13.7,13.85,-0.05,21
107/08/27,"43,003","589,389",13.8,13.8,13.6,13.7,-0.15,24
107/08/28,"61,200","828,367",13.7,13.7,13.5,13.6,-0.1,39
107/08/29,"46,304","631,217",13.75,13.75,13.6,13.6,0.0,32
107/08/30,"251,926","3,364,315",13.6,13.6,13.25,13.4,-0.2,107
107/08/31,"84,255","1,132,703",13.4,13.5,13.35,13.4,0.0,53
107/09/03,"42,003","560,439",13.4,13.5,13.2,13.4,0.0,32
107/09/04,"105,235","1,400,159",13.2,13.5,13.2,13.5,0.1,72
107/09/05,"43,200","578,057",13.3,13.45,13.3,13.3,-0.2,31
107/09/06,"74,003","995,790",13.3,13.6,13.3,13.5,0.2,43
107/09/07,"148,018","2,022,689",13.5,13.95,13.4,13.5,0.0,107
107/09/10,"111,174","1,463,028",13.5,13.5,13.05,13.15,-0.35,72
107/09/11,"75,306","995,749",13.25,13.3,13.15,13.3,0.15,42
107/09/12,"73,034","965,244",13.7,13.7,13.1,13.1,-0.2,53
107/09/13,"49,470","654,752",13.4,13.45,13.1,13.1,0.0,44
107/09/14,"87,991","1,162,229",13.1,13.3,13.1,13.3,0.2,61
107/09/17,"89,662","1,171,536",13.3,13.3,13.0,13.0,-0.3,48
107/09/18,"68,816","897,158",13.0,13.15,13.0,13.1,0.1,50
107/09/19,"117,454","1,551,686",13.05,13.35,13.0,13.35,0.25,84
107/09/20,"35,113","467,541",13.15,13.35,13.15,13.25,-0.1,29
107/09/21,"123,722","1,647,500",13.4,13.45,13.2,13.4,0.15,67
107/09/25,"42,553","565,100",13.4,13.4,13.25,13.25,-0.15,43
107/09/26,"52,133","691,205",13.3,13.4,13.15,13.25,0.0,39
107/09/27,"47,284","626,598",13.4,13.4,13.15,13.25,0.0,36
107/09/28,"43,000","566,300",13.25,13.25,13.1,13.15,-0.1,28
107/10/01,"54,200","709,750",13.1,13.2,13.0,13.1,-0.05,43
107/10/02,"72,049","938,734",13.15,13.15,13.0,13.0,-0.1,43
107/10/03,"44,378","575,370",13.05,13.05,12.85,13.0,0.0,45
107/10/04,"21,100","272,133",13.05,13.05,12.85,12.9,-0.1,19
107/10/05,"80,725","1,020,689",12.85,12.9,12.55,12.55,-0.35,65
107/10/08,"116,006","1,430,422",12.55,12.55,12.15,12.15,-0.4,63
107/10/09,"103,034","1,244,009",12.15,12.15,12.0,12.05,-0.1,55
107/10/11,"239,207","2,614,099",11.8,11.8,10.85,10.85,-1.2,135
107/10/12,"195,336","1,995,895",9.82,10.8,9.82,10.45,-0.4,103
107/10/15,"116,257","1,202,756",10.45,10.7,10.0,10.25,-0.2,76
107/10/16,"53,391","560,342",10.3,10.6,10.3,10.5,0.25,45
107/10/17,"44,100","468,657",10.5,10.75,10.5,10.6,0.1,43
107/10/18,"28,054","296,110",10.6,10.65,10.45,10.5,-0.1,24
107/10/19,"48,193","512,510",10.2,11.0,10.2,10.65,0.15,43
107/10/22,"22,002","233,920",10.65,10.65,10.5,10.65,0.0,14
