date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,355,"19,677",55.5,57.0,54.8,54.8,-0.7,251
107/07/03,245,"13,411",54.8,54.9,54.5,54.5,-0.3,177
107/07/04,252,"13,676",54.5,54.5,54.1,54.2,-0.3,181
107/07/05,993,"54,799",54.2,56.1,54.0,54.0,-0.2,724
107/07/06,"1,297","67,474",53.5,53.6,51.3,51.6,-2.4,942
107/07/09,392,"20,236",52.8,52.8,51.4,51.6,0.0,284
107/07/10,189,"9,796",51.7,52.1,51.6,51.6,0.0,171
107/07/11,305,"15,686",51.6,51.8,51.1,51.2,-0.4,252
107/07/12,187,"9,631",51.2,51.8,51.1,51.6,0.4,142
107/07/13,263,"13,628",51.8,52.2,51.6,51.7,0.1,228
107/07/16,260,"13,448",51.7,52.1,51.6,51.7,0.0,208
107/07/17,273,"14,144",51.7,52.0,51.5,51.5,-0.2,245
107/07/18,244,"12,672",51.8,52.1,51.7,51.7,0.2,182
107/07/19,178,"9,244",51.7,52.0,51.6,51.9,0.2,151
107/07/20,214,"11,128",51.8,52.3,51.8,52.1,0.2,178
107/07/23,197,"10,226",52.1,52.1,51.6,51.7,-0.4,156
107/07/24,190,"9,854",51.9,52.0,51.5,51.9,0.2,150
107/07/25,150,"7,812",52.0,52.1,51.9,51.9,0.0,105
107/07/26,197,"10,207",51.9,52.1,51.7,51.8,-0.1,160
107/07/27,185,"9,611",51.9,52.3,51.9,52.1,0.3,139
107/07/30,163,"8,536",52.4,52.5,52.0,52.3,0.2,128
107/07/31,143,"7,443",52.3,52.4,52.1,52.2,-0.1,113
107/08/01,282,"14,880",52.2,53.2,52.2,53.0,0.8,235
107/08/02,298,"15,754",53.1,53.1,52.6,52.7,-0.3,209
107/08/03,228,"12,017",52.7,53.1,52.6,52.9,0.2,168
107/08/06,169,"8,938",52.9,53.1,52.8,52.8,-0.1,134
107/08/07,121,"6,397",52.8,52.9,52.6,52.8,0.0,97
107/08/08,242,"12,873",53.0,53.6,52.8,52.9,0.1,198
107/08/09,301,"15,895",52.9,53.1,52.7,53.0,0.1,214
107/08/10,406,"21,693",53.1,53.6,53.0,53.4,0.4,275
107/08/13,649,"34,056",53.3,53.3,51.6,52.2,-1.2,400
107/08/14,225,"11,776",52.4,52.9,52.0,52.8,0.6,194
107/08/15,"1,386","70,749",52.1,52.1,50.2,51.1,-1.7,913
107/08/16,356,"18,103",50.8,51.4,50.5,50.9,-0.2,308
