date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,66,"9,228",139.0,140.0,139.0,139.0,0.5,66
107/07/03,153,"21,004",139.0,139.5,136.0,136.0,-3.0,140
107/07/04,319,"42,866",136.5,136.5,132.5,132.5,-3.5,265
107/07/05,114,"15,180",133.0,134.0,132.5,132.5,0.0,109
107/07/06,417,"54,265",132.5,132.5,129.0,130.0,-2.5,331
107/07/09,65,"8,637",132.0,133.0,132.0,132.5,2.5,65
107/07/10,68,"9,071",133.5,134.0,133.0,134.0,1.5,61
107/07/11,51,"6,829",134.0,134.5,133.0,133.0,-1.0,48
107/07/12,101,"13,594",133.0,135.0,132.5,134.5,1.5,95
107/07/13,162,"22,019",135.5,136.5,135.0,135.5,1.0,153
107/07/16,113,"15,373",136.5,136.5,135.0,136.0,0.5,109
107/07/17,138,"18,824",136.0,137.0,136.0,136.5,0.5,124
107/07/18,233,"31,453",136.0,136.0,134.5,134.5,-2.0,169
107/07/19,127,"17,032",134.5,135.0,133.5,133.5,-1.0,105
107/07/20,652,"86,749",135.0,135.0,132.5,133.0,-0.5,107
107/07/23,90,"11,982",134.0,134.5,132.5,133.0,0.0,68
107/07/24,155,"20,719",133.5,135.0,132.5,133.0,0.0,126
107/07/25,112,"15,021",133.5,134.5,133.5,134.0,1.0,81
107/07/26,104,"13,986",135.0,135.0,133.5,134.0,0.0,77
107/07/27,249,"33,366",133.5,135.0,133.0,134.0,0.0,177
107/07/30,102,"13,694",134.0,134.5,133.5,133.5,-0.5,79
107/07/31,290,"38,915",133.5,134.5,133.5,134.0,0.5,244
107/08/01,626,"85,610",134.5,140.5,134.5,139.0,5.0,478
107/08/02,342,"46,867",139.5,139.5,136.0,136.5,-2.5,278
107/08/03,359,"49,219",136.5,138.0,136.5,137.0,0.5,281
107/08/06,220,"30,341",137.5,138.5,137.0,137.5,0.5,191
107/08/07,157,"21,452",137.5,137.5,136.0,136.5,-1.0,124
107/08/08,203,"27,820",136.5,137.0,136.5,136.5,0.0,146
107/08/09,"2,656","361,268",136.5,136.5,136.0,136.0,-0.5,138
107/08/10,"2,155","274,685",133.0,133.0,123.0,125.5,-10.5,"1,643"
107/08/13,908,"110,163",124.0,124.0,119.0,120.0,-5.5,756
107/08/14,781,"91,862",120.0,120.0,116.5,117.0,-3.0,654
107/08/15,555,"64,883",116.5,119.0,115.0,117.0,0.0,483
107/08/16,693,"82,497",117.5,120.5,117.0,119.0,2.0,563
107/08/17,636,"76,096",120.5,121.0,118.5,119.0,0.0,422
107/08/20,418,"50,130",119.5,121.0,119.0,119.5,0.5,347
107/08/21,411,"49,678",120.0,121.5,120.0,121.0,1.5,283
107/08/22,667,"82,312",122.5,125.0,122.0,122.5,1.5,546
107/08/23,744,"90,044",120.0,123.0,120.0,120.5,-2.0,421
107/08/24,907,"108,487",119.5,120.5,119.0,120.0,-0.5,569
107/08/27,"1,059","116,997",110.0,111.5,109.0,111.5,-0.5,602
107/08/28,267,"29,862",112.5,113.0,111.0,111.5,0.0,249
107/08/29,193,"21,578",112.0,112.5,111.0,111.0,-0.5,170
107/08/30,470,"51,584",111.0,111.5,108.0,108.5,-2.5,410
107/08/31,372,"40,220",108.5,108.5,107.0,108.5,0.0,289
107/09/03,334,"35,891",108.5,109.5,107.0,107.0,-1.5,276
107/09/04,339,"36,109",106.5,107.5,106.0,106.0,-1.0,276
107/09/05,620,"65,978",105.5,107.5,105.0,105.5,-0.5,385
107/09/06,585,"61,068",106.5,106.5,103.0,103.5,-2.0,487
107/09/07,"1,033","104,126",103.5,104.0,99.6,100.0,-3.5,752
107/09/10,"1,318","125,190",99.1,100.0,93.0,93.0,-7.0,"1,041"
107/09/11,625,"59,887",95.0,98.0,94.0,96.5,3.5,499
107/09/12,470,"45,085",97.4,97.9,94.6,94.9,-1.6,423
107/09/13,179,"17,158",95.2,96.4,95.2,95.7,0.8,157
107/09/14,341,"33,299",96.6,98.8,96.2,98.2,2.5,289
107/09/17,226,"22,195",97.4,98.7,96.8,98.0,-0.2,209
107/09/18,219,"21,214",97.2,98.3,96.5,96.5,-1.5,203
107/09/19,124,"12,022",96.7,97.7,96.3,96.6,0.1,115
107/09/20,170,"16,297",96.9,97.5,95.1,95.2,-1.4,162
107/09/21,262,"24,959",95.5,96.0,94.5,94.7,-0.5,239
107/09/25,327,"30,967",94.6,95.4,93.8,94.5,-0.2,265
107/09/26,265,"25,091",95.2,95.3,94.2,94.7,0.2,179
107/09/27,116,"10,991",95.0,95.3,93.8,93.8,-0.9,108
107/09/28,190,"17,906",94.7,94.7,93.9,94.6,0.8,175
107/10/01,229,"21,794",94.7,95.5,94.7,95.4,0.8,197
107/10/02,272,"25,974",95.5,96.1,94.8,94.8,-0.6,226
107/10/03,266,"25,118",94.9,95.0,94.0,94.0,-0.8,227
107/10/04,324,"30,170",94.0,94.0,92.9,92.9,-1.1,287
107/10/05,757,"67,440",92.5,92.5,86.6,87.9,-5.0,645
107/10/08,253,"22,187",87.2,89.3,86.8,87.5,-0.4,233
107/10/09,377,"32,382",87.5,88.0,85.0,85.1,-2.4,308
107/10/11,936,"72,502",76.7,79.0,76.7,78.2,-6.9,695
107/10/12,595,"47,070",77.5,80.7,77.5,80.0,1.8,514
107/10/15,283,"23,075",80.1,82.1,80.1,81.3,1.3,251
107/10/16,289,"23,874",81.5,83.4,81.4,82.4,1.1,244
107/10/17,182,"15,209",82.9,83.9,82.9,83.2,0.8,159
107/10/18,156,"13,049",83.0,84.3,82.5,83.5,0.3,150
107/10/19,416,"33,289",82.5,82.5,78.6,80.1,-3.4,345
107/10/22,515,"40,761",78.5,79.6,78.2,79.0,-1.1,438
107/10/23,390,"30,441",78.9,79.0,77.2,77.2,-1.8,320
107/10/24,413,"31,822",77.0,78.1,76.2,76.7,-0.5,352
107/10/25,553,"40,633",73.7,74.0,73.0,73.1,-3.6,452
107/10/26,275,"20,152",74.2,75.0,72.3,72.8,-0.3,229
107/10/29,264,"19,394",73.2,73.9,73.0,73.5,0.7,226
107/10/30,424,"31,925",73.8,76.1,73.8,75.5,2.0,369
107/10/31,452,"35,256",77.4,79.0,77.0,79.0,3.5,365
107/11/01,344,"27,557",79.0,80.9,78.8,79.5,0.5,290
107/11/02,307,"24,648",80.0,81.2,79.3,80.1,0.6,252
107/11/05,818,"69,165",82.0,87.7,81.5,83.0,2.9,698
107/11/06,371,"30,216",83.6,83.8,80.3,80.3,-2.7,316
107/11/07,239,"19,610",80.5,82.8,80.4,82.7,2.4,214
107/11/08,205,"17,000",83.8,83.9,82.1,82.4,-0.3,181
107/11/09,237,"19,104",82.2,82.3,80.0,80.3,-2.1,213
107/11/12,"1,008","74,953",74.0,76.7,73.5,74.0,-6.3,824
107/11/13,335,"24,558",72.7,74.0,72.4,73.3,-0.7,288
107/11/14,269,"19,801",73.3,74.2,73.1,73.3,0.0,230
107/11/15,575,"41,174",73.3,73.7,70.7,71.3,-2.0,483
107/11/16,332,"23,611",71.3,71.7,70.6,71.5,0.2,293
107/11/19,464,"34,076",71.8,74.5,71.8,72.9,1.4,422
107/11/20,304,"22,157",72.5,73.6,72.3,72.4,-0.5,281
107/11/21,262,"18,989",72.5,73.0,72.1,72.5,0.1,219
107/11/22,311,"22,530",72.6,73.2,72.0,72.0,-0.5,276
107/11/23,318,"22,518",72.1,72.1,70.2,70.6,-1.4,300
107/11/26,250,"17,905",70.6,72.8,70.6,71.1,0.5,224
107/11/27,328,"23,846",71.8,73.7,71.3,73.3,2.2,285
107/11/28,351,"26,007",73.4,74.7,73.0,74.5,1.2,283
107/11/29,643,"48,545",74.9,76.4,74.1,75.1,0.6,495
107/11/30,"2,118","156,698",75.6,77.4,73.1,73.1,-2.0,657
107/12/03,"1,412","109,159",74.6,79.9,74.6,79.0,5.9,"1,049"
107/12/04,"1,386","113,965",80.0,83.8,79.9,82.8,3.8,"1,130"
107/12/05,545,"44,337",81.8,82.2,79.8,81.6,-1.2,464
107/12/06,555,"44,886",82.3,83.1,79.1,79.1,-2.5,445
107/12/07,409,"33,033",79.5,82.4,79.4,81.9,2.8,338
107/12/10,553,"43,355",80.0,80.1,77.3,78.2,-3.7,455
107/12/11,342,"27,084",78.2,80.1,78.2,80.0,1.8,302
107/12/12,"1,723","144,651",82.6,85.2,82.0,84.9,4.9,"1,380"
107/12/13,"3,390","300,265",86.6,91.6,85.2,88.0,3.1,"2,789"
107/12/14,"1,266","112,328",88.5,91.0,87.5,87.5,-0.5,"1,075"
107/12/17,"1,063","94,814",88.2,90.4,87.5,88.2,0.7,888
107/12/18,635,"55,062",86.9,87.8,85.7,86.5,-1.7,524
107/12/19,495,"42,007",86.5,86.5,84.2,84.5,-2.0,401
107/12/20,472,"39,264",83.7,83.9,82.2,83.1,-1.4,348
107/12/21,586,"50,178",81.9,88.0,81.9,86.5,3.4,511
107/12/22,252,"21,744",86.6,87.4,85.2,86.0,-0.5,192
107/12/24,195,"16,583",86.5,86.5,84.5,84.7,-1.3,170
107/12/25,277,"22,903",83.9,83.9,81.2,82.3,-2.4,231
107/12/26,216,"17,802",83.8,83.8,81.1,81.1,-1.2,180
107/12/27,235,"19,446",82.5,83.5,82.0,82.0,0.9,206
107/12/28,281,"23,026",82.1,83.2,80.5,82.1,0.1,211
108/01/02,143,"11,767",82.2,82.9,81.6,82.1,0.0,123
108/01/03,271,"22,072",81.2,82.4,80.8,80.8,-1.3,247
108/01/04,416,"33,039",79.9,80.5,77.8,80.0,-0.8,355
108/01/07,281,"23,227",81.6,83.4,81.0,82.7,2.7,261
108/01/08,321,"26,668",82.7,84.0,81.5,83.0,0.3,304
108/01/09,299,"24,986",83.9,84.3,82.4,83.2,0.2,264
108/01/10,613,"52,026",83.2,86.3,82.5,86.0,2.8,505
108/01/11,"1,644","145,675",87.8,90.2,87.1,87.2,1.2,"1,373"
108/01/14,909,"80,582",89.5,89.5,87.7,87.9,0.7,739
108/01/15,"1,713","154,829",88.8,92.0,88.5,90.0,2.1,"1,360"
108/01/16,"1,722","159,373",91.2,93.8,91.0,93.1,3.1,"1,430"
108/01/17,"1,268","117,193",94.3,95.1,91.1,91.2,-1.9,"1,039"
108/01/18,818,"73,881",92.0,92.0,89.5,90.1,-1.1,665
108/01/21,689,"62,133",91.3,91.5,88.8,91.3,1.2,588
108/01/22,497,"45,257",91.8,92.4,90.1,90.2,-1.1,465
108/01/23,539,"48,916",90.2,91.7,89.3,91.7,1.5,454
108/01/24,949,"88,126",92.3,93.8,91.6,92.6,0.9,816
108/01/25,668,"62,232",92.8,94.0,92.6,92.7,0.1,582
108/01/28,571,"52,269",92.6,93.0,90.6,90.6,-2.1,527
108/01/29,324,"29,124",90.0,91.3,89.1,89.6,-1.0,297
108/01/30,288,"25,827",89.6,90.3,89.3,89.4,-0.2,233
108/02/11,195,"17,496",89.8,90.6,89.4,89.4,0.0,157
108/02/12,560,"50,453",89.6,90.7,89.5,90.0,0.6,384
108/02/13,658,"59,524",90.6,91.9,89.6,91.6,1.6,512
108/02/14,"1,678","158,822",94.0,96.4,93.0,95.2,3.6,"1,345"
108/02/15,510,"47,871",95.2,95.2,93.0,93.4,-1.8,448
108/02/18,552,"52,489",94.4,96.1,94.1,94.7,1.3,440
108/02/19,735,"71,079",96.7,98.0,95.6,95.8,1.1,621
108/02/20,491,"46,814",96.2,97.2,94.5,94.6,-1.2,428
108/02/21,335,"31,815",95.4,95.7,94.0,95.4,0.8,280
108/02/22,253,"24,174",95.0,96.0,95.0,95.4,0.0,232
108/02/25,699,"67,883",96.5,98.0,95.6,97.5,2.1,601
108/02/26,400,"38,849",98.1,98.2,96.6,96.6,-0.9,363
108/02/27,383,"36,471",96.9,96.9,93.5,96.0,-0.6,348
108/03/04,259,"24,681",96.1,96.7,94.5,94.7,-1.3,234
108/03/05,215,"20,274",94.5,95.5,93.7,93.9,-0.8,193
108/03/06,111,"10,508",94.0,94.8,94.0,94.1,0.2,102
108/03/07,332,"30,861",94.7,94.7,91.7,91.7,-2.4,283
108/03/08,501,"45,004",91.5,91.5,88.9,89.6,-2.1,436
108/03/11,336,"30,678",90.1,92.0,89.8,91.6,2.0,320
108/03/12,306,"27,925",91.6,92.3,90.3,90.7,-0.9,293
108/03/13,228,"20,612",90.7,91.4,90.0,90.2,-0.5,217
108/03/14,213,"19,221",90.7,91.0,89.7,90.0,-0.2,212
108/03/15,270,"24,333",90.3,90.7,89.2,90.4,0.4,242
108/03/18,251,"22,533",90.7,90.8,89.2,89.2,-1.2,219
108/03/19,544,"48,395",89.2,90.2,88.0,88.5,-0.7,474
108/03/20,192,"17,064",88.6,89.5,88.5,89.1,0.6,182
108/03/21,232,"20,878",89.1,90.3,89.1,90.3,1.2,191
108/03/22,215,"19,300",90.7,90.7,89.4,89.6,-0.7,196
108/03/25,367,"32,137",89.3,89.3,86.8,87.0,-2.6,328
108/03/26,179,"15,649",87.0,87.9,87.0,87.6,0.6,165
108/03/27,330,"28,510",87.6,88.0,86.0,86.5,-1.1,315
108/03/28,442,"37,685",86.0,86.3,85.0,85.0,-1.5,360
108/03/29,234,"20,158",85.0,86.7,85.0,86.4,1.4,213
108/04/01,252,"21,964",87.0,87.9,86.5,87.3,0.9,218
108/04/02,434,"38,554",87.1,90.0,87.1,89.9,2.6,354
108/04/03,167,"14,981",89.9,90.2,89.0,89.8,-0.1,150
108/04/08,195,"17,466",89.9,90.2,89.2,89.6,-0.2,160
108/04/09,394,"35,453",90.2,90.5,89.6,90.1,0.5,323
108/04/10,281,"25,283",90.6,90.6,89.6,89.6,-0.5,246
108/04/11,313,"28,007",90.0,90.4,88.8,88.8,-0.8,252
108/04/12,172,"15,280",89.0,89.8,88.0,88.0,-0.8,154
108/04/15,150,"13,176",87.9,88.6,87.5,88.0,0.0,137
108/04/16,218,"19,237",88.1,88.6,87.9,88.0,0.0,213
108/04/17,144,"12,804",88.5,89.1,88.1,88.8,0.8,128
108/04/18,191,"17,042",89.5,90.0,88.1,88.1,-0.7,159
108/04/19,141,"12,515",88.9,89.3,88.2,89.3,1.2,130
108/04/22,297,"26,780",89.6,90.6,89.6,90.5,1.2,249
108/04/23,222,"19,996",90.5,90.7,89.4,89.6,-0.9,174
108/04/24,153,"13,712",89.6,90.3,89.0,89.0,-0.6,132
108/04/25,110,"9,747",88.6,89.4,88.4,89.0,0.0,99
108/04/26,168,"14,820",89.0,89.0,87.8,88.1,-0.9,127
108/04/29,257,"22,368",88.4,88.4,86.0,86.0,-2.1,228
108/04/30,97,"8,420",86.1,86.9,86.1,86.4,0.4,82
108/05/02,44,"3,828",86.1,87.0,86.1,86.8,0.4,39
108/05/03,101,"8,893",87.5,88.4,87.3,87.7,0.9,91
108/05/06,344,"29,465",87.5,87.5,85.0,85.1,-2.6,315
108/05/07,276,"23,423",85.1,85.8,84.5,84.5,-0.6,246
108/05/08,"1,297","104,041",83.0,83.0,78.5,79.2,-5.3,"1,023"
108/05/09,393,"31,196",79.2,80.1,79.0,79.3,0.1,303
108/05/10,364,"28,797",79.4,80.3,78.1,78.3,-1.0,277
108/05/13,637,"47,754",77.6,77.8,73.6,73.7,-4.6,499
108/05/14,472,"34,302",72.9,73.6,71.2,73.2,-0.5,359
108/05/15,270,"19,990",73.4,74.5,73.4,74.2,1.0,249
108/05/16,121,"8,927",74.7,74.7,73.3,73.9,-0.3,95
108/05/17,214,"15,628",73.9,74.1,72.5,72.5,-1.4,185
