date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,364,419","72,381,323",53.5,54.6,52.2,52.8,-0.2,738
107/07/03,"1,226,250","65,549,474",52.8,54.3,52.8,53.4,0.6,687
107/07/04,"7,241,895","416,891,823",53.8,58.7,53.8,58.7,5.3,"3,479"
107/07/05,"14,830,567","867,980,159",59.1,60.7,54.9,56.9,-1.8,"7,397"
107/07/06,"3,831,274","210,398,196",56.1,57.4,52.2,57.3,0.4,"2,187"
107/07/09,"2,162,772","118,771,454",57.2,57.3,54.0,54.1,-3.2,"1,559"
107/07/10,"1,290,890","68,855,503",54.5,54.6,52.8,53.9,-0.2,792
107/07/11,"3,201,051","178,451,809",53.8,56.9,53.0,55.4,1.5,"2,048"
107/07/12,"9,747,674","584,601,630",56.0,60.9,55.9,60.9,5.5,"5,012"
107/07/13,"14,506,800","942,754,197",62.8,66.9,62.5,66.9,6.0,"8,343"
107/07/16,"23,065,235","1,617,970,984",70.8,72.5,67.3,71.6,4.7,"14,050"
107/07/17,"10,940,404","775,085,409",70.9,73.6,69.0,69.7,-1.9,"7,429"
107/07/18,"9,099,299","636,705,942",69.6,72.5,67.3,68.5,-1.2,"6,147"
107/07/19,"4,923,733","305,528,025",62.1,63.4,61.7,61.7,-6.8,"2,309"
107/07/20,"7,952,200","466,129,900",60.1,60.8,56.5,57.3,-4.4,"4,881"
107/07/23,"2,986,020","173,587,540",57.0,59.7,56.9,57.4,0.1,"1,954"
107/07/24,"1,595,350","92,012,993",57.0,58.9,56.7,57.9,0.5,"1,058"
107/07/25,"1,238,150","72,316,302",57.3,59.2,57.2,58.7,0.8,863
107/07/26,"1,495,400","88,572,500",58.7,60.3,58.7,58.7,0.0,975
107/07/27,"907,334","53,439,367",58.7,59.5,58.5,59.5,0.8,612
107/07/30,"1,844,083","106,055,048",59.0,59.5,56.0,56.0,-3.5,"1,138"
107/07/31,"957,130","54,437,158",56.2,57.4,56.2,56.6,0.6,587
107/08/01,"1,071,120","61,586,151",56.9,58.2,56.7,57.1,0.5,649
107/08/02,"1,540,444","86,296,916",56.8,57.4,55.1,57.1,0.0,927
107/08/03,"788,108","44,780,556",56.9,57.7,56.2,56.8,-0.3,557
107/08/06,"495,314","28,189,854",57.1,57.8,56.5,57.5,0.7,310
107/08/07,"438,050","25,279,889",57.2,58.1,57.2,58.1,0.6,331
107/08/08,"838,079","49,127,282",58.3,59.4,57.8,57.8,-0.3,578
107/08/09,"537,200","30,791,360",57.8,57.8,56.8,57.8,0.0,344
107/08/10,"736,491","41,917,488",57.6,57.7,56.4,56.9,-0.9,435
107/08/13,"1,147,739","58,887,910",51.3,51.7,51.3,51.3,-5.6,494
107/08/14,"2,810,036","136,076,399",48.5,51.0,46.5,50.4,-0.9,"1,770"
107/08/15,"1,564,622","75,894,528",50.0,50.0,47.55,49.0,-1.4,"1,032"
107/08/16,"616,564","30,491,667",47.6,50.5,47.6,49.75,0.75,444
107/08/17,"951,622","46,244,756",49.8,50.4,48.0,48.0,-1.75,570
107/08/20,"1,122,271","53,035,977",47.5,48.35,46.05,47.75,-0.25,635
107/08/21,"586,554","28,296,477",47.7,49.3,47.1,48.7,0.95,406
107/08/22,"312,849","15,218,435",48.4,49.3,48.05,48.2,-0.5,250
107/08/23,"480,276","23,149,966",48.5,49.0,47.45,48.05,-0.15,313
107/08/24,"454,137","21,756,207",48.45,48.7,47.5,47.5,-0.55,326
107/08/27,"327,002","15,884,846",47.55,48.9,47.55,48.6,1.1,219
107/08/28,"305,153","14,829,118",48.6,49.05,48.1,48.1,-0.5,196
107/08/29,"302,400","14,711,308",48.5,49.1,48.15,48.15,0.05,207
107/08/30,"610,299","30,122,550",48.7,50.2,48.3,50.0,1.85,360
107/08/31,"617,300","30,697,120",50.0,50.5,49.1,49.4,-0.6,432
107/09/03,"454,096","22,035,227",49.45,49.85,48.05,48.2,-1.2,325
107/09/04,"462,093","22,221,472",48.2,48.45,47.8,48.05,-0.15,219
107/09/05,"250,243","12,054,188",48.45,48.7,47.75,47.9,-0.15,163
107/09/06,"409,300","19,607,360",47.5,48.15,47.5,47.8,-0.1,192
107/09/07,"2,647,407","116,575,470",47.8,47.8,43.05,43.05,-4.75,"1,355"
107/09/10,"2,290,816","94,466,897",43.05,43.5,39.2,40.5,-2.55,"1,475"
107/09/11,"1,647,067","71,140,333",42.7,44.55,41.5,44.55,4.05,"1,098"
107/09/12,"1,870,172","83,902,338",44.6,46.9,43.15,45.3,0.75,"1,352"
107/09/13,"759,360","34,063,351",45.3,46.25,44.0,44.05,-1.25,503
107/09/14,"1,345,532","62,565,984",44.25,48.0,44.25,46.6,2.55,885
107/09/17,"451,003","21,002,638",46.8,47.0,45.7,46.55,-0.05,326
107/09/18,"577,005","26,133,425",46.0,46.55,44.25,45.0,-1.55,417
107/09/19,"291,448","13,081,723",45.2,45.85,44.5,44.5,-0.5,234
107/09/20,"352,086","15,549,976",44.6,45.1,43.65,43.75,-0.75,251
107/09/21,"273,200","12,030,900",44.1,44.4,43.75,43.85,0.1,195
107/09/25,"438,420","19,808,195",44.05,45.9,43.55,45.6,1.75,326
107/09/26,"177,000","7,933,100",44.8,45.4,44.55,44.55,-1.05,146
107/09/27,"258,434","11,427,131",44.2,44.75,43.95,43.95,-0.6,172
107/09/28,"278,213","12,166,874",43.55,44.3,43.55,43.55,-0.4,185
107/10/01,"371,704","16,203,755",44.0,44.2,43.0,43.9,0.35,223
107/10/02,"297,554","13,190,276",43.95,45.0,43.9,44.0,0.1,221
107/10/03,"428,285","18,455,039",44.0,44.5,42.15,42.5,-1.5,326
107/10/04,"653,000","27,123,650",42.35,43.2,40.6,41.4,-1.1,459
107/10/05,"916,500","36,748,750",41.4,41.55,39.0,40.5,-0.9,482
107/10/08,"449,567","17,910,241",39.4,40.5,39.0,40.2,-0.3,304
107/10/09,"663,133","26,021,741",40.2,40.3,38.5,38.8,-1.4,452
107/10/11,"1,401,680","49,106,765",35.1,35.9,34.95,34.95,-3.85,574
107/10/12,"855,383","29,983,950",34.95,36.0,33.7,35.65,0.7,564
107/10/15,"604,062","21,214,507",36.0,36.2,34.35,34.5,-1.15,441
107/10/16,"566,200","19,828,620",33.9,35.85,33.9,34.55,0.05,413
107/10/17,"659,052","23,328,916",35.6,36.4,34.9,35.0,0.45,413
107/10/18,"2,123,049","68,775,291",35.6,35.6,31.5,31.5,-3.5,"1,154"
107/10/19,"2,139,068","66,323,303",31.05,33.3,29.8,33.3,1.8,"1,368"
107/10/22,"1,615,143","55,611,226",33.3,36.0,32.1,35.7,2.4,"1,006"
107/10/23,"931,050","32,586,095",35.0,36.1,34.2,34.55,-1.15,673
107/10/24,"738,100","25,820,559",34.55,36.0,33.5,35.0,0.45,534
107/10/25,"959,223","31,944,164",33.65,34.5,32.15,32.8,-2.2,673
107/10/26,"707,355","23,325,661",33.2,33.75,32.3,32.8,0.0,416
107/10/29,"382,005","12,573,315",33.55,33.75,32.15,32.4,-0.4,240
107/10/30,"508,050","16,225,320",32.4,32.8,31.35,31.85,-0.55,326
107/10/31,"694,566","23,150,680",32.2,34.5,32.1,33.95,2.1,481
107/11/01,"675,600","23,787,069",33.9,36.0,33.7,34.9,0.95,409
107/11/02,"886,050","31,797,280",34.9,37.0,34.8,35.6,0.7,584
107/11/05,"354,131","12,621,752",35.25,36.05,35.0,35.9,0.3,209
107/11/06,"343,400","12,073,380",35.8,36.4,34.0,34.4,-1.5,239
107/11/07,"289,002","10,130,220",34.4,35.7,34.4,35.1,0.7,190
107/11/08,"232,259","8,160,522",36.0,36.3,34.7,34.75,-0.35,174
107/11/09,"242,100","8,471,200",35.4,35.55,34.75,35.0,0.25,162
107/11/12,"374,002","12,693,916",34.55,35.0,33.3,33.35,-1.65,256
107/11/13,"421,001","13,726,333",32.15,34.0,31.0,33.85,0.5,298
107/11/14,"211,172","7,246,734",34.35,34.8,33.65,34.7,0.85,155
107/11/15,"243,170","8,404,981",35.25,35.25,34.2,34.3,-0.4,160
107/11/16,"689,001","24,578,285",34.85,36.55,34.7,35.1,0.8,459
107/11/19,"197,010","7,035,707",35.75,35.85,35.3,35.85,0.75,145
107/11/20,"257,000","9,203,350",35.3,36.5,35.3,35.5,-0.35,200
107/11/21,"381,000","13,434,050",35.0,35.7,35.0,35.1,-0.4,255
107/11/22,"1,072,119","37,207,126",35.4,36.35,33.8,33.8,-1.3,790
107/11/23,"928,647","30,342,291",33.6,33.8,32.2,32.5,-1.3,628
107/11/26,"1,021,100","32,435,350",32.5,33.3,31.0,31.75,-0.75,736
107/11/27,"680,759","21,985,192",31.8,32.95,31.65,32.75,1.0,512
107/11/28,"566,313","18,722,235",32.5,33.65,32.5,33.2,0.45,408
107/11/29,"748,328","25,520,052",33.9,34.8,33.5,33.7,0.5,499
107/11/30,"514,518","17,622,174",33.7,34.75,33.7,34.7,1.0,372
107/12/03,"972,287","35,200,051",36.0,36.6,35.25,36.6,1.9,628
107/12/04,"512,621","18,415,171",36.85,36.85,35.45,35.5,-1.1,331
107/12/05,"400,198","13,906,089",34.55,35.25,34.45,35.25,-0.25,269
107/12/06,"526,336","17,945,306",35.25,35.25,33.5,33.95,-1.3,331
107/12/07,"393,000","13,436,550",34.45,34.7,33.6,34.4,0.45,225
107/12/10,"840,992","29,449,160",34.0,35.6,33.8,35.1,0.7,483
107/12/11,"334,177","11,694,332",34.95,35.45,34.65,34.8,-0.3,223
107/12/12,"2,962,821","111,655,551",35.2,38.25,35.0,38.25,3.45,"1,449"
107/12/13,"4,512,600","178,487,149",39.95,40.55,38.55,38.55,0.3,"2,807"
107/12/14,"1,143,004","43,133,152",37.8,38.4,37.1,38.3,-0.25,789
107/12/17,"1,529,003","59,077,626",38.5,39.95,37.4,37.4,-0.9,"1,113"
107/12/18,"903,000","33,445,050",37.3,38.0,36.8,36.85,-0.55,490
107/12/19,"449,521","16,581,489",37.7,37.7,36.7,36.75,-0.1,280
107/12/20,"1,105,050","40,017,700",36.9,36.9,35.9,35.9,-0.85,522
107/12/21,"769,008","27,190,538",35.5,36.05,34.5,36.05,0.15,473
107/12/22,"219,227","7,793,708",35.85,35.95,35.4,35.5,-0.55,166
107/12/24,"309,345","11,112,462",35.95,36.75,35.5,35.55,0.05,225
107/12/25,"577,000","19,896,350",35.0,35.0,34.05,34.3,-1.25,362
107/12/26,"342,005","11,716,365",34.55,34.9,33.8,33.8,-0.5,233
107/12/27,"322,393","11,080,020",34.55,34.85,34.15,34.15,0.35,232
107/12/28,"122,562","4,201,225",33.95,34.5,33.95,34.3,0.15,84
108/01/02,"249,101","8,532,858",34.9,35.0,34.0,34.25,-0.05,131
108/01/03,"141,002","4,829,520",34.35,34.65,34.05,34.1,-0.15,93
108/01/04,"415,450","13,887,660",33.85,33.85,33.0,33.45,-0.65,258
108/01/07,"258,015","8,792,425",34.1,34.5,33.9,33.9,0.45,191
108/01/08,"197,000","6,690,950",33.9,34.45,33.6,34.0,0.1,143
108/01/09,"307,050","10,665,675",34.0,35.25,34.0,34.5,0.5,216
108/01/10,"317,101","10,801,044",34.9,34.9,33.8,33.9,-0.6,203
108/01/11,"169,001","5,736,385",34.5,34.5,33.8,33.85,-0.05,128
108/01/14,"486,004","16,594,033",34.35,34.7,34.0,34.1,0.25,209
108/01/15,"263,004","8,977,385",34.1,34.45,34.05,34.05,-0.05,206
108/01/16,"450,009","15,292,570",34.05,34.35,33.8,33.9,-0.15,201
108/01/17,"158,498","5,388,931",34.25,34.5,33.6,33.7,-0.2,127
108/01/18,"96,050","3,268,394",33.85,34.3,33.85,33.9,0.2,86
108/01/21,"161,300","5,453,673",34.3,34.3,33.65,33.75,-0.15,132
108/01/22,"554,038","18,312,226",33.6,33.7,32.75,32.8,-0.95,349
108/01/23,"160,004","5,279,590",32.8,33.4,32.6,33.1,0.3,138
108/01/24,"172,101","5,740,788",33.25,33.7,33.0,33.05,-0.05,155
108/01/25,"369,717","12,194,869",33.05,33.4,32.85,32.95,-0.1,251
108/01/28,"233,075","7,689,895",33.0,33.25,32.9,33.1,0.15,189
108/01/29,"201,428","6,611,029",33.3,33.3,32.6,33.05,-0.05,139
108/01/30,"160,163","5,307,852",33.25,33.3,32.95,33.15,0.1,127
108/02/11,"471,300","16,203,183",33.2,35.0,33.2,34.5,1.35,388
108/02/12,"904,709","31,904,921",34.8,35.8,34.5,35.8,1.3,504
108/02/13,"694,509","24,859,348",36.3,36.55,35.35,35.9,0.1,427
108/02/14,"614,400","22,430,887",36.0,37.2,35.8,36.35,0.45,418
108/02/15,"492,512","17,753,321",36.7,36.8,35.7,35.75,-0.6,299
108/02/18,"293,690","10,596,776",35.65,36.4,35.65,36.2,0.45,221
108/02/19,"565,059","20,610,626",36.55,36.8,35.9,36.0,-0.2,287
108/02/20,"349,467","12,639,789",36.35,36.5,35.9,36.15,0.15,237
108/02/21,"1,747,114","66,003,247",36.45,38.6,36.1,38.3,2.15,"1,169"
108/02/22,"667,351","25,295,757",38.1,38.2,37.6,37.8,-0.5,440
108/02/25,"383,414","14,436,326",38.4,38.4,37.3,37.8,0.0,247
108/02/26,"420,050","15,785,367",38.0,38.0,37.3,37.3,-0.5,271
108/02/27,"497,341","18,079,907",37.4,37.5,35.55,36.0,-1.3,358
108/03/04,"686,669","25,498,518",36.1,38.15,36.1,38.15,2.15,456
108/03/05,"843,250","31,910,634",38.0,38.9,37.15,37.15,-1.0,537
108/03/06,"519,130","19,200,099",37.1,37.4,36.8,36.95,-0.2,303
108/03/07,"339,350","12,381,715",36.7,37.65,36.25,36.3,-0.65,248
108/03/08,"287,143","10,290,670",35.8,36.1,35.65,35.85,-0.45,210
108/03/11,"219,346","7,880,916",35.8,36.35,35.8,35.8,-0.05,164
108/03/12,"190,002","6,869,972",36.4,36.45,36.0,36.3,0.5,155
108/03/13,"219,400","7,930,800",36.6,36.6,36.0,36.0,-0.3,148
108/03/14,"288,016","10,590,026",36.4,37.3,36.25,36.9,0.9,244
108/03/15,"245,005","9,006,331",36.9,37.2,36.45,36.5,-0.4,190
108/03/18,"324,906","12,032,260",37.8,37.8,36.75,36.95,0.45,252
108/03/19,"1,195,780","45,324,299",37.45,38.8,36.95,38.55,1.6,757
108/03/20,"3,542,438","146,726,369",38.65,42.4,38.65,42.4,3.85,"1,605"
108/03/21,"12,171,811","521,402,900",42.8,43.7,41.85,43.0,0.6,"6,194"
108/03/22,"2,358,803","100,404,226",42.95,43.4,41.8,42.0,-1.0,"1,391"
108/03/25,"1,832,885","72,681,978",41.0,41.0,38.7,38.9,-3.1,"1,115"
108/03/26,"4,669,150","195,063,307",39.5,42.75,39.5,42.75,3.85,"2,545"
108/03/27,"2,586,901","109,037,674",42.0,43.0,41.2,42.7,-0.05,"1,654"
108/03/28,"824,463","34,537,407",42.1,42.6,41.6,41.6,-1.1,600
