date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,753,"1,279",--,--,--,--, 0.00,4
107/07/03,"29,001","48,421",1.66,1.68,1.66,1.68,X0.00,7
107/07/04,"1,750","2,983",1.74,1.74,1.74,1.74,+0.06,5
107/07/05,"52,501","88,211",1.84,1.84,1.66,1.68,-0.06,14
107/07/06,"16,348","27,760",1.68,1.73,1.68,1.73,+0.05,7
107/07/09,"93,535","155,711",1.66,1.67,1.66,1.67,-0.06,22
107/07/10,"22,804","37,801",1.67,1.67,1.65,1.65,-0.02,10
107/07/11,"31,267","51,661",1.65,1.69,1.65,1.69,+0.04,16
107/07/12,"75,111","121,899",1.64,1.64,1.62,1.62,-0.07,21
107/07/13,"153,000","242,718",1.62,1.62,1.57,1.57,-0.05,24
107/07/16,"197,332","304,497",1.51,1.68,1.51,1.51,-0.06,45
107/07/17,"296,500","429,715",1.46,1.46,1.44,1.44,-0.07,33
107/07/18,"208,022","283,629",1.38,1.38,1.36,1.36,-0.08,27
107/07/19,"486,750","626,403",1.36,1.36,1.23,1.23,-0.13,69
107/07/20,"430,599","566,237",1.24,1.35,1.24,1.35,+0.12,43
107/07/23,"293,126","433,823",1.48,1.48,1.48,1.48,+0.13,40
107/07/24,"178,861","289,754",1.62,1.62,1.62,1.62,+0.14,38
107/07/25,"175,379","312,172",1.78,1.78,1.78,1.78,+0.16,36
107/07/26,"1,875,743","3,586,058",1.95,1.95,1.61,1.61,-0.17,261
107/07/27,"194,154","336,252",1.61,1.77,1.61,1.77,+0.16,51
107/07/30,"1,076,433","2,063,327",1.94,1.94,1.78,1.85,+0.08,122
107/07/31,"440,906","871,661",2.00,2.00,1.91,1.99,+0.14,64
107/08/01,"299,960","610,827",2.14,2.14,2.00,2.04,+0.05,61
107/08/02,"215,968","406,193",1.84,2.02,1.84,1.91,-0.13,55
107/08/03,"83,952","159,647",1.91,1.92,1.86,1.86,-0.05,22
107/08/06,"157,000","289,895",1.86,1.86,1.83,1.83,-0.03,126
107/08/07,"189,521","359,750",1.80,2.01,1.80,2.01,+0.18,40
107/08/08,"353,032","646,364",2.00,2.00,1.81,1.83,-0.18,73
107/08/09,"48,916","89,204",1.83,1.83,1.83,1.83, 0.00,311
