date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,6,180,29.90,30.25,29.90,30.00,0.0,5
107/07/03,5,150,30.00,30.00,29.95,29.95,-0.05,4
107/07/04,15,449,29.90,29.90,29.90,29.90,-0.05,14
107/07/05,30,900,29.90,30.05,29.80,29.80,-0.1,16
107/07/06,15,447,29.85,29.90,29.75,29.75,-0.05,11
107/07/09,8,239,29.90,29.90,29.85,29.90,0.15,6
107/07/10,17,508,29.90,30.00,29.80,29.80,-0.1,8
107/07/11,12,356,29.80,29.80,29.55,29.70,-0.1,7
107/07/12,21,622,29.60,29.80,29.60,29.80,0.1,7
107/07/13,27,806,29.80,29.90,29.80,29.80,0.0,19
107/07/16,27,805,29.80,29.85,29.80,29.80,0.0,10
107/07/17,11,332,30.00,30.50,30.00,30.00,0.2,10
107/07/18,9,272,31.35,31.35,29.90,30.10,0.1,8
107/07/19,10,299,29.90,30.10,29.80,29.80,-0.3,8
107/07/20,5,149,29.80,29.80,29.80,29.80,0.0,2
107/07/23,11,328,29.90,29.90,29.80,29.80,0.0,9
107/07/24,52,"1,547",29.80,29.80,29.60,29.60,-0.2,38
107/07/25,2,60,29.70,30.00,29.70,30.00,0.4,2
107/07/26,7,210,30.00,30.00,29.75,30.00,0.0,6
107/07/27,10,302,30.60,30.60,30.00,30.10,0.1,7
107/07/30,15,450,30.20,30.20,30.00,30.00,-0.1,7
107/07/31,8,240,30.20,30.20,30.00,30.00,0.0,4
107/08/01,31,932,30.00,30.30,30.00,30.00,0.0,17
107/08/02,24,721,30.00,30.30,29.95,29.95,-0.05,13
107/08/03,5,149,29.80,29.80,29.70,29.80,-0.15,5
107/08/06,61,"1,857",30.15,30.45,30.10,30.20,0.4,54
107/08/07,23,684,30.20,30.90,30.20,30.90,0.7,20
107/08/08,43,"1,296",30.30,30.70,30.30,30.55,-0.35,38
107/08/09,30,944,30.70,31.80,30.70,31.35,0.8,27
107/08/10,30,939,31.30,31.30,31.10,31.20,-0.15,18
107/08/13,22,684,30.80,31.45,30.80,30.90,-0.3,15
107/08/14,18,557,30.80,31.10,30.80,31.10,0.2,16
107/08/15,28,868,31.05,31.05,30.90,31.00,-0.1,18
107/08/16,21,652,30.85,31.10,30.85,31.10,0.1,13
107/08/17,86,"2,695",31.20,31.50,31.15,31.30,0.2,62
107/08/20,106,"3,115",29.80,29.80,29.20,29.20,0.2,71
107/08/21,8,234,29.30,29.30,29.20,29.25,0.05,8
107/08/22,23,675,29.60,29.60,29.30,29.35,0.1,19
107/08/23,14,411,29.35,29.35,29.25,29.25,-0.1,11
107/08/24,12,351,29.30,29.30,29.15,29.30,0.05,11
107/08/27,2,59,29.25,29.25,29.25,29.25,-0.05,2
107/08/28,11,322,29.25,29.25,29.25,29.25,0.0,7
107/08/29,8,235,29.25,29.35,29.25,29.35,0.1,8
107/08/30,3,88,29.25,29.30,29.25,29.30,-0.05,3
107/08/31,1,29,29.30,29.30,29.30,29.30,0.0,1
107/09/03,42,"1,219",29.35,29.35,28.80,29.00,-0.3,30
107/09/04,5,154,29.00,29.00,29.00,29.00,0.0,7
107/09/05,23,673,29.10,29.35,29.10,29.35,0.35,10
107/09/06,16,472,29.35,29.45,29.35,29.45,0.1,10
107/09/07,7,204,29.50,29.50,29.00,29.00,-0.45,7
107/09/10,26,755,29.00,29.60,28.90,28.90,-0.1,22
107/09/11,17,493,29.05,29.05,28.90,28.90,0.0,10
107/09/12,5,143,28.90,28.90,28.30,28.70,-0.2,5
107/09/13,31,893,28.80,28.80,28.80,28.80,0.1,9
