date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"707,012","300,701,018",437.0,442.0,414.0,414.5,-28.00,687
107/07/03,"1,713,240","663,760,740",414.0,414.0,373.5,373.5,-41.00,"1,557"
107/07/04,"900,989","330,416,950",373.0,382.0,358.0,366.0,-7.50,863
107/07/05,"732,270","265,756,700",366.0,374.0,352.5,356.0,-10.00,699
107/07/06,"630,954","224,858,507",361.0,364.0,349.0,357.0,+1.00,577
107/07/09,"610,381","225,044,395",360.0,377.0,358.0,368.5,+11.50,563
107/07/10,"1,427,626","564,870,278",382.5,405.0,377.0,405.0,+36.50,"1,302"
107/07/11,"526,660","208,967,500",400.0,403.0,392.5,399.0,-6.00,508
107/07/12,"537,599","217,503,981",401.0,408.5,400.0,403.0,+4.00,496
107/07/13,"639,204","257,543,219",406.0,411.0,396.0,402.5,-0.50,515
107/07/16,"214,050","85,294,772",403.0,405.0,392.5,395.5,-7.00,211
107/07/17,"451,655","174,255,551",397.0,397.0,380.5,385.5,-10.00,415
107/07/18,"588,980","233,579,127",387.0,402.0,387.0,395.5,+10.00,547
107/07/19,"591,764","232,130,752",395.0,395.0,390.0,393.0,-2.50,477
107/07/20,"632,788","255,616,792",394.0,412.0,393.0,410.5,+17.50,592
107/07/23,"1,935,953","740,018,170",405.0,405.0,374.5,377.5,-33.00,"1,597"
107/07/24,"1,391,755","524,401,253",377.0,384.0,371.5,376.0,-1.50,"1,247"
107/07/25,"798,600","303,795,300",380.0,383.5,378.0,378.0,+2.00,757
107/07/26,"474,152","180,132,592",380.5,386.0,374.0,385.0,+7.00,440
107/07/27,"206,242","79,536,896",382.0,388.5,382.0,385.5,+0.50,199
107/07/30,"272,130","103,823,680",387.0,388.0,378.0,383.0,-2.50,256
107/07/31,"277,380","104,365,420",373.0,379.0,372.5,379.0,X0.00,255
107/08/01,"145,276","55,084,588",379.0,381.0,375.0,380.0,+1.00,144
107/08/02,"190,127","71,203,260",382.0,382.0,372.0,375.0,-5.00,162
107/08/03,"218,135","83,096,110",378.0,384.5,376.5,383.0,+8.00,209
107/08/06,"191,251","73,562,390",382.5,387.5,380.5,387.0,+4.00,188
107/08/07,"147,200","56,370,900",385.5,387.0,380.0,380.5,-6.50,139
107/08/08,"179,090","68,685,150",383.0,387.0,379.0,379.0,-1.50,171
107/08/09,"121,122","45,716,897",378.5,381.5,375.0,381.5,+2.50,113
107/08/10,"281,143","104,942,911",378.0,379.0,370.0,370.0,-11.50,281
107/08/13,"403,242","142,877,620",365.5,365.5,346.5,351.0,-19.00,362
107/08/14,"961,348","327,150,124",351.0,353.5,334.0,338.0,-13.00,763
107/08/15,"1,118,488","345,062,720",329.5,329.5,304.5,304.5,-33.50,925
107/08/16,"2,733,138","761,879,416",290.5,290.5,274.5,278.5,-26.00,"2,312"
107/08/17,"1,401,837","394,623,596",285.0,292.5,273.5,275.0,-3.50,"1,326"
107/08/20,"1,219,879","339,933,120",283.0,286.5,273.5,278.0,+3.00,"1,133"
107/08/21,"717,639","204,670,404",278.0,291.0,278.0,290.5,+12.50,652
107/08/22,"361,619","103,487,153",292.5,292.5,283.0,284.5,-6.00,334
107/08/23,"248,277","71,266,330",284.5,289.5,284.5,288.0,+3.50,240
107/08/24,"118,957","33,814,264",288.0,288.0,283.0,284.5,-3.50,132
107/08/27,"457,703","136,183,684",286.0,303.5,286.0,299.5,+15.00,436
107/08/28,"313,389","95,476,090",302.5,307.0,302.5,303.5,+4.00,303
107/08/29,"260,255","79,413,295",307.0,308.5,302.0,302.0,-1.50,244
107/08/30,"245,460","73,696,760",301.0,303.0,298.0,302.0, 0.00,217
107/08/31,"145,974","43,747,174",302.0,302.0,298.5,299.0,-3.00,152
107/09/03,"173,155","50,793,492",299.0,299.0,288.0,288.0,-11.00,170
107/09/04,"306,378","90,550,790",291.0,301.0,291.0,297.0,+9.00,300
107/09/05,"413,453","122,914,229",300.0,303.0,292.5,294.5,-2.50,424
107/09/06,"295,404","85,736,564",296.5,296.5,288.0,288.0,-6.50,298
107/09/07,"1,316,853","351,997,369",285.0,285.0,259.5,266.5,-21.50,"1,192"
107/09/10,"1,096,398","274,680,898",268.0,268.0,240.5,242.5,-24.00,"1,030"
107/09/11,"861,725","214,933,700",245.5,258.0,244.5,250.0,+7.50,817
107/09/12,"819,029","200,252,576",254.0,255.5,239.5,242.0,-8.00,746
107/09/13,"928,990","236,013,380",246.5,261.5,245.0,257.0,+15.00,853
107/09/14,"927,437","248,937,265",257.0,280.0,255.0,274.0,+17.00,864
107/09/17,"1,069,416","276,904,660",266.0,267.5,252.0,257.0,-17.00,951
107/09/18,"1,138,061","297,237,470",251.5,271.5,245.0,267.5,+10.50,"1,051"
107/09/19,"1,462,081","410,361,585",269.0,290.0,269.0,282.0,+14.50,"1,321"
107/09/20,"1,182,435","334,958,780",279.5,292.5,271.5,287.5,+5.50,"1,124"
107/09/21,"595,675","169,088,550",287.5,291.0,279.0,286.5,-1.00,578
107/09/25,"1,003,758","296,595,984",289.0,302.0,285.0,294.0,+7.50,888
107/09/26,"499,093","145,557,249",293.0,297.0,287.0,290.0,-4.00,493
107/09/27,"520,224","146,806,700",290.0,290.0,278.0,280.5,-9.50,458
107/09/28,"587,408","164,912,240",280.5,286.0,278.0,279.5,-1.00,333
107/10/01,"421,636","121,214,028",282.0,293.0,281.0,288.5,+9.00,415
107/10/02,"328,400","93,636,699",287.0,291.0,282.0,283.5,-5.00,316
107/10/03,"434,660","122,619,640",282.5,287.5,278.0,278.0,-5.50,410
107/10/04,"255,610","71,416,190",276.5,282.0,276.5,281.0,+3.00,253
107/10/05,"859,408","224,441,936",276.5,277.0,253.0,257.0,-24.00,749
