date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,303,"16,476",54.4,55.5,52.9,52.9,-1.5,225
107/07/03,179,"9,343",52.9,53.5,51.5,51.7,-1.2,169
107/07/04,150,"7,780",51.5,52.6,51.4,51.9,0.2,139
107/07/05,276,"13,904",51.9,52.2,49.3,49.35,-2.55,243
107/07/06,262,"12,824",49.65,50.0,48.1,49.85,0.5,233
107/07/09,131,"6,682",52.0,52.0,50.4,50.4,0.55,108
107/07/10,117,"5,849",50.5,51.1,49.55,50.1,-0.3,108
107/07/11,245,"12,086",48.6,50.2,48.5,49.1,-1.0,200
107/07/12,74,"3,658",49.1,49.85,49.1,49.3,0.2,74
107/07/13,169,"8,539",49.8,51.0,49.8,50.7,1.4,151
107/07/16,153,"7,835",51.0,52.0,50.2,50.9,0.2,116
107/07/17,115,"5,896",51.3,51.7,51.1,51.1,0.2,86
107/07/18,250,"12,948",51.8,52.9,51.3,51.4,0.3,181
107/07/19,132,"6,899",52.3,53.0,51.7,51.8,0.4,121
107/07/20,135,"6,948",51.8,52.2,50.8,51.3,-0.5,108
107/07/23,60,"3,018",50.6,50.6,50.1,50.4,-0.9,52
107/07/24,63,"3,185",50.6,51.0,50.3,50.4,0.0,52
107/07/25,221,"11,428",51.2,52.8,51.0,51.3,0.9,166
107/07/26,131,"6,788",51.5,52.2,51.3,51.7,0.4,106
107/07/27,41,"2,119",52.2,52.2,51.3,51.5,-0.2,41
107/07/30,116,"6,005",51.5,52.3,51.0,51.0,-0.5,102
107/07/31,54,"2,752",50.8,51.2,50.8,50.8,-0.2,47
107/08/01,58,"2,982",51.1,51.9,50.9,50.9,0.1,53
107/08/02,72,"3,658",50.9,51.0,50.6,50.7,-0.2,56
107/08/03,50,"2,562",51.2,51.7,50.9,50.9,0.2,45
107/08/06,54,"2,759",51.8,51.8,50.7,51.0,0.1,48
107/08/07,35,"1,762",51.4,51.4,50.6,51.0,0.0,33
107/08/08,77,"3,911",51.5,51.5,50.4,50.6,-0.4,59
107/08/09,250,"12,378",51.0,51.0,48.7,49.3,-1.3,169
107/08/10,89,"4,356",49.7,49.7,48.6,49.0,-0.3,72
107/08/13,390,"18,637",48.9,49.2,46.0,46.35,-2.65,232
107/08/14,67,"3,138",47.0,47.35,46.35,47.35,1.0,59
107/08/15,74,"3,456",47.4,47.4,46.2,46.25,-1.1,56
107/08/16,85,"3,892",45.05,47.4,45.05,45.95,-0.3,74
107/08/17,74,"3,469",47.0,47.6,46.0,46.95,1.0,67
107/08/20,42,"1,932",46.8,46.8,45.8,45.9,-1.05,38
107/08/21,33,"1,532",46.8,46.8,46.0,46.8,0.9,31
107/08/22,219,"10,668",47.4,49.3,47.4,48.9,2.1,193
107/08/23,352,"17,861",49.3,51.9,49.3,50.8,1.9,303
107/08/24,311,"16,077",51.3,52.6,51.0,51.9,1.1,248
107/08/27,176,"9,172",52.0,52.5,51.9,51.9,0.0,156
107/08/28,83,"4,313",52.0,52.7,51.3,51.4,-0.5,73
107/08/29,285,"15,093",53.0,53.7,52.0,52.1,0.7,240
107/08/30,113,"5,911",52.5,52.9,51.9,52.0,-0.1,77
107/08/31,30,"1,551",51.6,52.2,51.4,51.7,-0.3,29
107/09/03,306,"16,372",53.6,54.9,51.7,52.1,0.4,225
107/09/04,132,"6,927",52.5,52.7,51.9,51.9,-0.2,95
107/09/05,45,"2,284",51.0,51.1,50.1,50.1,-0.3,42
107/09/06,86,"4,381",51.0,51.4,50.3,50.3,0.2,67
107/09/07,126,"6,267",50.5,51.3,49.0,49.05,-1.25,91
107/09/10,177,"8,416",49.2,49.3,46.5,46.6,-2.45,136
107/09/11,52,"2,474",46.7,48.2,46.7,46.8,0.2,48
107/09/12,65,"3,023",47.5,47.5,46.1,46.1,-0.7,59
107/09/13,52,"2,425",46.3,47.4,46.3,46.3,0.2,41
107/09/14,112,"5,389",47.5,48.95,47.5,48.45,2.15,100
107/09/17,80,"3,961",48.8,50.4,48.8,49.7,1.25,75
107/09/18,39,"1,907",49.5,49.55,48.3,48.5,-1.2,37
107/09/19,85,"4,205",49.0,50.4,48.6,49.7,1.2,70
107/09/20,188,"9,384",50.0,51.2,49.05,49.5,-0.2,149
107/09/21,44,"2,163",49.9,50.0,48.9,48.9,-0.6,37
107/09/25,57,"2,757",49.0,49.4,48.0,48.8,-0.1,33
107/09/26,38,"1,842",48.1,49.25,48.1,48.6,-0.2,35
107/09/27,28,"1,350",48.3,48.6,47.9,48.4,-0.2,25
107/09/28,40,"1,921",47.7,48.9,47.65,48.3,-0.1,35
107/10/01,48,"2,293",48.05,48.1,47.65,47.7,-0.6,44
107/10/02,56,"2,749",47.85,49.3,47.8,48.7,1.0,54
107/10/03,39,"1,882",48.85,48.85,47.8,48.4,-0.3,39
107/10/04,63,"2,973",48.4,48.4,46.7,46.85,-1.55,51
107/10/05,142,"6,456",46.5,47.55,44.5,44.85,-2.0,110
107/10/08,77,"3,400",43.65,45.8,43.65,44.0,-0.85,60
107/10/09,280,"11,803",44.3,44.55,40.6,41.6,-2.4,202
107/10/11,483,"18,099",37.45,38.3,37.45,37.45,-4.15,252
107/10/12,191,"6,781",33.8,37.3,33.8,36.8,-0.65,162
107/10/15,85,"3,133",36.8,37.5,36.5,36.85,0.05,74
107/10/16,96,"3,620",36.85,38.55,36.85,37.6,0.75,83
107/10/17,55,"2,095",38.3,38.7,37.6,38.05,0.45,51
107/10/18,32,"1,223",38.5,38.5,37.6,38.3,0.25,32
107/10/19,71,"2,673",38.3,38.4,37.2,38.4,0.1,53
107/10/22,158,"6,262",39.0,40.5,38.2,40.5,2.1,129
107/10/23,189,"7,739",41.0,42.0,40.5,40.55,0.05,148
107/10/24,75,"3,009",41.0,41.3,39.1,39.5,-1.05,62
107/10/25,138,"5,382",38.8,40.25,38.15,39.0,-0.5,103
107/10/26,87,"3,370",39.0,39.2,38.0,38.0,-1.0,65
107/10/29,94,"3,620",38.1,39.15,38.1,38.5,0.5,47
107/10/30,61,"2,360",39.6,39.6,38.5,38.6,0.1,41
107/10/31,80,"3,171",39.75,39.8,39.4,39.6,1.0,63
107/11/01,86,"3,483",39.75,41.0,39.75,40.45,0.85,63
107/11/02,98,"4,010",40.7,41.55,40.2,41.0,0.55,73
107/11/05,62,"2,554",41.1,41.45,40.4,41.45,0.45,34
107/11/06,54,"2,198",41.45,41.45,40.1,40.3,-1.15,33
107/11/07,47,"1,912",40.3,41.0,40.3,41.0,0.7,37
107/11/08,81,"3,303",42.0,42.0,40.6,40.6,-0.4,62
107/11/09,53,"2,171",40.6,41.0,40.1,40.95,0.35,46
107/11/12,72,"2,943",41.9,41.9,40.2,41.0,0.05,50
107/11/13,46,"1,846",40.0,40.85,39.0,40.8,-0.2,31
107/11/14,55,"2,265",41.3,42.4,40.6,40.65,-0.15,44
107/11/15,36,"1,456",39.95,40.9,39.95,40.5,-0.15,28
107/11/16,36,"1,459",40.5,40.95,40.4,40.5,0.0,32
107/11/19,56,"2,245",40.1,40.3,39.2,40.3,-0.2,52
107/11/20,36,"1,444",39.9,40.65,39.65,39.8,-0.5,22
107/11/21,35,"1,419",40.0,40.9,40.0,40.5,0.7,28
