date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"36,000","430,900",11.6,12.15,11.6,12.15,-0.3,26
107/07/03,"36,000","424,400",11.7,11.95,11.7,11.7,-0.45,26
107/07/04,"42,000","478,250",11.55,11.65,11.1,11.35,-0.35,24
107/07/05,"106,001","1,190,561",11.0,11.35,11.0,11.3,-0.05,44
107/07/06,"50,000","571,200",11.3,11.8,11.2,11.7,0.4,38
107/07/09,"32,000","371,650",11.5,11.75,11.5,11.75,0.05,20
107/07/10,"27,000","314,550",11.7,11.75,11.6,11.6,-0.15,23
107/07/11,"30,001","342,311",11.2,11.55,11.2,11.55,-0.05,17
107/07/12,"43,000","492,850",11.25,11.55,11.25,11.55,0.0,22
107/07/13,"59,001","681,811",11.55,11.85,11.4,11.6,0.05,27
107/07/16,"77,001","887,061",11.45,11.7,11.45,11.6,0.0,36
107/07/17,"23,000","264,350",11.45,11.65,11.45,11.65,0.05,15
107/07/18,"33,001","375,361",11.35,11.5,11.2,11.5,-0.15,27
107/07/19,"41,000","455,650",11.1,11.35,11.0,11.0,-0.5,34
107/07/20,"98,000","1,064,900",10.55,11.0,10.55,10.95,-0.05,49
107/07/23,"26,001","271,860",10.7,10.7,10.15,10.6,-0.35,21
107/07/24,"66,001","689,160",10.5,10.5,10.35,10.45,-0.15,36
107/07/25,"106,000","1,102,800",10.45,10.5,10.3,10.45,0.0,35
107/07/26,"81,000","845,250",10.25,10.55,10.25,10.55,0.1,43
107/07/27,"33,000","343,850",10.3,10.55,10.3,10.55,0.0,27
107/07/30,"41,000","432,550",10.4,10.65,10.4,10.65,0.1,21
107/07/31,"53,002","557,070",10.5,10.6,10.45,10.55,-0.1,23
107/08/01,"96,000","1,011,050",10.45,10.65,10.45,10.6,0.05,47
107/08/02,"86,000","906,700",10.5,10.65,10.5,10.65,0.05,45
107/08/03,"42,000","447,050",10.6,10.75,10.6,10.75,0.1,26
107/08/06,"320,000","3,750,500",11.0,11.8,11.0,11.8,1.05,103
107/08/07,"398,000","5,154,100",12.95,12.95,12.95,12.95,1.15,83
107/08/08,"440,000","5,496,950",12.3,13.3,11.8,12.9,-0.05,223
107/08/09,"154,000","1,925,550",12.3,12.85,12.3,12.6,-0.3,105
107/08/10,"365,000","4,821,400",12.5,13.85,12.5,13.6,1.0,196
107/08/13,"238,000","3,138,100",13.5,13.55,12.9,13.25,-0.35,122
107/08/14,"160,000","2,079,950",12.85,13.25,12.85,13.25,0.0,95
107/08/15,"76,001","988,363",13.3,13.3,12.2,13.15,-0.1,39
107/08/16,"48,000","615,100",12.35,13.1,12.35,12.7,-0.45,32
107/08/17,"157,001","2,042,013",12.7,13.25,12.7,13.2,0.5,90
107/08/20,"158,001","2,074,663",13.2,13.25,12.95,13.2,0.0,73
107/08/21,"112,001","1,466,363",13.0,13.25,12.95,13.1,-0.1,68
107/08/22,"60,000","785,600",13.0,13.25,12.95,13.2,0.1,40
107/08/23,"65,001","853,213",13.15,13.2,13.05,13.1,-0.1,33
107/08/24,"90,000","1,185,450",13.1,13.3,13.0,13.3,0.2,45
107/08/27,"84,000","1,116,150",13.3,13.4,13.15,13.4,0.1,47
107/08/28,"70,000","941,300",13.35,13.5,13.35,13.5,0.1,34
107/08/29,"68,000","921,950",13.45,13.7,13.45,13.6,0.1,38
107/08/30,"63,000","846,850",13.5,13.5,13.35,13.4,-0.2,35
107/08/31,"57,001","778,913",14.5,14.5,13.4,13.6,0.2,37
107/09/03,"72,005","955,916",13.2,13.6,13.2,13.4,-0.2,45
107/09/04,"36,000","476,250",13.25,13.4,13.1,13.4,0.0,22
107/09/05,"53,000","703,550",13.2,13.45,13.2,13.45,0.05,28
107/09/06,"48,001","635,863",13.3,13.35,13.2,13.35,-0.1,32
107/09/07,"72,004","952,452",13.2,13.5,13.15,13.25,-0.1,39
107/09/10,"46,001","595,863",12.85,13.25,12.85,13.15,-0.1,29
107/09/11,"47,000","605,600",13.15,13.15,12.8,12.95,-0.2,27
107/09/12,"54,000","683,050",12.5,13.05,12.5,13.05,0.1,36
107/09/13,"48,000","624,850",12.75,13.25,12.75,13.1,0.05,34
107/09/14,"51,000","671,000",13.1,13.25,13.1,13.1,0.0,32
107/09/17,"20,001","261,413",13.0,13.2,13.0,13.2,0.1,18
107/09/18,"42,000","548,400",13.0,13.2,13.0,13.2,0.0,20
107/09/19,"39,000","511,250",13.0,13.3,12.85,13.2,0.0,30
107/09/20,"41,000","540,300",13.05,13.3,13.05,13.3,0.1,34
107/09/21,"155,000","2,061,050",13.1,13.4,13.1,13.3,0.0,53
107/09/25,"76,000","1,005,300",13.15,13.35,13.15,13.35,0.05,54
107/09/26,"141,000","1,895,250",13.3,13.5,13.3,13.5,0.15,94
107/09/27,"146,000","1,968,100",13.3,13.7,13.3,13.5,0.0,68
107/09/28,"112,000","1,514,600",13.5,13.7,13.4,13.7,0.2,76
107/10/01,"134,000","1,840,900",13.8,13.9,13.65,13.9,0.2,78
107/10/02,"183,000","2,569,300",13.8,14.2,13.8,14.2,0.3,105
107/10/03,"117,003","1,664,942",14.2,14.35,14.1,14.3,0.1,87
107/10/04,"114,000","1,593,150",14.2,14.2,13.75,14.2,-0.1,74
107/10/05,"121,000","1,657,250",14.15,14.15,13.4,13.85,-0.35,83
107/10/08,"80,001","1,101,064",13.8,13.95,13.65,13.95,0.1,68
107/10/09,"166,000","2,255,900",13.9,13.9,13.45,13.8,-0.15,69
107/10/11,"99,020","1,288,972",13.3,13.75,12.6,13.75,-0.05,64
107/10/12,"152,000","2,006,000",13.05,13.55,13.05,13.35,-0.4,105
107/10/15,"154,001","1,976,163",12.65,13.2,12.6,13.2,-0.15,104
107/10/16,"177,002","2,248,474",12.85,12.85,12.6,12.7,-0.5,109
107/10/17,"122,000","1,557,150",12.75,13.0,12.65,12.95,0.25,100
107/10/18,"99,000","1,258,050",12.75,12.95,12.6,12.9,-0.05,87
107/10/19,"161,000","2,011,150",12.6,13.3,12.0,13.3,0.4,113
107/10/22,"101,000","1,281,300",13.25,13.25,12.45,12.6,-0.7,87
107/10/23,"119,001","1,459,812",12.6,12.6,12.05,12.35,-0.25,87
107/10/24,"87,000","1,056,250",12.35,12.35,12.0,12.0,-0.35,81
107/10/25,"129,000","1,453,200",12.5,12.5,11.0,11.3,-0.7,107
107/10/26,"173,000","1,991,250",11.3,11.75,11.3,11.5,0.2,137
107/10/29,"78,000","901,350",11.5,11.8,11.5,11.6,0.1,62
107/10/30,"125,001","1,455,211",11.35,11.7,11.35,11.65,0.05,79
107/10/31,"122,069","1,428,764",11.7,11.9,11.55,11.9,0.25,82
107/11/01,"84,000","991,800",11.7,11.9,11.7,11.9,0.0,58
107/11/02,"71,000","854,450",11.75,12.25,11.75,12.25,0.35,59
107/11/05,"60,000","732,200",11.7,12.65,11.7,12.25,0.0,54
107/11/06,"192,000","2,449,000",12.2,13.2,12.2,12.8,0.55,137
107/11/07,"99,000","1,271,000",12.75,12.95,12.7,12.95,0.15,75
107/11/08,"145,000","1,878,500",12.9,13.1,12.85,13.0,0.05,90
107/11/09,"106,000","1,379,400",13.0,13.15,12.95,13.1,0.1,78
107/11/12,"103,009","1,356,369",13.1,13.3,13.1,13.3,0.2,85
107/11/13,"114,000","1,499,700",13.3,13.3,13.05,13.2,-0.1,78
107/11/14,"89,000","1,171,500",13.15,13.25,13.15,13.2,0.0,70
107/11/15,"82,001","1,081,213",13.05,13.3,13.05,13.2,0.0,74
107/11/16,"82,001","1,087,213",13.2,13.5,13.15,13.4,0.2,74
107/11/19,"75,008","1,000,105",13.25,13.5,13.25,13.45,0.05,74
107/11/20,"188,000","2,503,850",13.45,13.45,13.25,13.35,-0.1,93
107/11/21,"212,000","2,850,300",13.3,13.65,13.3,13.5,0.15,127
107/11/22,"165,000","2,254,050",13.5,13.95,13.45,13.95,0.45,109
107/11/23,"125,005","1,708,069",13.95,13.95,13.55,13.8,-0.15,96
107/11/26,"256,000","3,524,400",13.8,13.95,13.6,13.75,-0.05,111
107/11/27,"202,001","2,751,763",13.75,13.95,13.4,13.5,-0.25,116
107/11/28,"169,000","2,279,150",13.5,13.65,13.4,13.6,0.1,110
107/11/29,"171,000","2,295,150",13.6,13.75,12.6,13.45,-0.15,111
107/11/30,"126,000","1,639,450",13.0,13.15,12.85,13.05,-0.4,104
107/12/03,"179,000","2,338,950",13.2,13.35,12.9,13.05,0.0,93
107/12/04,"229,000","3,065,400",13.45,13.55,13.2,13.4,0.35,118
107/12/05,"143,000","1,912,850",13.25,13.55,13.2,13.5,0.1,93
107/12/06,"126,005","1,871,174",14.85,14.85,14.85,14.85,1.35,57
107/12/07,"3,335,008","51,100,023",15.7,15.7,15.0,15.4,0.55,"1,690"
107/12/10,"1,065,065","16,448,364",15.45,15.55,15.35,15.45,0.05,766
107/12/11,"808,001","12,444,965",15.55,15.55,15.35,15.4,-0.05,661
107/12/12,"534,326","8,224,336",15.45,15.5,15.35,15.45,0.05,388
