date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,017,966","489,021,366",122.0,123.0,121.0,121.0,-1.50,"1,838"
107/07/03,"7,058,899","868,083,077",121.0,124.5,121.0,123.0,+2.00,"3,814"
107/07/04,"5,587,177","650,963,209",117.5,118.0,115.0,115.5,X0.00,"3,052"
107/07/05,"4,390,331","518,796,389",117.0,120.0,116.5,119.0,+3.50,"1,939"
107/07/06,"2,286,105","267,513,329",118.0,119.0,116.0,116.0,-3.00,"1,354"
107/07/09,"1,447,688","170,610,184",118.0,119.0,117.0,117.5,+1.50,839
107/07/10,"1,125,279","132,966,922",119.0,119.0,117.5,118.0,+0.50,702
107/07/11,"2,400,649","285,101,231",117.0,120.0,117.0,119.0,+1.00,"1,358"
107/07/12,"860,537","102,088,131",118.5,119.0,118.0,118.5,-0.50,520
107/07/13,"1,704,984","204,724,054",119.0,121.0,118.0,121.0,+2.50,"1,220"
107/07/16,"729,194","87,326,086",121.5,121.5,119.0,119.0,-2.00,472
107/07/17,"1,121,834","132,665,325",119.0,119.0,117.5,118.5,-0.50,852
107/07/18,"2,367,906","283,935,220",119.0,121.0,118.0,120.5,+2.00,"1,481"
107/07/19,"640,317","76,837,040",120.5,121.0,119.5,120.0,-0.50,400
107/07/20,"965,890","115,871,238",120.0,120.5,119.0,120.5,+0.50,435
107/07/23,"1,040,801","125,485,421",120.5,121.0,119.5,121.0,+0.50,626
107/07/24,"878,546","105,604,287",121.0,121.0,119.5,120.5,-0.50,572
107/07/25,"1,118,242","134,143,157",120.5,120.5,119.5,119.5,-1.00,638
107/07/26,"2,055,569","245,970,561",120.5,120.5,119.0,120.0,+0.50,796
107/07/27,"1,636,408","195,889,460",120.0,120.0,119.0,120.0, 0.00,"1,334"
107/07/30,"2,079,660","247,259,540",120.0,120.0,118.0,119.0,-1.00,"1,400"
107/07/31,"2,894,837","346,618,354",119.5,120.5,118.5,120.5,+1.50,"1,751"
107/08/01,"1,526,356","183,785,889",120.5,121.0,120.0,120.5, 0.00,978
107/08/02,"2,074,532","246,646,808",120.0,120.0,118.0,118.5,-2.00,979
107/08/03,"2,415,755","290,264,355",119.0,121.0,119.0,121.0,+2.50,"1,083"
107/08/06,"781,068","94,415,257",120.0,121.5,120.0,121.5,+0.50,517
107/08/07,"1,516,341","181,215,745",121.0,121.0,119.0,119.0,-2.50,967
107/08/08,"2,267,519","274,103,159",119.5,121.5,119.5,121.0,+2.00,"1,193"
