date,volume,amount,open,high,low,close,spread,Quantity
108/05/06＊,895,"161,310",180.0,189.0,175.0,180.5,42.5,823
108/05/07,435,"77,642",183.0,183.5,175.0,176.0,-4.5,399
108/05/08,323,"54,249",173.0,173.0,165.5,168.0,-8.0,309
108/05/09,141,"23,704",167.5,170.5,166.0,167.0,-1.0,138
108/05/10,242,"41,146",167.5,172.5,167.5,169.0,2.0,224
108/05/13,240,"37,883",169.0,169.0,153.0,153.5,-15.5,242
108/05/14,186,"26,936",148.0,148.0,140.5,146.0,-7.5,181
108/05/15,120,"18,120",144.5,153.0,144.5,150.5,4.5,121
108/05/16,63,"9,533",152.0,153.0,150.5,150.5,0.0,65
108/05/17,120,"17,954",150.5,153.5,146.5,148.0,-2.5,117
108/05/20,67,"10,007",148.0,150.0,148.0,149.0,1.0,67
108/05/21,42,"6,323",149.0,151.0,149.0,151.0,2.0,39
108/05/22,63,"9,495",151.0,151.0,149.0,149.0,-2.0,59
108/05/23,64,"9,497",147.5,151.0,147.0,151.0,2.0,56
108/05/24,58,"8,947",151.0,157.0,151.0,152.5,1.5,55
108/05/27,14,"2,144",154.0,154.0,151.5,153.0,0.5,14
108/05/28,20,"3,005",152.0,153.0,151.5,152.0,-1.0,20
108/05/29,28,"4,227",152.5,153.0,151.0,151.0,-1.0,29
108/05/30,21,"3,188",153.0,153.0,151.0,151.0,0.0,21
108/05/31,20,"3,053",152.5,152.5,152.0,152.0,1.0,21
108/06/03,24,"3,621",150.5,151.5,150.5,151.0,-1.0,24
108/06/04,17,"2,579",151.5,151.5,150.0,150.0,-1.0,18
108/06/05,55,"8,408",152.0,153.0,151.5,152.0,2.0,49
108/06/06,62,"9,339",151.0,152.0,149.0,149.0,-3.0,48
108/06/10,49,"7,288",149.5,151.0,149.5,150.0,1.0,42
108/06/11,37,"5,539",150.0,150.5,148.0,149.5,-0.5,36
108/06/12,16,"2,398",150.0,150.0,149.0,149.5,0.0,17
108/06/13,22,"3,283",150.0,150.0,149.0,149.5,0.0,22
108/06/14,32,"4,780",149.5,149.5,147.5,147.5,-2.0,29
108/06/17,56,"8,178",147.5,147.5,145.5,145.5,-2.0,46
108/06/18,49,"7,276",145.5,150.0,145.5,148.0,2.5,33
108/06/19,14,"2,082",149.0,149.0,147.0,147.0,-1.0,15
108/06/20,18,"2,629",148.0,148.5,147.0,147.0,0.0,26
108/06/21,33,"4,876",148.0,149.0,147.0,147.0,0.0,23
108/06/24,13,"1,949",146.0,146.0,145.5,146.0,-1.0,16
108/06/25,22,"3,249",148.5,148.5,145.5,146.0,0.0,22
108/06/26,17,"2,512",145.5,146.0,145.0,146.0,0.0,21
108/06/27,28,"4,037",145.5,146.0,145.0,146.0,0.0,31
108/06/28,17,"2,498",147.0,147.0,145.5,145.5,-0.5,20
108/07/01,28,"4,111",146.00,147.00,145.50,146.50,1.00,26
108/07/02,15,"2,209",146.50,147.50,146.50,147.50,1.00,15
108/07/03,6,896,147.50,147.50,146.50,146.50,-1.00,8
108/07/04,17,"2,498",147.00,147.00,146.50,146.50,0.00,17
108/07/05,11,"1,649",146.50,146.50,145.50,146.00,-0.50,16
108/07/08,18,"2,655",146.50,146.50,146.00,146.00,0.00,17
108/07/09,12,"1,792",146.00,146.50,146.00,146.00,0.00,14
108/07/10,23,"3,359",145.50,146.50,145.50,146.00,0.00,24
108/07/11,22,"3,263",146.00,146.00,145.00,145.00,-1.00,23
108/07/12,27,"3,947",145.50,146.50,145.00,146.50,1.50,27
108/07/15,190,"29,780",146.00,161.00,146.00,160.00,13.50,193
108/07/16,106,"16,888",157.50,163.00,156.50,157.00,-3.00,107
108/07/17,41,"6,529",157.00,161.50,155.50,155.50,-1.50,44
108/07/18,27,"4,177",154.50,155.00,153.00,153.00,-2.50,29
108/07/19,14,"2,197",154.00,156.50,152.50,155.00,2.00,17
108/07/22,24,"3,757",155.00,157.00,155.00,157.00,2.00,25
108/07/23,5,839,157.00,157.00,155.50,155.50,-1.50,10
108/07/24,9,"1,426",155.00,155.00,154.00,154.00,-1.50,14
108/07/25,17,"2,651",154.00,154.00,153.00,153.50,-0.50,22
108/07/26,15,"2,289",153.00,153.50,152.00,153.50,0.00,12
