date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"787,000","68,037,000",86.8,87.6,85.2,85.2,-1.60,601
107/07/03,"616,400","52,535,657",85.8,86.3,84.1,84.1,-1.10,440
107/07/04,"453,000","38,255,600",84.3,85.5,83.6,84.2,+0.10,365
107/07/05,"631,001","52,055,682",84.2,84.8,80.4,81.1,-3.10,481
107/07/06,"740,000","61,055,600",82.6,84.5,80.9,84.0,+2.90,571
107/07/09,"592,200","50,361,200",84.8,85.9,84.2,84.9,+0.90,477
107/07/10,"911,634","78,834,448",86.3,87.5,85.1,87.2,+2.30,665
107/07/11,"1,351,150","118,829,405",87.2,89.4,86.0,87.1,-0.10,961
107/07/12,"601,810","52,942,742",87.1,88.7,87.1,87.8,+0.70,398
107/07/13,"598,368","52,606,768",88.6,88.6,87.4,87.9,+0.10,407
107/07/16,"2,680,327","240,785,594",88.0,91.1,88.0,89.7,+1.80,"1,767"
107/07/17,"1,528,000","136,891,597",90.1,90.3,88.8,89.7, 0.00,"1,022"
107/07/18,"3,084,529","248,737,637",79.9,84.0,78.9,84.0,X0.00,"1,983"
107/07/19,"1,513,700","124,835,940",82.8,83.3,81.7,82.1,-1.90,985
107/07/20,"1,281,049","105,152,279",82.5,83.8,81.0,83.8,+1.70,877
107/07/23,"1,845,097","151,995,854",83.8,83.9,81.3,81.4,-2.40,976
107/07/24,"1,081,000","88,573,799",82.2,82.7,81.5,82.0,+0.60,637
107/07/25,"661,200","54,297,139",82.3,82.5,81.6,81.6,-0.40,370
107/07/26,"584,500","48,106,200",82.4,82.7,81.8,82.0,+0.40,343
107/07/27,"1,178,902","98,153,676",82.8,84.0,82.5,83.7,+1.70,724
107/07/30,"713,273","58,961,631",83.8,84.0,82.1,82.4,-1.30,539
107/07/31,"1,953,200","162,679,979",82.2,84.4,81.7,84.3,+1.90,957
107/08/01,"1,008,170","84,142,180",83.7,84.2,83.1,83.4,-0.90,655
107/08/02,"441,305","36,346,062",83.1,83.1,81.8,82.4,-1.00,344
107/08/03,"1,098,001","90,867,783",83.3,83.5,82.3,82.7,+0.30,712
107/08/06,"717,239","59,685,151",83.1,83.6,82.9,83.1,+0.40,552
107/08/07,"681,530","56,706,692",83.6,84.1,82.5,82.5,-0.60,742
107/08/08,"353,483","29,185,916",82.8,83.3,82.1,82.1,-0.40,410
107/08/09,"271,990","22,247,971",82.8,82.8,81.4,81.6,-0.50,289
107/08/10,"1,095,231","88,509,426",81.6,82.0,79.5,81.4,-0.20,822
107/08/13,"931,058","73,298,323",81.4,81.4,75.5,78.0,-3.40,728
107/08/14,"461,700","36,029,100",78.0,79.1,77.1,77.9,-0.10,366
107/08/15,"525,052","40,627,896",78.9,78.9,76.8,76.8,-1.10,403
107/08/16,"266,868","20,628,703",76.1,78.5,75.6,77.2,+0.40,253
107/08/17,"609,600","47,635,554",79.9,79.9,76.9,77.0,-0.20,427
107/08/20,"693,160","52,506,980",78.0,78.5,74.3,74.6,-2.40,553
107/08/21,"518,000","38,844,300",75.0,75.3,74.7,75.0,+0.40,445
107/08/22,"393,200","29,267,934",75.0,75.2,74.1,74.2,-0.80,318
107/08/23,"332,050","24,587,285",74.1,74.6,73.5,73.6,-0.60,249
107/08/24,"477,309","34,358,056",73.4,73.7,71.1,71.4,-2.20,396
107/08/27,"329,795","24,128,871",71.9,73.8,71.8,73.8,+2.40,303
107/08/28,"198,700","14,730,260",74.9,75.3,73.6,73.8, 0.00,181
107/08/29,"982,623","73,977,725",74.5,75.8,74.5,75.0,+1.20,732
107/08/30,"310,500","23,141,950",75.3,75.3,74.2,74.4,-0.60,229
107/08/31,"150,702","11,221,139",74.9,74.9,74.1,74.6,+0.20,127
107/09/03,"351,250","25,858,266",75.1,75.1,72.7,73.1,-1.50,280
107/09/04,"201,252","14,754,816",72.9,73.7,72.9,73.1, 0.00,188
107/09/05,"152,400","11,134,820",73.7,73.7,72.6,72.6,-0.50,137
107/09/06,"306,100","21,984,760",72.6,72.6,71.5,71.6,-1.00,284
107/09/07,"833,068","57,480,002",71.5,71.8,67.0,67.7,-3.90,669
107/09/10,"822,569","53,910,505",68.3,68.4,64.0,64.7,-3.00,628
107/09/11,"320,700","20,913,138",65.3,65.9,64.2,65.1,+0.40,284
107/09/12,"316,500","20,375,198",65.5,65.5,63.6,64.3,-0.80,267
107/09/13,"413,002","26,758,424",63.8,65.3,63.8,64.9,+0.60,369
107/09/14,"412,993","27,223,232",66.2,66.6,64.6,66.5,+1.60,355
107/09/17,"372,900","24,393,976",66.2,66.2,64.8,65.2,-1.30,320
107/09/18,"389,400","24,788,117",64.8,64.8,63.2,63.2,-2.00,328
107/09/19,"343,900","21,834,950",63.7,64.2,63.0,63.1,-0.10,253
107/09/20,"384,250","23,958,724",63.6,63.6,61.7,62.0,-1.10,286
107/09/21,"296,940","18,674,996",62.0,63.7,61.9,63.3,+1.30,270
107/09/25,"730,102","47,519,978",63.3,66.4,62.5,65.5,+2.20,610
107/09/26,"423,597","27,433,503",65.5,65.9,64.4,64.5,-1.00,360
107/09/27,"336,200","21,687,759",64.5,65.8,63.6,63.8,-0.70,321
107/09/28,"144,530","9,254,872",64.4,64.5,63.8,64.0,+0.20,127
107/10/01,"186,432","12,093,063",64.0,65.2,64.0,65.2,+1.20,156
107/10/02,"211,800","13,810,840",66.1,66.1,64.7,64.8,-0.40,176
107/10/03,"218,200","13,961,420",64.8,64.8,63.6,64.1,-0.70,146
107/10/04,"171,800","10,906,139",63.8,64.0,63.2,63.2,-0.90,132
107/10/05,"656,248","40,557,351",62.9,63.7,60.6,60.7,-2.50,455
107/10/08,"358,900","21,769,147",60.2,61.6,60.0,60.4,-0.30,252
107/10/09,"437,000","26,027,700",60.4,60.7,58.1,59.3,-1.10,332
107/10/11,"1,071,665","57,854,311",54.0,55.6,53.4,53.4,-5.90,687
107/10/12,"660,500","34,722,200",49.6,54.0,49.6,54.0,+0.60,472
107/10/15,"595,400","33,194,837",54.8,56.5,54.2,56.1,+2.10,469
107/10/16,"504,479","28,615,449",55.2,57.1,55.2,56.6,+0.50,323
107/10/17,"467,753","27,164,349",58.1,59.0,57.2,57.9,+1.30,389
107/10/18,"162,304","9,317,528",57.9,58.2,56.9,57.0,-0.90,155
107/10/19,"237,700","13,400,500",56.5,57.1,55.0,56.5,-0.50,230
107/10/22,"127,957","7,372,213",57.4,58.0,56.6,57.8,+1.30,121
107/10/23,"396,420","22,143,171",57.7,57.7,54.1,54.9,-2.90,361
107/10/24,"380,500","20,640,699",54.1,55.0,53.3,54.6,-0.30,313
107/10/25,"584,200","30,225,516",51.9,52.8,50.3,51.6,-3.00,440
107/10/26,"660,970","33,061,059",52.0,52.5,48.0,49.6,-2.00,505
107/10/29,"465,900","23,336,680",49.7,50.7,49.5,50.7,+1.10,349
107/10/30,"158,085","7,992,635",50.7,51.1,50.1,51.0,+0.30,134
107/10/31,"306,700","16,044,950",51.5,52.9,51.5,52.3,+1.30,266
107/11/01,"418,702","22,562,708",52.6,54.4,52.4,53.8,+1.50,328
107/11/02,"322,505","17,632,341",54.8,55.4,54.0,54.7,+0.90,269
107/11/05,"254,752","13,917,683",54.7,55.2,54.1,54.4,-0.30,228
107/11/06,"315,400","17,348,220",55.1,55.9,54.2,54.2,-0.20,243
107/11/07,"692,240","38,760,784",55.3,56.8,54.5,56.6,+2.40,501
107/11/08,"343,823","19,504,297",57.9,57.9,56.2,56.5,-0.10,268
107/11/09,"2,383,958","141,438,111",57.4,62.1,56.9,62.1,+5.60,"1,699"
107/11/12,"2,564,774","160,414,941",61.8,63.6,61.8,62.2,+0.10,"1,712"
107/11/13,"2,122,335","135,764,838",60.1,67.6,60.1,67.6,+5.40,"1,600"
107/11/14,"2,675,980","180,956,260",67.0,69.0,66.2,66.8,-0.80,"2,006"
107/11/15,"1,417,943","96,163,624",68.0,68.7,66.8,68.3,+1.50,"1,069"
107/11/16,"1,036,713","69,624,811",68.6,68.7,66.1,66.5,-1.80,708
107/11/19,"464,714","31,211,265",67.4,68.3,66.5,66.7,+0.20,371
107/11/20,"2,448,097","167,494,551",66.3,69.5,66.2,68.8,+2.10,"1,618"
107/11/21,"1,003,608","68,443,202",68.6,68.6,67.7,68.2,-0.60,687
107/11/22,"1,312,292","90,077,690",68.6,69.8,67.0,67.0,-1.20,914
107/11/23,"638,650","42,371,427",67.5,67.6,65.5,66.1,-0.90,495
107/11/26,"538,983","36,006,162",66.9,67.7,66.3,66.7,+0.60,469
107/11/27,"2,479,891","173,231,829",67.3,72.2,67.0,70.3,+3.60,"1,875"
107/11/28,"893,410","63,342,910",70.3,71.7,70.3,71.0,+0.70,757
107/11/29,"682,709","48,631,130",71.9,72.3,70.1,70.1,-0.90,537
107/11/30,"537,450","38,476,350",70.9,72.5,70.7,71.2,+1.10,451
107/12/03,"2,903,405","219,154,006",73.5,77.5,73.1,75.1,+3.90,"2,244"
107/12/04,"854,959","63,683,237",74.6,75.1,73.5,75.0,-0.10,665
107/12/05,"1,030,022","76,454,134",73.6,75.0,72.1,74.4,-0.60,805
107/12/06,"1,341,250","95,268,669",73.5,75.1,68.0,69.1,-5.30,998
107/12/07,"1,083,269","77,574,624",70.6,72.9,70.1,72.7,+3.60,842
107/12/10,"665,402","47,299,820",71.1,72.7,70.4,70.5,-2.20,564
107/12/11,"486,991","34,805,955",71.1,72.3,70.8,72.1,+1.60,363
107/12/12,"3,473,249","264,819,414",73.7,77.5,73.4,75.8,+3.70,"2,632"
107/12/13,"1,547,672","118,345,401",77.1,77.5,75.1,76.0,+0.20,"1,236"
107/12/14,"662,300","50,012,100",76.4,76.8,74.3,75.1,-0.90,557
107/12/17,"951,525","71,661,299",76.0,76.8,74.0,74.2,-0.90,731
107/12/18,"1,038,862","75,329,488",73.2,73.5,71.7,72.0,-2.20,797
107/12/19,"682,259","49,897,495",74.0,74.3,72.3,72.6,+0.60,520
107/12/20,"827,600","59,024,980",72.7,73.3,68.5,70.5,-2.10,626
107/12/21,"699,157","50,082,108",71.4,72.8,70.0,72.8,+2.30,601
107/12/22,"252,230","18,299,775",73.2,73.2,71.8,71.8,-1.00,192
107/12/24,"407,700","29,786,140",73.0,73.6,72.1,73.2,+1.40,327
107/12/25,"474,330","33,756,195",71.8,72.2,70.3,71.0,-2.20,360
107/12/26,"407,015","28,741,143",72.1,72.1,69.5,69.6,-1.40,319
107/12/27,"469,501","33,151,570",71.1,71.4,70.0,70.0,+0.40,391
107/12/28,"674,881","47,863,062",70.8,71.7,70.5,70.9,+0.90,497
108/01/02,"561,560","39,892,868",71.4,72.5,70.0,70.3,-0.60,423
108/01/03,"510,548","36,005,873",70.9,71.4,69.3,69.3,-1.00,379
108/01/04,"794,800","53,851,639",69.1,69.4,65.9,68.6,-0.70,623
108/01/07,"313,349","22,107,334",70.0,70.9,70.0,70.4,+1.80,280
108/01/08,"258,006","18,210,523",70.7,71.1,70.1,70.4, 0.00,234
108/01/09,"356,200","25,301,000",70.6,71.5,70.5,70.5,+0.10,295
108/01/10,"233,200","16,383,200",70.6,70.9,69.8,70.0,-0.50,195
108/01/11,"282,300","19,660,089",70.6,70.7,69.0,69.2,-0.80,225
108/01/14,"511,900","34,705,557",69.0,69.7,66.5,67.3,-1.90,399
108/01/15,"523,353","35,922,161",67.5,70.0,67.3,68.7,+1.40,460
108/01/16,"447,950","31,292,915",68.8,70.4,68.8,69.5,+0.80,378
108/01/17,"261,800","18,098,639",69.6,70.2,68.4,68.5,-1.00,240
108/01/18,"442,000","30,844,497",68.8,70.6,68.8,70.3,+1.80,372
108/01/21,"614,804","43,639,397",71.4,71.4,70.3,71.4,+1.10,527
108/01/22,"665,606","47,450,426",72.8,72.8,70.3,70.3,-1.10,540
108/01/23,"304,483","21,521,846",70.1,71.2,69.8,70.7,+0.40,262
108/01/24,"358,000","25,227,500",70.7,71.2,70.2,70.2,-0.50,297
108/01/25,"388,300","27,493,975",70.8,71.3,70.4,70.6,+0.40,302
108/01/28,"380,400","26,885,400",71.3,71.6,70.1,70.1,-0.50,301
108/01/29,"570,500","39,298,400",69.1,69.8,68.4,68.6,-1.50,479
108/01/30,"432,700","29,521,707",68.8,69.0,67.8,68.0,-0.60,377
108/02/11,"456,331","31,721,734",68.2,70.2,68.2,70.2,+2.20,392
108/02/12,"670,916","47,635,008",69.8,71.8,69.7,71.3,+1.10,540
108/02/13,"481,247","34,264,033",71.8,71.8,70.5,71.4,+0.10,364
108/02/14,"1,019,836","74,174,803",72.3,73.3,71.9,71.9,+0.50,835
108/02/15,"328,900","23,484,900",72.3,72.5,70.7,70.9,-1.00,281
108/02/18,"258,659","18,433,889",71.4,71.7,71.0,71.0,+0.10,218
108/02/19,"279,300","20,018,250",71.7,72.1,71.3,71.6,+0.60,234
108/02/20,"1,023,506","74,836,538",72.0,73.9,71.6,73.1,+1.50,766
108/02/21,"410,500","29,792,999",73.2,73.5,72.2,72.6,-0.50,315
108/02/22,"207,700","14,972,060",72.7,72.8,71.8,71.8,-0.80,183
108/02/25,"354,824","25,679,838",72.0,72.8,72.0,72.6,+0.80,262
108/02/26,"337,400","24,324,200",73.0,73.2,71.3,71.3,-1.30,285
108/02/27,"426,624","30,030,211",71.3,71.4,70.0,70.7,-0.60,326
108/03/04,"212,275","15,089,325",71.5,71.5,70.7,71.0,+0.30,172
108/03/05,"171,327","12,097,850",70.5,70.9,70.3,70.3,-0.70,150
108/03/06,"193,500","13,632,797",70.4,70.9,70.3,70.3, 0.00,155
108/03/07,"456,700","32,548,439",71.1,71.8,70.6,70.8,+0.50,378
108/03/08,"255,758","18,019,918",70.2,71.0,69.9,70.9,+0.10,209
108/03/11,"235,213","16,809,290",70.3,71.9,70.3,71.8,+0.90,228
108/03/12,"413,524","29,779,368",72.3,72.7,71.7,71.8, 0.00,304
108/03/13,"225,676","16,030,292",71.8,72.1,70.5,70.7,-1.10,186
108/03/14,"226,200","15,995,720",70.9,71.1,70.4,70.6,-0.10,192
108/03/15,"238,601","17,002,268",71.0,71.6,70.6,71.6,+1.00,208
108/03/18,"434,909","31,328,448",72.6,72.8,71.5,72.0,+0.40,321
108/03/19,"197,530","14,181,560",72.0,72.2,71.5,72.0, 0.00,167
108/03/20,"240,500","17,326,050",72.3,72.3,71.8,72.0, 0.00,189
108/03/21,"2,924,653","218,104,752",73.0,76.0,73.0,76.0,+4.00,"2,148"
108/03/22,"2,243,498","168,971,850",77.0,77.0,73.7,73.9,-2.10,"1,667"
108/03/25,"553,514","40,209,065",72.2,73.3,72.1,72.6,-1.30,402
108/03/26,"455,200","33,355,016",73.4,73.9,72.7,73.6,+1.00,363
108/03/27,"213,049","15,665,188",73.9,73.9,73.2,73.3,-0.30,192
108/03/28,"491,600","35,902,677",73.8,73.8,72.2,73.0,-0.30,318
108/03/29,"268,313","19,548,784",73.0,73.2,72.6,72.8,-0.20,229
108/04/01,"273,400","20,011,018",73.2,73.6,72.7,72.7,-0.10,212
108/04/02,"305,600","22,399,376",73.0,73.5,73.0,73.3,+0.60,227
108/04/03,"411,900","30,445,709",73.5,74.4,73.4,73.9,+0.60,298
108/04/08,"646,134","48,503,003",75.1,75.6,74.6,74.8,+0.90,486
108/04/09,"846,253","64,141,172",75.0,76.6,74.9,76.6,+1.80,649
108/04/10,"652,013","49,431,488",76.4,76.4,75.3,75.9,-0.70,484
108/04/11,"634,300","47,592,977",76.0,76.1,74.3,74.6,-1.30,490
108/04/12,"492,922","36,387,751",74.6,74.6,73.3,73.4,-1.20,364
108/04/15,"283,303","20,971,022",73.9,74.4,73.8,74.0,+0.60,194
108/04/16,"258,950","19,095,002",74.0,74.3,73.5,73.9,-0.10,214
108/04/17,"393,283","29,168,780",74.5,74.6,73.9,74.3,+0.40,285
108/04/18,"376,668","27,884,728",74.7,74.8,73.0,73.2,-1.10,294
108/04/19,"426,970","31,266,898",73.6,74.2,72.9,73.3,+0.10,275
108/04/22,"310,000","22,840,100",73.4,74.0,73.4,73.8,+0.50,200
108/04/23,"188,924","13,868,717",73.5,73.6,73.2,73.4,-0.40,134
108/04/24,"239,600","17,596,080",73.9,73.9,73.2,73.4, 0.00,179
108/04/25,"230,100","16,953,080",73.9,74.1,73.4,73.6,+0.20,164
108/04/26,"419,150","30,602,250",73.2,73.3,72.7,72.8,-0.80,285
108/04/29,"493,700","35,294,350",72.8,73.3,70.5,71.2,-1.60,383
108/04/30,"167,300","11,960,770",71.3,71.7,71.2,71.7,+0.50,115
108/05/02,"192,401","13,940,373",71.7,72.8,71.7,72.8,+1.10,155
108/05/03,"170,900","12,490,359",72.6,73.5,72.5,73.3,+0.50,142
108/05/06,"393,980","28,319,264",72.8,72.8,71.4,71.5,-1.80,280
108/05/07,"185,200","13,315,580",71.5,72.2,71.3,71.9,+0.40,135
108/05/08,"147,400","10,501,180",70.7,71.7,70.7,71.4,-0.50,115
108/05/09,"413,530","29,094,853",71.4,71.5,69.7,69.9,-1.50,334
108/05/10,"332,400","23,122,200",69.9,70.6,68.6,69.1,-0.80,243
108/05/13,"327,820","22,272,345",69.1,69.1,67.4,67.4,-1.70,254
108/05/14,"171,376","11,448,620",65.6,68.5,65.5,67.9,+0.50,136
108/05/15,"106,500","7,323,497",68.0,69.2,68.0,69.1,+1.20,85
108/05/16,"106,139","7,286,516",68.5,69.0,68.3,68.7,-0.40,92
108/05/17,"263,060","17,870,856",68.8,69.9,67.0,67.1,-1.60,210
108/05/20,"152,300","10,132,379",67.1,67.2,66.2,66.2,-0.90,122
108/05/21,"172,463","11,500,784",66.0,67.9,66.0,67.7,+1.50,134
108/05/22,"93,600","6,331,698",67.7,68.2,67.1,67.1,-0.60,89
108/05/23,"238,400","15,689,118",67.0,67.0,65.5,65.8,-1.30,189
108/05/24,"254,045","16,719,382",65.8,66.9,65.5,65.5,-0.30,188
108/05/27,"112,400","7,429,360",65.7,66.6,65.5,66.3,+0.80,102
108/05/28,"193,600","13,117,299",66.3,68.6,66.3,68.2,+1.90,134
