date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,270,"9,689",35.1,36.5,35.1,35.9,0.8,202
107/07/03,352,"12,429",36.0,36.45,34.5,34.7,-1.2,229
107/07/04,161,"5,593",35.5,35.5,34.4,35.0,0.3,105
107/07/05,156,"5,365",34.9,35.0,33.7,34.3,-0.7,105
107/07/06,148,"5,032",34.3,34.75,33.6,33.85,-0.45,104
107/07/09,155,"5,226",33.65,34.0,33.3,33.5,-0.35,112
107/07/10,239,"8,284",34.0,36.2,33.6,35.15,1.65,174
107/07/11,176,"6,102",35.0,35.15,34.0,34.35,-0.8,126
107/07/12,136,"4,706",34.05,35.1,34.05,34.4,0.05,95
107/07/13,132,"4,601",35.15,35.2,34.5,34.5,0.1,89
107/07/16,123,"4,237",34.9,35.0,34.2,34.3,-0.2,77
107/07/17,75,"2,586",34.5,34.75,34.25,34.6,0.3,65
107/07/18,112,"3,828",34.6,34.75,34.0,34.35,-0.25,77
107/07/19,133,"4,520",34.35,34.45,33.7,33.85,-0.5,102
107/07/20,108,"3,664",33.9,34.1,33.55,33.7,-0.15,51
107/07/23,408,"14,248",34.25,35.9,33.6,35.3,1.6,311
107/07/24,547,"19,524",35.5,36.45,34.8,35.1,-0.2,389
107/07/25,324,"11,166",35.15,35.4,34.1,34.15,-0.95,224
107/07/26,137,"4,719",34.4,34.9,34.0,34.3,0.15,105
107/07/27,102,"3,506",34.1,34.7,34.1,34.25,-0.05,73
107/07/30,152,"5,176",34.15,34.4,33.9,33.9,-0.35,89
107/07/31,120,"4,133",34.6,34.6,34.05,34.1,0.2,91
107/08/01,214,"7,350",34.4,34.6,34.1,34.5,0.4,127
107/08/02,128,"4,392",34.65,34.65,34.15,34.2,-0.3,71
107/08/03,156,"5,325",34.4,34.5,34.0,34.0,-0.2,94
107/08/06,122,"4,203",34.45,34.65,34.3,34.4,0.4,100
107/08/07,161,"5,518",34.6,34.65,34.05,34.05,-0.35,102
107/08/08,120,"4,104",34.5,34.55,34.0,34.25,0.2,83
107/08/09,162,"5,524",34.45,34.45,33.95,33.95,-0.3,83
107/08/10,129,"4,377",33.95,34.1,33.8,33.85,-0.1,88
107/08/13,363,"12,096",34.2,34.2,32.8,32.8,-1.05,231
107/08/14,148,"4,853",32.8,33.0,32.6,32.85,0.05,92
107/08/15,150,"4,941",32.9,33.35,32.8,33.0,0.15,89
107/08/16,264,"8,547",33.5,33.5,32.0,32.5,-0.5,152
107/08/17,229,"7,427",32.8,32.8,32.0,32.45,-0.05,71
107/08/20,303,"9,726",32.45,33.2,30.0,31.5,-0.95,143
107/08/21,129,"4,076",31.5,32.0,31.2,31.5,0.0,87
107/08/22,88,"2,783",32.0,32.0,31.1,31.5,0.0,65
107/08/23,62,"1,946",31.3,31.65,31.2,31.5,0.0,50
107/08/24,62,"1,944",31.6,31.6,31.2,31.25,-0.25,50
107/08/27,87,"2,730",31.5,31.5,31.0,31.4,0.15,63
107/08/28,96,"3,005",31.5,31.5,31.1,31.4,0.0,52
107/08/29,64,"1,984",31.4,31.5,31.1,31.15,-0.25,43
107/08/30,162,"5,105",31.2,32.15,31.1,31.8,0.65,70
107/08/31,67,"2,155",32.1,32.4,31.85,32.25,0.45,41
107/09/03,51,"1,636",32.25,32.3,31.7,32.2,-0.05,39
107/09/04,34,"1,088",32.15,32.15,31.7,32.15,-0.05,27
107/09/05,120,"3,866",32.1,32.4,32.05,32.25,0.1,78
107/09/06,222,"7,285",32.25,33.3,32.05,33.05,0.8,156
107/09/07,471,"16,021",33.3,35.25,32.9,33.5,0.45,310
107/09/10,318,"10,760",33.15,34.2,33.15,33.8,0.3,217
