date,volume,amount,open,high,low,close,spread,Quantity
107/12/05,"9,299,751","317,470,482",30.0,38.0,30.0,37.5,X0.00,"4,449"
107/12/06,"9,839,954","386,820,367",38.0,42.0,38.0,41.8,+4.30,"5,255"
107/12/07,"5,175,735","203,517,000",39.2,40.9,38.4,39.6,-2.20,"3,147"
107/12/10,"3,935,702","152,816,423",39.9,40.6,37.0,37.6,-2.00,"2,539"
107/12/11,"3,745,890","138,738,481",37.65,38.85,35.65,38.8,+1.20,"2,553"
107/12/12,"3,843,923","145,358,674",38.0,39.2,36.5,37.7,-1.10,"2,890"
107/12/13,"5,271,518","214,253,267",39.3,41.45,39.0,41.45,+3.75,"2,698"
107/12/14,"10,159,458","444,398,760",42.2,45.55,41.35,45.0,+3.55,"5,726"
107/12/17,"5,501,323","246,138,647",44.0,46.8,43.3,44.9,-0.10,"3,533"
107/12/18,"4,272,893","181,532,651",44.0,44.5,40.55,42.5,-2.40,"3,073"
107/12/19,"2,156,880","90,234,737",42.3,42.9,41.05,42.05,-0.45,"1,591"
107/12/20,"4,325,625","187,394,375",41.25,44.35,41.15,43.9,+1.85,"3,171"
107/12/21,"2,794,525","120,018,217",43.3,43.8,41.9,43.8,-0.10,"1,909"
107/12/22,"1,546,111","66,524,778",43.8,43.8,42.3,43.0,-0.80,"1,071"
107/12/24,"4,956,489","225,483,525",43.7,47.3,43.3,47.3,+4.30,"3,195"
107/12/25,"7,480,655","355,293,745",46.0,49.3,45.8,49.0,+1.70,"5,118"
107/12/26,"4,592,659","215,909,483",47.8,48.9,44.7,45.3,-3.70,"3,237"
107/12/27,"2,948,826","137,406,996",46.3,47.8,45.8,46.0,+0.70,"2,100"
107/12/28,"1,744,731","78,683,214",46.0,46.35,44.5,45.3,-0.70,"1,272"
108/01/02,"1,478,125","67,509,441",46.0,46.25,44.85,45.4,+0.10,"1,103"
108/01/03,"1,845,703","81,326,519",44.55,45.05,43.3,43.6,-1.80,"1,358"
108/01/04,"1,663,100","70,067,250",42.9,43.1,41.0,42.7,-0.90,"1,207"
108/01/07,"3,248,122","146,988,539",43.3,46.95,43.2,46.2,+3.50,"2,095"
108/01/08,"2,154,190","98,656,300",45.4,47.0,44.85,45.0,-1.20,"1,583"
108/01/09,"3,152,425","146,777,412",45.7,47.5,45.1,46.05,+1.05,"2,211"
108/01/10,"2,247,832","102,547,942",44.5,46.8,44.4,45.85,-0.20,"1,623"
108/01/11,"6,476,298","316,751,100",46.95,50.4,46.95,50.2,+4.35,"4,257"
108/01/14,"4,034,951","201,151,028",48.5,51.7,48.5,50.4,+0.20,"2,980"
108/01/15,"4,069,216","215,615,838",50.5,54.8,50.4,52.9,+2.50,"2,798"
108/01/16,"1,978,629","104,234,219",52.9,53.8,51.6,52.5,-0.40,"1,508"
108/01/17,"2,025,404","107,616,512",53.4,54.4,52.1,53.0,+0.50,"1,508"
108/01/18,"3,186,588","164,675,788",53.9,54.0,50.4,50.8,-2.20,"2,222"
108/01/21,"2,283,549","113,461,405",50.7,51.5,49.05,49.2,-1.60,"1,707"
108/01/22,"1,741,614","87,463,460",49.95,51.1,49.2,50.0,+0.80,"1,307"
108/01/23,"692,420","34,361,210",49.3,50.1,49.2,49.6,-0.40,546
108/01/24,"923,747","45,711,777",49.8,50.4,49.0,49.3,-0.30,710
108/01/25,"1,436,500","71,782,000",49.5,50.6,49.0,50.6,+1.30,"1,038"
108/01/28,"2,128,400","110,275,018",52.1,52.5,50.8,52.0,+1.40,"1,674"
108/01/29,"746,895","38,183,822",51.3,51.7,50.7,51.0,-1.00,576
108/01/30,"1,039,193","53,161,222",51.0,51.8,50.3,51.0, 0.00,705
108/02/11,"3,784,551","205,934,305",51.7,56.1,51.3,56.1,+5.10,"1,976"
108/02/12,"3,853,060","223,840,240",56.8,59.8,56.1,58.8,+2.70,"2,876"
108/02/13,"1,942,036","112,673,678",58.0,59.3,57.0,57.8,-1.00,"1,533"
108/02/14,"3,710,087","222,616,023",58.0,62.5,58.0,62.5,+4.70,"2,715"
108/02/15,"3,302,829","206,110,057",60.8,64.3,60.5,62.5, 0.00,"2,509"
108/02/18,"3,774,253","247,654,270",63.0,68.7,61.6,68.7,+6.20,"2,434"
108/02/19,"4,250,636","306,034,780",69.9,75.0,67.6,73.1,+4.40,"3,162"
