date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,904,"64,729",72.30,72.50,70.00,70.00,-1.0,548
107/07/03,945,"61,389",69.90,69.90,63.00,63.00,-7.0,784
107/07/04,512,"31,120",62.50,62.50,58.20,62.20,-0.8,422
107/07/05,307,"19,022",63.30,64.10,60.40,61.20,-1.0,253
107/07/06,327,"20,053",61.70,64.60,58.80,63.30,2.1,279
107/07/09,207,"12,704",63.00,63.20,60.00,60.20,-3.1,169
107/07/10,121,"7,375",61.40,61.70,60.50,61.00,0.8,106
107/07/11,165,"10,024",61.40,61.50,60.00,60.30,-0.7,135
107/07/12,337,"20,137",60.00,60.50,59.00,59.30,-1.0,227
107/07/13,207,"12,591",59.70,61.70,59.40,61.00,1.7,162
107/07/16,101,"6,176",62.00,62.00,60.50,61.00,0.0,82
107/07/17,100,"6,030",61.50,61.50,60.00,60.10,-0.9,92
107/07/18,188,"11,252",60.10,61.00,59.50,60.10,0.0,141
107/07/19,116,"7,053",60.20,61.70,60.00,60.80,0.7,93
107/07/20,105,"6,361",61.00,61.60,60.00,60.00,-0.8,83
107/07/23,93,"5,524",60.00,60.00,59.00,59.00,-1.0,77
107/07/24,59,"3,477",59.80,59.90,58.60,59.00,0.0,51
107/07/25,42,"2,469",59.00,59.50,58.50,58.60,-0.4,36
107/07/26,176,"10,658",58.50,62.00,58.20,60.00,1.4,143
107/07/27,57,"3,434",60.00,60.80,60.00,60.30,0.3,49
107/07/30,55,"3,263",59.80,59.80,59.00,59.10,-1.2,51
107/07/31,40,"2,372",59.10,59.50,59.00,59.30,0.2,35
107/08/01,162,"9,826",59.30,61.50,59.00,61.50,2.2,149
107/08/02,109,"6,577",61.30,61.30,59.80,60.00,-1.5,97
107/08/03,361,"22,621",63.80,64.00,61.40,62.10,2.1,283
107/08/06,152,"9,358",62.20,62.80,60.50,60.70,-1.4,110
107/08/07,101,"6,195",61.60,62.00,60.70,61.20,0.5,82
107/08/08,826,"53,491",64.00,66.90,63.20,64.50,3.3,613
107/08/09,353,"22,233",64.40,64.40,62.10,62.60,-1.9,270
107/08/10,183,"11,417",62.00,63.80,61.20,61.40,-1.2,142
107/08/13,317,"19,115",62.50,62.50,58.60,59.50,-1.9,253
107/08/14,98,"5,838",59.90,60.30,58.90,59.60,0.1,86
107/08/15,105,"6,210",59.60,60.00,58.70,59.40,-0.2,89
107/08/16,210,"12,176",58.60,58.90,57.10,57.80,-1.6,156
107/08/17,121,"7,030",58.30,59.00,57.20,57.50,-0.3,103
107/08/20,343,"18,618",57.80,57.80,53.10,53.30,-4.2,277
107/08/21,117,"6,154",53.30,53.30,51.60,52.90,-0.4,99
107/08/22,124,"6,463",52.30,52.90,51.60,52.10,-0.8,100
107/08/23,58,"3,054",52.50,53.40,52.40,52.40,0.3,48
107/08/24,41,"2,139",53.10,53.10,51.90,51.90,-0.5,40
107/08/27,89,"4,683",52.10,53.10,52.10,52.60,0.7,64
107/08/28,30,"1,580",52.60,52.90,52.60,52.70,0.1,24
107/08/29,57,"2,994",52.30,53.00,52.30,52.40,-0.3,46
107/08/30,49,"2,572",52.40,53.00,52.10,52.10,-0.3,37
107/08/31,68,"3,481",51.60,51.80,50.60,51.70,-0.4,64
