date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,17,"2,398",143.50,143.50,140.00,140.00,-2.0,14
107/07/03,31,"4,253",140.00,141.00,135.00,136.00,-4.0,29
107/07/04,67,"8,433",133.50,133.50,122.50,128.00,-8.0,75
107/07/05,52,"6,322",125.50,125.50,119.00,119.00,-9.0,57
107/07/06,34,"3,964",118.00,118.50,111.50,116.00,-3.0,33
107/07/09,26,"2,972",116.00,118.50,112.00,118.50,2.5,31
107/07/10,21,"2,379",115.50,116.00,114.00,115.00,-3.5,27
107/07/11,10,"1,203",116.00,121.00,116.00,119.00,4.0,14
107/07/12,31,"3,791",119.00,123.00,119.00,122.50,3.5,36
107/07/13,34,"4,092",122.00,122.00,119.00,120.00,-2.5,30
107/07/16,14,"1,713",119.50,120.00,118.50,118.50,-1.5,22
107/07/17,2,241,118.50,118.50,118.50,118.50,0.0,3
107/07/18,11,"1,308",119.00,119.00,117.50,117.50,-1.0,12
107/07/19,3,360,117.00,118.00,117.00,118.00,0.5,8
107/07/20,11,"1,308",119.00,119.00,118.50,118.50,0.5,10
107/07/23,1,121,117.00,117.00,117.00,117.00,-1.5,2
107/07/24,3,367,118.00,119.00,118.00,118.00,1.0,5
107/07/25,7,859,118.00,119.00,117.00,119.00,1.0,10
107/07/26,7,830,119.00,119.00,116.00,118.00,-1.0,9
107/07/27,10,"1,201",119.00,119.00,118.50,119.00,1.0,10
107/07/30,8,989,123.00,123.00,120.00,120.00,1.0,10
107/07/31,3,397,119.50,120.00,119.50,120.00,0.0,8
107/08/01,14,"1,680",120.00,120.50,118.00,120.00,0.0,13
107/08/02,578,"76,095",129.00,132.00,128.00,132.00,12.0,277
107/08/03,292,"37,402",129.50,133.00,125.50,132.00,0.0,280
107/08/06,243,"30,361",129.00,129.00,123.00,125.00,-7.0,195
107/08/07,56,"7,101",124.00,127.00,124.00,125.50,0.5,58
107/08/08,70,"8,879",127.50,128.00,126.00,126.00,0.5,55
107/08/09,49,"6,327",127.00,130.00,127.00,128.00,2.0,47
107/08/10,53,"6,821",128.00,130.00,127.50,128.00,0.0,47
107/08/13,27,"3,353",128.00,128.00,122.00,122.50,-5.5,26
107/08/14,29,"3,584",122.50,123.50,121.00,123.50,1.0,28
107/08/15,25,"3,080",124.00,124.00,123.00,123.00,-0.5,22
107/08/16,23,"2,760",123.00,123.00,122.00,122.00,-1.0,25
107/08/17,25,"3,120",124.00,127.00,123.50,123.50,1.5,22
107/08/20,20,"2,502",124.50,126.50,123.50,126.00,2.5,20
107/08/21,16,"2,018",126.00,126.00,125.50,126.00,0.0,14
107/08/22,16,"2,038",126.00,127.50,126.00,126.00,0.0,18
107/08/23,10,"1,279",128.00,128.00,125.50,125.50,-0.5,10
107/08/24,6,763,125.50,125.50,125.00,125.00,-0.5,9
107/08/27,18,"2,235",125.00,125.00,123.50,123.50,-1.5,16
107/08/28,15,"1,864",124.00,124.00,123.50,124.00,0.5,15
107/08/29,18,"2,246",123.50,125.50,123.50,125.50,1.5,10
107/08/30,7,889,125.00,125.50,125.00,125.00,-0.5,7
107/08/31,25,"3,174",126.00,128.00,126.00,127.50,2.5,25
107/09/03,16,"2,034",128.00,128.00,126.00,126.00,-1.5,16
107/09/04,52,"6,766",127.00,131.50,127.00,131.00,5.0,51
107/09/05,43,"5,599",131.00,131.50,128.50,129.50,-1.5,39
107/09/06,24,"3,147",130.00,130.50,128.00,128.00,-1.5,23
107/09/07,35,"4,450",128.00,128.00,125.00,125.00,-3.0,32
107/09/10,39,"4,771",124.00,125.00,121.50,124.00,-1.0,37
107/09/11,17,"2,087",123.00,123.00,121.00,121.00,-3.0,16
107/09/12,16,"1,951",121.00,123.00,121.00,122.00,1.0,15
107/09/13,14,"1,715",122.00,122.00,121.00,121.50,-0.5,15
107/09/14,6,736,122.00,123.00,122.00,123.00,1.5,5
107/09/17,5,623,123.50,123.50,123.00,123.00,0.0,6
107/09/18,9,"1,115",124.00,125.50,122.50,122.50,-0.5,9
107/09/19,3,417,123.00,124.00,123.00,124.00,1.5,6
107/09/20,19,"2,248",122.50,122.50,121.00,121.00,-3.0,20
107/09/21,22,"2,651",122.50,122.50,120.00,121.00,0.0,15
107/09/25,4,493,120.00,120.50,119.50,120.50,-0.5,7
107/09/26,6,724,120.50,121.00,120.50,121.00,0.5,6
107/09/27,2,243,121.00,121.50,121.00,121.50,0.5,2
107/09/28,8,987,121.50,122.50,120.50,120.50,-1.0,11
107/10/01,3,367,122.50,122.50,122.00,122.00,1.5,4
107/10/02,5,609,122.00,122.00,121.00,122.00,0.0,5
107/10/03,15,"1,863",125.00,125.00,123.00,123.00,1.0,13
107/10/04,5,608,122.00,122.00,121.50,121.50,-1.5,5
107/10/05,7,836,120.00,120.00,119.00,119.00,-2.5,8
107/10/08,6,697,119.00,119.00,115.50,115.50,-3.5,7
107/10/09,4,486,117.50,117.50,115.00,115.00,-0.5,7
107/10/11,41,"4,391",112.00,112.00,103.50,107.00,-8.0,39
107/10/12,22,"2,352",103.50,108.50,103.50,107.50,0.5,17
107/10/15,13,"1,378",107.50,107.50,104.00,107.50,0.0,11
107/10/16,5,541,108.50,108.50,108.00,108.00,0.5,4
107/10/17,8,866,109.00,109.50,107.00,108.00,0.0,8
107/10/18,6,649,109.50,109.50,107.00,108.00,0.0,6
107/10/19,5,536,107.50,107.50,106.50,107.50,-0.5,5
107/10/22,6,657,108.50,110.00,108.50,109.50,2.0,6
107/10/23,5,548,108.00,111.50,108.00,111.50,2.0,5
107/10/24,12,"1,333",109.50,111.50,109.00,110.50,-1.0,9
107/10/25,7,759,108.50,108.50,106.00,106.00,-4.5,9
107/10/26,4,426,106.00,106.00,105.00,106.00,0.0,5
107/10/29,3,318,106.00,106.00,106.00,106.00,0.0,3
107/10/30,9,940,106.00,106.00,100.50,105.50,-0.5,11
107/10/31,5,529,106.00,107.50,104.00,105.00,-0.5,5
107/11/01,5,531,107.00,107.00,105.00,106.00,1.0,4
107/11/02,11,"1,172",106.00,106.00,103.00,104.00,-2.0,14
107/11/05,13,"1,377",103.00,109.00,103.00,109.00,5.0,12
107/11/06,103,"12,300",119.50,119.50,119.00,119.50,10.5,69
107/11/07,149,"18,423",122.50,130.00,118.00,120.00,0.5,142
107/11/08,37,"4,391",122.00,122.00,116.00,116.00,-4.0,40
107/11/09,43,"5,220",124.50,124.50,119.00,123.00,7.0,50
107/11/12,24,"2,916",121.00,123.00,120.00,120.50,-2.5,24
107/11/13,18,"2,150",114.50,121.00,114.50,120.50,0.0,18
107/11/14,36,"4,528",122.50,127.50,121.00,127.00,6.5,34
107/11/15,34,"4,352",128.50,128.50,124.50,127.00,0.0,35
107/11/16,101,"13,150",129.50,132.50,127.50,132.50,5.5,90
107/11/19,55,"7,359",135.50,136.00,133.00,134.00,1.5,58
107/11/20,37,"4,898",132.00,132.50,131.00,131.50,-2.5,34
107/11/21,40,"5,208",127.50,131.50,127.50,131.50,0.0,36
107/11/22,23,"3,058",133.50,134.00,131.50,131.50,0.0,23
107/11/23,32,"4,260",133.00,133.50,131.50,132.50,1.0,33
107/11/26,29,"3,829",132.50,133.00,130.00,131.00,-1.5,29
107/11/27,42,"5,560",133.00,133.00,131.00,133.00,2.0,39
107/11/28,39,"5,234",132.50,134.50,130.50,134.00,1.0,41
107/11/29,85,"11,071",133.00,133.00,127.50,128.50,-5.5,80
107/11/30,29,"3,786",130.50,131.00,128.50,131.00,2.5,30
107/12/03,62,"8,179",131.50,134.50,130.00,133.50,2.5,60
107/12/04,52,"6,868",134.00,134.00,130.00,132.00,-1.5,45
107/12/05,26,"3,417",131.50,132.00,130.50,130.50,-1.5,26
107/12/06,38,"4,867",130.50,130.50,125.00,125.00,-5.5,38
107/12/07,14,"1,733",127.00,128.50,127.00,128.00,3.0,15
107/12/10,23,"3,020",128.00,132.50,127.50,132.00,4.0,28
107/12/11,41,"5,441",132.00,133.00,131.00,133.00,1.0,35
107/12/12,69,"9,371",133.00,139.00,133.00,139.00,6.0,74
107/12/13,66,"9,189",140.00,142.00,137.00,138.00,-1.0,63
107/12/14,54,"7,574",139.00,141.00,138.00,140.00,2.0,51
107/12/17,24,"3,321",141.00,141.00,137.00,137.50,-2.5,25
107/12/18,19,"2,622",136.50,137.00,134.00,135.00,-2.5,20
107/12/19,11,"1,501",135.00,135.00,133.50,133.50,-1.5,13
107/12/20,25,"3,305",134.50,134.50,131.00,132.50,-1.0,26
107/12/21,28,"3,688",132.00,132.50,129.00,132.50,0.0,23
107/12/22,0,19,--,--,--,--,0.0,2
107/12/24,5,708,130.50,131.50,130.00,131.50,0.0,9
107/12/25,8,"1,041",130.50,130.50,130.00,130.00,-1.5,6
107/12/26,3,422,130.50,131.00,129.50,129.50,-0.5,6
107/12/27,4,522,131.00,131.00,130.00,130.50,1.0,4
107/12/28,7,932,129.50,130.00,129.00,130.00,-0.5,8
108/01/02,5,665,130.00,130.50,130.00,130.50,0.5,6
108/01/03,4,520,130.00,130.00,130.00,130.00,-0.5,4
108/01/04,9,"1,174",127.50,130.00,127.50,130.00,0.0,11
108/01/07,9,"1,185",130.00,133.00,130.00,133.00,3.0,9
108/01/08,11,"1,484",133.00,135.00,133.00,133.00,0.0,14
108/01/09,7,943,133.00,133.00,131.00,131.00,-2.0,9
108/01/10,28,"3,757",133.00,135.00,133.00,134.00,3.0,25
108/01/11,25,"3,431",134.50,138.00,134.00,138.00,4.0,27
108/01/14,10,"1,416",142.50,142.50,138.00,138.00,0.0,14
108/01/15,15,"2,074",139.00,139.00,136.50,136.50,-1.5,16
108/01/16,15,"2,028",136.50,137.00,132.50,137.00,0.5,15
108/01/17,12,"1,631",135.50,136.50,134.50,136.00,-1.0,11
108/01/18,2,274,136.00,136.00,135.50,135.50,-0.5,3
108/01/21,17,"2,335",138.00,138.00,135.00,137.00,1.5,21
108/01/22,8,"1,091",136.00,136.50,135.50,135.50,-1.5,8
108/01/23,22,"3,034",136.00,139.00,136.00,137.00,1.5,22
108/01/24,83,"11,709",137.00,143.00,137.00,142.50,5.5,79
108/01/25,91,"13,463",143.50,151.00,143.00,150.50,8.0,94
108/01/28,60,"9,014",151.00,152.00,146.00,146.00,-4.5,64
108/01/29,16,"2,335",146.00,147.00,143.50,147.00,1.0,17
108/01/30,25,"3,682",146.00,146.00,144.00,145.00,-2.0,26
108/02/11,49,"7,320",146.00,150.50,146.00,150.50,5.5,51
108/02/12,82,"12,685",151.50,157.00,151.50,154.00,3.5,78
108/02/13,60,"9,069",154.00,154.50,149.00,151.00,-3.0,53
108/02/14,114,"16,795",149.00,149.00,145.00,147.50,-3.5,89
108/02/15,43,"6,408",148.50,151.00,147.00,151.00,3.5,41
108/02/18,82,"12,564",153.00,155.00,151.00,154.50,3.5,74
108/02/19,53,"8,315",154.50,158.50,154.00,154.00,-0.5,54
108/02/20,53,"8,165",156.00,156.00,153.00,153.50,-0.5,60
108/02/21,40,"6,158",153.50,153.50,152.00,153.50,0.0,37
108/02/22,34,"5,229",155.00,155.00,152.00,152.00,-1.5,27
108/02/25,39,"5,996",151.50,154.50,151.50,153.50,1.5,38
108/02/26,29,"4,515",155.50,155.50,154.00,154.50,1.0,27
108/02/27,26,"4,025",154.00,155.00,154.00,154.50,0.0,26
108/03/04,10,"1,474",154.50,154.50,152.00,154.50,0.0,13
108/03/05,11,"1,709",155.00,156.00,154.50,154.50,0.0,11
108/03/06,55,"8,748",156.00,163.00,156.00,158.00,3.5,54
108/03/07,17,"2,670",156.00,159.00,155.50,156.00,-2.0,19
108/03/08,15,"2,369",156.00,157.50,156.00,157.50,1.5,17
108/03/11,8,"1,313",158.00,159.00,158.00,158.50,1.0,15
108/03/12,15,"2,450",158.50,159.00,158.00,159.00,0.5,25
108/03/13,10,"1,646",160.00,160.00,158.50,158.50,-0.5,14
108/03/14,19,"3,015",158.00,158.00,157.50,158.00,-0.5,20
108/03/15,16,"2,568",157.50,158.50,157.50,157.50,-0.5,18
108/03/18,10,"1,596",157.50,158.00,157.50,157.50,0.0,12
108/03/19,74,"11,330",158.00,158.00,149.00,152.50,-5.0,66
108/03/20,24,"3,722",153.50,155.50,153.00,155.50,3.0,25
108/03/21,22,"3,367",156.50,157.00,155.50,156.00,0.5,19
108/03/22,19,"3,018",157.00,157.50,157.00,157.00,1.0,22
108/03/25,16,"2,429",157.00,157.00,155.00,156.00,-1.0,17
108/03/26,6,941,156.00,156.00,156.00,156.00,0.0,6
108/03/27,21,"3,338",156.50,156.50,155.50,156.00,0.0,22
108/03/28,24,"3,729",158.00,158.00,153.00,153.00,-3.0,21
108/03/29,10,"1,454",154.00,154.00,152.50,152.50,-0.5,13
108/04/01,20,"3,079",153.00,153.00,151.50,152.00,-0.5,21
108/04/02,9,"1,413",152.00,152.50,152.00,152.50,0.5,10
108/04/03,1,208,153.00,153.00,153.00,153.00,0.5,2
