date,volume,amount,open,high,low,close,spread,Quantity
107/12/24＊,"1,196","40,570",38.00,38.00,30.00,32.25,13.1,887
107/12/25,685,"19,595",30.00,30.00,27.65,29.25,-3.0,547
107/12/26,476,"13,282",29.20,29.45,25.85,25.85,-3.4,423
107/12/27,289,"7,731",26.90,27.60,26.20,26.40,0.55,251
107/12/28,190,"5,021",26.05,27.15,26.05,26.35,-0.05,165
108/01/02,277,"6,995",26.90,26.90,24.40,24.55,-1.8,219
108/01/03,128,"3,162",24.55,25.30,24.50,24.55,0.0,100
108/01/04,147,"3,506",24.50,24.65,23.60,23.85,-0.7,111
108/01/07,116,"2,791",24.30,24.45,23.90,24.15,0.3,70
108/01/08,98,"2,349",24.30,24.30,23.70,23.95,-0.2,60
108/01/09,254,"6,569",24.20,26.30,24.20,26.30,2.35,202
108/01/10,565,"15,411",26.50,28.30,26.50,27.85,1.55,350
108/01/11,232,"6,289",27.60,27.90,26.60,27.00,-0.85,161
108/01/14,146,"3,820",26.40,27.00,25.80,25.85,-1.15,108
108/01/15,113,"2,885",25.85,25.90,25.15,25.85,0.0,92
108/01/16,66,"1,685",25.60,25.80,25.40,25.40,-0.45,61
108/01/17,100,"2,579",25.40,26.45,25.25,25.70,0.3,99
108/01/18,54,"1,386",25.80,26.00,25.30,25.60,-0.1,51
108/01/21,64,"1,644",25.60,26.00,25.40,25.50,-0.1,54
108/01/22,44,"1,127",25.80,25.80,25.35,25.35,-0.15,37
108/01/23,80,"2,045",25.70,25.75,25.35,25.50,0.15,57
108/01/24,90,"2,357",25.60,26.70,25.60,26.70,1.2,71
108/01/25,114,"3,020",26.70,27.10,26.05,26.30,-0.4,83
108/01/28,44,"1,143",26.30,26.40,25.80,26.05,-0.25,38
108/01/29,55,"1,425",26.00,26.05,25.65,25.70,-0.35,38
108/01/30,31,803,26.00,26.00,25.80,25.80,0.1,26
108/02/11,12,307,26.35,26.35,25.10,25.75,-0.05,14
108/02/12,28,720,25.80,26.00,25.50,26.00,0.25,18
108/02/13,61,"1,552",25.80,25.80,25.20,25.45,-0.55,50
108/02/14,29,740,25.90,25.90,25.40,25.70,0.25,21
108/02/15,25,641,26.30,26.40,25.40,25.70,0.0,23
108/02/18,20,511,25.45,25.50,25.30,25.45,-0.25,19
108/02/19,40,"1,010",25.40,25.40,25.15,25.25,-0.2,29
108/02/20,34,873,25.00,25.65,25.00,25.50,0.25,27
108/02/21,102,"2,567",25.60,26.35,24.60,25.25,-0.25,79
108/02/22,57,"1,420",25.15,25.15,24.80,24.90,-0.35,38
108/02/25,36,905,25.30,25.30,25.00,25.15,0.25,26
108/02/26,136,"3,515",25.45,26.40,25.30,25.90,0.75,101
108/02/27,67,"1,724",26.00,26.20,25.50,25.65,-0.25,44
108/03/04,39,"1,005",26.25,26.25,25.60,25.85,0.2,28
108/03/05,10,263,25.45,25.75,25.35,25.65,-0.2,12
108/03/06,34,869,25.60,25.75,25.50,25.55,-0.1,27
108/03/07,62,"1,569",25.50,25.50,25.10,25.30,-0.25,36
108/03/08,21,530,25.20,25.40,25.10,25.25,-0.05,16
108/03/11,239,"6,499",25.40,27.75,25.40,27.75,2.5,156
