date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,62,909,14.50,15.40,14.50,15.00,0.5,18
107/07/03,10,146,14.65,14.85,14.50,14.85,-0.15,10
107/07/04,8,116,14.80,14.80,14.30,14.70,-0.15,7
107/07/05,9,128,14.15,14.35,14.15,14.35,-0.35,8
107/07/06,11,155,14.20,14.30,14.00,14.05,-0.3,9
107/07/09,7,98,14.20,14.20,13.90,14.20,0.15,6
107/07/10,18,257,14.20,14.40,14.20,14.20,0.0,8
107/07/11,1,14,14.00,14.00,14.00,14.00,-0.2,1
107/07/12,15,210,14.00,14.00,13.90,14.00,0.0,9
107/07/13,12,167,13.90,14.05,13.90,14.00,0.0,9
107/07/16,96,"1,345",14.10,14.10,14.00,14.00,0.0,14
107/07/17,15,200,13.00,13.70,13.00,13.50,0.5,12
107/07/18,1,13,13.35,13.35,13.35,13.35,-0.15,1
107/07/19,2,27,13.80,13.80,13.65,13.65,0.3,2
107/07/20,8,107,13.20,13.60,13.20,13.60,-0.05,6
107/07/23,7,93,13.50,13.50,13.05,13.40,-0.2,6
107/07/24,6,78,13.35,13.35,12.95,13.05,-0.35,5
107/07/25,1,13,13.30,13.30,13.30,13.30,0.25,1
107/07/26,12,156,13.00,13.00,13.00,13.00,-0.3,6
107/07/27,6,79,13.20,13.20,13.20,13.20,0.2,6
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,1,13,13.30,13.30,13.30,13.30,0.1,1
107/08/01,9,117,13.10,13.10,12.90,12.90,-0.4,4
107/08/02,9,117,12.45,13.40,12.45,13.40,0.5,6
107/08/03,0,0,--,--,--,--,0.0,0
107/08/06,4,52,13.00,13.00,13.00,13.00,-0.25,5
107/08/07,4,52,13.00,13.20,13.00,13.05,0.05,4
107/08/08,5,65,13.05,13.05,12.90,12.90,-0.15,4
107/08/09,10,125,12.70,12.70,12.40,12.55,-0.35,8
107/08/10,7,88,12.65,12.65,12.50,12.50,-0.05,4
107/08/13,10,121,12.45,12.45,11.85,12.00,-0.5,10
107/08/14,42,485,11.90,11.90,11.50,11.55,-0.45,26
107/08/15,19,216,11.60,11.60,11.30,11.30,-0.25,13
107/08/16,9,102,11.45,11.45,11.30,11.30,0.0,4
107/08/17,20,234,11.65,12.10,11.50,11.65,0.35,20
107/08/20,5,58,11.50,11.65,11.40,11.60,-0.05,4
107/08/21,5,58,11.40,11.55,11.40,11.55,-0.05,3
107/08/22,2,23,11.50,11.50,11.40,11.40,-0.15,2
107/08/23,3,35,11.60,11.60,11.55,11.55,0.15,3
107/08/24,1,12,11.90,11.90,11.90,11.90,0.35,1
107/08/27,6,70,12.20,12.20,11.60,11.65,-0.25,5
107/08/28,8,92,11.60,11.60,11.50,11.50,-0.15,5
107/08/29,2,23,11.50,11.65,11.50,11.65,0.15,2
107/08/30,0,0,--,--,--,--,0.0,0
107/08/31,1,12,11.60,11.60,11.60,11.60,-0.05,1
107/09/03,2,23,11.80,11.80,11.50,11.50,-0.1,2
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,6,69,11.80,11.80,11.30,11.30,-0.2,6
107/09/06,8,90,11.30,11.30,11.30,11.30,0.0,7
107/09/07,6,69,11.50,11.65,11.35,11.35,0.05,6
107/09/10,1,11,11.25,11.25,11.25,11.25,-0.1,1
107/09/11,12,138,11.50,11.60,11.35,11.35,0.1,10
107/09/12,4,45,11.35,11.35,11.35,11.35,0.0,2
107/09/13,1,11,11.30,11.30,11.30,11.30,-0.05,1
107/09/14,4,47,11.40,12.00,11.40,11.90,0.6,4
107/09/17,8,95,11.90,11.90,11.85,11.85,-0.05,5
107/09/18,0,0,--,--,--,--,0.0,0
107/09/19,81,972,11.80,12.60,11.80,12.20,0.45,38
107/09/20,16,198,12.30,12.45,12.30,12.40,0.2,12
107/09/21,7,85,12.05,12.30,12.05,12.10,-0.3,6
107/09/25,30,356,12.10,12.10,11.65,11.65,-0.45,16
107/09/26,13,151,11.80,11.80,11.60,11.60,-0.05,7
107/09/27,4,46,11.60,11.60,11.60,11.60,0.0,2
107/09/28,1,12,11.75,11.75,11.75,11.75,0.15,1
107/10/01,13,149,11.75,11.75,11.40,11.40,-0.35,10
107/10/02,4,46,11.45,11.55,11.40,11.55,0.15,4
107/10/03,25,295,11.70,11.90,11.70,11.70,0.15,8
107/10/04,13,150,11.60,11.60,11.50,11.50,-0.2,8
107/10/05,7,79,11.40,11.40,11.15,11.35,-0.15,6
107/10/08,4,45,11.10,11.25,11.10,11.20,-0.15,3
107/10/09,1,11,11.25,11.25,11.25,11.25,0.05,1
107/10/11,21,229,11.00,11.20,10.50,10.80,-0.45,14
107/10/12,20,202,9.86,10.50,9.86,10.50,-0.3,12
107/10/15,2,20,10.05,10.40,10.05,10.40,-0.1,2
107/10/16,6,64,10.35,11.00,10.35,10.40,0.0,6
107/10/17,3,31,10.70,10.70,10.25,10.25,-0.15,3
107/10/18,3,31,10.30,10.30,10.30,10.30,0.05,3
107/10/19,12,120,9.52,10.35,9.52,10.35,0.05,11
107/10/22,0,0,--,--,--,--,0.0,0
107/10/23,9,91,9.92,10.30,9.92,10.20,-0.15,9
107/10/24,30,310,10.05,11.15,10.05,11.15,0.95,14
107/10/25,18,193,10.60,11.15,10.50,10.85,-0.3,10
107/10/26,13,140,11.00,11.30,10.50,10.85,0.0,10
107/10/29,1,11,10.70,10.70,10.70,10.70,-0.15,1
107/10/30,10,102,9.86,10.55,9.86,10.55,-0.15,9
107/10/31,11,114,10.75,10.75,10.20,10.40,-0.15,6
107/11/01,5,53,10.75,10.90,10.40,10.90,0.5,5
107/11/02,12,135,10.60,11.65,10.60,11.20,0.3,6
107/11/05,13,140,10.40,11.15,10.40,11.15,-0.05,13
107/11/06,0,0,--,--,--,--,0.0,0
107/11/07,43,472,11.00,11.55,10.80,10.95,-0.05,19
107/11/08,8,86,10.55,10.95,10.55,10.70,-0.25,6
107/11/09,13,139,10.40,10.85,10.40,10.85,0.15,10
107/11/12,16,179,10.85,11.30,10.85,11.15,0.3,13
107/11/13,23,263,11.15,11.90,10.85,11.90,0.75,21
107/11/14,26,311,11.50,13.00,11.15,13.00,1.1,23
107/11/15,133,"1,894",14.30,14.30,13.60,14.20,1.2,78
107/11/16,48,660,14.20,14.25,13.35,13.45,-0.75,32
107/11/19,8,108,13.70,13.70,13.50,13.50,0.05,5
107/11/20,19,245,12.65,13.35,12.65,13.35,-0.15,15
107/11/21,11,142,12.80,13.20,12.80,13.20,-0.15,10
107/11/22,7,91,13.50,13.50,12.85,12.85,-0.35,6
107/11/23,6,77,12.85,12.85,12.75,12.75,-0.1,3
107/11/26,3,38,12.80,12.80,12.80,12.80,0.05,2
107/11/27,15,194,12.80,13.45,12.60,13.40,0.6,12
107/11/28,3,40,13.10,13.50,13.10,13.15,-0.25,3
107/11/29,4,53,13.40,13.40,13.35,13.35,0.2,4
107/11/30,8,108,13.60,13.60,13.50,13.50,0.15,6
107/12/03,17,234,13.50,14.00,13.50,14.00,0.5,15
107/12/04,41,585,14.20,14.50,14.10,14.25,0.25,22
107/12/05,23,329,14.00,14.90,14.00,14.45,0.2,16
107/12/06,9,129,14.20,14.70,14.10,14.45,0.0,8
107/12/07,25,369,15.25,15.25,14.50,14.60,0.15,15
107/12/10,41,618,13.50,16.00,13.50,15.30,0.7,34
107/12/11,45,681,15.40,15.55,14.70,15.20,-0.1,21
107/12/12,23,344,15.00,15.40,14.80,15.00,-0.2,15
107/12/13,15,224,15.30,15.30,14.60,15.15,0.15,11
107/12/14,18,267,15.00,15.10,14.80,15.05,-0.1,9
107/12/17,1,15,15.20,15.20,15.20,15.20,0.15,1
107/12/18,12,178,14.80,15.00,14.70,14.85,-0.35,7
107/12/19,4,59,14.80,14.80,14.70,14.70,-0.15,2
107/12/20,11,162,14.70,14.90,14.60,14.90,0.2,6
107/12/21,26,384,14.90,14.90,14.65,14.90,0.0,13
107/12/22,16,237,14.90,14.90,14.70,14.75,-0.15,8
107/12/24,2,30,14.90,14.90,14.75,14.75,0.0,2
107/12/25,0,0,--,--,--,--,0.0,0
107/12/26,20,302,14.90,16.00,14.90,15.10,0.4,13
107/12/27,5,76,15.10,15.30,15.10,15.30,0.2,5
107/12/28,9,133,15.40,15.40,14.75,14.75,-0.55,7
108/01/02,12,186,15.50,15.50,15.40,15.45,0.7,12
108/01/03,6,92,15.40,15.40,15.35,15.40,-0.05,4
108/01/04,1,15,15.30,15.30,15.30,15.30,-0.1,1
108/01/07,22,331,15.50,15.50,15.00,15.20,-0.1,10
108/01/08,17,252,15.40,15.40,14.75,14.75,-0.45,9
108/01/09,15,225,14.90,15.00,14.90,15.00,0.25,8
108/01/10,2,30,15.00,15.00,14.90,14.90,-0.1,2
108/01/11,178,"2,910",16.35,16.35,16.30,16.35,1.45,75
108/01/14,328,"5,838",17.90,17.95,17.25,17.25,0.9,158
108/01/15,105,"1,782",17.25,17.35,16.70,16.70,-0.55,61
108/01/16,155,"2,758",16.70,18.35,16.70,18.35,1.65,91
108/01/17,262,"4,974",19.55,20.10,18.00,20.00,1.65,153
108/01/18,171,"3,266",19.85,19.85,18.70,18.85,-1.15,97
108/01/21,86,"1,658",18.60,19.75,18.50,19.10,0.25,56
108/01/22,66,"1,226",19.10,19.10,18.00,18.70,-0.4,41
108/01/23,28,521,18.60,19.00,18.25,18.75,0.05,22
108/01/24,26,488,18.80,18.85,18.50,18.85,0.1,20
108/01/25,60,"1,112",18.85,18.85,18.35,18.45,-0.4,33
108/01/28,51,933,18.50,18.85,18.00,18.70,0.25,35
108/01/29,52,"1,000",18.50,19.75,18.40,19.70,1.0,41
108/01/30,50,951,19.20,19.25,18.80,19.00,-0.7,34
108/02/11,61,"1,133",18.25,19.95,18.15,19.95,0.95,37
108/02/12,50,940,18.50,19.50,18.50,18.80,-1.15,36
108/02/13,21,395,18.70,19.30,18.65,18.90,0.1,18
108/02/14,37,692,18.90,18.90,18.15,18.90,0.0,22
108/02/15,19,357,18.75,18.95,18.50,18.95,0.05,15
108/02/18,106,"2,085",19.90,19.90,19.25,19.60,0.65,58
108/02/19,37,713,19.50,19.50,19.10,19.30,-0.3,32
108/02/20,42,802,19.20,19.30,19.05,19.30,0.0,21
108/02/21,38,730,19.20,19.35,19.05,19.30,0.0,19
108/02/22,7,136,19.15,19.60,19.15,19.40,0.1,7
108/02/25,46,896,19.45,19.50,19.35,19.35,-0.05,32
108/02/26,13,252,19.30,19.55,19.30,19.35,0.0,11
108/02/27,24,464,19.35,19.50,19.30,19.30,-0.05,17
108/03/04,73,"1,424",19.35,19.85,19.30,19.85,0.55,43
108/03/05,103,"2,084",19.80,20.45,19.70,20.35,0.5,72
108/03/06,101,"2,125",20.55,21.50,20.45,21.40,1.05,80
108/03/07,110,"2,340",21.60,21.80,20.90,21.65,0.25,76
108/03/08,23,496,21.10,21.80,21.05,21.80,0.15,19
108/03/11,88,"1,821",21.50,21.50,20.35,20.70,-1.1,65
108/03/12,31,637,20.70,20.70,20.40,20.55,-0.15,24
108/03/13,88,"1,748",20.55,20.55,19.45,19.50,-1.05,51
108/03/14,27,537,19.80,20.05,19.80,19.85,0.35,18
108/03/15,38,747,20.00,20.00,19.35,19.50,-0.35,21
108/03/18,31,595,19.40,19.50,18.95,19.50,0.0,23
108/03/19,11,209,18.95,19.60,18.90,19.60,0.1,6
108/03/20,30,599,19.20,20.35,19.20,20.15,0.55,25
108/03/21,53,"1,082",20.15,20.80,20.15,20.50,0.35,38
108/03/22,42,848,20.50,20.50,20.00,20.05,-0.45,29
108/03/25,16,317,19.85,19.95,19.75,19.75,-0.3,15
108/03/26,11,222,20.35,20.35,19.90,20.10,0.35,10
108/03/27,19,381,20.05,20.10,20.05,20.05,-0.05,5
108/03/28,202,"4,396",20.05,22.05,20.05,22.05,2.0,100
108/03/29,354,"8,363",23.10,24.25,22.25,24.25,2.2,246
108/04/01,199,"4,950",25.45,25.45,23.80,25.05,0.8,138
108/04/02,272,"6,961",25.80,26.50,24.80,25.25,0.2,169
108/04/03,75,"1,869",25.20,25.70,24.40,25.20,-0.05,66
108/04/08,153,"3,995",25.10,26.95,25.10,26.95,1.75,123
108/04/09,155,"4,106",27.30,27.45,25.45,25.45,-1.5,120
108/04/10,72,"1,817",25.50,25.95,25.00,25.10,-0.35,58
108/04/11,211,"5,824",27.60,27.60,27.60,27.60,2.5,120
108/04/12,367,"10,364",29.90,29.90,27.00,27.20,-0.4,246
108/04/15,136,"3,619",26.75,27.00,26.40,26.45,-0.75,101
108/04/16,63,"1,645",26.40,26.40,26.00,26.15,-0.3,49
108/04/17,119,"3,077",25.00,26.55,25.00,26.55,0.4,71
108/04/18,64,"1,670",26.10,26.50,25.95,26.25,-0.3,49
108/04/19,68,"1,849",26.45,27.95,26.35,27.80,1.55,65
108/04/22,94,"2,611",27.75,28.30,27.10,27.80,0.0,70
108/04/23,25,688,27.60,27.80,27.35,27.80,0.0,22
108/04/24,31,851,27.70,27.85,27.15,27.80,0.0,25
108/04/25,39,"1,070",27.80,28.00,27.20,27.35,-0.45,28
108/04/26,216,"6,291",27.00,30.05,27.00,30.05,2.7,141
108/04/29,230,"7,141",30.80,31.90,30.20,30.65,0.6,178
108/04/30,66,"1,967",29.50,30.45,29.50,30.20,-0.45,53
108/05/02,287,"9,332",30.20,33.20,29.60,33.20,3.0,151
108/05/03,167,"5,365",32.90,33.00,31.00,32.40,-0.8,132
108/05/06,98,"3,044",31.50,31.55,30.55,31.00,-1.4,80
108/05/07,53,"1,658",29.80,32.00,29.80,31.00,0.0,42
108/05/08,56,"1,738",30.70,31.65,30.60,31.65,0.65,44
108/05/09,71,"2,200",31.15,31.95,30.20,31.35,-0.3,47
108/05/10,61,"1,877",31.35,31.80,30.30,30.35,-1.0,42
108/05/13,231,"6,865",28.55,30.60,28.45,29.65,-0.7,137
108/05/14,162,"4,572",28.50,28.60,27.60,28.15,-1.5,113
108/05/15,182,"5,141",28.15,28.80,27.70,28.40,0.25,125
108/05/16,109,"3,063",28.40,28.50,27.45,27.45,-0.95,79
108/05/17,83,"2,279",27.50,28.10,26.25,27.35,-0.1,72
108/05/20,565,"15,894",27.80,30.05,27.70,30.05,2.7,119
108/05/21,207,"5,941",29.90,29.90,28.00,28.30,-1.75,151
108/05/22,158,"4,541",28.00,29.35,28.00,28.30,0.0,109
108/05/23,84,"2,390",28.10,28.70,27.70,28.40,0.1,70
108/05/24,21,596,28.30,28.40,27.95,27.95,-0.45,23
108/05/27,27,749,27.45,28.00,27.45,27.70,-0.25,20
108/05/28,36,"1,001",27.70,28.00,27.50,27.50,-0.2,29
108/05/29,73,"1,998",27.50,27.85,27.05,27.20,-0.3,54
108/05/30,58,"1,603",27.50,27.80,27.45,27.55,0.35,49
108/05/31,34,940,27.70,27.80,27.50,27.50,-0.05,30
108/06/03,123,"3,519",27.50,29.60,27.50,29.40,1.9,74
108/06/04,81,"2,370",28.50,29.95,28.50,29.45,0.05,65
108/06/05,61,"1,783",29.40,29.60,29.35,29.35,-0.1,42
108/06/06,49,"1,419",29.15,29.15,28.80,28.80,-0.55,33
108/06/10,63,"1,850",28.95,29.75,28.95,29.50,0.7,47
108/06/11,250,"7,583",29.70,31.90,29.70,30.80,1.3,182
