date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"56,741","2,705,270",50.0,50.0,47.0,47.4,-2.80,60
107/07/03,"45,200","2,116,649",47.4,48.0,45.75,45.75,-1.65,45
107/07/04,"26,000","1,219,200",44.7,48.75,44.5,46.5,+0.75,24
107/07/05,"49,000","2,227,000",45.15,46.8,44.6,45.2,-1.30,45
107/07/06,"48,045","2,150,060",41.7,47.8,41.7,47.8,+2.60,45
107/07/09,"21,000","983,350",48.75,48.75,46.1,46.25,-1.55,20
107/07/10,"19,000","900,900",46.7,48.4,46.7,47.0,+0.75,19
107/07/11,"5,000","231,900",47.1,47.1,45.9,47.0, 0.00,5
107/07/12,"11,000","509,599",46.2,47.3,45.9,46.95,-0.05,20
107/07/13,"12,030","552,981",46.9,46.9,45.6,45.6,-1.35,13
107/07/16,"95,100","4,638,560",45.6,50.1,45.55,50.1,+4.50,88
107/07/17,"410,691","22,392,957",54.4,55.1,53.0,55.1,+5.00,295
107/07/18,"175,201","9,260,351",52.1,55.6,51.0,52.3,-2.80,165
107/07/19,"123,860","6,331,360",52.1,53.0,49.5,51.0,-1.30,108
107/07/20,"65,501","3,132,248",49.0,49.0,47.0,47.55,X0.00,62
107/07/23,"38,201","1,861,707",47.85,50.5,47.85,48.6,+1.05,42
107/07/24,"19,000","912,250",48.6,48.6,47.4,47.7,-0.90,19
107/07/25,"15,000","722,350",48.2,48.95,48.0,48.1,+0.40,13
107/07/26,"34,000","1,702,150",48.5,50.9,48.5,49.7,+1.60,31
107/07/27,"21,050","1,041,950",51.3,51.3,49.0,49.5,-0.20,22
107/07/30,"27,070","1,324,401",49.5,49.8,48.5,48.55,-0.95,25
107/07/31,"12,750","634,600",49.0,50.0,49.0,49.35,+0.80,15
107/08/01,"11,000","544,200",50.0,50.0,49.15,49.15,-0.20,11
107/08/02,"23,200","1,139,389",49.6,49.6,48.45,48.45,-0.70,23
107/08/03,"5,100","247,455",48.5,48.55,48.5,48.55,+0.10,5
107/08/06,"12,006","577,341",48.55,48.55,47.9,47.9,-0.65,13
107/08/07,"11,000","541,150",47.9,49.75,47.9,49.1,+1.20,11
107/08/08,"22,450","1,099,275",50.0,50.0,48.4,49.5,+0.40,24
107/08/09,"19,289","949,921",49.1,49.5,49.0,49.0,-0.50,18
107/08/10,"28,000","1,402,000",48.95,50.9,48.95,49.8,+0.80,26
107/08/13,"74,400","3,745,500",51.5,51.5,49.0,49.45,-0.35,66
107/08/14,"30,100","1,474,300",49.45,50.0,48.5,50.0,+0.55,29
107/08/15,"42,100","2,100,509",51.2,51.2,49.3,49.5,-0.50,35
107/08/16,"17,100","839,730",48.5,49.8,48.0,49.8,+0.30,18
107/08/17,"19,650","980,245",49.75,50.3,49.75,49.8, 0.00,21
107/08/20,"20,500","1,020,599",49.8,50.0,49.65,49.65,-0.15,20
107/08/21,"22,951","1,147,051",49.65,50.3,49.65,49.95,+0.30,25
107/08/22,"35,000","1,760,650",49.95,50.8,49.95,50.1,+0.15,31
107/08/23,"32,700","1,663,230",50.9,51.0,50.6,50.9,+0.80,32
107/08/24,"31,200","1,579,979",50.9,51.0,50.4,50.4,-0.50,28
107/08/27,"10,100","511,790",50.4,50.9,50.4,50.9,+0.50,11
107/08/28,"29,350","1,489,741",50.5,51.1,50.3,50.7,-0.20,41
107/08/29,"26,058","1,328,358",50.8,51.3,50.8,50.9,+0.20,34
107/08/30,"38,882","2,012,796",51.8,52.0,51.2,51.7,+0.80,48
107/08/31,"555,724","31,121,718",53.4,56.8,53.4,56.8,+5.10,498
107/09/03,"824,625","50,137,950",59.6,62.4,58.6,62.4,+5.60,736
107/09/04,"613,652","35,855,638",62.4,62.4,56.2,56.2,-6.20,563
107/09/05,"363,537","20,353,045",55.3,58.7,53.7,54.1,-2.10,330
107/09/06,"181,200","9,961,660",55.8,56.4,53.3,53.6,-0.50,166
107/09/07,"156,406","8,186,112",54.0,54.0,51.3,51.9,-1.70,140
107/09/10,"55,125","2,863,360",51.9,52.5,51.6,51.7,-0.20,59
107/09/11,"46,710","2,440,220",53.2,53.4,51.7,51.7, 0.00,47
107/09/12,"75,170","3,803,139",51.8,51.8,49.6,49.9,-1.80,70
107/09/13,"33,730","1,719,330",50.0,51.3,50.0,50.6,+0.70,35
107/09/14,"32,200","1,636,760",50.5,51.9,50.5,50.8,+0.20,28
107/09/17,"32,510","1,681,765",50.8,52.2,50.7,52.0,+1.20,33
107/09/18,"29,100","1,476,960",52.0,52.0,50.1,50.6,-1.40,31
107/09/19,"23,250","1,185,225",50.5,51.3,50.5,51.3,+0.70,25
107/09/20,"17,794","906,394",51.3,51.3,50.7,50.7,-0.60,16
107/09/21,"29,242","1,508,089",53.2,53.4,50.9,51.1,+0.40,30
107/09/25,"24,621","1,274,392",51.1,52.2,51.1,51.6,+0.50,30
107/09/26,"41,197","2,137,844",52.0,52.2,51.6,51.8,+0.20,44
107/09/27,"55,464","2,926,430",52.0,53.5,51.8,53.3,+1.50,56
107/09/28,"233,179","12,962,380",53.3,57.0,53.3,55.7,+2.40,211
107/10/01,"301,952","17,533,150",57.5,59.9,57.1,57.2,+1.50,272
107/10/02,"107,900","5,932,778",57.9,57.9,54.0,54.4,-2.80,107
107/10/03,"98,530","5,199,650",55.0,55.2,51.5,51.8,-2.60,100
107/10/04,"31,520","1,652,900",51.8,52.8,51.8,52.4,+0.60,37
107/10/05,"61,100","3,129,200",52.1,52.9,50.3,51.0,-1.40,57
107/10/08,"18,200","933,520",51.1,52.4,51.1,51.2,+0.20,19
107/10/09,"29,352","1,527,133",52.4,52.5,51.8,52.0,+0.80,33
107/10/11,"102,326","4,984,993",48.1,50.0,48.1,48.5,-3.50,101
107/10/12,"37,400","1,835,138",49.0,49.3,48.7,49.15,+0.65,41
107/10/15,"47,200","2,296,750",50.9,50.9,48.2,49.0,-0.15,42
107/10/16,"16,170","798,832",49.0,49.8,49.0,49.6,+0.60,16
107/10/17,"30,900","1,543,563",49.8,50.3,49.7,49.9,+0.30,34
107/10/18,"12,272","608,372",49.9,49.9,49.3,49.9, 0.00,12
107/10/19,"23,498","1,161,123",50.0,50.0,49.3,49.35,-0.55,28
107/10/22,"7,400","368,000",49.35,50.0,49.35,49.7,+0.35,8
