date,volume,amount,open,high,low,close,spread,Quantity
107/10/23＊,"1,320","97,566",74.5,74.6,73.0,74.1,0.5,805
107/10/24,876,"66,105",75.0,76.9,74.3,75.0,0.9,677
107/10/25,549,"38,527",68.0,72.8,68.0,72.0,-3.0,450
107/10/26,303,"21,589",72.0,73.2,69.8,71.8,-0.2,240
107/10/29,210,"14,551",71.0,71.5,68.0,68.3,-3.5,189
107/10/30,319,"20,845",68.3,68.4,63.5,64.8,-3.5,268
107/10/31,422,"28,607",65.3,69.6,65.3,69.5,4.7,306
107/11/01,408,"28,462",69.4,71.2,67.0,71.0,1.5,300
107/11/02,756,"55,502",74.0,74.8,70.7,74.7,3.7,579
107/11/05,310,"22,696",73.3,74.4,72.3,74.4,-0.3,269
107/11/06,581,"42,501",74.1,74.8,72.2,73.8,-0.6,333
107/11/07,305,"22,581",74.3,74.4,73.0,74.0,0.2,206
107/11/08,267,"19,648",74.5,74.9,72.7,72.9,-1.1,178
107/11/09,562,"40,139",70.2,74.4,69.1,73.2,0.3,339
107/11/12,221,"15,661",71.6,71.7,70.2,71.0,-2.2,181
107/11/13,135,"9,429",70.0,70.9,68.8,70.4,-0.6,109
107/11/14,128,"8,990",71.2,71.2,69.5,70.3,-0.1,103
107/11/15,52,"3,649",70.2,70.6,69.5,70.4,0.1,45
107/11/16,143,"10,186",71.5,71.6,70.6,71.0,0.6,109
107/11/19,74,"5,203",71.4,71.4,69.9,69.9,-1.1,69
107/11/20,67,"4,652",69.4,69.8,68.7,69.5,-0.4,59
107/11/21,64,"4,445",69.5,69.7,69.0,69.7,0.2,57
107/11/22,90,"6,315",70.0,70.5,69.5,70.0,0.3,85
107/11/23,80,"5,568",70.9,70.9,68.9,68.9,-1.1,76
107/11/26,94,"6,461",68.9,70.0,68.2,68.9,0.0,68
107/11/27,82,"5,657",68.9,70.0,68.6,70.0,1.1,73
107/11/28,137,"9,597",70.4,70.4,69.2,70.0,0.0,125
107/11/29,123,"8,643",70.4,70.8,69.8,70.2,0.2,111
107/11/30,103,"7,189",70.2,70.2,68.8,69.5,-0.7,89
107/12/03,366,"26,644",70.7,74.8,70.6,72.8,3.3,306
107/12/04,321,"22,864",72.4,72.7,70.2,70.8,-2.0,248
107/12/05,121,"8,415",69.3,70.2,68.7,69.6,-1.2,107
107/12/06,228,"15,326",69.6,70.0,66.2,67.0,-2.6,191
107/12/07,65,"4,370",68.7,68.7,66.5,67.0,0.0,63
107/12/10,87,"5,731",65.1,67.4,65.1,65.7,-1.3,78
107/12/11,68,"4,549",66.4,67.4,66.4,66.7,1.0,63
107/12/12,102,"6,841",67.5,67.5,66.7,67.2,0.5,84
107/12/13,102,"6,878",67.2,67.7,66.8,67.1,-0.1,90
107/12/14,84,"5,624",67.1,67.1,66.5,66.8,-0.3,65
107/12/17,51,"3,359",67.4,67.4,66.1,66.8,0.0,42
107/12/18,78,"5,163",66.2,66.6,65.5,65.6,-1.2,68
107/12/19,52,"3,434",66.5,66.5,65.2,65.5,-0.1,43
107/12/20,103,"6,631",65.5,65.5,63.7,64.0,-1.5,86
107/12/21,73,"4,668",63.7,64.0,63.5,63.6,-0.4,73
107/12/22,64,"4,079",63.9,64.0,63.5,63.6,0.0,47
107/12/24,40,"2,564",63.6,64.2,63.5,63.7,0.1,35
107/12/25,71,"4,421",62.6,63.5,61.0,62.0,-1.7,57
107/12/26,107,"6,562",61.8,62.5,60.3,60.3,-1.7,93
