date,volume,amount,open,high,low,close,spread,Quantity
108/03/26＊,806,"42,788",54.0,54.4,51.6,52.0,15.2,634
108/03/27,395,"20,541",51.9,54.0,50.2,51.6,-0.4,340
108/03/28,242,"12,263",51.7,52.0,50.2,50.5,-1.1,195
108/03/29,269,"13,390",51.2,51.2,48.9,49.1,-1.4,236
108/04/01,234,"11,407",49.1,49.7,48.0,48.4,-0.7,179
108/04/02,85,"4,109",49.0,49.0,48.1,48.4,0.0,81
108/04/03,142,"7,013",48.7,50.4,48.5,49.7,1.3,131
108/04/08,102,"4,993",49.8,49.8,48.15,48.5,-1.2,96
108/04/09,82,"3,948",48.2,48.7,48.2,48.2,-0.3,64
108/04/10,88,"4,209",48.4,48.4,48.0,48.05,-0.15,82
108/04/11,173,"8,184",48.05,48.05,47.0,47.0,-1.05,151
108/04/12,185,"8,489",47.0,47.0,45.1,46.2,-0.8,144
108/04/15,58,"2,693",46.0,46.9,46.0,46.2,0.0,48
108/04/16,41,"1,889",46.6,46.6,45.6,46.1,-0.1,34
108/04/17,67,"3,048",46.0,46.1,45.45,45.9,-0.2,56
108/04/18,52,"2,357",45.4,45.6,45.05,45.05,-0.85,48
108/04/19,58,"2,596",45.0,45.0,44.6,44.7,-0.35,55
108/04/22,64,"2,914",44.7,46.2,44.7,46.2,1.5,53
108/04/23,69,"3,130",46.0,46.0,45.05,45.2,-1.0,58
108/04/24,23,"1,041",45.0,45.5,44.95,45.35,0.15,20
108/04/25,31,"1,385",45.4,45.7,45.15,45.5,0.15,26
108/04/26,39,"1,796",45.4,46.5,45.4,45.6,0.1,39
108/04/29,40,"1,798",45.6,45.6,44.7,45.0,-0.6,36
108/04/30,13,586,45.0,45.45,44.8,45.0,0.0,12
108/05/02,33,"1,486",45.0,45.1,44.7,44.7,-0.3,31
108/05/03,28,"1,256",44.8,45.05,44.8,44.8,0.1,25
108/05/06,28,"1,248",44.8,45.1,44.15,44.6,-0.2,24
108/05/07,35,"1,571",44.6,45.3,44.5,44.5,-0.1,35
108/05/08,10,453,44.5,44.75,44.3,44.5,0.0,11
108/05/09,48,"2,118",44.5,44.5,44.0,44.0,-0.5,38
108/05/10,75,"3,390",44.8,45.8,44.8,45.2,1.2,67
108/05/13,39,"1,743",45.1,45.1,44.0,44.8,-0.4,36
108/05/14,14,619,44.7,44.7,44.0,44.05,-0.75,14
108/05/15,25,"1,102",44.1,44.1,44.0,44.1,0.05,15
108/05/16,11,486,44.1,44.5,44.05,44.05,-0.05,10
108/05/17,24,"1,052",44.05,44.35,43.7,43.75,-0.3,22
108/05/20,15,656,43.85,43.95,43.7,43.7,-0.05,11
108/05/21,24,"1,049",43.8,43.85,43.65,43.85,0.15,15
108/05/22,26,"1,144",43.7,43.75,43.55,43.55,-0.3,23
108/05/23,26,"1,134",43.55,43.55,41.6,43.3,-0.25,25
108/05/24,24,"1,022",42.65,42.9,42.5,42.6,-0.7,15
108/05/27,29,"1,210",42.5,42.5,41.25,41.25,-1.35,26
108/05/28,10,413,41.25,41.4,41.25,41.4,0.15,10
108/05/29,18,745,41.3,41.5,41.3,41.3,-0.1,16
108/05/30,16,657,41.0,41.3,41.0,41.3,0.0,15
108/05/31,9,371,41.2,41.3,41.05,41.3,0.0,9
108/06/03,10,410,41.05,41.05,41.0,41.0,-0.3,9
108/06/04,17,694,40.8,40.85,40.75,40.75,-0.25,14
108/06/05,14,572,40.85,41.0,40.8,40.8,0.05,10
108/06/06,18,730,40.6,40.7,40.2,40.2,-0.6,13
108/06/10,17,680,40.2,40.2,39.65,40.0,-0.2,15
108/06/11,137,"6,026",43.95,44.0,43.9,44.0,4.0,84
108/06/12,197,"8,836",44.3,45.5,44.3,45.0,1.0,154
108/06/13,47,"2,085",45.0,45.0,43.05,43.7,-1.3,44
108/06/14,38,"1,678",44.0,44.5,43.5,44.3,0.6,34
108/06/17,25,"1,097",43.2,44.5,43.2,43.7,-0.6,21
108/06/18,22,950,43.5,43.5,42.5,43.0,-0.7,20
108/06/19,10,439,43.8,44.0,43.1,43.1,0.1,11
108/06/20,17,734,43.2,43.4,43.1,43.2,0.1,13
108/06/21,8,346,43.3,43.3,43.05,43.05,-0.15,8
108/06/24,5,215,43.05,43.2,43.05,43.2,0.15,4
108/06/25,5,216,43.2,43.2,43.2,43.2,0.0,5
108/06/26,1,43,43.2,43.2,43.2,43.2,0.0,1
108/06/27,13,562,43.2,43.2,43.2,43.2,0.0,8
108/06/28,4,178,43.2,43.2,43.2,43.2,0.0,5
108/07/01,13,562,43.05,43.50,43.00,43.20,0.00,8
108/07/02,23,"1,008",43.40,44.00,43.40,43.50,0.30,20
108/07/03,11,477,44.00,44.00,43.20,43.20,-0.30,10
108/07/04,14,605,43.40,43.40,42.95,43.15,-0.05,13
108/07/05,2,86,43.05,43.05,43.05,43.05,-0.10,2
108/07/08,6,262,43.10,43.90,43.10,43.90,0.85,6
108/07/09,13,568,43.90,43.90,43.65,43.65,-0.25,13
108/07/10,25,"1,101",43.95,44.35,43.75,44.30,0.65,24
108/07/11,48,"2,066",43.55,43.55,42.80,42.90,-1.40,37
108/07/12,7,300,42.95,42.95,42.75,42.75,-0.15,7
108/07/15,15,646,43.00,43.00,42.55,43.00,0.25,16
108/07/16,9,383,43.00,43.00,42.35,42.35,-0.65,8
108/07/17,8,337,40.55,41.30,40.55,41.20,0.70,9
108/07/18,6,247,41.10,41.80,41.00,41.80,0.60,6
108/07/19,10,420,41.80,41.90,41.80,41.85,0.05,11
108/07/22,9,378,42.50,42.50,41.80,41.80,-0.05,5
108/07/23,20,820,41.05,41.05,40.90,40.95,-0.85,18
108/07/24,23,945,41.00,41.00,40.90,41.00,0.05,14
108/07/25,3,123,41.00,41.05,41.00,41.00,0.00,3
108/07/26,8,326,40.80,40.80,40.70,40.70,-0.30,8
