date,volume,amount,open,high,low,close,spread,Quantity
107/12/12,"5,225,762","478,055,734",92.0,94.2,87.5,89.5,X0.00,"3,601"
107/12/13,"5,091,494","463,054,068",88.9,95.5,87.5,94.7,+5.20,"3,232"
107/12/14,"7,816,051","774,461,106",97.2,110.5,95.4,106.5,+11.80,"5,416"
107/12/17,"3,456,052","345,402,934",100.5,103.0,98.3,98.9,-7.60,"2,694"
107/12/18,"3,576,896","339,874,260",98.0,98.0,91.9,97.4,-1.50,"2,676"
107/12/19,"3,722,776","369,569,212",98.5,100.5,98.0,99.9,+2.50,"2,725"
107/12/20,"2,236,370","215,708,106",97.9,98.7,92.7,94.9,-5.00,"1,778"
107/12/21,"2,495,528","243,296,534",95.0,99.8,95.0,99.2,+4.30,"1,924"
107/12/22,"909,695","87,557,858",96.3,97.4,95.7,96.0,-3.20,792
107/12/24,"1,121,111","104,597,645",96.1,96.1,92.1,93.4,-2.60,971
107/12/25,"1,946,823","170,339,059",90.0,91.0,84.2,87.2,-6.20,"1,619"
107/12/26,"1,226,774","107,897,513",87.6,89.7,85.5,86.2,-1.00,997
107/12/27,"1,277,500","109,021,500",88.4,88.8,83.1,84.0,-2.20,"1,085"
107/12/28,"1,456,822","123,750,993",83.8,87.3,82.1,87.1,+3.10,"1,038"
108/01/02,"1,843,374","162,038,030",88.0,89.5,86.6,89.4,+2.30,"1,381"
108/01/03,"1,204,371","105,423,888",88.8,88.8,86.5,86.5,-2.90,960
108/01/04,"981,410","81,526,030",83.6,84.3,81.6,82.1,-4.40,777
108/01/07,"914,500","76,778,500",83.2,85.7,82.7,84.5,+2.40,684
108/01/08,"1,426,750","121,874,897",84.1,87.1,83.0,87.0,+2.50,930
108/01/09,"1,755,325","151,796,400",86.8,87.3,86.0,87.2,+0.20,"1,182"
108/01/10,"1,143,690","99,203,575",87.0,87.6,84.7,87.4,+0.20,777
108/01/11,"1,712,705","149,659,316",87.5,88.1,86.1,87.0,-0.40,"1,298"
108/01/14,"634,704","54,397,749",87.0,87.2,85.0,85.0,-2.00,549
108/01/15,"449,900","38,078,467",85.0,85.6,84.0,84.1,-0.90,388
108/01/16,"731,836","60,504,930",84.5,84.5,82.1,82.2,-1.90,628
108/01/17,"412,400","33,962,600",82.2,83.0,81.3,81.3,-0.90,349
108/01/18,"789,600","65,285,000",81.5,85.1,80.3,83.3,+2.00,644
108/01/21,"450,550","37,135,375",82.5,83.3,82.0,82.0,-1.30,358
