date,volume,amount,open,high,low,close,spread,Quantity
107/11/28,"4,781,592","161,195,530",31.95,39.95,31.3,39.0,X0.00,"2,282"
107/11/29,"4,259,222","165,371,172",37.5,41.0,37.5,39.1,+0.10,"2,316"
107/11/30,"3,611,160","145,283,878",39.0,42.8,38.55,42.8,+3.70,"1,922"
107/12/03,"4,077,780","184,685,087",45.1,52.0,43.45,50.6,+7.80,"2,432"
107/12/04,"2,121,492","101,469,252",47.8,49.95,45.9,46.0,-4.60,"1,641"
107/12/05,"1,024,051","46,138,415",44.25,46.6,43.25,45.4,-0.60,742
107/12/06,"1,130,325","47,918,890",44.9,45.3,40.9,41.1,-4.30,809
107/12/07,"1,683,000","74,357,500",41.0,45.2,41.0,45.2,+4.10,"1,013"
107/12/10,"1,472,200","61,552,760",42.2,42.9,41.1,41.55,-3.65,943
107/12/11,"819,874","33,193,560",41.4,41.5,39.1,39.65,-1.90,583
107/12/12,"660,034","27,094,311",40.0,41.65,40.0,41.15,+1.50,467
107/12/13,"1,331,540","56,547,829",41.1,44.9,39.5,44.5,+3.35,962
107/12/14,"3,014,765","140,767,040",45.15,48.85,44.7,47.05,+2.55,"2,008"
107/12/17,"1,092,100","50,168,330",47.0,47.05,45.0,45.2,-1.85,727
107/12/18,"650,100","28,608,400",44.0,46.25,42.1,43.3,-1.90,509
107/12/19,"451,100","19,256,310",43.8,44.4,41.8,42.0,-1.30,357
107/12/20,"339,750","14,083,936",42.2,42.2,40.8,41.3,-0.70,261
107/12/21,"358,020","15,052,711",40.8,43.0,40.5,42.95,+1.65,281
107/12/22,"160,000","6,672,500",41.7,42.3,41.5,41.6,-1.35,144
107/12/24,"310,190","13,165,875",42.0,43.6,41.0,42.5,+0.90,211
107/12/25,"266,030","10,979,795",41.2,42.0,41.0,41.2,-1.30,197
107/12/26,"298,130","12,228,225",41.5,42.0,40.55,41.2, 0.00,237
107/12/27,"712,000","30,430,750",43.0,43.2,42.1,43.15,+1.95,495
107/12/28,"1,664,048","75,764,908",44.15,47.35,43.75,45.9,+2.75,"1,171"
108/01/02,"627,000","27,718,100",44.95,45.0,43.6,43.85,-2.05,501
108/01/03,"327,643","14,309,613",43.4,44.5,43.3,43.3,-0.55,255
108/01/04,"325,500","13,669,424",43.0,43.0,41.5,42.1,-1.20,248
108/01/07,"272,150","11,608,087",43.0,43.2,42.2,42.2,+0.10,215
108/01/08,"216,030","9,068,575",42.9,42.95,41.7,41.85,-0.35,166
108/01/09,"212,000","8,931,550",42.0,42.9,41.8,42.0,+0.15,164
108/01/10,"326,000","13,533,000",42.0,42.05,41.2,41.2,-0.80,182
108/01/11,"349,000","14,246,800",41.5,41.7,40.0,40.25,-0.95,250
108/01/14,"109,200","4,414,390",41.2,41.2,40.15,40.3,+0.05,93
108/01/15,"140,200","5,662,920",40.7,40.7,40.15,40.5,+0.20,99
108/01/16,"250,245","9,988,875",40.2,40.4,39.6,39.8,-0.70,186
