date,volume,amount,open,high,low,close,spread,Quantity
108/05/09＊,"1,206","104,907",90.9,90.9,85.4,86.0,16.0,854
108/05/10,792,"70,715",85.3,91.9,85.3,89.9,3.9,590
108/05/13,348,"30,077",89.0,89.0,85.4,85.7,-4.2,249
108/05/14,738,"60,779",84.0,84.0,80.7,83.8,-1.9,442
108/05/15,821,"72,268",83.6,90.8,83.2,90.8,7.0,503
108/05/16,662,"59,784",88.3,92.9,88.0,90.3,-0.5,481
108/05/17,463,"41,319",91.4,91.4,88.0,90.6,0.3,315
108/05/20,307,"27,510",91.3,91.3,88.0,89.8,-0.8,230
108/05/21,225,"19,949",89.3,90.1,87.0,88.5,-1.3,158
108/05/22,200,"17,821",87.9,90.2,87.8,89.0,0.5,127
108/05/23,240,"20,730",88.0,88.0,85.7,85.8,-3.2,170
108/05/24,250,"21,040",85.8,86.2,83.2,84.0,-1.8,175
108/05/27,159,"13,072",84.8,84.8,81.3,82.0,-2.0,128
108/05/28,217,"17,802",82.0,84.5,80.9,83.8,1.8,132
108/05/29,148,"12,345",83.7,84.4,82.0,83.5,-0.3,101
108/05/30,74,"6,164",82.9,84.2,82.9,83.4,-0.1,57
108/05/31,128,"10,761",83.3,84.6,83.3,84.2,0.8,111
108/06/03,65,"5,406",83.4,83.6,82.0,83.5,-0.7,59
108/06/04,39,"3,237",83.9,83.9,82.7,82.7,-0.8,36
108/06/05,127,"10,570",83.8,84.4,82.5,82.7,0.0,79
108/06/06,200,"16,251",83.0,83.0,80.4,80.5,-2.2,108
108/06/10,191,"15,835",82.0,83.7,81.0,83.2,2.7,150
108/06/11,231,"19,691",84.0,86.5,84.0,85.8,2.6,191
108/06/12,118,"9,979",85.5,85.9,83.5,85.0,-0.8,94
108/06/13,103,"8,642",85.3,85.3,83.2,83.3,-1.7,65
108/06/14,94,"7,829",84.0,84.4,82.5,84.2,0.9,51
108/06/17,31,"2,603",84.6,84.6,83.2,84.1,-0.1,29
108/06/18,43,"3,623",83.9,84.6,83.9,84.2,0.1,41
108/06/19,152,"12,929",84.9,85.5,84.4,85.4,1.2,114
108/06/20,74,"6,351",87.0,87.0,85.2,85.5,0.1,57
108/06/21,238,"20,609",86.0,88.4,84.7,87.5,2.0,171
108/06/24,"1,046","96,323",87.9,95.0,87.8,95.0,7.5,784
108/06/25,725,"69,047",95.0,97.9,92.5,95.0,0.0,565
108/06/26,425,"40,758",94.5,97.8,93.5,97.0,2.0,339
108/06/27,387,"37,449",97.0,97.7,95.2,96.5,-0.5,312
108/06/28,891,"88,559",97.2,101.5,95.7,100.0,3.5,602
108/07/01,"1,104","114,315",102.00,107.00,100.50,105.00,5.00,696
108/07/02,"1,164","126,884",104.50,113.50,103.00,108.50,3.50,798
108/07/03,"2,523","291,591",108.50,119.00,107.00,115.50,7.00,"1,651"
108/07/04,"2,249","265,476",117.50,122.00,115.50,116.50,1.00,"1,700"
108/07/05,"1,116","128,114",117.00,118.00,113.00,114.00,-2.50,912
108/07/08,"1,414","165,718",115.50,120.50,113.50,116.50,2.50,"1,073"
108/07/09,877,"100,636",116.00,117.50,111.50,113.00,-3.50,598
108/07/10,"1,065","124,488",115.00,119.00,113.50,116.50,3.50,777
108/07/11,"1,955","235,709",117.00,123.50,116.50,119.00,2.50,"1,467"
108/07/12,"1,075","128,874",120.00,122.00,117.50,122.00,3.00,884
108/07/15,588,"70,446",122.00,122.50,118.00,118.50,-3.50,472
108/07/16,468,"56,049",118.50,121.00,118.50,118.50,0.00,377
108/07/17,768,"88,374",118.50,118.50,113.50,113.50,-5.00,628
108/07/18,255,"29,171",115.50,116.00,113.00,113.50,0.00,222
108/07/19,547,"64,228",116.00,118.50,115.00,117.50,4.00,416
108/07/22,970,"115,811",120.00,123.00,117.00,117.00,-0.50,739
108/07/23,458,"52,807",118.50,118.50,113.50,115.00,-2.00,381
108/07/24,452,"51,185",115.00,116.00,112.00,112.00,-3.00,343
108/07/25,510,"57,276",112.50,115.00,109.00,115.00,3.00,346
108/07/26,473,"55,017",115.00,118.00,115.00,115.00,0.00,400
