date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,60,"10,506",175.0,175.5,174.5,175.0,0.0,69
107/07/03,46,"8,024",174.0,175.0,174.0,174.0,-1.0,57
107/07/04,52,"8,979",174.0,174.5,173.5,174.0,0.0,54
107/07/05,22,"3,863",174.5,174.5,174.0,174.0,0.0,25
107/07/06,77,"13,313",174.5,174.5,173.0,174.0,0.0,68
107/07/09,29,"4,996",174.0,174.0,173.5,173.5,-0.5,50
107/07/10,28,"4,894",173.5,174.5,173.5,174.5,1.0,42
107/07/11,46,"8,051",174.5,175.0,174.5,174.5,0.0,65
107/07/12,62,"10,891",175.0,175.0,174.5,175.0,0.5,64
107/07/13,37,"6,477",175.0,175.5,175.0,175.5,0.5,48
107/07/16,28,"4,962",175.5,175.5,175.0,175.5,0.0,37
107/07/17,257,"45,771",176.0,179.0,176.0,178.5,3.0,245
107/07/18,365,"65,801",179.5,182.5,178.5,182.5,4.0,320
107/07/19,209,"37,856",183.0,183.0,180.5,181.0,-1.5,182
107/07/20,87,"15,699",181.0,181.5,180.5,181.0,0.0,101
107/07/23,205,"37,286",181.0,182.5,181.0,182.0,1.0,192
107/07/24,169,"30,810",182.0,182.0,181.5,182.0,0.0,159
107/07/25,289,"52,464",182.0,182.5,180.5,181.0,-1.0,252
107/07/26,253,"44,043",173.0,175.0,173.0,174.5,3.0,257
107/07/27,129,"22,548",174.5,174.5,173.5,174.5,0.0,116
107/07/30,107,"18,540",174.5,174.5,173.0,173.0,-1.5,138
107/07/31,45,"7,806",174.0,174.0,173.0,173.5,0.5,64
107/08/01,63,"10,980",173.5,173.5,173.0,173.0,-0.5,68
107/08/02,65,"11,256",174.0,174.0,173.0,173.0,0.0,75
107/08/03,56,"9,628",173.0,173.0,172.5,173.0,0.0,66
107/08/06,64,"11,150",173.0,174.0,172.5,173.5,0.5,77
107/08/07,51,"8,895",173.5,174.0,173.0,173.0,-0.5,52
107/08/08,62,"10,806",173.0,174.0,173.0,173.5,0.5,54
107/08/09,70,"12,085",173.5,173.5,172.5,173.0,-0.5,83
107/08/10,38,"6,646",173.5,173.5,173.0,173.0,0.0,62
107/08/13,123,"21,199",173.0,173.0,171.0,171.5,-1.5,139
107/08/14,44,"7,562",171.5,172.5,171.5,172.0,0.5,73
107/08/15,50,"8,535",173.0,173.0,171.5,172.0,0.0,64
107/08/16,49,"8,436",172.0,172.5,171.0,171.5,-0.5,63
107/08/17,19,"3,240",172.0,172.5,172.0,172.0,0.5,33
107/08/20,31,"5,305",172.0,172.5,171.5,172.0,0.0,50
107/08/21,43,"7,375",171.5,172.5,171.5,172.5,0.5,50
107/08/22,31,"5,363",171.5,172.5,171.5,172.5,0.0,48
107/08/23,22,"3,715",172.5,172.5,171.5,172.0,-0.5,43
107/08/24,22,"3,800",171.5,172.0,171.5,171.5,-0.5,38
107/08/27,44,"7,503",171.5,173.0,171.5,173.0,1.5,52
107/08/28,51,"8,799",172.0,173.0,172.0,173.0,0.0,78
107/08/29,72,"12,438",173.0,174.0,173.0,174.0,1.0,72
107/08/30,27,"4,675",174.0,174.0,173.0,173.5,-0.5,40
107/08/31,24,"4,104",173.0,173.5,173.0,173.0,-0.5,36
107/09/03,40,"6,931",173.0,173.5,172.5,172.5,-0.5,54
107/09/04,19,"3,295",173.0,173.5,172.5,172.5,0.0,30
107/09/05,40,"6,898",173.0,173.5,173.0,173.5,1.0,45
107/09/06,40,"6,923",174.0,174.0,172.5,172.5,-1.0,50
107/09/07,58,"10,082",172.5,173.5,172.5,172.5,0.0,51
107/09/10,68,"11,632",173.0,173.0,172.0,172.0,-0.5,83
107/09/11,29,"4,982",172.5,173.0,172.0,173.0,1.0,38
107/09/12,34,"5,861",173.0,173.5,172.5,173.5,0.5,45
107/09/13,24,"4,086",174.0,174.0,173.0,173.5,0.0,55
107/09/14,35,"6,033",173.5,173.5,173.0,173.5,0.0,60
107/09/17,29,"5,020",174.0,174.0,173.5,173.5,0.0,42
107/09/18,54,"9,385",173.5,175.0,173.5,174.5,1.0,67
107/09/19,26,"4,493",173.5,174.5,173.5,174.0,-0.5,36
107/09/20,41,"7,226",175.0,175.0,174.5,175.0,1.0,47
107/09/21,27,"4,789",174.5,175.5,174.5,175.0,0.0,35
107/09/25,39,"6,878",175.5,175.5,175.0,175.5,0.5,63
107/09/26,45,"7,875",175.5,175.5,174.5,174.5,-1.0,53
107/09/27,21,"3,708",175.0,175.0,174.5,174.5,0.0,38
107/09/28,21,"3,611",174.5,175.0,174.5,175.0,0.5,31
107/10/01,32,"5,640",175.0,175.5,174.5,175.0,0.0,38
