date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,1
107/07/03,0,0,--,--,--,--,0.0,2
107/07/04,1,54,47.00,47.00,47.00,47.00,-2.0,2
107/07/05,1,53,46.00,46.00,46.00,46.00,-1.0,2
107/07/06,8,373,45.00,48.00,44.70,48.00,2.0,10
107/07/09,10,480,48.00,48.00,48.00,48.00,0.0,2
107/07/10,6,288,48.00,48.00,48.00,48.00,0.0,2
107/07/11,5,231,47.00,49.00,44.00,49.00,1.0,7
107/07/12,1,46,46.10,46.10,46.10,46.10,-2.9,1
107/07/13,1,54,48.90,48.90,48.90,48.90,2.8,2
107/07/16,1,49,48.90,48.90,48.90,48.90,0.0,1
107/07/17,2,92,46.00,46.00,45.50,45.50,-3.4,2
107/07/18,0,0,--,--,--,--,0.0,0
107/07/19,19,899,46.00,49.00,46.00,49.00,3.0,11
107/07/20,2,105,49.00,49.00,49.00,49.00,0.0,3
107/07/23,16,770,49.00,49.00,45.80,45.80,-3.2,7
107/07/24,2,92,45.80,46.00,45.80,46.00,0.2,2
107/07/25,10,476,46.00,46.00,46.00,46.00,0.0,5
107/07/26,0,0,--,--,--,--,0.0,0
107/07/27,1,47,46.50,46.50,46.50,46.50,0.4,1
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,2,95,47.30,47.30,47.30,47.30,0.8,2
107/08/02,12,580,47.30,48.80,47.00,48.80,1.5,7
107/08/03,5,260,49.00,49.00,47.10,47.10,-1.7,8
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,8,405,48.80,48.90,48.10,48.10,0.9,10
107/08/08,15,722,48.10,48.10,48.10,48.10,0.0,7
107/08/09,0,0,--,--,--,--,0.0,0
107/08/10,1,48,48.10,48.10,48.10,48.10,0.0,1
107/08/13,18,861,48.00,48.00,47.60,47.60,-0.5,10
107/08/14,3,142,46.80,48.00,46.80,48.00,0.4,3
107/08/15,0,10,--,--,--,--,0.0,8
107/08/16,4,189,47.00,47.00,46.90,46.90,-1.1,5
107/08/17,6,265,44.00,44.70,44.00,44.70,1.0,5
107/08/20,80,"3,692",46.30,47.50,46.00,46.30,1.6,15
107/08/21,19,903,46.45,47.30,46.40,47.20,0.9,14
107/08/22,21,992,47.30,47.35,47.10,47.20,0.0,17
107/08/23,5,234,46.80,46.80,46.80,46.80,-0.4,1
107/08/24,2,96,47.35,47.35,47.10,47.10,0.3,3
107/08/27,10,464,46.60,47.40,46.00,46.00,-1.1,6
107/08/28,11,512,45.80,46.80,45.60,46.75,0.75,12
107/08/29,12,544,46.75,46.95,46.70,46.90,0.15,14
107/08/30,10,468,47.00,47.00,46.25,46.85,-0.05,11
107/08/31,13,621,46.70,46.70,46.55,46.55,-0.3,12
107/09/03,31,"1,436",46.50,46.65,46.00,46.25,-0.3,21
107/09/04,10,462,46.35,46.40,46.00,46.05,-0.2,10
107/09/05,4,185,46.30,46.30,46.05,46.05,0.0,4
107/09/06,44,"2,037",46.55,46.65,46.10,46.10,0.05,30
107/09/07,39,"1,801",46.30,46.60,45.70,46.60,0.5,33
107/09/10,4,185,46.10,46.30,46.10,46.30,-0.3,4
107/09/11,1,46,46.30,46.30,46.30,46.30,0.0,1
107/09/12,0,0,--,--,--,--,0.0,0
107/09/13,1,64,46.30,46.30,46.30,46.30,0.0,2
107/09/14,1,47,46.50,46.50,46.50,46.50,0.2,1
107/09/17,2,93,46.55,46.55,46.55,46.55,0.05,1
107/09/18,1,45,45.30,45.30,45.30,45.30,-1.25,1
107/09/19,8,357,44.05,45.20,44.05,45.00,-0.3,8
107/09/20,6,271,45.00,45.30,45.00,45.30,0.3,6
107/09/21,16,704,44.20,45.40,44.20,45.40,0.1,21
107/09/25,11,521,45.60,46.00,44.70,45.80,0.4,14
107/09/26,6,276,45.20,45.20,44.70,44.70,-1.1,8
107/09/27,9,415,44.95,44.95,44.50,44.75,0.05,7
107/09/28,9,424,44.70,44.80,44.40,44.70,-0.05,10
107/10/01,22,983,44.75,44.95,44.20,44.20,-0.5,15
107/10/02,4,157,44.85,44.85,44.85,44.85,0.65,4
107/10/03,145,"6,552",44.85,45.45,44.85,45.45,0.6,36
107/10/04,13,599,45.20,45.45,44.00,44.80,-0.65,12
