date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,869","362,930",73.5,76.7,71.6,74.0,1.1,"3,617"
107/07/03,"16,827","1,351,005",77.1,81.4,76.5,81.4,7.4,"9,174"
107/07/04,"22,730","1,932,441",84.0,89.5,82.6,89.5,8.1,"15,209"
107/07/05,"21,875","2,080,282",94.0,97.8,92.0,96.4,6.9,"15,715"
107/07/06,"11,981","1,082,750",95.0,96.0,86.8,86.8,-9.6,"8,601"
107/07/09,"12,093","991,250",81.5,85.8,78.2,78.3,-8.5,"8,250"
107/07/10,"7,389","581,637",79.7,80.2,77.1,78.7,0.4,"5,459"
107/07/11,"7,955","639,916",78.0,82.3,77.0,80.5,1.8,"5,944"
107/07/12,"5,344","432,095",80.5,82.2,79.5,81.0,0.5,"3,840"
107/07/13,"4,512","370,949",82.0,84.0,80.0,80.3,-0.7,"3,295"
107/07/16,"3,420","264,940",80.5,81.0,74.0,74.0,-6.3,"2,503"
107/07/17,"8,268","626,470",75.0,77.7,73.6,75.0,1.0,"6,162"
107/07/18,"9,260","660,381",77.5,77.6,68.0,68.1,-6.9,"6,386"
107/07/19,"5,828","403,681",69.0,71.4,67.1,71.4,3.3,"4,343"
107/07/20,"5,741","389,350",71.4,71.6,64.5,64.5,-6.9,"4,165"
107/07/23,"6,047","402,382",64.7,68.6,64.3,67.4,2.9,"4,354"
107/07/24,"11,578","848,158",71.5,74.1,70.4,74.1,6.7,"6,337"
107/07/25,"7,809","577,014",73.1,75.1,72.5,73.8,-0.3,"5,009"
107/07/26,"9,242","704,176",74.6,78.0,74.5,74.5,0.7,"6,572"
107/07/27,"4,565","341,485",74.1,75.8,73.8,74.5,0.0,"3,219"
107/07/30,"5,741","402,861",75.0,75.2,67.1,67.5,-7.0,"4,282"
107/07/31,"7,543","515,255",68.0,70.7,65.5,69.7,2.2,"5,753"
107/08/01,"3,482","240,433",69.1,70.2,68.0,68.3,-1.4,"2,355"
107/08/02,"4,840","310,869",67.5,67.9,62.1,63.2,-5.1,"3,547"
107/08/03,"5,175","328,692",64.6,65.2,60.5,62.8,-0.4,"3,866"
107/08/06,"2,868","180,694",63.9,64.4,61.8,61.9,-0.9,"2,078"
107/08/07,"4,184","260,624",62.5,63.7,60.9,62.8,0.9,"2,984"
107/08/08,"4,427","269,680",63.1,63.8,58.4,58.8,-4.0,"3,187"
107/08/09,"4,597","267,073",58.7,59.3,56.8,58.3,-0.5,"3,320"
107/08/10,"6,479","381,915",58.8,60.8,56.8,56.9,-1.4,"4,710"
107/08/13,"14,919","840,883",55.7,59.5,52.6,55.9,-1.0,"10,368"
107/08/14,"11,606","683,151",58.1,60.5,57.2,59.3,3.4,"8,013"
107/08/15,"6,501","381,425",58.3,60.5,57.2,60.2,0.9,"4,747"
107/08/16,"10,695","672,283",59.3,65.8,59.0,64.2,4.0,"7,684"
107/08/17,"8,447","544,025",64.6,67.0,60.1,61.5,-2.7,"6,240"
107/08/20,"3,382","213,519",62.5,64.6,61.1,62.7,1.2,"2,612"
107/08/21,"2,664","169,859",63.5,64.9,62.4,63.5,0.8,"1,972"
107/08/22,"2,385","149,926",64.1,64.4,61.3,61.9,-1.6,"1,690"
