date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,183,"4,469",22.65,24.9,22.65,24.9,2.25,103
107/07/03,122,"2,878",24.0,24.45,22.9,22.9,-2.0,94
107/07/04,75,"1,713",22.6,23.75,22.2,22.7,-0.2,55
107/07/05,73,"1,667",22.7,23.15,22.7,22.85,0.15,40
107/07/06,26,592,23.0,23.8,22.3,22.3,-0.55,21
107/07/09,17,386,22.5,23.0,22.4,22.75,0.45,15
107/07/10,9,202,22.2,22.65,22.2,22.65,-0.1,8
107/07/11,76,"1,669",22.4,22.4,21.5,21.7,-0.95,53
107/07/12,16,353,22.0,22.35,21.9,21.9,0.2,16
107/07/13,15,333,22.8,22.8,21.85,21.9,0.0,14
107/07/16,7,154,22.4,22.4,21.85,22.25,0.35,6
107/07/17,43,952,22.5,22.5,21.9,21.9,-0.35,22
107/07/18,32,715,22.25,22.6,22.0,22.05,0.15,23
107/07/19,28,618,21.6,22.4,21.6,22.1,0.05,19
107/07/20,21,464,22.1,22.45,22.1,22.45,0.35,8
107/07/23,10,219,22.45,22.45,21.75,21.9,-0.55,9
107/07/24,18,391,21.6,22.0,21.6,21.6,-0.3,16
107/07/25,11,242,22.05,22.25,21.8,22.15,0.55,11
107/07/26,12,263,22.15,22.15,21.75,22.05,-0.1,12
107/07/27,20,439,21.6,22.3,21.6,21.7,-0.35,15
107/07/30,9,195,21.9,21.9,21.4,21.4,-0.3,9
107/07/31,10,214,21.4,21.5,21.35,21.4,0.0,8
107/08/01,20,433,21.0,21.75,21.0,21.75,0.35,20
107/08/02,7,152,21.45,21.9,21.4,21.9,0.15,8
107/08/03,55,"1,154",21.9,21.9,20.65,21.3,-0.6,45
107/08/06,23,502,21.0,22.0,21.0,22.0,0.7,18
107/08/07,16,348,21.45,22.0,21.45,22.0,0.0,15
107/08/08,10,218,22.0,22.0,21.4,21.4,-0.6,8
107/08/09,17,367,21.55,21.95,21.4,21.4,0.0,12
107/08/10,47,969,20.95,21.1,20.0,20.3,-1.1,40
107/08/13,16,316,20.05,20.1,19.45,19.7,-0.6,16
107/08/14,16,317,19.55,20.0,19.55,19.55,-0.15,12
107/08/15,12,233,19.55,19.55,19.4,19.4,-0.15,8
107/08/16,50,964,19.4,19.6,18.9,18.9,-0.5,33
107/08/17,17,323,19.05,19.35,18.7,18.7,-0.2,17
107/08/20,15,273,18.7,18.7,18.0,18.3,-0.4,15
107/08/21,3,56,18.5,18.5,18.5,18.5,0.2,3
107/08/22,40,807,19.5,20.35,19.5,20.35,1.85,31
107/08/23,163,"3,596",22.35,22.35,20.6,20.8,0.45,101
107/08/24,70,"1,369",20.9,20.9,19.25,19.35,-1.45,55
107/08/27,18,351,19.4,19.65,19.4,19.6,0.25,14
107/08/28,8,155,19.55,19.55,19.15,19.15,-0.45,7
107/08/29,15,291,19.6,19.6,19.25,19.5,0.35,14
107/08/30,15,290,19.35,19.35,19.25,19.3,-0.2,9
107/08/31,32,630,19.3,19.9,19.3,19.85,0.55,27
107/09/03,7,137,19.85,19.85,19.2,19.25,-0.6,6
107/09/04,24,451,18.6,19.35,18.6,18.75,-0.5,20
107/09/05,24,449,18.65,18.85,18.45,18.6,-0.15,21
107/09/06,25,463,18.6,19.15,18.35,18.4,-0.2,20
107/09/07,26,472,18.35,18.4,17.5,18.35,-0.05,22
107/09/10,16,281,18.0,18.0,17.25,17.25,-1.1,16
107/09/11,27,512,18.95,18.95,18.95,18.95,1.7,18
107/09/12,248,"5,130",20.8,20.8,19.15,20.8,1.85,147
107/09/13,96,"2,030",22.3,22.3,20.5,20.5,-0.3,69
107/09/14,31,632,20.4,20.9,20.1,20.45,-0.05,25
107/09/17,79,"1,495",20.05,20.05,18.55,18.6,-1.85,67
107/09/18,31,579,18.5,19.1,18.5,18.5,-0.1,26
107/09/19,28,528,18.8,19.0,18.65,18.7,0.2,23
107/09/20,6,112,18.85,18.85,18.5,18.7,0.0,6
107/09/21,18,332,19.0,19.0,18.1,18.1,-0.6,18
107/09/25,30,543,18.05,18.6,17.8,18.15,0.05,24
107/09/26,102,"2,017",18.75,19.95,18.55,19.95,1.8,64
107/09/27,115,"2,262",19.65,20.15,19.25,19.6,-0.35,70
107/09/28,295,"6,288",21.0,21.55,20.15,21.55,1.95,163
107/10/01,154,"3,389",22.95,22.95,20.5,20.5,-1.05,125
107/10/02,69,"1,429",21.2,21.4,20.4,21.05,0.55,47
107/10/03,149,"3,375",21.35,23.1,21.35,22.5,1.45,117
107/10/04,155,"3,273",23.0,23.6,20.25,20.3,-2.2,109
107/10/05,67,"1,343",20.05,20.75,19.5,20.35,0.05,54
107/10/08,42,829,20.3,20.3,19.5,20.15,-0.2,33
107/10/09,39,764,19.75,20.0,19.45,19.45,-0.7,27
107/10/11,75,"1,323",17.65,17.85,17.55,17.85,-1.6,50
107/10/12,39,714,17.85,19.25,17.3,18.5,0.65,30
107/10/15,36,644,18.1,18.15,17.6,17.8,-0.7,25
107/10/16,33,629,18.75,19.55,18.5,18.6,0.8,29
107/10/17,31,576,18.2,19.25,18.2,19.25,0.65,25
107/10/18,13,246,19.4,19.4,18.6,18.65,-0.6,12
107/10/19,12,222,18.5,18.5,18.45,18.5,-0.15,9
107/10/22,38,686,17.9,18.1,17.85,18.1,-0.4,19
107/10/23,19,345,18.15,18.2,18.15,18.15,0.05,11
107/10/24,4,73,18.3,18.35,18.0,18.35,0.2,4
107/10/25,40,700,17.6,18.0,17.4,17.45,-0.9,16
107/10/26,55,957,17.85,17.85,17.25,17.25,-0.2,31
107/10/29,19,325,17.65,17.65,16.8,16.8,-0.45,11
107/10/30,29,473,16.8,16.8,16.0,16.45,-0.35,23
107/10/31,18,299,16.15,16.85,16.15,16.55,0.1,17
107/11/01,12,202,16.65,17.15,16.65,16.75,0.2,11
107/11/02,8,132,16.65,16.65,16.5,16.5,-0.25,8
107/11/05,8,131,16.35,16.35,16.25,16.25,-0.25,7
107/11/06,4,65,16.25,16.25,16.25,16.25,0.0,3
107/11/07,12,200,16.25,17.25,16.25,17.0,0.75,11
107/11/08,9,150,16.4,17.1,16.4,16.7,-0.3,9
107/11/09,25,412,16.7,17.15,16.0,16.2,-0.5,19
107/11/12,56,941,16.2,17.55,16.2,16.35,0.15,38
107/11/13,41,674,16.2,17.3,16.0,16.2,-0.15,37
107/11/14,63,"1,119",17.6,17.8,17.6,17.8,1.6,41
107/11/15,77,"1,369",17.8,18.5,17.15,17.25,-0.55,53
107/11/16,46,788,17.2,17.5,16.5,16.6,-0.65,44
107/11/19,15,255,16.55,17.3,16.55,16.8,0.2,14
107/11/20,32,534,16.8,17.0,16.35,16.8,0.0,30
107/11/21,38,627,16.8,16.8,16.4,16.45,-0.35,36
107/11/22,49,834,17.0,17.6,16.65,16.65,0.2,46
107/11/23,428,"7,767",17.35,18.3,17.1,18.3,1.65,196
107/11/26,294,"5,012",17.7,17.7,16.7,17.0,-1.3,192
107/11/27,32,540,17.0,17.0,16.65,16.85,-0.15,29
107/11/28,52,873,17.0,17.05,16.65,16.75,-0.1,45
107/11/29,39,667,17.2,17.4,16.9,16.95,0.2,38
107/11/30,51,859,16.9,17.05,16.8,16.9,-0.05,34
107/12/03,40,686,17.1,17.5,17.0,17.1,0.2,38
107/12/04,35,601,17.2,17.25,17.05,17.05,-0.05,27
107/12/05,14,234,16.65,16.8,16.65,16.7,-0.35,13
107/12/06,18,302,16.8,17.1,16.65,16.7,0.0,18
107/12/07,9,152,17.05,17.05,16.7,16.9,0.2,9
107/12/10,22,372,16.9,17.3,16.65,16.75,-0.15,17
107/12/11,8,136,17.2,17.2,16.9,17.1,0.35,8
107/12/12,7,120,17.1,17.35,17.0,17.25,0.15,6
107/12/13,13,224,17.3,17.3,17.0,17.0,-0.25,10
107/12/14,27,452,16.8,16.8,16.7,16.75,-0.25,17
107/12/17,3,51,16.8,16.8,16.8,16.8,0.05,4
107/12/18,5,85,17.15,17.15,16.8,16.8,0.0,5
107/12/19,14,233,16.7,16.9,16.55,16.8,0.0,13
107/12/20,5,83,16.6,16.6,16.45,16.45,-0.35,5
107/12/21,19,312,16.55,16.7,16.1,16.5,0.05,17
107/12/22,41,658,16.25,16.35,15.75,15.95,-0.55,35
107/12/24,5,81,16.2,16.35,16.2,16.2,0.25,5
107/12/25,11,177,16.3,16.3,15.95,16.0,-0.2,7
107/12/26,9,145,16.0,16.25,16.0,16.15,0.15,7
107/12/27,41,657,16.15,16.3,16.0,16.0,-0.15,21
107/12/28,18,287,16.0,16.1,15.8,15.8,-0.2,14
108/01/02,2,32,15.85,16.2,15.85,16.2,0.4,2
108/01/03,5,82,16.2,16.5,16.2,16.5,0.3,4
108/01/04,10,160,16.15,16.15,15.95,15.95,-0.55,10
108/01/07,22,359,16.45,16.45,16.1,16.4,0.45,18
108/01/08,4,64,16.1,16.15,16.05,16.05,-0.35,4
108/01/09,1,16,16.1,16.1,16.1,16.1,0.05,1
108/01/10,36,550,15.25,15.3,15.2,15.3,-0.8,21
108/01/11,11,171,15.55,15.8,15.45,15.45,0.15,10
108/01/14,15,239,16.4,16.4,15.5,15.75,0.3,13
108/01/15,4,64,15.9,15.95,15.8,15.8,0.05,4
