date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,60,"8,071",133.5,135.0,133.5,134.5,1.0,57
107/07/03,47,"6,276",133.5,134.0,133.0,134.0,-0.5,41
107/07/04,24,"3,187",133.5,133.5,132.5,133.5,-0.5,20
107/07/05,15,"1,981",132.0,132.5,131.5,132.5,-1.0,15
107/07/06,22,"2,887",132.0,132.0,131.0,131.5,-1.0,18
107/07/09,41,"5,334",130.5,130.5,129.0,130.5,-1.0,31
107/07/10,5,672,131.0,131.0,130.0,130.0,-0.5,8
107/07/11,7,931,130.5,130.5,130.0,130.5,0.5,10
107/07/12,6,800,131.0,131.0,129.5,129.5,-1.0,10
107/07/13,11,"1,445",130.0,130.0,129.5,129.5,0.0,13
107/07/16,8,"1,034",129.0,129.5,129.0,129.5,0.0,8
107/07/17,9,"1,198",130.5,130.5,130.0,130.0,0.5,8
107/07/18,9,"1,175",130.0,131.0,130.0,130.5,0.5,9
107/07/19,9,"1,187",132.0,132.0,131.5,132.0,1.5,11
107/07/20,14,"1,861",132.0,133.5,131.5,131.5,-0.5,16
107/07/23,25,"3,320",133.0,133.5,132.0,133.0,1.5,20
107/07/24,18,"2,405",133.5,133.5,132.5,133.0,0.0,17
107/07/25,16,"2,178",134.0,136.0,133.5,133.5,0.5,19
107/07/26,18,"2,435",133.5,136.0,133.5,134.5,1.0,16
107/07/27,19,"2,578",135.5,135.5,135.0,135.5,1.0,21
107/07/30,34,"4,677",136.0,137.0,136.0,137.0,1.5,32
107/07/31,19,"2,601",137.5,137.5,136.5,137.0,0.0,17
107/08/01,20,"2,725",137.0,137.0,135.0,136.5,-0.5,17
107/08/02,28,"3,803",136.5,137.0,135.0,137.0,0.5,27
107/08/03,11,"1,526",137.5,137.5,136.5,137.5,0.5,13
107/08/06,8,"1,103",138.0,138.0,137.0,137.5,0.0,7
107/08/07,21,"2,914",138.0,138.5,138.0,138.0,0.5,22
107/08/08,16,"2,212",138.5,138.5,136.5,137.5,-0.5,16
107/08/09,14,"1,936",138.0,138.0,136.5,138.0,0.5,14
107/08/10,14,"1,956",138.0,138.0,137.0,138.0,0.0,12
107/08/13,30,"4,100",138.0,138.0,135.5,137.0,-1.0,30
107/08/14,9,"1,234",137.5,137.5,135.5,137.0,0.0,10
107/08/15,28,"3,831",137.5,137.5,135.0,136.0,-1.0,27
107/08/16,12,"1,634",136.0,136.0,135.5,136.0,0.0,12
107/08/17,10,"1,407",136.5,136.5,135.5,136.0,0.0,10
107/08/20,37,"4,979",136.0,136.0,133.5,135.0,-1.0,31
107/08/21,6,817,135.5,135.5,135.0,135.0,0.0,6
107/08/22,15,"2,048",136.0,136.5,135.0,136.0,1.0,13
107/08/23,23,"3,137",136.0,136.0,135.0,136.0,0.0,21
107/08/24,17,"2,318",137.0,137.0,135.5,136.5,0.5,17
107/08/27,12,"1,638",137.0,137.0,135.5,136.5,0.0,13
107/08/28,13,"1,776",136.5,137.0,136.0,136.5,0.0,13
107/08/29,22,"2,999",137.0,137.0,135.5,136.5,0.0,20
107/08/30,12,"1,659",137.0,137.0,136.5,137.0,0.5,13
107/08/31,8,"1,113",137.0,137.0,136.0,137.0,0.0,7
107/09/03,6,827,137.0,137.0,135.5,137.0,0.0,5
107/09/04,10,"1,367",137.0,137.0,136.0,137.0,0.0,9
