date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,8,316,39.45,39.5,39.45,39.45,0.0,7
107/07/03,7,274,39.4,39.4,39.0,39.3,-0.15,7
107/07/04,23,898,39.5,39.5,38.5,39.4,0.1,17
107/07/05,8,315,39.4,39.4,39.4,39.4,0.0,6
107/07/06,8,315,39.3,39.4,39.3,39.4,0.0,6
107/07/09,13,511,39.4,39.4,39.25,39.25,-0.15,8
107/07/10,14,550,39.3,39.3,39.25,39.3,0.05,13
107/07/11,19,741,39.4,39.4,38.5,39.3,0.0,12
107/07/12,13,511,39.3,39.4,39.3,39.4,0.1,9
107/07/13,9,355,39.4,39.4,39.4,39.4,0.0,8
107/07/16,6,237,39.4,39.5,39.4,39.5,0.1,6
107/07/17,19,750,39.5,39.5,39.4,39.45,-0.05,11
107/07/18,10,394,39.4,39.4,39.4,39.4,-0.05,7
107/07/19,16,630,39.4,39.45,39.0,39.4,0.0,11
107/07/20,17,665,39.0,39.3,39.0,39.3,-0.1,12
107/07/23,8,314,39.2,39.3,39.2,39.25,-0.05,7
107/07/24,19,741,39.0,39.0,38.9,39.0,-0.25,15
107/07/25,9,351,39.0,39.0,38.8,39.0,0.0,8
107/07/26,17,656,39.0,39.0,38.1,39.0,0.0,12
107/07/27,6,234,39.0,39.0,39.0,39.0,0.0,3
107/07/30,22,851,39.0,39.0,38.1,39.0,0.0,15
107/07/31,12,468,39.0,39.0,38.9,39.0,0.0,9
107/08/01,8,312,39.0,39.0,38.8,39.0,0.0,6
107/08/02,24,936,39.0,39.2,38.8,39.2,0.2,18
107/08/03,16,632,39.0,40.0,39.0,39.9,0.7,10
107/08/06,16,634,39.6,40.0,39.3,40.0,0.1,13
107/08/07,18,722,39.7,40.3,39.7,40.2,0.2,17
107/08/08,26,"1,034",40.0,40.2,39.6,40.2,0.0,19
107/08/09,37,"1,471",40.1,40.15,39.5,40.1,-0.1,19
107/08/10,29,"1,155",40.1,40.4,39.6,39.8,-0.3,18
107/08/13,14,560,40.2,40.2,39.65,40.0,0.2,12
107/08/14,21,835,40.0,40.0,39.5,40.0,0.0,16
107/08/15,30,"1,191",39.95,40.0,39.6,40.0,0.0,18
107/08/16,15,597,40.0,40.0,39.6,39.8,-0.2,12
107/08/17,17,673,39.9,39.95,39.3,39.3,-0.5,13
107/08/20,14,557,40.0,40.0,39.3,39.9,0.6,10
107/08/21,15,597,39.9,40.05,39.5,39.5,-0.4,13
