date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,102,"11,382",112.0,112.5,110.0,111.0,-0.5,74
107/07/03,234,"25,733",111.0,112.5,108.0,109.5,-1.5,148
107/07/04,169,"18,372",109.5,110.0,107.5,109.0,-0.5,128
107/07/05,52,"5,633",109.5,110.0,108.0,108.0,-1.0,50
107/07/06,235,"25,086",109.5,109.5,105.5,106.5,-1.5,184
107/07/09,233,"25,740",107.0,113.0,107.0,110.5,4.0,211
107/07/10,297,"33,312",111.0,113.5,110.5,110.5,0.0,231
107/07/11,160,"17,476",109.5,112.0,106.5,111.0,0.5,142
107/07/12,45,"5,012",109.5,112.0,109.5,110.5,-0.5,47
107/07/13,325,"36,794",110.5,115.0,110.5,113.5,3.0,239
107/07/16,180,"20,364",112.5,114.0,112.5,113.5,0.0,149
107/07/17,84,"9,484",114.0,114.0,112.5,114.0,0.5,70
107/07/18,252,"28,285",114.0,115.0,111.0,111.5,-2.5,160
107/07/19,119,"13,530",112.0,114.5,112.0,114.0,2.5,79
107/07/20,631,"74,579",114.5,119.5,114.5,118.5,4.5,416
107/07/23,174,"20,437",119.0,119.5,115.5,116.0,-2.5,128
107/07/24,101,"11,836",116.0,118.0,115.5,117.0,1.0,90
107/07/25,151,"17,561",116.5,118.0,116.0,117.5,0.5,127
107/07/26,74,"8,595",117.5,117.5,115.5,116.5,-1.0,70
107/07/27,151,"17,516",115.5,117.0,115.0,115.5,-1.0,116
107/07/30,162,"18,883",115.5,118.0,115.0,115.5,0.0,138
107/07/31,239,"27,926",115.5,118.0,115.5,117.5,2.0,188
107/08/01,826,"98,527",118.5,121.5,117.5,120.5,3.0,496
107/08/02,931,"107,044",115.0,117.5,113.0,113.5,1.0,571
107/08/03,190,"21,692",113.5,116.0,113.0,113.5,0.0,152
107/08/06,304,"35,099",113.5,116.5,113.5,115.5,2.0,209
107/08/07,241,"28,249",116.0,118.0,116.0,116.5,1.0,171
107/08/08,743,"88,672",117.5,121.0,117.5,119.5,3.0,483
