date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,59,"1,009",17.25,17.25,16.90,17.00,-0.25,45
107/07/03,95,"1,661",17.50,18.25,17.15,17.15,0.15,81
107/07/04,58,990,17.15,17.55,16.80,16.90,-0.25,51
107/07/05,30,511,16.90,17.60,16.90,17.00,0.1,19
107/07/06,116,"1,933",17.00,17.05,16.10,17.00,0.0,86
107/07/09,40,667,17.00,17.25,16.30,16.35,-0.65,26
107/07/10,63,"1,021",16.05,16.40,15.90,16.30,-0.05,49
107/07/11,22,356,16.30,16.50,16.10,16.20,-0.1,15
107/07/12,65,"1,016",15.85,15.85,15.40,15.60,-0.6,48
107/07/13,56,898,15.40,16.45,15.40,16.45,0.85,50
107/07/16,24,385,16.30,16.75,16.20,16.30,-0.15,22
107/07/17,25,409,16.20,16.50,16.20,16.20,-0.1,20
107/07/18,35,568,16.20,16.45,15.95,16.00,-0.2,25
107/07/19,8,129,15.90,16.00,15.85,16.00,0.0,9
107/07/20,45,709,15.75,15.95,15.70,15.90,-0.1,22
107/07/23,20,318,15.90,16.10,15.65,16.10,0.2,18
107/07/24,21,331,15.80,15.95,15.75,15.95,-0.15,15
107/07/25,21,332,15.85,15.85,15.60,15.70,-0.25,15
107/07/26,46,711,15.70,15.70,15.25,15.40,-0.3,32
107/07/27,54,842,15.30,15.75,15.30,15.50,0.1,23
107/07/30,40,619,15.50,15.80,15.40,15.75,0.25,18
107/07/31,265,"4,362",15.95,17.30,15.65,17.30,1.55,81
107/08/01,170,"2,872",17.30,17.30,16.55,16.55,-0.75,120
107/08/02,41,674,16.40,16.65,16.20,16.20,-0.35,34
107/08/03,13,206,16.20,16.35,16.20,16.35,0.15,13
107/08/06,18,284,16.35,16.35,16.10,16.10,-0.25,14
107/08/07,23,367,15.70,16.25,15.65,15.80,-0.3,23
107/08/08,6,100,15.80,15.80,15.70,15.70,-0.1,7
107/08/09,8,125,15.75,15.80,15.55,15.80,0.1,7
107/08/10,18,282,15.55,16.15,15.50,15.60,-0.2,18
107/08/13,30,468,15.60,16.35,15.05,15.10,-0.5,27
107/08/14,59,895,15.65,15.85,14.95,15.05,-0.05,45
107/08/15,53,778,15.10,15.10,14.30,14.45,-0.6,36
107/08/16,31,440,14.30,14.45,14.00,14.45,0.0,24
107/08/17,25,365,15.30,15.30,14.25,14.30,-0.15,23
107/08/20,31,450,14.20,14.60,14.20,14.50,0.2,26
107/08/21,4,58,14.45,14.65,14.45,14.60,0.1,4
107/08/22,26,380,14.60,14.90,14.50,14.90,0.3,15
107/08/23,7,98,14.90,14.90,14.70,14.70,-0.2,7
107/08/24,35,539,14.95,15.95,14.95,15.45,0.75,32
107/08/27,74,"1,171",15.90,16.10,15.55,16.10,0.65,50
107/08/28,19,302,15.70,16.00,15.70,16.00,-0.1,12
107/08/29,38,600,16.10,16.20,15.80,16.20,0.2,23
107/08/30,23,373,16.00,16.15,15.90,16.05,-0.15,19
107/08/31,19,305,16.10,16.30,15.95,15.95,-0.1,18
107/09/03,32,504,15.90,15.95,15.70,15.70,-0.25,22
107/09/04,11,173,15.60,15.95,15.55,15.80,0.1,9
107/09/05,22,346,15.75,15.90,15.60,15.60,-0.2,14
107/09/06,25,398,15.70,16.30,15.70,15.70,0.1,25
107/09/07,43,685,15.95,16.10,15.70,15.95,0.25,24
107/09/10,17,266,15.70,15.80,15.50,15.50,-0.45,11
107/09/11,79,"1,198",15.50,15.90,14.75,14.80,-0.7,50
107/09/12,106,"1,583",15.25,15.25,14.60,15.00,0.2,53
