date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"51,374","1,331,953",26.4,26.4,25.7,25.95,-0.05,41
107/07/03,"96,001","2,467,875",25.9,26.2,25.5,25.6,-0.35,61
107/07/04,"74,001","1,893,225",25.55,25.7,25.5,25.5,-0.10,43
107/07/05,"61,204","1,545,900",25.5,25.5,25.1,25.2,-0.30,44
107/07/06,"94,293","2,357,212",25.2,25.3,24.75,24.95,-0.25,64
107/07/09,"49,707","1,251,429",25.1,25.25,25.1,25.15,+0.20,42
107/07/10,"52,721","1,335,118",25.3,25.45,25.25,25.45,+0.30,42
107/07/11,"80,320","2,039,413",25.45,25.5,25.25,25.4,-0.05,42
107/07/12,"21,002","533,250",25.4,25.5,25.3,25.5,+0.10,18
107/07/13,"94,300","2,444,728",25.6,26.1,25.6,26.1,+0.60,82
107/07/16,"71,157","1,846,505",26.1,26.1,25.8,25.9,-0.20,44
107/07/17,"51,512","1,321,402",25.9,25.9,25.6,25.6,-0.30,40
107/07/18,"96,153","2,470,814",25.85,25.9,25.6,25.6, 0.00,64
107/07/19,"53,111","1,358,230",25.6,25.65,25.45,25.5,-0.10,39
107/07/20,"67,499","1,719,447",25.5,25.7,25.4,25.5, 0.00,45
107/07/23,"109,529","2,756,880",25.1,25.45,25.1,25.2,-0.30,58
107/07/24,"110,321","2,789,388",25.05,25.45,25.05,25.4,+0.20,46
107/07/25,"52,372","1,325,834",25.4,25.4,25.25,25.35,-0.05,43
107/07/26,"149,248","3,803,509",25.5,25.6,25.35,25.35, 0.00,74
107/07/27,"162,033","4,133,741",25.4,25.8,25.35,25.6,+0.25,94
107/07/30,"329,081","8,505,306",25.6,26.15,25.6,26.15,+0.55,152
107/07/31,"178,002","4,464,050",25.15,25.2,24.95,25.15,X0.00,102
107/08/01,"136,150","3,422,400",25.15,25.3,25.1,25.15, 0.00,82
107/08/02,"83,349","2,086,525",25.2,25.25,24.9,25.15, 0.00,55
107/08/03,"81,249","2,037,171",25.15,25.2,24.95,25.15, 0.00,48
107/08/06,"50,900","1,279,583",25.1,25.3,25.05,25.3,+0.15,31
107/08/07,"44,080","1,109,824",25.3,25.3,25.1,25.25,-0.05,32
107/08/08,"101,904","2,557,500",25.1,25.3,24.9,25.2,-0.05,54
107/08/09,"53,047","1,330,329",25.15,25.15,25.0,25.15,-0.05,32
107/08/10,"380,237","9,925,488",25.35,26.45,25.35,25.95,+0.80,240
107/08/13,"182,466","4,618,673",26.15,26.15,25.0,25.2,-0.75,127
107/08/14,"206,668","5,269,131",25.3,25.85,25.2,25.75,+0.55,108
107/08/15,"406,350","10,533,580",26.1,26.1,25.7,25.7,-0.05,201
107/08/16,"80,001","2,030,125",25.35,25.5,25.2,25.45,-0.25,52
107/08/17,"237,312","6,178,992",25.6,26.3,25.6,25.9,+0.45,141
107/08/20,"97,067","2,517,965",26.05,26.15,25.6,25.8,-0.10,60
107/08/21,"83,519","2,167,067",25.7,26.1,25.7,25.9,+0.10,55
107/08/22,"85,030","2,200,030",26.0,26.05,25.8,25.8,-0.10,49
107/08/23,"97,577","2,522,422",25.9,26.0,25.8,25.9,+0.10,53
107/08/24,"67,320","1,740,537",26.05,26.05,25.75,25.75,-0.15,52
107/08/27,"56,122","1,447,883",25.75,25.95,25.7,25.85,+0.10,51
107/08/28,"86,360","2,241,791",25.85,26.05,25.85,25.95,+0.10,64
107/08/29,"165,241","4,301,741",25.95,26.1,25.95,25.95, 0.00,102
107/08/30,"171,085","4,423,126",26.0,26.0,25.75,25.95, 0.00,104
107/08/31,"93,129","2,402,454",25.85,25.85,25.75,25.8,-0.15,64
107/09/03,"116,103","2,993,810",25.8,26.0,25.7,25.85,+0.05,75
107/09/04,"24,563","635,838",25.85,25.95,25.85,25.95,+0.10,21
107/09/05,"115,161","2,978,453",25.8,26.1,25.7,25.9,-0.05,62
107/09/06,"41,525","1,072,900",25.8,25.95,25.7,25.85,-0.05,32
107/09/07,"153,160","3,922,444",25.75,25.85,25.4,25.7,-0.15,85
107/09/10,"140,046","3,530,904",25.6,25.7,25.05,25.05,-0.65,96
107/09/11,"69,378","1,755,025",25.05,25.45,25.05,25.2,+0.15,44
107/09/12,"93,402","2,361,670",25.2,25.45,25.2,25.3,+0.10,52
107/09/13,"47,401","1,202,334",25.2,25.75,25.2,25.5,+0.20,32
107/09/14,"33,399","853,352",25.55,25.6,25.5,25.5, 0.00,25
107/09/17,"97,126","2,462,343",25.3,25.8,25.25,25.35,-0.15,50
107/09/18,"62,240","1,593,094",25.35,25.75,25.3,25.6,+0.25,53
107/09/19,"400,233","10,541,248",25.65,26.8,25.65,26.5,+0.90,324
107/09/20,"230,755","6,146,119",26.9,26.95,26.35,26.65,+0.15,162
107/09/21,"92,105","2,430,993",26.7,26.7,26.2,26.2,-0.45,67
107/09/25,"55,120","1,454,560",26.55,26.55,26.25,26.4,+0.20,41
107/09/26,"64,287","1,681,212",26.3,26.3,26.0,26.05,-0.35,47
107/09/27,"47,319","1,238,009",26.1,26.3,26.05,26.1,+0.05,42
107/09/28,"73,521","1,914,597",26.25,26.25,25.9,26.0,-0.10,51
107/10/01,"16,238","422,010",25.8,26.15,25.8,26.1,+0.10,18
107/10/02,"21,040","548,644",26.15,26.15,26.0,26.0,-0.10,16
107/10/03,"23,230","602,492",26.0,26.05,25.85,25.85,-0.15,23
107/10/04,"91,178","2,340,114",25.9,25.9,25.5,25.5,-0.35,56
107/10/05,"272,094","6,835,487",25.5,25.6,24.95,25.15,-0.35,124
107/10/08,"26,319","658,220",25.15,25.45,24.65,25.0,-0.15,30
107/10/09,"110,017","2,727,869",25.0,25.0,24.75,24.75,-0.25,58
107/10/11,"423,269","9,754,023",24.3,24.3,22.3,22.4,-2.35,270
107/10/12,"234,801","5,275,423",22.0,22.9,21.9,22.9,+0.50,138
107/10/15,"62,400","1,440,238",23.2,23.2,23.0,23.15,+0.25,48
107/10/16,"65,120","1,508,925",23.15,23.35,23.1,23.1,-0.05,51
107/10/17,"68,607","1,582,671",23.2,23.3,22.95,22.95,-0.15,47
107/10/18,"38,371","875,963",22.7,22.95,22.7,22.95, 0.00,27
107/10/19,"48,375","1,107,051",22.8,22.95,22.55,22.95, 0.00,39
107/10/22,"23,355","539,099",22.95,23.2,22.95,23.1,+0.15,19
107/10/23,"53,081","1,218,103",23.05,23.05,22.8,23.0,-0.10,23
107/10/24,"46,000","1,051,150",22.85,23.0,22.6,22.8,-0.20,26
107/10/25,"88,360","1,971,641",22.5,22.55,22.05,22.1,-0.70,67
107/10/26,"112,841","2,488,645",22.1,22.2,22.0,22.2,+0.10,56
107/10/29,"47,083","1,032,809",22.05,22.05,21.85,21.9,-0.30,38
107/10/30,"61,640","1,343,100",21.8,22.1,21.7,21.8,-0.10,51
107/10/31,"42,190","939,036",21.95,22.35,21.95,22.25,+0.45,30
107/11/01,"48,168","1,081,530",22.4,22.6,22.35,22.5,+0.25,36
107/11/02,"93,960","2,122,743",22.75,22.75,22.5,22.65,+0.15,60
107/11/05,"51,041","1,157,238",22.65,22.7,22.6,22.6,-0.05,28
107/11/06,"136,005","3,126,765",22.65,23.6,22.65,23.2,+0.60,65
107/11/07,"75,035","1,773,124",23.7,23.75,23.45,23.6,+0.40,46
107/11/08,"44,551","1,055,777",23.65,23.75,23.65,23.65,+0.05,37
107/11/09,"380,576","9,155,153",23.4,24.65,23.4,24.35,+0.70,132
107/11/12,"101,046","2,445,706",24.5,24.5,23.8,23.8,-0.55,63
107/11/13,"446,845","10,389,709",23.75,23.75,23.0,23.4,-0.40,194
107/11/14,"82,506","1,927,591",23.4,23.5,23.2,23.5,+0.10,57
107/11/15,"37,080","868,770",23.45,23.6,23.3,23.6,+0.10,25
107/11/16,"59,003","1,399,725",23.6,23.85,23.6,23.75,+0.15,44
107/11/19,"52,150","1,249,300",24.0,24.1,23.8,24.1,+0.35,35
107/11/20,"86,630","2,067,072",24.0,24.0,23.75,23.85,-0.25,47
107/11/21,"93,000","2,227,100",23.6,24.1,23.6,24.05,+0.20,54
107/11/22,"38,327","915,146",24.0,24.0,23.8,23.8,-0.25,31
107/11/23,"30,000","713,450",23.85,23.85,23.7,23.75,-0.05,19
107/11/26,"38,281","915,106",24.1,24.1,23.75,23.9,+0.15,47
107/11/27,"63,017","1,510,811",23.95,24.05,23.9,24.0,+0.10,40
107/11/28,"119,248","2,876,588",24.0,24.4,24.0,24.05,+0.05,71
107/11/29,"51,002","1,227,348",24.3,24.3,23.9,23.9,-0.15,38
107/11/30,"67,081","1,601,794",23.9,24.0,23.65,23.9, 0.00,42
107/12/03,"132,360","3,190,275",23.9,24.3,23.9,24.25,+0.35,85
107/12/04,"132,432","3,212,893",24.25,24.4,24.15,24.3,+0.05,90
107/12/05,"52,962","1,269,693",23.8,24.0,23.75,24.0,-0.30,28
107/12/06,"99,109","2,347,816",24.0,24.0,23.5,23.5,-0.50,67
107/12/07,"41,240","978,838",23.8,23.85,23.65,23.7,+0.20,25
107/12/10,"65,400","1,533,860",23.7,23.7,23.35,23.4,-0.30,41
107/12/11,"41,324","984,826",23.85,23.95,23.6,23.7,+0.30,39
107/12/12,"505,660","12,982,591",24.65,26.05,24.65,26.05,+2.35,347
107/12/13,"1,104,008","29,507,465",26.8,27.3,26.15,26.2,+0.15,727
107/12/14,"188,130","4,858,188",26.2,26.2,25.55,25.95,-0.25,134
107/12/17,"98,292","2,511,844",25.3,25.75,25.3,25.6,-0.35,76
107/12/18,"104,348","2,643,235",25.5,25.5,25.25,25.3,-0.30,74
107/12/19,"76,040","1,916,740",25.3,25.3,25.1,25.15,-0.15,64
107/12/20,"60,321","1,511,405",25.2,25.3,24.85,25.0,-0.15,58
107/12/21,"60,004","1,483,158",24.9,25.0,24.55,25.0, 0.00,53
107/12/22,"31,524","786,795",25.0,25.1,24.85,25.1,+0.10,29
107/12/24,"33,400","834,986",25.2,25.2,24.7,24.9,-0.20,28
107/12/25,"104,120","2,551,196",24.85,24.85,24.35,24.35,-0.55,79
107/12/26,"133,671","3,224,970",24.05,24.5,23.95,23.95,-0.40,98
107/12/27,"43,280","1,052,338",24.3,24.5,24.2,24.2,+0.25,29
107/12/28,"32,083","776,308",24.2,24.3,24.15,24.15,-0.05,23
108/01/02,"97,015","2,329,910",24.5,24.6,23.8,23.9,-0.25,96
108/01/03,"50,519","1,208,152",23.9,24.0,23.8,24.0,+0.10,41
108/01/04,"45,003","1,075,722",23.8,24.1,23.8,23.85,-0.15,43
108/01/07,"25,152","607,450",24.1,24.25,24.1,24.15,+0.30,25
108/01/08,"60,712","1,466,594",24.2,24.2,24.05,24.2,+0.05,48
108/01/09,"121,740","2,959,300",24.35,24.45,24.2,24.4,+0.20,84
108/01/10,"64,203","1,566,722",24.6,24.6,24.3,24.45,+0.05,50
108/01/11,"87,001","2,133,170",24.45,24.6,24.4,24.55,+0.10,86
108/01/14,"50,054","1,232,270",24.6,24.65,24.6,24.65,+0.10,49
108/01/15,"77,202","1,901,678",24.35,24.75,24.35,24.6,-0.05,52
108/01/16,"65,401","1,628,352",24.8,24.95,24.8,24.85,+0.25,44
108/01/17,"86,613","2,137,271",24.95,24.95,24.6,24.65,-0.20,63
108/01/18,"74,562","1,834,529",24.6,24.8,24.5,24.65, 0.00,93
108/01/21,"54,429","1,347,367",24.75,24.85,24.65,24.65, 0.00,48
108/01/22,"62,041","1,525,652",24.7,24.7,24.5,24.5,-0.15,41
108/01/23,"47,234","1,160,816",24.2,24.75,24.2,24.6,+0.10,29
108/01/24,"27,941","683,552",24.5,24.5,24.4,24.5,-0.10,31
108/01/25,"37,076","910,212",24.55,24.6,24.5,24.55,+0.05,26
108/01/28,"56,399","1,385,890",24.6,24.7,24.5,24.7,+0.15,59
108/01/29,"8,111","199,988",24.55,24.7,24.55,24.7, 0.00,12
108/01/30,"116,207","2,906,543",24.8,25.15,24.8,25.1,+0.40,96
108/02/11,"120,484","3,020,422",25.15,25.2,24.85,25.0,-0.10,83
108/02/12,"182,233","4,626,516",25.1,25.75,25.0,25.75,+0.75,126
108/02/13,"149,156","3,822,146",26.0,26.0,25.5,25.65,-0.10,103
108/02/14,"142,434","3,645,270",25.65,25.75,25.5,25.65, 0.00,116
108/02/15,"183,011","4,722,197",25.65,26.15,25.6,25.75,+0.10,114
108/02/18,"114,760","2,956,489",25.75,25.85,25.65,25.75, 0.00,124
108/02/19,"141,080","3,632,037",25.55,25.9,25.55,25.85,+0.10,118
108/02/20,"55,248","1,432,253",25.95,26.0,25.8,25.85, 0.00,60
108/02/21,"71,041","1,839,863",26.1,26.1,25.8,25.95,+0.10,61
108/02/22,"68,499","1,765,992",25.95,25.95,25.75,25.75,-0.20,66
108/02/25,"92,240","2,389,842",25.9,26.0,25.8,25.95,+0.20,80
108/02/26,"66,081","1,716,584",26.0,26.0,25.95,25.95, 0.00,53
108/02/27,"45,211","1,171,463",25.95,25.95,25.85,25.95, 0.00,56
108/03/04,"153,350","3,997,448",25.95,26.25,25.95,26.1,+0.15,111
108/03/05,"102,762","2,689,633",26.15,26.25,26.1,26.2,+0.10,111
108/03/06,"55,103","1,444,192",26.25,26.3,26.15,26.2, 0.00,82
108/03/07,"106,023","2,785,898",26.3,26.5,26.15,26.15,-0.05,91
108/03/08,"72,509","1,892,682",26.2,26.3,25.95,26.25,+0.10,88
108/03/11,"105,206","2,732,658",26.0,26.1,25.9,25.9,-0.35,164
